行情  sz300059
浦发银行(600000)  sh600000
邯郸钢铁(600001)  sh600001
齐鲁石化(600002)  sh600002
白云机场(600004)  sh600004
武钢股份(600005)  sh600005
东风汽车(600006)  sh600006
中国国贸(600007)  sh600007
首创股份(600008)  sh600008
上海机场(600009)  sh600009
包钢股份(600010)  sh600010
华能国际(600011)  sh600011
皖通高速(600012)  sh600012
华夏银行(600015)  sh600015
民生银行(600016)  sh600016
日照港(600017)  sh600017
上港集团(600018)  sh600018
宝钢股份(600019)  sh600019
中原高速(600020)  sh600020
上海电力(600021)  sh600021
山东钢铁(600022)  sh600022
浙能电力(600023)  sh600023
华能水电(600025)  sh600025
中远海能(600026)  sh600026
华电国际(600027)  sh600027
中国石化(600028)  sh600028
南方航空(600029)  sh600029
中信证券(600030)  sh600030
三一重工(600031)  sh600031
福建高速(600033)  sh600033
楚天高速(600035)  sh600035
招商银行(600036)  sh600036
歌华有线(600037)  sh600037
中直股份(600038)  sh600038
四川路桥(600039)  sh600039
保利地产(600048)  sh600048
中国联通(600050)  sh600050
宁波联合(600051)  sh600051
浙江广厦(600052)  sh600052
九鼎投资(600053)  sh600053
黄山旅游(600054)  sh600054
万东医疗(600055)  sh600055
中国医药(600056)  sh600056
象屿股份(600057)  sh600057
五矿发展(600058)  sh600058
古越龙山(600059)  sh600059
海信电器(600060)  sh600060
国投资本(600061)  sh600061
华润双鹤(600062)  sh600062
皖维高新(600063)  sh600063
南京高科(600064)  sh600064
宇通客车(600066)  sh600066
冠城大通(600067)  sh600067
葛洲坝(600068)  sh600068
银鸽投资(600069)  sh600069
浙江富润(600070)  sh600070
凤凰光学(600071)  sh600071
中船科技(600072)  sh600072
上海梅林(600073)  sh600073
新疆天业(600075)  sh600075
康欣新材(600076)  sh600076
宋都股份(600077)  sh600077
澄星股份(600078)  sh600078
人福医药(600079)  sh600079
金花股份(600080)  sh600080
东风科技(600081)  sh600081
海泰发展(600082)  sh600082
博信股份(600083)  sh600083
中葡股份(600084)  sh600084
同仁堂(600085)  sh600085
东方金钰(600086)  sh600086
退市长油(600087)  sh600087
中视传媒(600088)  sh600088
特变电工(600089)  sh600089
同济堂(600090)  sh600090
易见股份(600093)  sh600093
大名城(600094)  sh600094
哈高科(600095)  sh600095
云天化(600096)  sh600096
开创国际(600097)  sh600097
广州发展(600098)  sh600098
林海股份(600099)  sh600099
同方股份(600100)  sh600100
明星电力(600101)  sh600101
莱钢股份(600102)  sh600102
青山纸业(600103)  sh600103
上汽集团(600104)  sh600104
永鼎股份(600105)  sh600105
重庆路桥(600106)  sh600106
美尔雅(600107)  sh600107
