标题,阅读,评论,字数,影响力,时间
技术性反弹还是抄底反转,8605,74,144,0.0,2017-07-28 19:08:36
[财力]公告现重大利好，10股有望突破大涨！,12730,13,1946,3.0,2017-09-09 16:56:18
咯咯咯咯笑 狂笑，删贴啦 狂笑 瞎子狂笑 连续4,14912,29,1803,4.5,2017-07-25 08:39:11
再好的技术也需要包装 “互联网汽车”不火也难,23609,21,1298,0.0,2017-09-01 03:53:19
上汽建立第三工厂 小型SUV荣威RX3年内上市,17842,7,1128,0.0,2017-09-28 14:17:17
宁波港祝贺上海汽车,28963,64,133,1.0,2017-06-08 13:48:24
真是不计成本，疯狂抛售啊,8519,16,134,0.0,2016-11-28 14:53:28
怎么燃料电池概念起来了,7786,11,132,3.5,2017-04-18 10:16:50
600104上汽集团，绩优白马股。 10十倍市盈率，,7017,17,179,3.5,2017-06-22 10:26:08
充电8分钟跑1000公里石墨烯电池，空客飞机上已,22326,19,444,3.0,2016-10-09 12:34:50
实战炒股口决： 十四工作线，来回做波段；突破,54499,90,753,4.0,2017-04-04 21:38:44
拟转让51.43%股权 上汽系计划剥离青岛申沃,52041,6,1896,0.0,2017-09-21 01:34:56
窝囊废,5407,50,116,2.5,2017-08-25 14:12:13
中国的硅谷在哪里？谁会成长为中国的特斯拉？,16509,22,1374,4.0,2017-06-08 06:58:41
上汽集团逆势增长背后 自主品牌仍未扭亏为盈,38177,50,1607,0.0,2017-09-16 13:37:40
上汽要打破记录，连续10连跌！,4737,6,134,3.5,2017-09-04 13:20:52
空调选择格力，手机选择华为，新能源汽车？,12186,14,186,3.5,2017-07-09 14:46:28
上汽60日均线之下就是个坑,19908,34,136,3.5,2017-08-03 15:55:54
0.98元业绩次新股股价不到10块仅此1家江苏银行,40828,81,184,2.5,2017-04-27 21:12:38
什么情况？,8549,36,120,0.0,2017-08-14 13:06:49
上汽的筹码弥足珍贵！,16967,28,240,3.0,2017-09-13 10:14:24
切实保护中小投资者利益,3222,19,126,4.0,2017-09-01 16:05:20
上汽集团真正的白马低价股、真正的制造业龙头、,4479,19,141,0.0,2017-09-01 06:13:55
沦为控盘工具,3224,23,134,2.0,2017-09-01 20:50:41
上汽集团半年报营收增一成,10663,6,244,0.0,2017-08-30 09:29:45
今天上汽死定了--一定死死死死,50226,352,15,2.5,2017-07-20 10:30:37
燃油车变电动汽车，上汽怎么办？？,11414,11,237,3.0,2017-09-13 19:59:48
上汽集团：前8个月累计销量同比增长6.36%,17817,5,235,0.0,2017-09-06 16:25:19
上汽14.2的增发价，大家觉得是不是抢劫？,33094,44,154,2.5,2016-11-07 20:23:57
那个无知的部长，请你仔细想想自己的屁再放，新,10870,17,295,3.5,2017-09-11 21:42:48
[满仓爱心]女士们先生们朋友们！战胜内心的恐惧,7365,17,411,3.5,2017-07-23 19:12:53
600104:上汽集团2017年8月份产销快报,49072,12,1193,0.0,2017-09-06 15:31:04
哪个机构在29.31元不停的以一万股为单位抛售？,8542,14,174,2.0,2017-08-08 10:49:14
上汽怎么走势这么弱，流出3000万都能跌1个点,7114,16,148,0.0,2017-07-31 13:43:54
白痴不抢！咯咯咯！抢盘了，黄金砸头！晨鸣投资,24200,43,778,4.5,2017-03-01 20:01:46
上汽集团前8月销量同比增长6.36%,15948,8,180,0.0,2017-09-06 15:54:44
狂笑狂笑 笑咪咪抢盘啦 业绩去年翻倍股0.99，今,16061,32,674,4.5,2017-05-03 22:06:16
资金去向,9102,15,118,2.5,2017-08-03 22:51:17
揭穿价值投资的鬼话，如果真要价值投资，招商银,46215,87,635,3.0,2017-06-28 07:42:08
