标题,阅读,评论,字数,影响力,时间
次新股小盘2.6亿杭州银行业绩1.7元发行价14.39,63233,148,192,2.0,2017-03-27 11:07:01
->华泰证券+美国金融科技企业颠覆“金融系统,33261,107,1584,4.0,2016-08-29 08:37:32
≈华泰证券+美国金融科技企业颠覆“金融系统”,218512,524,1582,4.0,2016-08-29 08:38:37
历史总是惊人的相似！目前看来大盘在复1999年5,42882,31,400,3.0,2017-07-20 06:26:59
拉升保险后拉升银行、拉升银行后拉升有色、拉升,54711,43,600,3.0,2017-07-21 07:24:06
融资客决战国家指数牛系列！历史总是惊人的相似,21184,29,561,3.0,2017-08-29 19:24:08
62亿的超级大盘垃圾股，接近40倍的超高市盈率 ,18850,46,216,3.5,2017-08-28 23:02:03
券商股值得逐步全仓买入和拼命捂住的根本原因,61886,44,814,2.5,2017-05-11 18:58:52
铁心陪股友走完东方证券从现价到30元全程,54370,36,322,2.5,2017-04-27 11:01:49
600958:东方证券关于非公开发行A股股票申请获得,46893,24,509,0.0,2017-09-19 19:35:33
换个牛逼董事长。,1250,22,126,3.0,2016-04-14 11:35:48
东券.分享 皇城金枝玉叶 却是贱奴使女身价,11349,20,218,4.0,2017-09-11 08:59:14
东方证券大资金高位大宗折价10%不断、减持！香,6937,9,131,4.0,2017-09-25 10:28:59
东方证券：结构牛市 关注证券(6股),26917,26,176,4.0,2017-07-19 13:57:59
东方证券~夜梦[7股]缘者交流 只看后市牛熊,16908,21,898,4.0,2017-07-21 09:11:42
实战炒股口决： 十四工作线，来回做波段；突破,67265,87,778,4.0,2017-04-22 07:44:40
东方证券(600958)融资融券信息(09-21),7123,4,548,0.0,2017-09-22 07:45:11
东方证券定增过会,26293,5,150,0.0,2017-09-20 07:50:47
东方证券百亿定增被指套利游戏：参与认购股东去,94694,104,2274,0.0,2017-02-16 10:50:49
东方证券(600958)大宗交易数据一览(09-20),20436,14,479,0.0,2017-09-20 18:26:11
东方证券~拉板惊艳还要涨 只看板块个股争霸,13745,16,384,4.0,2017-07-19 15:19:36
东方证券非公开发行A股申请获中证监审核通过,29725,13,270,0.0,2017-09-19 21:27:52
东方证券：定增事宜获证监会通过,23302,9,193,0.0,2017-09-19 20:57:46
东方证券非公开发行A股申请获得中证监发行审核,13729,5,284,0.0,2017-09-19 21:24:52
[满仓加油]请问各位高手们，此股是否会枯木逢春,12832,11,1400,3.0,2017-05-15 17:10:01
600958:东方证券关于非公开发行A股股票申请获得,27641,14,509,0.0,2017-09-19 19:35:33
东方证券(600958)大宗交易数据一览(09-18),27443,23,509,0.0,2017-09-18 18:37:02
上证50指数2450点，东方证券的股价水平处于指数,24821,25,214,3.0,2017-06-15 10:20:51
东方证券(600958)融资融券信息(09-13),4954,3,544,0.0,2017-09-14 07:45:09
炒股2017年上市证券股价格对比601881一600909一,18666,106,233,4.0,2017-09-01 09:49:37
错过了锂矿、钴矿翻倍机会，一定要抓住钛矿翻倍,16487,26,655,4.0,2017-08-30 08:17:42
东方证券8月份非合并净利润为1.85亿元,15458,7,240,0.0,2017-09-06 16:52:37
东方证券8月净利润升近6.3倍至1.9亿人民币,30637,14,214,0.0,2017-09-06 17:06:49
东方证券(600958)融资融券信息(09-08),7518,25,548,0.0,2017-09-09 07:44:51
沪指震荡 创业板走强,213856,320,1635,5.0,2015-12-15 11:39:46
东方证券(600958)融资融券信息(09-07),5954,5,550,0.0,2017-09-08 07:53:21
坚守次股的举个手，胆大的报下成本价。,14574,24,146,0.0,2017-09-04 19:30:18
600958:东方证券2017年8月财务数据简报,48330,6,674,0.0,2017-09-06 18:31:58
东方证券8月净利环比增逾六成,32747,16,201,0.0,2017-09-06 20:36:10
东方证券8月净利润同比增6.2倍至1.85亿元,28893,10,332,0.0,2017-09-06 17:11:51
欧阳琛接替吕再裕获委任为东方证券授权代表,8876,6,360,0.0,2017-09-05 17:06:31
欧阳琛接替吕再裕获任东方证券授权代表,10027,9,228,0.0,2017-09-05 17:03:36
东方证券李志强辞任独立非执董,7456,5,225,0.0,2017-08-29 17:57:35
价值投资首选分红率40%，错过茅台！不要错过陕,5851,32,655,0.0,2017-06-11 21:18:49
熊市是个好东西，没有熊市，哪有便宜的股票？,35819,68,143,4.0,2017-03-06 23:10:01
东方证券8月11日盘中跌幅达5%,15376,8,186,0.0,2017-08-11 15:29:02
