标题,阅读,评论,字数,影响力,时间
业绩1.7元杭州银行小盘2.6亿次新股发行价14.39,57757,97,192,2.0,2017-03-28 14:19:41
中国交建(601800)融资融券信息(09-01),7230,9,522,0.0,2017-09-02 07:58:39
中国交建(601800)融资融券信息(09-28),5501,1,494,0.0,2017-09-29 07:49:32
大笑 咯咯咯咯，晨鸣三年利润之和超现公司市值,28885,56,544,4.5,2017-06-27 10:13:28
主力不计成本在清仓,5003,6,128,3.0,2017-09-28 13:54:09
中国交建：拟发行不超200亿元可转债,22472,12,239,0.0,2017-09-26 20:18:06
中国交建董事会通过下属6家单位参投鲁南高铁相,9340,4,406,0.0,2017-09-27 09:18:46
中国交建(601800)融资融券信息(09-26),2490,3,520,0.0,2017-09-27 08:00:06
中国交建(601800)融资融券信息(09-11),5965,6,512,0.0,2017-09-12 07:58:46
进场: “双重改革”受益股，社保养老金标的股,7768,4,1171,4.0,2017-07-29 12:54:34
大国崛起 交建先行-一带一路收获颇丰 全产业链,24395,4,1893,0.0,2017-09-25 16:49:12
中国交建(601800)融资融券信息(09-08),7428,33,518,0.0,2017-09-09 07:46:48
中国交建(601800)融资融券信息(09-22),6876,42,524,0.0,2017-09-23 07:48:09
实战炒股口决： 十四工作线，来回做波段；突破,69422,89,753,4.0,2017-04-19 07:09:30
中国交建董事长：将采取多种投资方式拓展金砖市,17057,9,927,0.0,2017-09-21 22:04:30
中国交建(601800)融资融券信息(09-21),4550,2,522,0.0,2017-09-22 07:47:10
601800:中国交建重大合同公告,49091,19,829,0.0,2017-09-06 18:32:35
中国交建(601800)融资融券信息(09-20),5185,5,514,0.0,2017-09-21 07:47:30
中国交建：上半年净利同比增7% 证金公司小幅加,23531,14,270,0.0,2017-08-29 21:32:27
业绩及盈利能力稳健提升，境内外新签合同大幅增,21010,9,2196,0.0,2017-09-04 11:22:53
中国交建：改革好才能踢好“世界杯”,13746,6,2367,0.0,2017-09-12 07:15:15
交建呀！五十万股全部已经换成了陕西煤业不知对,12452,16,1807,0.0,2017-08-02 11:56:55
空调我们选择格力，手机我们选择华为,9639,12,187,2.5,2017-07-09 14:09:23
中国交建半年报增7%,13219,5,216,0.0,2017-08-30 10:20:57
中国交建(601800)融资融券信息(09-19),4676,4,518,0.0,2017-09-20 07:48:00
[毛估估牛]公告现重大利好，10股有望突破大涨！,10682,9,1948,4.0,2017-09-09 15:20:48
8月小心，爱信不信！买卖自由！,17828,240,143,0.5,2017-07-13 21:50:31
中国交建(601800)融资融券信息(09-15),5928,15,518,0.0,2017-09-16 07:48:14
中国交建(601800)融资融券信息(08-25),7234,17,534,0.0,2017-08-26 10:07:52
今天中国交建封涨停板！,10641,15,132,2.5,2017-08-21 06:55:49
中国交建(601800)融资融券信息(08-18),8683,41,532,0.0,2017-08-19 08:38:54
中国交建：正探索在子公司进行混改尝试,27279,11,248,0.0,2017-08-21 14:28:24
要跌停的趋势啊,8094,49,124,0.0,2017-05-08 11:23:25
中国交建(601800)融资融券信息(09-14),5201,5,514,0.0,2017-09-15 07:47:56
中国交建新签合同额增五成 证金增持、牛散抢筹,49706,8,2154,0.0,2017-08-31 06:14:43
中国交建(601800)融资融券信息(09-13),6057,3,504,0.0,2017-09-14 07:47:05
中国交建(601800)融资融券信息(09-12),5312,4,502,0.0,2017-09-13 07:48:50
今天以15.58加仓成交买入一笔中国交建，是好是,13443,8,174,3.5,2017-08-03 10:38:08
公告：MSCI指数标的股601958 金钼股份正创历史,7258,9,291,1.5,2017-06-22 10:14:17
中交建：目前东盟投资逾230亿美元 在建项目达19,19161,16,385,0.0,2017-09-11 18:03:02
持有600000浦發銀行小心，機構巨量造空，隨時跌,8993,72,162,0.0,2017-08-30 11:29:47
老百姓炒股票太可怜，一点内幕消息也没有,9128,68,89,0.0,2017-08-30 10:03:08
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,19748,32,775,4.5,2017-03-07 20:01:25
中国交建：708亿元承建乌鲁木齐至尉犁等公路项,20409,16,916,0.0,2017-09-06 21:52:12
中国交建：签署708亿元PPP项目投资协议,23235,21,283,0.0,2017-09-06 19:25:05
中国交建(601800)大宗交易数据一览(08-30),18272,8,479,0.0,2017-08-30 18:26:16
中国交建下属中交投资为控股项目公司5亿元贷款,8891,6,301,0.0,2017-08-29 22:53:04
中报速递：中国交建2017年上半年盈利75.38亿元,14669,8,232,0.0,2017-08-29 21:08:08
调整继续,17922,251,118,3.0,2017-07-25 20:35:40
[加仓满仓]女士们先生们朋友们！战胜内心的恐惧,8388,16,413,3.5,2017-07-23 20:52:54
本次交易完成后预计将增加公司2016年度归属于上,18846,248,173,0.0,2017-07-13 19:51:01
中国交建澳洲公司中标悉尼北部10亿澳元商业园区,32067,11,1601,0.0,2017-08-17 17:43:23
看好就持有！,20146,30,118,0.0,2017-03-20 22:46:37
601800:中国交建第一期优先股2017年股息派发实,36359,16,932,0.0,2017-08-20 14:02:01
7月潜力股,15461,37,109,2.0,2017-07-04 09:54:59
中国交建8月17日盘中涨幅达5%,10351,2,185,0.0,2017-08-17 13:12:15
中国交建8月21日支付“09中交G2”的利息,11946,20,279,0.0,2017-08-16 20:11:33
以后到处发这个！有补充的吗？ 一个超跌的MSCI,7887,21,830,0.0,2017-08-13 14:48:41
海外重大项目落地，新签合同高增,30033,11,1557,0.0,2017-08-16 14:46:04
601800:中国交建2017年第二季度主要经营数据公,29980,2,1244,0.0,2017-08-15 18:42:13
中国交建(601800)融资融券信息(08-11),7524,6,528,0.0,2017-08-12 07:49:12
601800:中国交建关于控股股东拟发行可交换公司,29732,22,657,0.0,2017-08-07 18:36:12
中国交建周一将进入快速上升通道。,27952,109,133,0.0,2017-06-11 18:36:04
601800:中国交建第三届监事会第二十五次会议决,8479,4,1153,0.0,2017-07-18 19:20:52
习惯性拉稀！应该还是连续的，勿接盘,7354,68,144,0.0,2017-08-02 14:37:04
7月的功课--在上影线？,12010,12,194,3.5,2017-07-03 09:45:05
中国交建有望迎来超跌反弹，有掀涨停潮迹象，似,8797,12,117,0.0,2017-07-24 23:13:44
601800:中国交建独立董事对关联交易事项的事前,9146,5,577,0.0,2017-07-18 19:20:54
601800:中国交建2012年公司债券(5年期)本息兑付,22241,7,1677,0.0,2017-07-30 15:04:22
中国交建：公司及公司境外子公司拟转让振华重工,67731,9,332,0.0,2017-07-18 18:49:12
价高有H没戏了不如下全转买*一路一带龙头600307,39811,116,328,0.0,2017-05-03 07:14:09
国改持续推进，带动盈利估值双升,27594,4,1559,0.0,2017-07-19 10:02:59
隐性资产高达50亿！..,17827,18,337,3.0,2016-11-22 18:04:19
601800:中国交建关于2017年基金设立及认购计划,8884,6,1521,0.0,2017-06-16 19:01:23
最能套住人的几句话: 1、目前价位接近主力成本,35280,27,778,4.0,2017-02-04 16:23:19
中国交建(601800)融资融券信息(06-30),6857,6,532,0.0,2017-07-01 07:47:30
继600481涨15%后另一锁定——600720！,11422,20,150,2.0,2016-12-28 12:45:54
去弱留强可以带来更大的获利。铁建和交建一轮下,16178,23,226,2.5,2017-06-28 11:11:43
中国交建中国电建买哪个好,11980,17,165,3.5,2017-07-16 10:31:09
上半年50座大城市卖地超1.2万亿 平均地价涨超30,3851,3,506,3.5,2017-06-25 12:05:45
这个时候大盘变红，估计今天又会凶多吉少了,3367,15,144,0.0,2017-07-05 10:14:56
[胜利牛]漂亮50中国股市的心脏；沪深300中国股,4713,7,334,3.5,2017-07-16 19:08:07
砸盘出货咯,4117,8,120,3.5,2017-07-17 10:57:41
实施“一带一路”建设、京津冀协同发展、长江经,4203,12,216,3.5,2017-07-03 10:53:35
系好安全带上高速公路；设好止损跟上漂亮50步伐,4203,13,188,0.0,2017-07-15 11:00:38
9个利好涨一毛二分,5871,8,100,3.5,2017-06-19 17:47:58
一带一路先锋，国企改革践行,30057,7,1427,0.0,2017-07-13 17:34:12
转战：中国交建,11831,9,200,3.0,2016-11-17 13:52:53
601800:中国交建2016年度股东周年大会决议公告,11320,3,1263,0.0,2017-06-16 19:04:03
中国交建为何A股价比港股价贵了那么多，不是同,24605,20,1022,2.5,2016-12-14 15:47:18
期盼大盘6月阳,21497,38,138,3.5,2017-05-27 09:34:30
什么时候重组？,8100,102,124,1.0,2015-10-22 13:22:57
主力再次曝光,12089,18,145,2.0,2017-01-19 13:48:25
已经是底部了，今天出现利好消息，搞了5000股,6250,18,139,0.0,2017-05-08 13:13:24
中国交建(601800)融资融券信息(06-16),7459,6,526,0.0,2017-06-17 07:45:46
601800:中国交建关于子公司发行契约型基金并认,9634,5,1791,0.0,2017-06-16 19:01:23
601800:中国交建2016年年度报告,18260,6,1336,0.0,2017-03-28 21:17:44
创业板有大量优秀的公司,3228,58,132,0.0,2017-05-08 11:20:39
这样的维稳实际是自杀！请外国教练吧！,2536,50,146,2.0,2017-05-25 10:47:44
2:30分没反应，远离此股,4923,10,136,2.5,2017-06-26 14:38:19
601800:中国交建2016年年度实施A股分红派息公告,54326,8,1704,0.0,2017-06-25 16:15:23
以创业板2012年价及分红比较，创业板是名符其实,2295,1,480,3.5,2017-06-19 07:45:30
目前策略是撤出 上证50及白马股 重点布局广东科,3485,2,148,4.0,2017-06-16 11:20:44
機構拋售中交建量大且密，中交建跌幅比其他大型,4123,44,162,0.0,2017-06-12 10:47:34
601800:中国交建重大合同公告,42402,12,1235,0.0,2017-06-13 16:58:18
中国交建：728亿元马来西亚铁路项目将于近日开,22937,4,283,0.0,2017-06-13 17:18:41
早晚有 跌停出现,2912,3,126,1.5,2017-05-14 16:24:41
中国交建马来西亚铁路项目一期合同正式履行涉资,15757,5,468,0.0,2017-06-13 20:27:37
儿啊，短期跌幅已达20%，其幅度已超垃圾股了！ ,6180,8,150,3.0,2017-05-19 10:03:26
中国铁建今天涨停板中国交建跟风,6211,9,86,3.5,2017-05-26 06:38:27
股市是市场，而不是赌场，光凭所谓的运气，并不,5143,16,166,0.0,2017-06-04 17:29:33
混改即将，抓紧干。。。,5831,12,132,0.0,2017-06-05 08:54:32
谁知道呢，中国交建本周到底能涨多少,6893,13,155,0.0,2017-06-05 08:54:36
阴跌害人,6174,19,118,0.0,2017-05-17 16:19:36
行情再起，关注,11279,22,750,4.0,2017-04-27 11:47:44
周一买入长阳涨停见：002460赣锋锂业今天阳十字,2671,5,160,4.0,2017-06-02 17:46:45
以16.88成交买入中国交建，不是说他一带一路吗,22561,75,174,3.5,2017-04-25 09:49:36
把握国企改革机会，关注中国交建、中国联通、中,26641,30,357,3.0,2017-02-09 09:22:11
中国交建：积极参与京津冀、雄安新区建设,37059,11,328,0.0,2017-05-26 16:05:10
我昨天15.03手贱买了这个股，今天解套就跑,4718,28,22,3.0,2017-05-25 12:46:53
著名经济学家沙黾农先生在他的博客中写道：“60,5677,27,1757,3.5,2017-05-26 10:27:14
今天以14.88掛单加仓买入中国交建，结果几乎是,13926,32,180,0.0,2017-05-22 10:36:30
这就是交建大跌的原因。,17224,10,219,3.0,2017-05-19 14:56:49
601800:中国交建2016年度股东周年大会会议材料,24946,5,1566,0.0,2017-05-24 15:39:30
[财力]IPO常态化养老金入市长期化，漂亮50永远,3995,3,889,3.5,2017-05-21 21:56:10
300576容大感光，3D曲面触摸屏龙头，苹果三星概,10829,23,178,1.5,2017-02-10 11:13:03
下周拿点交建，打个短。,11078,22,151,3.5,2017-05-20 19:21:09
