标题,阅读,评论,字数,影响力,时间
千年等一会，中国平安啊，十年后股价超过445元,240719,286,306,4.0,2017-05-15 19:01:36
揭穿价值投资的鬼话，如果真要价值投资，招商银,166462,428,619,3.0,2017-06-27 21:26:17
50能到么？--容容1！,104475,256,144,1.0,2017-06-09 21:06:13
在开新帖，期待平安1年内创出历史新高！,114977,391,223,3.5,2017-09-12 15:23:59
[拜神]险资定调四季度投资策略 提前“埋伏”十,10922,24,298,3.0,2017-09-11 21:21:29
中国平安保险周一开盘十五分钟封涨停，务必追入,14228,7,95,4.0,2017-10-06 10:31:38
我想问问大家有没有投平安保险之后不肯理赔的朋,21300,53,238,2.5,2017-09-02 08:43:24
散户必看炒股格言和现金策略！     孙子云：先,56907,109,718,4.0,2017-03-23 11:14:29
证监会通报操纵股价的四种方式：关联账户，自买,28269,46,897,4.5,2016-09-26 09:05:23
新股发行不能停的重要理由：新股发行市场化可以,14869,41,529,3.0,2017-06-03 18:32:23
韩志国是什么样的经济学家？ 1、2007年8月23日,65621,127,1555,3.0,2017-06-04 09:00:44
《新股市宣言》         她是东方旭日，水天混,44292,106,1444,3.5,2017-07-23 10:44:24
平安--全球顶级抗癌药，中国拥有自主研发产权,17907,22,2613,0.0,2017-06-23 20:00:37
新股发行不能停的重要理由：让凯撒归凯撒市场归,17501,47,482,3.0,2017-06-04 09:06:30
[赚大了]公告现重大利好，10股有望突破大涨！,17799,16,1947,0.0,2017-09-09 16:59:54
最近，很多人在抨击新股快速发行。这些人无非是,12266,22,437,3.0,2017-06-02 20:31:53
今日之阴棒，比钻石更金贵！！,26682,54,230,0.0,2017-08-31 13:11:52
中国平安百元之路连载,33772,31,71,3.0,2017-04-08 07:43:35
保持战略定力，坚定投资平安！,11453,17,138,1.0,2017-09-20 19:07:18
长线持有中国平安,161402,203,126,3.0,2017-06-12 19:22:22
7月的任务：涨幅10-20%但属奔200元前的热身运动,137963,231,457,0.0,2017-07-01 09:31:24
2017年买平安拿着平安,155483,178,179,2.0,2017-01-03 16:58:47
大三浪: 国家队掘金哪些超跌题材股？,6957,16,1249,3.0,2017-09-15 11:05:45
（中国平安是漂亮牛的龙头）美国有“纽约”同时,34278,40,519,3.0,2017-05-22 14:15:55
