标题,阅读,评论,字数,影响力,时间
#-#华泰证券+美国金融科技企业颠覆金融系统和传,56826,172,1623,4.0,2017-03-19 19:41:59
关停比特币这是对股市的最大利好！昨天该跌不跌,5500,18,224,3.5,2017-09-15 07:23:12
再现龙头风范，加仓！追！,1387,9,12,3.0,2017-09-15 10:06:39
跟跌不跟涨的畜牲，你们拿稳了，马上跌停,6705,31,148,0.0,2017-09-05 10:05:21
明天涨停价12.58元，能否到达？,12652,12,144,3.5,2017-02-08 17:03:07
中国银河(601881)融资融券信息(08-24),5156,6,498,0.0,2017-08-25 07:48:05
追高介入玩玩,9421,20,139,3.0,2017-08-29 11:06:50
还有坚守的中签散户吗？,6690,22,132,2.0,2017-02-06 10:55:48
炒股不炒荣资盘会炒了血本无规次新股证券下个牛,17498,76,310,4.0,2017-09-22 06:24:32
13元这是一个什么位置？,21165,54,138,2.0,2017-08-11 18:10:03
融资客决战指数牛系列！新的周期打开了自2638以,16642,26,520,3.0,2017-08-27 08:53:25
银河--全球顶级抗癌药，中国拥有自主研发产权,22372,16,2608,0.0,2017-05-12 21:50:23
银河/分享 皇城金枝玉叶 却是贱奴使女身价,11356,24,218,4.0,2017-09-11 10:11:23
中国银河(601881)融资融券信息(09-22),12093,39,528,0.0,2017-09-23 07:48:25
中国银河(601881)融资融券信息(09-26),6656,3,520,0.0,2017-09-27 07:59:47
中国银河沪深两市百年难遇的超级翻身牛股,308443,123,1018,3.5,2017-09-19 12:42:20
信用资管快速增长，资本补充客户雄厚,29038,22,1533,0.0,2017-08-31 16:24:30
中国银河2017年中报点评：客户规模优势明显，资,46005,14,755,0.0,2017-08-31 19:19:07
实战炒股口决： 十四工作线，来回做波段；突破,90058,111,753,4.0,2017-03-16 11:26:49
本周收盘不理想，与大盘比偏弱了些。下周一如不,15666,133,240,2.5,2017-06-23 20:40:33
中国银河龙一明天估计一字涨停了,20282,20,161,0.0,2017-09-17 13:38:10
中国银河(601881)融资融券信息(09-21),9322,6,528,0.0,2017-09-22 07:47:23
主力已埋好家人办好丧事，下午来扛旗冲锋,4656,14,148,3.0,2017-09-07 11:08:26
15.72回来给你们堵枪眼，792卖掉了！,19582,51,152,4.0,2017-09-19 11:30:47
