标题,阅读,评论,字数,影响力,时间
12块能站稳就有希望[傲],8555,54,133,2.0,2017-09-19 10:22:59
[天下狂欢]公告现重大利好，10股有望突破大涨！,13172,13,1948,3.0,2017-09-09 16:57:22
[宇宙震撼]险资定调四季度投资策略 提前“埋伏,11531,17,361,3.0,2017-09-11 09:52:18
保利--全球顶级抗癌药，中国拥有自主研发产权,20855,23,2613,0.0,2017-06-23 20:20:37
跌的越惨证金汇金亏的越多，大不了同归于尽吧,7461,22,152,3.0,2017-09-29 13:15:33
保绿，你妈叼B了！,11572,88,128,3.0,2017-09-25 14:40:43
保利是我2016年下半年赚钱最多的股票之一,727316,1442,258,3.5,2016-10-23 23:12:09
看月线！,11487,33,134,3.0,2017-09-28 10:25:26
11.80买入了3000股，不知后果会不会很严重？,15325,29,157,0.0,2017-09-18 10:13:20
任尔东南西北风，咬定保利不放松,22904,72,146,2.5,2017-09-20 16:27:32
保利地产9月25日盘中跌幅达5%,11083,6,185,0.0,2017-09-25 09:44:03
狂笑  瞎子也狂笑 业绩翻倍 股0.99今年三倍，翻,22792,30,1578,4.5,2017-05-24 21:21:26
笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0.99今年,18661,29,1582,4.5,2017-05-24 21:20:28
保利地产(600048)融资融券信息(09-25),8830,7,536,0.0,2017-09-26 07:38:16
抢！抢盘了，黄金砸头！晨鸣投资价值第一股。,24961,40,1000,4.5,2017-03-09 21:51:56
11.83元跑了，亏了1个点，怕冲高回落，好像昨天,8545,18,173,2.5,2017-09-19 10:00:41
保利地产:现在适合买入吗？能涨到多少呢？,10073,8,91,0.0,2017-09-25 13:12:45
终于消除双肩顶了！,38699,163,128,3.0,2017-09-05 10:39:49
实战炒股口决： 十四工作线，来回做波段；突破,84389,118,753,4.0,2017-03-13 19:11:34
如果保利股价涨到50元，请不要惊讶,24032,15,302,3.0,2017-09-16 14:26:43
郝鹏赴保利调研：扎实推动与中轻集团、中国工艺,23771,16,1014,0.0,2017-09-21 19:05:14
超你妈的  卖了难为买了追了保利    犯了大忌了,7533,20,183,3.0,2017-08-22 10:12:30
次新股0.98元业绩江苏银行股价不到10块仅此1家,46213,83,184,2.5,2017-04-27 21:49:27
为什么买入保利地产,19412,13,144,4.0,2017-06-24 11:47:13
认认真真，苦读十年金刚经，开启人生修心大智慧,9173,20,214,2.0,2017-08-24 15:15:09
月线看，主升浪就在当下,11992,21,138,3.0,2017-09-15 10:31:24
别人贪婪我恐惧，再见保利地产。,15590,22,140,3.0,2017-09-07 15:38:42
保利在这阶段短线操作要领，下周.,18242,16,660,3.5,2017-08-18 19:32:37
600048:保利地产关于“中信.保利地产商业一号资,42544,8,817,0.0,2017-09-13 18:31:45
