标题,阅读,评论,字数,影响力,时间
夜虽长，可总有天亮的时,28090,66,188,2.5,2017-09-22 22:17:03
老汉不光会炒股，会解梦，还会算卦呢。欲测前程,7475,33,213,3.5,2017-09-23 19:33:24
信威集团成为航空发动机公司后的股价分析,245632,238,1213,0.0,2017-05-29 22:54:58
〖多维度分析信威集团业绩造假风波，到底是火鸡,3865788,7061,1501,3.5,2016-12-30 21:46:53
王靖将作为关键发言者出席乌克兰丝路论坛,64413,126,192,1.5,2017-06-20 07:55:25
有奖竞猜：信威开盘价！,44884,81,284,2.0,2017-09-30 08:18:19
自认为很精明，分析的头头是道，一场博傻大战结,5657,19,208,3.5,2017-09-19 16:13:43
国防科工局,43896,38,117,0.0,2017-09-22 09:32:23
至今为止，发布的所有关于重组的公告，都只是意,9431,23,238,3.5,2017-09-28 19:02:50
解套无望，气急败坏，暴跳如雷，破口大骂，恐吓,18168,114,234,3.5,2017-09-23 22:49:59
有人吃肉，有人背黑锅！好玩！哈哈哈哈哈哈哈哈,8112,30,191,3.5,2017-08-28 21:04:17
各位股友，探讨一个问题。厂房尚未建好，就在航,11226,21,197,1.0,2017-09-25 16:17:31
写给黑皮：黑皮，你在多头阵营影响力比较大，建,14541,22,605,2.5,2017-10-06 14:24:44
有序推进，推了这么长时间推出来一串屁再继续推,11476,31,208,3.5,2017-08-26 23:25:46
建议大家形成合力投票反对继续停盘，并且现在开,26060,51,246,0.0,2017-09-26 15:47:21
号外号外：腾讯新闻视频揭秘重庆天骄航发基地已,55762,57,182,2.5,2017-09-21 21:29:30
地雷的威力！,8988,23,122,3.5,2017-07-24 11:42:59
稍安勿躁，静待花开。,23975,48,130,3.0,2017-09-23 11:27:38
无论商用还是军用市场，中国都迫切需要航空发动,8965,11,638,0.0,2017-09-30 09:58:15
2017年度奥斯卡提名人物孙宏斌:“去年12月如果,22731,35,250,2.5,2017-09-02 07:05:45
焦明参观天骄展台,28278,25,131,1.5,2017-09-21 09:19:26
很好，公司章程修改涉及军事条款。,22144,34,142,0.0,2017-09-25 19:56:39
CCTV4，刚才播放的航空展信威，只采访了天骄。,54199,49,158,3.5,2017-09-22 08:43:00
天骄航空将在北京航展展示6台神秘发动机，敬请,41276,88,162,2.5,2017-09-18 18:32:22
信威太出名了，网易调查报告处处直指死穴，我就,29960,33,293,0.0,2017-09-20 22:50:22
可以乐观推测:重组已成功,44132,50,165,2.0,2017-09-18 19:37:05
讨论下，信威公布的持仓股东十几万，这说明基金,13359,20,274,2.0,2017-09-26 12:45:52
为国铸器抛荣辱，明月当空照清渠[献花][献花][,16654,26,152,2.5,2017-09-26 13:10:00
收购信威股票，50元一股,33523,45,134,1.5,2017-09-20 23:36:08
信威集团复牌连板将创纪录,20974,15,75,1.0,2017-10-04 00:12:32
那个割肉的超级大户，到底请了多少人来吧里喊空,8304,13,190,0.0,2017-09-25 22:21:05
最新消息：公司正申请重大无先例重组，争取明年,32342,31,172,0.0,2017-09-23 19:14:53
如果重组成功的话，就是中国第一股！,40498,70,171,0.0,2017-09-26 21:49:13
没股的出局者，做空的融券者，一条二十四小时不,12460,23,227,2.0,2017-09-14 22:18:34
节假日高挂“免战牌”!祝各位股友国庆欢愉![献,7765,13,156,3.0,2017-09-30 20:08:23
信威复牌后股价将翻倍，市值超过航发动力，成为,18538,17,183,0.0,2017-10-02 13:17:51
黔驴技穷的喷子,21463,46,581,3.5,2017-09-30 11:55:39
人民网的消息不会假吧？人民网 军事,46958,32,188,2.5,2017-09-20 20:02:38
乌方已经澄清股权危机传闻,50705,41,153,2.0,2017-09-20 11:59:57
如果开盘一字涨停，黑山、十马怎么办？人家可是,13955,27,202,3.0,2017-09-16 23:40:45
看看有什么值得注意的东东,17633,14,677,4.5,2017-09-26 06:17:05
谁也阻止不了信威的再次腾飞,16317,12,418,0.0,2017-09-21 20:55:28
st中安也承诺补偿了，股东 11 万人，停牌前市值,34430,37,230,3.0,2017-09-23 02:12:13
买入信威是看中其未来而不是现在,20176,39,979,1.5,2017-09-29 07:47:05
弱弱的问一句，在股吧里发帖能挣钱吗？谁有渠道,2152,19,166,3.0,2017-09-09 15:27:33
更加坚定看好信威！！,33806,29,475,0.0,2017-09-15 22:01:08
大道至简 天娇没问题，王靖就没问题；王靖没问,12451,10,192,0.0,2017-02-20 12:08:14
重庆天骄航空动力有限公司的股东有5个：,28257,26,266,2.0,2017-05-06 21:36:31
坐等信威开盘,21074,22,123,0.0,2017-09-21 11:16:05
回顾了一下黄易爆料后的舆情，发现真理真的只掌,32536,61,213,2.5,2017-09-27 15:57:16
2017年9月27日前尽快安排复牌已基本成定局，这,41582,78,196,0.0,2017-07-25 19:55:23
三周内补偿股将到位，对中国软件和大唐电信加大,36157,34,272,0.0,2017-08-29 12:30:48
节日快乐，祝福祖国，祝福一切为祖国强大而坚定,13853,15,224,2.5,2017-10-01 08:41:46
600485:信威集团重大资产重组停牌进展公告,175940,88,1156,0.0,2017-09-22 18:44:24
信威重组百分之百成功 信威重组百分之百成功，,19929,21,263,0.0,2017-09-23 23:30:19
开始降妖伏魔，正能量，请股友们顶!支持顶!,20501,110,152,0.0,2017-08-13 14:20:11
信威集团继续停牌推进重组事项,68596,30,1026,0.0,2017-09-25 22:25:41
重组涉“重大无先例” 信威集团拟继续停牌,86235,73,999,0.0,2017-09-26 07:21:01
600485:信威集团第六届董事会第五十六次会议决,57622,129,1380,0.0,2017-09-25 19:51:50
复牌，小股东赔钱割肉出局，再其他地方找回，王,7376,19,200,3.0,2017-09-26 17:55:15
这个说的比较中肯，股吧里打鸡血的散户，冷静冷,9744,21,417,0.5,2017-09-26 10:48:45
485好弱啊，那个娟是个骗子吧？？,9210,25,156,2.5,2016-07-07 13:29:09
600485:信威集团关于召开投资者说明会的预告公,78198,13,978,0.0,2017-09-29 18:12:36
重新审视信威集团,45558,77,1407,4.0,2017-09-28 09:30:00
告散户同胞书，7.25让我们一起行使我们的权利，,35256,103,637,2.0,2017-07-10 10:13:24
600485:信威集团关于2017年第四次临时股东大会,60588,14,1991,0.0,2017-09-29 18:12:22
祝贺信威光荣“参军”,19399,12,629,3.5,2017-09-26 01:55:16
600485:信威集团2017年第四次临时股东大会会议,48711,19,2060,0.0,2017-09-29 18:12:45
