标题,阅读,评论,字数,影响力,时间
机会摆在大家的面前就看如何把握了,165078,394,1611,4.0,2017-05-09 11:45:03
民生中短线有机会，不是长线标的。,149714,325,223,3.0,2017-06-01 11:37:02
大家一起来扒一扒持有民生银行股份的大佬们,23220,16,1441,4.0,2017-09-17 09:03:11
上周9.04~8.94之间建立底仓，之后每跌一毛购股,241140,417,208,0.0,2017-03-04 12:34:27
假如马云是你表哥他的网商银行会以0.81折卖你?,10875,6,1774,4.0,2017-09-26 08:28:37
揭密：中长线必将走牛的小盘潜力成长个股,17916,41,1075,3.5,2017-07-27 18:13:10
眼下可底部大胆建仓的超跌低价潜力黑马个股 ,19812,49,1181,3.5,2017-07-28 18:42:16
上市场4000点之前，可大胆进行低吸的10只潜力个,34305,57,1213,3.5,2017-06-22 11:35:23
攻市场4000点之前，可大胆进行低吸的10只潜力个,35717,52,1624,3.5,2017-08-07 13:09:21
此类个股有望成为2018年中的超级大牛股之一,36201,50,877,3.5,2017-06-16 15:09:56
有望成为2018年的超级大牛股之一,41334,37,2255,3.5,2017-05-25 18:19:35
往市场4000点之前，可大胆进行低吸的10只潜力个,31640,56,1548,3.5,2017-08-31 13:13:42
建议想开银行却拿不到执照的人们买点民生银行股,16062,13,343,4.0,2017-09-25 11:09:53
建议愿意长期投资的朋友们买点年收益17.37%的银,247160,482,707,4.0,2017-05-03 08:32:08
[复盘]公告现重大利好，10股有望突破大涨！,13411,15,1946,3.0,2017-09-09 16:51:15
期望民主银行股价五年内翻倍的可能性有多大?,65167,86,210,4.0,2017-08-13 18:10:59
复星按2016年初原计划退出民生银行另有隐情,17150,5,290,4.0,2017-09-25 15:01:27
8.5的成本，10.5走人。交给时间。,85904,201,148,3.5,2017-07-21 05:48:46
没实力自力门户的人就拿点打0.81折的民生银行,12760,12,436,4.0,2017-09-28 12:28:43
大摩增持民生银行2864万股 另瑞银场外增持3.5亿,65108,19,280,0.0,2017-09-27 19:59:43
沃伦巴菲特1991的贴子,79422,215,1068,4.0,2017-06-03 05:28:04
企稳迹象明显～冲关在即！,43820,76,131,3.5,2016-10-21 22:22:11
民生--全球顶级抗癌药，中国拥有自主研发产权,8478,15,2593,0.0,2017-07-30 12:01:48
价高估位出快*转低价大底黑马600162香江控股*低,18981,59,215,0.0,2017-09-01 13:21:38
一个小小散的十五年吹牛皮之路,105451,248,474,4.0,2017-05-29 20:19:35
美国的银行股,17316,20,470,4.0,2017-06-20 10:35:07
价值投资,22628,84,565,4.0,2017-08-20 16:54:43
证金公司持有和增持了哪些银行股,8162,6,142,3.0,2017-09-05 12:11:36
所谓价值投资是注重这个公司实际价值和目前股价,16528,38,466,1.0,2017-07-11 13:50:51
相信持有民生银行的股民都不是短线投机客，短炒,16413,21,372,3.0,2017-08-06 15:22:15
民生银行今明年发行债转股要不要买？ 16年民生,30389,52,371,0.0,2017-05-27 21:30:06
7.75挂单等筹码[大笑][大笑][大笑],10558,26,140,2.0,2017-05-15 09:53:10
7.85是新起点！加油[大笑][大笑][大笑],8448,26,144,2.0,2017-05-11 18:21:02
变盘时间点临近，大盘将再次下探，考验3100点支,13005,100,201,2.0,2017-05-03 03:30:20
11.1元买入净资1.58倍的民生一万股放五年会是怎,28425,35,425,4.0,2017-06-30 11:27:00
二年前被骗子引诱在11元套牢者何时能赚钱,13678,15,390,4.0,2017-09-23 07:18:56
韭菜菲特1991被套半年了 心里不平衡,7643,16,141,3.0,2017-09-21 08:42:11
不要这样做：,10655,31,232,3.0,2017-09-08 14:22:06
咯咯咯咯咯，晨鸣三年利润之和超现公司市值。 ,25126,59,542,4.5,2017-06-26 21:17:32
现价比二年前11元被人引诱买进的人能多赚80%吗?,8314,8,857,4.0,2017-09-23 21:53:15
某种人 被套之后 就喊五年翻倍,9504,22,222,3.0,2017-08-25 15:33:07
被骗子~不是巴菲特哈~引诱11元套牢者何时能赚钱,5200,13,489,2.5,2017-09-13 10:41:38
价值投资理念让我的牛股二年半涨近二倍,13866,33,527,4.0,2017-08-21 08:19:27
民生银行中报，大超预期！,31069,26,150,3.0,2017-08-28 17:53:30
民生1个月内见到15元,34921,47,132,3.5,2017-09-15 19:35:25
对这只股票无语了 涨不动  跌得快。磨人得很。 ,18518,87,167,0.0,2017-08-29 11:11:36
昨天全仓入民生，果然垃圾，今天跌了1分卖掉了,10697,34,205,0.5,2017-08-29 15:15:03
地方国企混改:接下来新一轮行情的热点,7041,8,1413,4.0,2017-09-20 11:53:37
民生银行将于10月23日派发中期股息每10股派发1.,40552,14,232,0.0,2017-09-15 21:14:18
民生银行适合长期投资却不是好的短线标的,32111,38,406,4.0,2017-08-23 09:54:09
奇葩风控：民生银行要给一枚退市潜力股贷款 却,46799,28,2180,0.0,2017-09-06 11:18:18
股海无涯0295个骗子害人家在11元买套二年后跌到,31596,89,227,0.0,2017-06-09 23:53:29
我说7.76是历史的底点吗？让这笨主力再打掉，好,13928,55,170,3.0,2017-04-26 13:52:03
600016:民生银行2017年半年度A股利润分配实施公,86311,11,1752,0.0,2017-09-19 18:29:39
散户投资一定要理性，坚持价值投资,20235,32,245,3.0,2017-07-04 14:38:57
以前中国建筑和建设银行在4元多没人要，民行银,9248,6,207,3.0,2017-09-04 12:54:05
民生银行H股大幅跑输同行 复星抛约八成持股套现,147342,20,2469,0.0,2017-09-22 05:54:53
浦发银行，交通银行，民生银行股值比较,24548,24,423,2.5,2017-08-29 20:31:45
光明在眼前：市场已进入周线量级别的反弹趋势！,29423,111,423,0.0,2017-05-26 13:50:30
民生银行比其它银行贱价有原因的，值得买。,29155,29,91,0.0,2017-08-06 06:10:34
买了民生银行的小散，这辈子倒霉，下辈子难翻身,13499,24,139,3.5,2017-07-06 10:47:40
民生银行现价有没有投资价值？,32160,26,255,3.0,2017-07-19 06:26:46
民生银行值得投资吗，看了再说（单击表格看得更,17514,13,255,3.0,2017-08-31 22:36:35
综合判断民生银行5倍市盈率，不到一倍市净率，,20244,18,351,1.0,2017-07-20 20:16:45
股海无涯0295在股价顶部区下跌连续发贴引诱人家,22414,66,228,0.0,2017-06-10 08:43:49
建议巴菲特精们,13001,56,260,3.0,2017-05-04 10:36:44
股海无涯0295在高位连续唱多低位唱空不断攻击唱,4261,8,340,4.0,2017-08-02 09:40:28
股海无涯0295在11元连续发贴害苦多少人高位站岗,23972,87,359,0.0,2017-06-22 09:29:50
承诺的分红，不到百分之三十，个人的工资好几百,55705,338,327,2.5,2017-07-11 14:47:02
今天建仓8.32,11610,19,135,1.0,2017-09-09 07:33:41
昨收8.24元交易的是9.98的资产每年能增值16.5%,19464,27,1881,4.0,2017-09-15 07:04:54
不是巴菲特哈~就是卑鄙无耻的小人~股海无涯0295,11964,51,474,4.0,2017-09-09 14:33:33
我与钻石之王观点相反--具有长线投资价值,17638,32,237,3.0,2017-07-05 09:13:22
江阴银行和张家港银行3个涨停，民生银行跌个不,7222,8,149,3.0,2017-02-14 11:14:18
冀G64445，就是超级SB,10445,33,150,3.0,2017-09-02 08:13:36
巴菲特精1991其实挺可怜的！,8097,17,196,3.0,2017-05-30 11:21:26
九菲特1992,21484,97,327,3.0,2017-06-06 13:04:10
民生银行将于9月26日派发A股现金红利每股0.12元,23109,15,212,0.0,2017-09-19 21:48:01
机会摆在韭菲特1991的面前了 可惜他没能把握..,18161,91,149,3.0,2017-08-17 09:13:27
不是巴菲特哈就是股海无涯0295,4994,16,142,0.0,2017-09-07 12:19:55
增持2万股民生银行,11705,19,125,3.0,2017-08-29 09:36:35
民生银行2017年中报业绩预期,55587,73,1233,4.0,2017-08-17 10:37:24
韭菜菲特 进来看,3425,32,144,3.0,2017-07-31 11:39:28
民生银行发行于2022年到期的浮息票据将于9月12,8866,14,262,0.0,2017-09-12 11:29:47
韭菲特1991 好天真哦~！,8604,34,14,3.0,2017-08-15 16:12:40
民生银行成功发行150亿元的二级资本债券,11983,14,325,0.0,2017-09-14 21:58:15
民生银行9月26日派发2017年半年度A股现金红利每,23614,3,244,0.0,2017-09-19 22:15:10
买入民生的几条理由,23776,31,302,3.0,2017-07-04 11:51:01
现在为什么要价值投资，因为要与世界接轨了。,20386,43,192,3.0,2017-07-11 17:11:48
600016:民生银行独立董事关于2017年中期利润分,41057,5,845,0.0,2017-08-28 20:58:51
次新股仅此1家0.98元业绩股价不到10块江苏银行,41191,82,184,2.5,2017-04-27 21:17:13
民生银行10月23日派发2017年H股中期股息每股0.1,19067,12,231,0.0,2017-09-15 21:07:11
呵呵，好机会买点w,10216,55,128,0.0,2017-08-23 16:47:33
疯狂抢盘啦 咯咯咯，业绩去年翻倍股0.99，今再,12656,39,646,4.5,2017-05-02 17:18:35
民生银行完成发行150亿元2017年第一期中国民生,8071,5,349,0.0,2017-09-15 09:24:39
国家队淘金: 日线锅状，周线背离，月线低九,4234,5,1176,4.0,2017-08-28 10:41:50
中国商业银行排名,15505,27,497,4.0,2017-06-20 11:02:01
中报0.79上下2分钱,3634,21,142,4.0,2017-08-28 10:55:12
600016，今天当老大………,3096,12,129,4.0,2017-08-28 09:29:16
瞎子在狂笑 业绩翻倍 季报再增长300%翻倍搖新股,20835,43,2383,4.5,2017-05-07 18:57:12
银行员工持股计划频搁浅？长期激励机制有待顶层,113156,12,2230,0.0,2017-09-09 06:17:43
民生目前只能做中长线投资，不适合做短线,11946,35,221,3.0,2017-09-02 08:06:39
百善孝为先，万恶淫为首，企业高管群的邪淫是一,12667,31,195,4.0,2017-06-28 11:36:10
抛！经济恶化，拉股价，用人性贪婪，忽悠股民在,34345,45,359,4.5,2016-01-29 14:14:48
突破10块只是时间问题,9307,16,132,3.5,2017-09-11 10:01:21
股海无涯0295害人精是造谣高手倒打一耙的能人,13531,45,183,0.0,2017-06-26 18:14:30
民生银行有没有投资价值大家说,108324,159,1247,4.0,2017-03-21 20:23:53
我喜欢破净股,11932,19,497,3.0,2017-08-29 06:43:11
韭菜菲特1991  洗心革面吧,6182,17,135,3.0,2017-09-06 11:19:29
为什么说散户一定要价值投资,29583,84,733,2.5,2017-07-02 21:18:03
不妨来个潜伏,6681,9,5345,2.0,2017-09-04 09:09:59
为什么说鼓吹价值投资是忽悠,51611,146,1745,3.0,2017-07-01 18:36:24
[微笑]漂亮50英豪300必将疯狂展我中华5千年大帝,9373,15,3193,3.0,2017-06-12 09:06:27
民生银行于2020年及2022年到期票据将于9月12日,10966,15,235,0.0,2017-09-11 21:26:02
巴菲特1991和工行小股是同一个笨蛋 一直在造谣,6992,57,220,3.0,2017-08-02 09:08:08
巴菲特1991，万科91，工行小股东。三个就是同一,15037,86,194,2.5,2017-08-28 12:34:36
9元买7.6卖8.6元再买跌4.5毛的冀G64445疯了,8573,16,459,0.0,2017-08-23 20:22:30
"冀G64445说""3月底前肯定见9.6元以上""这个大款多",41284,94,747,4.0,2017-06-06 21:14:39
民生银行，还给不给人活啊，要亏死人啊,8304,19,130,3.0,2017-02-13 09:41:21
五年民生银行投资价值，看看所谓的价值投资,15792,22,741,0.5,2017-09-08 12:59:51
工商银行创1年新高，民生银行创1年新低，奇葩,16486,14,141,3.0,2017-03-14 18:14:59
民生银行获准发行不超过300亿元二级资本债券,17255,4,257,0.0,2017-08-31 00:59:51
股市不适合你冀G64445赶快卖掉股票存银行吧,35516,145,244,4.0,2017-07-09 17:58:48
疯狂抢盘了，抢盘了，黄金砸头！晨鸣投资价值第,18908,34,771,4.5,2017-03-02 22:05:49
民生银行今年是否还有下行空间，下行的目标的是,16758,20,362,0.0,2017-09-02 10:29:09
民生银行市盈率5.44，市净率0.86，股息率0.034,14745,21,152,3.0,2017-09-04 08:48:55
