标题,阅读,评论,字数,影响力,时间
建议愿意长期投资的朋友们买点银行股,64061,96,238,4.0,2017-05-02 18:50:11
不负众望，勇过难关,33607,53,350,3.5,2017-08-31 00:07:59
今天是中秋佳节，我在这里祝愿所有的银粉和浦粉,13661,44,200,3.5,2017-10-04 06:41:28
2007年浦发利润50亿，现在500亿增长10倍。08年,26326,69,324,4.0,2017-09-29 17:20:24
眼下可底部大胆建仓的超跌低价潜力黑马个股,19736,48,1180,3.5,2017-07-28 18:36:50
此类个股有望成为2018年中的超级大牛股之一,28475,53,877,3.5,2017-06-16 15:06:01
狂风暴雨避风港，物美价廉才是金,23993,44,2251,3.5,2017-05-25 18:10:11
攻市场4000点之前，可大胆进行低吸的10只潜力个,29226,58,1213,3.5,2017-06-22 11:42:26
取市场4000点之前，可大胆进行低吸的10只潜力个,29974,53,1624,3.5,2017-08-07 12:58:27
往市场4000点之前，可大胆进行低吸的10只潜力个,26421,54,1548,3.5,2017-08-31 13:12:17
揭密：中长线必将走牛的小盘潜力成长个股,17734,41,1075,3.5,2017-07-27 18:14:50
700万股京东方，拿两年，会如何？,22862,74,144,2.5,2017-08-29 17:25:45
[爱心提示]A股正在发生革命性的变化，去高市盈,13413,20,3271,3.0,2017-06-12 00:09:30
[宇宙震撼]公告现重大利好，10股有望突破大涨！,10690,12,1948,3.0,2017-09-09 16:46:36
想与大家探讨,10669,18,501,3.0,2017-09-29 18:05:13
股操,11195,12,125,3.5,2017-09-25 21:31:38
方大炭素周K线KDJ死叉后向下发散小心为上,7903,15,231,4.0,2017-09-29 15:32:25
美国股市的银行股市盈率,13897,9,1942,4.0,2016-10-06 09:06:26
上海是一个中国的金融中心，上海国资委你改革了,8494,31,182,3.0,2017-08-20 21:47:47
小秘书弄丢了中兴通讯（中兴通讯股价低点以上翻,15194,39,231,3.0,2017-09-27 23:18:37
小招能撑得起一片天地吗？浦发，兴业可是以你为,10252,29,158,3.5,2017-09-29 09:26:32
因一则信用卡文案被索赔320万 浦发回应马东起诉,19287,10,658,0.0,2017-09-29 13:59:27
由证金公司一季度调仓想到的：证金该不该退出市,10037,35,87,3.5,2017-04-29 15:08:19
国泰君安：市场受到四项催化因素的推动 正式进,4082,1,153,2.5,2017-06-08 23:13:49
我离开浦发吧多年了，但我一直没离开股市，现在,30047,79,209,4.0,2017-09-25 13:19:48
投机股中三股股性熟悉后很容易赚钱,14354,35,95,4.0,2017-09-06 10:14:05
咯咯咯咯咯咯咯  瞎子狂笑 连续4年业绩翻倍，三,21288,60,1789,4.5,2017-07-17 20:12:41
万科第二，伊利修改章程遭询问,8723,26,135,4.0,2016-08-13 19:57:39
浦发银行一个月内见到26元,28725,51,77,3.5,2017-09-15 19:39:13
