股票,日期,收盘价,上证指数,简单情感指数
浦发银行,09/01/15,15.33,3166.62,2
浦发银行,09/02/15,14.89,3160.17,-1
浦发银行,09/07/15,14.50,3080.42,-3
浦发银行,09/08/15,15.06,3170.45,2
浦发银行,09/09/15,15.16,3243.09,3
浦发银行,09/10/15,15.25,3197.89,-1
浦发银行,09/11/15,15.56,3200.23,-3
浦发银行,09/14/15,15.93,3114.8,-2
浦发银行,09/15/15,15.46,3005.17,1
浦发银行,09/16/15,15.43,3152.26,0
浦发银行,09/17/15,15.11,3086.06,-3
浦发银行,09/18/15,15.03,3097.92,-3
浦发银行,09/21/15,14.97,3156.54,1
浦发银行,09/22/15,15.05,3185.62,0
浦发银行,09/23/15,14.95,3115.89,1
浦发银行,09/24/15,15.27,3142.69,-1
浦发银行,09/25/15,15.59,3092.35,1
浦发银行,09/28/15,15.92,3100.76,-2
浦发银行,09/29/15,15.97,3038.14,-3
浦发银行,09/30/15,16.63,3052.78,-2
浦发银行,10/08/15,15.87,3143.36,-1
浦发银行,10/09/15,15.90,3183.15,2
浦发银行,10/12/15,16.06,3287.66,0
浦发银行,10/13/15,15.97,3293.23,3
浦发银行,10/14/15,15.90,3262.44,-1
浦发银行,10/26/15,16.28,3429.58,0
浦发银行,10/27/15,16.32,3434.34,-2
浦发银行,10/28/15,16.31,3375.2,1
浦发银行,10/29/15,16.59,3387.32,-4
浦发银行,10/30/15,16.39,3382.56,-1
浦发银行,11/02/15,16.41,3325.08,-1
浦发银行,11/03/15,16.46,3316.7,-1
浦发银行,11/04/15,16.84,3459.64,-1
浦发银行,11/05/15,17.71,3522.82,0
浦发银行,11/06/15,17.88,3590.03,0
浦发银行,11/09/15,18.15,3646.88,-2
浦发银行,11/10/15,18.37,3640.49,4
浦发银行,11/11/15,17.73,3650.25,-3
浦发银行,11/12/15,17.36,3632.9,-1
浦发银行,11/13/15,17.58,3580.84,1
浦发银行,11/16/15,17.42,3606.96,1
浦发银行,11/17/15,17.44,3604.8,-2
浦发银行,11/18/15,17.39,3568.47,0
浦发银行,11/19/15,17.90,3617.06,1
浦发银行,11/20/15,18.47,3630.5,1
浦发银行,11/23/15,19.06,3610.31,0
浦发银行,11/24/15,19.05,3616.11,1
浦发银行,11/25/15,19.67,3647.93,4
浦发银行,11/26/15,19.37,3635.55,2
浦发银行,11/27/15,18.53,3436.3,2
浦发银行,11/30/15,18.65,3445.4,3
