标题,阅读,评论,字数,影响力,时间
建行网络银行呈现迅猛发展态势,7029,6,1071,0,2017/9/4 13:38
建设银行(601939)融资融券信息(09-01),5198,13,532,0,2017/9/2 7:59
想买的6.99挂单等吧，我今日不买卖了,4587,14,148,3.5,2017/8/31 9:39
建设银行中期纯利升3.69%至1383.39亿元 不良贷,11898,11,787,0,2017/8/30 22:11
建设银行上半年净利润同比增3.8%至1390亿元,7447,5,475,0,2017/8/30 22:04
厉害，建设银行计提前净利润同比增长14.11%,7091,19,272,4,2017/8/30 21:00
建设银行：上半年净利1383亿元 同比增长3.69%,17035,12,267,0,2017/8/30 20:40
建设银行2017年中期报告,15878,79,150,4,2017/8/30 20:20
建设银行(601939)融资融券信息(08-29),3086,2,526,0,2017/8/30 8:00
银行板块指数进入高危区，头部级别较大。 建设,17166,43,356,4,2017/8/29 20:06
建设银行(601939)融资融券信息(08-25),5934,15,528,0,2017/8/26 10:08
1个月内见到15元,8772,18,128,3.5,2017/8/25 21:41
奉劝今年已亏500万网友少做点缺德事,9531,15,157,4,2017/8/25 11:35
建设银行(601939)融资融券信息(08-24),4770,6,530,0,2017/8/25 7:48
建行拟筹最少1000亿人币支持一带一路投资,11279,12,303,0,2017/8/22 15:38
建设银行要钱不要脸，乱收费，竟然还收年费手续,4775,8,127,3.5,2017/8/20 14:49
建设银行(601939)融资融券信息(08-18),8124,44,552,0,2017/8/19 8:39
建行将于10月召开临时股东大会 选举田国立担任,8227,6,422,0,2017/8/18 20:54
建设银行董事长王洪章辞任,8320,9,181,0,2017/8/18 10:15
建行召开董事会会议 田国立被推举为执行董事,7253,5,605,0,2017/8/17 21:50
王洪章辞任建设银行董事长及执行董事等职务,6110,10,248,0,2017/8/17 20:06
建设银行委任MC麦卡锡为独立非执行董事,4849,8,226,0,2017/8/17 20:02
别看空方气势汹汹，欢迎砸盘,5162,29,136,3.5,2017/8/17 14:29
在中小创群魔乱舞之时，欢迎砸盘银行,4962,31,144,3.5,2017/8/16 17:52
传销板大涨，持有银行的咋办？,9665,14,138,3.5,2017/8/14 13:31
建设银行(601939)融资融券信息(08-11),6084,6,532,0,2017/8/12 7:49
市值减少了不算输，股票总量减少了才叫输,6540,10,148,3.5,2017/8/11 16:27
前几天6.88清仓 今天下午已经满仓 平均成本6.62,5931,10,168,2,2017/8/10 14:39
看这次能不能跌倒6元以下,4091,7,134,3.5,2017/8/9 22:47
[疯狂抄顶四大行，你们或将继续站岗放哨又十年,14304,28,200,2.5,2017/8/9 11:09
赚的钱买一辆长安车如何？,4166,9,134,3.5,2017/8/9 10:52
建设银行(601939)融资融券信息(08-07),4077,5,524,0,2017/8/8 7:47
支付宝们统统被银行网联收编。这是不是五大国有,3642,7,40,3.5,2017/8/7 10:59
跌跌不休！7月top100房企销量总体下跌近40%！惊,3789,6,228,3.5,2017/8/7 9:34
如何看待成长股与所谓“价值股”？,5805,16,5150,3,2017/8/6 23:42
推荐一篇谈价值投资好文章,12374,16,3764,3,2017/8/4 21:08
还是那个观点啊，7元的建行与6元的建行，5元的,8772,4,288,3.5,2017/8/4 9:32
一笔损失6300亿美元《责任谁付？呜呼建设银行》,7947,15,203,3.5,2017/8/3 13:21
个股的价值应该市盈率为标准，以银行的市盈率为,3935,10,275,3.5,2017/8/2 10:39
数据游戏；农、建、工、中行更为真实可信！,16610,20,227,1.5,2017/8/2 10:19
57岁田国立回归建行： 执掌中行时期力推“一带,32248,6,3707,0,2017/8/1 6:52
我只知道中小创的泡沫依然存在，至于建行涨到哪,6243,15,178,3.5,2017/7/31 18:11
今天汇丰控股公布半年报，半年属于普通股股东总,7195,29,262,2,2017/7/31 15:49
机构买入， 京东方A  ，请关注,1773,8,16,3,2017/7/31 10:40
进场: “双重改革”受益股，社保养老金标的股,3476,4,1300,4,2017/7/31 10:06
进场: “双重改革”受益股，社保养老金标的股,3421,2,1171,4,2017/7/29 12:06
一切众生皆有佛性，具足如来智慧德相，《三宝歌,2537,2,2250,3,2017/7/29 11:59
那些看不惯银行大蓝筹涨的人，到底什么心理？,17281,39,382,2,2017/7/29 11:24
建行调降乐视员工信用卡额度真相 新系统“过度,87828,34,1537,0,2017/7/29 6:29
房地调控对银行股的业绩将是巨大的打击，发达城,24964,71,228,4,2017/7/29 5:57
买建行的散户除非确实认清了什么是价值股，什么,8329,14,182,3.5,2017/7/28 14:39
热烈  庆祝数千亿养老金入市买股增值，券商直飙,4426,15,215,4,2017/7/28 13:25
建设银行(601939)大宗交易数据一览(07-27),13327,5,447,0,2017/7/27 18:09
知道为什么五大行涨吗：根据中央经济工作会议国,12249,15,293,3,2017/7/27 16:07
本人早就说过，建行六元以下随便买。现在再说几,11516,20,309,3,2017/7/26 12:17
融创拟增发融资40亿港元,13479,9,1076,0,2017/7/26 5:22
建设银行(601939)融资融券信息(07-24),4262,5,518,0,2017/7/25 7:49
最近低市盈率板块大涨，10倍左右市盈率的股票不,11062,17,249,3.5,2017/7/24 14:03
[牛满仓]女士们先生们朋友们！战胜内心的恐惧，,6618,14,408,3.5,2017/7/23 18:20
银行股市盈率低就安全吗？,9135,15,1722,3,2017/7/20 1:25
朋友们。大家好。。张婷诱惑今天起面壁思过。休,15380,59,211,3,2017/7/19 17:57
全球最大的，银行 工商银行，天下第一,3331,5,146,3,2017/7/19 9:47
我傻了。。。你们呢？,9050,36,130,3,2017/7/17 12:20
银行真疯狂，波动开始加大。身心数智很好的人，,8962,16,204,2.5,2017/7/17 9:53
弱弱地问一下牛骨头,10463,30,131,0,2017/7/17 9:39
自作聪明去买入最近大涨的个股，在主板市场没有,4866,9,216,3,2017/7/15 23:00
