标题,阅读,评论,字数,影响力,时间
交通银行(601328)融资融券信息(09-01),8487,8,540,0,2017/9/2 7:55
宋国斌及何兆斌获准担任交通银行非执行董事,11136,6,353,0,2017/9/1 19:46
中国银监会核准宋国斌及何兆斌任交通银行非执行,8398,3,360,0,2017/9/1 19:41
601328:交通银行境内优先股股息派发实施公告,30538,11,1154,0,2017/8/31 19:18
交通银行(601328)融资融券信息(08-25),8934,15,542,0,2017/8/26 10:06
1个月内见到13.6元,14810,18,132,3.5,2017/8/25 21:41
交通银行8月25日盘中涨幅达5%,11481,7,185,0,2017/8/25 15:27
真他娘的，今天6.43被洗掉了30万股。,12135,15,146,4,2017/8/25 10:08
交通银行(601328)融资融券信息(08-24),3490,6,544,0,2017/8/25 7:47
中报速递：交通银行2017年上半年盈利389.75亿元,19030,19,232,0,2017/8/24 19:45
交通银行中期属于银行股东净利润389.75亿元同比,14651,7,379,0,2017/8/24 17:34
交通银行：上半年净利润389.8亿元 同比增长3.49,73601,23,1815,0,2017/8/24 16:55
我的心头好交行是未开发的宝藏，明天过来挖掘。,14191,16,223,4,2017/8/22 8:06
交通银行(601328)融资融券信息(08-18),6830,34,540,0,2017/8/19 8:38
交通银行(601328)融资融券信息(08-16),6067,3,548,0,2017/8/17 7:45
联通已公布混改方案，交行你已经宣布混改两年了,11826,15,213,0,2017/8/16 18:43
五大行中涨幅最小为什么，是不是真的爱补涨。,3091,1,152,3,2017/8/15 12:57
以后到处发这个！有补充的吗？ 一个超跌的MSCI,6555,16,830,0,2017/8/15 11:45
交通银行(601328)融资融券信息(08-11),7335,5,550,0,2017/8/12 7:48
交行全行息差大讨论 对比同业反思成本管理,26744,8,2683,0,2017/8/11 6:02
一笔8400亿美元损失，谁承担责任？呜呼交通银行,12855,15,203,3.5,2017/8/3 13:22
交通银行：董事长牛锡明因身体原因休养 副董事,21212,11,228,0,2017/8/2 17:00
交通银行董事长牛锡明因病需修养治疗 副董事长,107441,60,721,0,2017/8/2 16:39
进场: “双重改革”受益股，社保养老金标的股,3637,2,1171,4,2017/7/29 13:44
601328:交通银行高管辞任公告,28040,8,478,0,2017/7/21 16:46
交行刚上市时的顶峰：17.04元还能见到吗？！,10695,15,23,3,2017/7/21 9:22
粤港奥大湾区龙头国企的潜力__________________,5664,9,296,4.5,2017/7/17 16:50
601328:交通银行关于对外投资设立全资子公司的,32571,10,1755,0,2017/7/14 20:14
平安银行都涨上去了，交行您还在犹豫什么。,2998,4,91,0,2017/7/11 17:50
死气沉沉,7690,39,136,0,2017/7/8 10:18
53万分红款到账,13664,22,125,3.5,2017/7/6 19:55
交通银行(601328)融资融券信息(07-05),4952,2,546,0,2017/7/6 7:39
明天开盘马上抛掉交通银行，交通银行就是一堆屎,3428,17,188,0,2017/7/5 21:50
明天上6.26元,6059,9,138,3.5,2017/7/5 16:52
佛山帮扫货广发，豪赌大湾区金融投行升级!广发证,4975,8,190,4,2017/7/4 14:06
竟猜:7月6日除权前收盘价,8621,16,136,0,2017/7/2 6:36
愿意长期投资的朋友们可以买点银行股,38853,68,233,4,2017/7/1 16:52
交通银行处于上升趋势！,10179,7,362,3,2017/6/29 21:53
交通银行将于7月7日派发A股现金红利每股0.2715,35308,9,211,0,2017/6/29 17:16
601328:交通银行2016年年度A股权益分派实施公告,75770,21,1733,0,2017/6/29 16:31
经个人分析：明天大盘有望站上3200（个人观点，,4700,10,209,3.5,2017/6/29 14:46
交通银行∶不要掉以轻心，后势悄悄揭幕！,24760,488,74,0,2017/6/28 17:37
1，交行先给港人分红，后给国人分红，总觉得国人,7513,8,218,0,2017/6/28 12:58
交通银行丢了第五大行的位置,6333,9,170,3,2017/6/28 11:50
抄到底了，可以买房买车了,4969,14,134,0,2017/6/27 20:26
今天买入，静等分红,14045,33,136,2,2017/6/27 15:44
交行总是双底三底再上攻,4124,5,122,4,2017/6/27 13:55
招行又大涨2.5%了，交通银行唯一跌破发行价为何,5302,10,27,3,2017/6/27 11:21
交通银行(601328)融资融券信息(06-26),4700,3,556,0,2017/6/27 7:45
狂笑 咯咯咯咯，晨鸣三年利润之和超现公司市值,27048,56,544,4.5,2017/6/26 21:17
妈的，真很，行长家出什么大事！,8027,10,140,0,2017/6/26 15:08
典型的恶意操纵，必须双倍重罚所得,3299,4,127,4,2017/6/26 15:06
证券时报网  AH股比价 2017年6月23日 18:24,4015,5,4163,3.5,2017/6/23 20:32
交行--全球顶级抗癌药，中国拥有自主研发产权,13937,20,2613,0,2017/6/23 19:05
石油银行保险证券 同比港股有些已经是明显贵了，,3713,4,269,3.5,2017/6/23 9:24
交通银行调整后的表内外资产余额为9.159万亿元,15220,7,422,0,2017/6/22 21:06
净资产之下外资抢筹国有资产流失,4765,0,126,4,2017/6/22 13:26
季节哥来了[大笑],5126,11,124,0,2017/6/22 11:09
棚改进入攻坚期：再开工600万套 或拉动近13万亿,4789,9,375,3.5,2017/6/22 9:44
今日是中国百年大牛市开端,4234,5,123,4,2017/6/21 10:09
巜纳入MSCI将崔生银行股戴维斯双击行情》漂亮50,7301,7,1865,3,2017/6/20 8:42
股灾量变到质变,2360,4,124,4,2017/6/18 23:41
交通行是五大行最最最垃圾的，十年投资的人还亏,7380,10,190,3,2017/6/16 9:43
交通银行(601328)融资融券信息(06-14),5107,6,556,0,2017/6/15 7:46
交通银行绍兴违法造假票据承兑业务,14319,6,690,0,2017/6/14 11:37
交通银行就是天上落下金钱雨！,10783,10,204,3.5,2017/6/14 11:21
造纸印刷和有色金属等概念相对较弱,2933,0,139,1,2017/6/12 20:14
601328:交通银行2016年度股东大会资料,23638,7,1630,0,2017/6/12 18:35
为什么交通银行是银行股里最垃圾的,8528,12,142,3,2017/6/12 15:31
特别通告：601958 金钼股份正创历史新低，青菜,6012,8,242,2,2017/6/12 13:35
特别通告：601958 金钼股份正创历史新低，青菜,3140,5,231,2,2017/6/12 11:14
交通银行：交银国际行使超额配股权 额外发行677,29867,9,324,0,2017/6/11 17:20
