标题,阅读,评论,字数,影响力,时间
为什么业绩好股价跌？,10683,23,130,2,2017/9/2 12:36
农业银行(601288)融资融券信息(09-01),8621,9,556,0,2017/9/2 7:55
农业银行尾盘3.70满仓50000股,14490,20,157,2,2017/9/2 7:26
农业银行(601288)融资融券信息(08-31),5021,3,556,0,2017/9/1 8:06
中行在四大行中为何最值得投资？四大行2017半年,10771,15,1761,4,2017/8/31 18:36
3.76能否止跌？,19460,49,142,3.5,2017/8/31 10:46
农业银行(601288)大宗交易数据一览(08-30),11761,9,471,0,2017/8/30 18:26
农业银行中期净利增3.28%至1085.93亿元,20099,6,244,0,2017/8/30 17:34
农业银行中期归属于母公司股东的净利润1085.93,16520,7,715,0,2017/8/30 17:00
农业银行(601288)大宗交易数据一览(08-29),10943,10,469,0,2017/8/29 18:27
农业银行(601288)融资融券信息(08-25),6237,11,546,0,2017/8/26 10:06
今天追 买了华夏银行，做的对吗？,17781,60,16,2,2017/8/25 16:58
今天我农行账面利润不错哦……,10949,16,138,0,2017/8/25 15:19
我是以一套房屋在出租的心态持有农行！,11103,12,356,2.5,2017/8/24 0:10
农业银行(601288)融资融券信息(08-18),7077,32,554,0,2017/8/19 8:38
农业银行(601288)融资融券信息(08-17),5741,7,548,0,2017/8/18 7:48
求教历畅先生,21076,78,125,0,2017/8/14 10:45
入场收尸:地产称霸南京，医美雄冠亚洲,3305,4,899,3,2017/8/13 10:42
以后到处发这个！有补充的吗？ 一个超跌的MSCI,8596,24,830,0,2017/8/12 12:48
农业银行(601288)融资融券信息(08-11),5751,3,554,0,2017/8/12 7:48
[疯狂抄顶四大行，你们或将继续站岗放哨又十年,16187,25,143,2.5,2017/8/9 11:12
3.68买入。,17697,67,147,3.5,2017/8/8 10:33
3.71元能买到吗？,9762,11,140,3.5,2017/8/7 10:38
调整必然出乎意料！,8919,24,131,0,2017/8/3 14:20
一笔损失6000亿，还是美元！呜呼农业银行,9283,14,200,3.5,2017/8/3 13:19
昨天空仓后,7219,17,280,3.5,2017/8/1 15:14
进场: “双重改革”受益股，社保养老金标的股,3541,2,1300,4,2017/7/31 10:08
进场: “双重改革”受益股，社保养老金标的股,5762,1,1171,4,2017/7/29 12:44
一切众生皆有佛性，具足如来智慧德相，《三宝歌,3412,2,2250,3,2017/7/29 11:58
农业银行(601288)融资融券信息(07-28),4618,7,548,0,2017/7/29 7:46
今天选择高点减仓,6037,14,121,3.5,2017/7/27 9:23
10万农行股4元成本解套了。下面要做的就是见证5,34370,48,26,2,2017/7/26 20:05
农业银行(601288)融资融券信息(07-24),5717,3,542,0,2017/7/25 7:48
2017年中国最大也是建国至今中国最大的海外并购,7219,81,479,3,2017/7/24 19:38
知足常乐！,8197,18,231,3.5,2017/7/23 18:04
快讯：农药化工战略储备股飙涨！高成长次新股中,4238,12,218,4,2017/7/21 11:47
第三次重新买回农行  并由此决定开始价值投资,11821,31,151,3.5,2017/7/20 9:06
我宣布：,19582,53,168,0,2017/7/19 16:12
农业银行(601288)大宗交易数据一览(07-18),17185,9,481,0,2017/7/18 17:58
今日收盘猜想券商大涨   次新股回升看估值与成,3986,11,305,4,2017/7/18 14:13
历畅先生？,44633,157,126,0,2017/7/18 12:46
刚才睡在床上我想到一个有趣的事情，那些不分红,7993,11,316,0,2017/7/18 7:15
601288:农业银行H股公告(於中华人民共和国注册,22625,5,1146,0,2017/7/17 18:51
建议证监会将农业银行按法定程序，标准以每股13,6731,9,214,4,2017/7/17 16:18
我53万股，今天这个差价的诱惑不小，但我自岿然,10442,13,196,0,2017/7/17 12:21
获利的，保护好你的胜利果实！,43592,114,390,3.5,2017/7/15 16:10
[胜利]漂亮50中国股市的心脏;沪深300中国股市的,3934,6,532,3.5,2017/7/15 14:55
农行：出台粮食、棉花等5个涉农区域信贷政策,25852,6,1102,0,2017/7/15 13:11
农行股年底前会站上4.3元，对这个估计我比较乐,9753,11,160,0,2017/7/15 10:07
其他的好股票跟农行比起来股价都翻了一倍甚至十,12858,86,156,3.5,2017/7/14 9:59
格力如果没有董明珠决不会有今天，这样的例子还,8928,87,247,3.5,2017/7/13 18:35
是买还是卖？,8871,11,604,3.5,2017/7/13 13:17
除息后是买是卖？,20862,41,606,3.5,2017/7/13 13:14
刚才，我用分红钱集合竞价3.44元买入了农行股票,12621,106,158,1,2017/7/13 9:27
我一个老股民的体会，年年高分红才是价值投资，,12664,12,281,0,2017/7/13 8:32
我2.87的成本，从04年开始到现在共进了50万股，,21998,49,256,0,2017/7/13 8:09
刚才看了一个，农行红利已到账！,14763,22,140,0,2017/7/12 20:03
601288:农业银行监事会决议公告,35178,6,539,0,2017/7/12 18:48
今天是股权登记日。如果明天收盘还是3.59，卖出,19334,26,236,0,2017/7/12 15:32
13号除息后，是填权还是贴权？,21035,28,346,3.5,2017/7/11 23:27
明天不要手欠！,11459,11,236,3.5,2017/7/11 23:24
年底到不了6元，我请大家大餐，报名者都有份,16180,44,152,3.5,2017/7/11 22:24
今日抢权，来日填权,7997,25,126,0,2017/7/11 13:40
这算不算赤裸裸的操控股价，到现在还没成交出去,6061,14,154,3,2017/7/11 11:04
农行不行了，换股马上赚回来，信者赚！,7909,18,168,3.5,2017/7/10 13:23
耐心等待，不见鬼子不挂弦！,11811,30,233,3.5,2017/7/7 15:24
快到登记日了，快涨啊,5353,15,133,3.5,2017/7/7 10:13
农业银行7月13日发放A股股息每股0.17元,29076,5,208,0,2017/7/5 19:26
601288:农业银行2016年年度A股分红派息实施公告,97430,13,1717,0,2017/7/5 18:36
你丫的真能装，H股都3.8元了,5295,18,140,3.5,2017/7/4 9:19
黄国东：A股下半年预测   推荐农业银行,34898,34,646,4,2017/7/2 16:23
把式侃股<钢铁是怎样炼成的>     农行上市七年,38702,89,618,3.5,2017/7/2 10:18
希望农行分红后能很快填权！,6623,8,136,0,2017/7/1 17:25
[赞]A股正在发生革命性的变化 去高市盈率正在进,3014,7,1990,3,2017/7/1 15:30
农业银行全面启动普惠金融事业部改革,14710,4,1192,0,2017/6/30 20:34
我现在还只有157400股农行股，希望5年后退休时,13943,22,190,1,2017/6/30 11:54
我可以分得八万多红利，很不错！,10804,22,140,0,2017/6/29 9:33
601288:农业银行2016年年度股东大会决议公告,52153,9,1302,0,2017/6/28 19:23
我想问下收盘3.47是怎么算出来的？,7446,18,185,0,2017/6/28 15:14
邀请你过来西部矿业601168一起发财！即将公布重,34230,120,196,3.5,2017/6/27 13:25
哈哈哈哈哈大笑  咯咯咯咯，晨鸣三年利润之和超,19695,56,550,4.5,2017/6/26 21:09
高抛低吸，做做差价!,17434,49,369,3.5,2017/6/26 18:13
咯咯咯笑 疯狂抢盘啦 晨鸣三年利润之和超市值。,17959,48,545,4.5,2017/6/26 14:39
溧水农行宫羽，蔡祥违法你是否知道吗〉,3726,11,129,3,2017/6/24 19:09
十年后回看今日四大行股价,45702,68,131,0,2017/6/23 14:16
银行股市盈率在20倍左右比较合适！,5000,9,144,0,2017/6/22 11:36
如今你对我爱理不理，过些日子你对我高攀不起！,6723,18,154,0,2017/6/22 11:13
20万手大买单！国家队出手？！,7941,9,159,4,2017/6/22 9:59
未来银行的股价遐想---,34747,57,133,0,2017/6/21 9:43
银行！银行！银行！,39251,82,161,0,2017/6/21 9:35
农行联手百度启动战略合作 实现数字化普惠金融,18919,9,1033,0,2017/6/20 17:14
埋雷3.46元。,18192,67,160,3.5,2017/6/20 11:07
农业银行(601288)融资融券信息(06-19),4648,4,542,0,2017/6/20 7:46
3.42元，买了5万股！,11140,22,137,3.5,2017/6/19 13:42
估值优势是我们持股的基础。,98436,209,136,4,2017/6/18 22:22
买入5万股,3483,23,120,0,2017/6/18 18:19
市场下跌股权质押警报又起 大股东濒临平仓线。,4140,24,22,3.5,2017/6/18 15:52
农业银行(601288)融资融券信息(06-16),6944,6,548,0,2017/6/17 7:44
溧水农行束俊，南京蔡祥违法？,1735,22,125,3,2017/6/16 19:33
新一波上涨在蕴酿中,5996,19,128,3.5,2017/6/16 11:01
3.44怎么那么多托单,3918,22,132,1.5,2017/6/16 10:26
明天3.39元继续买入……,2774,23,136,3,2017/6/15 15:48
农业银行股东人数急剧减少54.54%,9344,18,562,2,2017/6/13 22:42
韩自国是什么样的经济学家？ 1、2007年8月23日,13742,25,1555,3,2017/6/13 19:02
601288:农业银行关于2016年年度股东大会增加临,36140,15,1410,0,2017/6/13 16:58
新股发行不能停的重要理由：让凯撒归凯撒市场归,7518,16,522,3,2017/6/12 12:57
透过市场看刘士余：为什么买？,9555,7,632,4,2017/6/10 9:52
宁波港祝贺农业银行哈,22658,61,150,1,2017/6/9 13:26
农行MACD死叉 DMA即将死叉，十分不妙。,19847,42,188,2,2017/6/9 12:57
江铃汽车000550唯一没涨的绩优白马蓝筹，现抢进,6913,10,103,3.5,2017/6/8 12:26
农行庄：银座股份掷金4亿保定裕华西路要败家？,4299,24,127,4,2017/6/8 1:27
如果抱着吃差价买农行股，你有病啊！买农行股你,15715,16,347,0,2017/6/7 6:15
农行回撤，是为了创历史新高。,13843,17,138,4,2017/6/5 14:02
3.48元竟成交了！,21451,46,167,3.5,2017/6/5 11:39
抛弃农行，拉东财指数，老大套路,5732,50,140,3.5,2017/6/2 13:45
抨击n家机构继续给予茅台“买入”评级的行为,6437,10,220,3.5,2017/6/2 8:48
强拉权重股后果很严重！             从昨天的,7994,6,521,3.5,2017/6/2 6:52
老把式侃股<农行>,11698,13,571,3.5,2017/6/1 17:03
券商齐飞有道理国际接轨逼交易制度加速推进！高,8178,14,498,4,2017/6/1 13:56
东吴证券：农行目标价 4.28 元，给“买入”评级,10729,6,310,4,2017/6/1 11:39
资产质量持续改善，低估值高股息率值得关注,39161,6,1340,0,2017/5/31 7:29
倒着倒着就剩散户，主力,3352,13,132,2.5,2017/5/27 16:05
白酒板块估值已经很高，难道我们国人都要变成沉,6088,7,478,3.5,2017/5/27 11:21
