标题,阅读,评论,字数,影响力,时间
招商银行(600036)大宗交易数据一览(09-04),18301,20,469,0,2017/9/4 18:38
独自做决定，独自担责任。,37647,378,142,0,2017/9/1 15:51
招商银行(600036)大宗交易数据一览(08-31),19132,7,471,0,2017/8/31 19:16
往市场4000点之前，可大胆进行低吸的10只潜力个,14289,37,1548,3.5,2017/8/31 13:13
中报公布以后市盈率怎么没变化,10549,35,138,0,2017/8/20 20:40
招行上半年净利润增速重回两位数,19852,8,948,0,2017/8/19 1:30
招商银行上半年赚392.59亿 更扎心的是员工人均,102792,39,2435,0,2017/8/19 0:29
中报速递：招商银行2017年上半年盈利392.59亿元,19323,10,234,0,2017/8/18 19:19
招商银行：上半年净利润约393亿元 同比增长11.4,75047,36,230,0,2017/8/18 18:24
愿招行中报后创新高[鼓掌][赚大了][献花],40408,159,141,3.5,2017/8/17 11:18
招商银行发行350亿元优先股获中国银监会批准,18028,3,297,0,2017/8/11 21:56
7月底天天喊哥们融卷，你融了吗,5437,26,167,2,2017/8/11 13:47
恐慌指数上天台、国家队抄底断无猜！笑看庄家辱,4405,12,33,3,2017/8/11 13:24
==奇虎360借壳中国中期,4896,14,136,3,2017/8/11 9:42
想继续上拉指数营造和谐，只有平安招行温氏同花,6678,47,174,2,2017/8/10 14:49
出局出局 该股短线没戏,7934,9,125,3.5,2017/8/9 13:49
以出局为主 涨不动了·该股已成鸡肋 而且后市会,5959,48,138,3.5,2017/8/9 13:45
《商业银行破产风险处置条例》对股民影响大，股,6020,52,186,3,2017/8/9 11:54
看看银行都跌废了招行护下午夜跳,5665,34,140,3.5,2017/8/9 10:54
今天不拉明天大阳突破,9331,9,10,3.5,2017/8/9 10:38
招行否认冻结乐视8000万工资款：乐视不发工资与,89709,34,835,0,2017/8/8 18:55
护盘主力开始拉尾盘了,9608,67,130,3.5,2017/8/8 14:08
招商涨到100元，兴业跌倒10元！,4112,9,144,3,2017/8/8 9:10
道琼斯已经翻了三倍之多！请30万亿国际热钱扭过,4926,39,103,3.5,2017/8/7 13:17
取市场4000点之前，可大胆进行低吸的10只潜力个,34029,47,1624,3.5,2017/8/7 13:02
沪S39475 你傻比。想做第二个徐翔了哈。,5729,43,22,3.5,2017/8/7 11:23
继续持仓待涨，主板成交量逐渐放大，进来的傻子,7073,60,218,2,2017/8/7 10:24
量支持蓝筹持久性吗？南都电源可以看看嘛,4963,39,19,3.5,2017/8/7 10:17
今天银行板块 整体下跌，也不用叫冤。,6108,21,193,4,2017/8/3 14:40
三倍也低估 2017年2月，违法所得共计人民币93亿,6492,18,149,3.5,2017/8/3 13:46
一笔9000亿，还是美元！损失由谁承担？呜呼招商,6804,10,205,3.5,2017/8/3 13:13
少帅接班，引领恒宝股份002104再起辉煌,4330,13,155,0,2017/8/3 11:49
正所谓成也萧何，败也萧何，没有蓝筹股的上涨，,5259,42,222,1,2017/8/3 11:04
招行庄：银座股份上涨放量下跌缩量何看？,5298,35,168,4,2017/8/3 9:14
不买还涨~,4054,31,5,3.5,2017/8/2 14:36
巨皇集合 傻比徐翔接班人。很快的。,5136,36,17,3.5,2017/8/2 14:04
8月2日收盘猜想：华泰广发中信三证券惊天升券商,3960,40,216,4,2017/8/2 13:15
安硕信息300380曾经474元，现在21元，跌多少自,9976,11,139,4,2017/8/2 13:13
千万小心 托子骗人接筹码了，他才可以顺利出货,4150,44,204,4,2017/8/2 11:27
龙头是招商银行，买入,5293,41,130,3,2017/8/2 9:41
拓普集团601689即将大涨！绩优高成长！拓普集团,3876,44,111,3.5,2017/8/1 13:47
加油啊保险都涨飞了,16970,93,9,0,2017/8/1 10:08
一生一佰股佰元招行[赚大了][鼓掌],9329,45,137,3.5,2017/7/30 17:57
进场: “双重改革”受益股，社保养老金标的股,1586,2,1171,4,2017/7/30 9:04
眼下可底部大胆建仓的超跌低价潜力黑马个股 ,19524,39,1181,3.5,2017/7/28 18:42
坐看招行拉尾盘护盘,5139,38,128,3.5,2017/7/28 14:50
第四批PPP示范项目将破冰扩围 相关公司望受益(,4549,44,201,3.5,2017/7/28 14:11
妈卖批，招商银行一涨，题材股就跌，我买啥啥跌,5728,42,191,3,2017/7/28 10:14
揭密：中长线必将走牛的小盘潜力成长个股,15828,33,1075,3.5,2017/7/27 18:12
招商银行的盘面变成次新股了，几百亿的盘子，而,6976,49,125,1.5,2017/7/27 14:06
集中资金优势，合谋买几只股票，拿傻民的钱不断,1586,6,218,3,2017/7/27 10:16
招行披露半年度业绩预告：增速亮眼，不良下降,29655,17,980,0,2017/7/26 18:01
券商高预期股策略推荐招商银行,3903,17,231,0,2017/7/26 11:52
2017年半年度业绩快报点评：业绩超预期，继续推,17968,7,1147,0,2017/7/26 11:16
大行个人存款双降，余额宝倒逼银行提价揽储！,5685,10,305,3,2017/7/26 10:51
快跑，走弱了,3312,11,119,1.5,2017/7/26 10:28
目标：招行50！平安100！茅台1000 上证4500！,6253,16,28,3.5,2017/7/26 1:02
唱空的多了我就放心了,3826,31,130,0,2017/7/24 21:08
