日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2015-03-23,12.04,14.44,12.04,14.44,4.41,43.97,2396,346,23.93,0.02
2015-03-24,15.88,15.88,15.88,15.88,1.44,9.97,1589,252,0.00,0.02
2015-03-25,17.47,17.47,17.47,17.47,1.59,10.01,1172,205,0.00,0.01
2015-03-26,19.22,19.22,19.22,19.22,1.75,10.02,5858,1126,0.00,0.06
2015-03-27,21.14,21.14,21.14,21.14,1.92,9.99,336326,71099,0.00,3.36
2015-03-30,21.09,22.98,20.33,22.17,1.03,4.87,4613671,983996,12.54,46.14
2015-03-31,22.17,23.63,22.17,22.65,0.48,2.17,3369783,768921,6.59,33.70
2015-04-01,22.70,23.47,22.40,23.35,0.70,3.09,1982200,455302,4.72,19.82
2015-04-02,23.45,25.01,23.01,24.96,1.61,6.90,2170073,517528,8.57,21.70
2015-04-03,25.03,27.46,24.53,27.46,2.50,10.02,2365211,626320,11.74,23.65
2015-04-07,28.79,30.21,27.60,30.21,2.75,10.01,2176065,629870,9.50,21.76
2015-04-08,30.30,33.23,30.21,33.23,3.02,10.00,2204804,705583,10.00,22.05
2015-04-09,34.50,36.55,31.90,32.84,-0.39,-1.17,2824348,981645,13.99,28.24
2015-04-10,32.70,32.86,31.11,32.55,-0.29,-0.88,2418317,773511,5.33,24.18
2015-04-13,32.30,32.45,30.88,31.77,-0.78,-2.40,1646249,518982,4.82,16.46
2015-04-14,31.21,31.63,30.31,31.32,-0.45,-1.42,1644966,510491,4.15,16.45
2015-04-15,30.97,31.70,29.97,30.01,-1.31,-4.18,1267476,392202,5.52,12.67
2015-04-16,29.35,30.60,28.95,30.26,0.25,0.83,1079090,320639,5.50,10.79
2015-04-17,30.98,33.15,30.97,31.55,1.29,4.26,1887486,600943,7.20,18.87
2015-04-20,31.60,31.60,29.68,29.83,-1.72,-5.45,1338842,410334,6.09,13.39
2015-04-21,29.76,32.81,29.40,32.71,2.88,9.65,2252392,719353,11.43,22.52
2015-04-22,32.60,34.56,31.80,33.86,1.15,3.52,2144573,704326,8.44,21.45
2015-04-23,33.47,34.38,32.55,32.84,-1.02,-3.01,1626904,541623,5.40,16.27
2015-04-24,31.80,32.48,31.00,31.52,-1.32,-4.02,1023682,324957,4.51,10.24
