日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,28.31,29.80,27.20,27.70,0.32,1.17,454242,131077,9.50,2.65
2007-01-05,27.28,28.45,26.80,27.45,-0.25,-0.90,289463,79756,5.96,1.69
2007-01-08,27.46,28.20,26.17,27.80,0.35,1.28,317286,86060,7.40,1.85
2007-01-09,30.58,30.58,28.80,29.48,1.68,6.04,427423,125979,6.40,2.49
2007-01-10,30.00,32.43,29.50,32.43,2.95,10.01,539236,171065,9.94,3.15
2007-01-11,33.10,33.44,32.00,32.59,0.16,0.49,322007,105437,4.44,1.88
2007-01-12,32.50,35.30,32.50,33.69,1.10,3.38,365401,125469,8.59,2.13
2007-01-15,33.61,36.41,33.61,36.22,2.53,7.51,305236,106748,8.31,1.78
2007-01-16,36.60,37.25,35.68,36.57,0.35,0.97,348378,127702,4.33,2.03
2007-01-17,35.95,37.25,32.91,32.91,-3.66,-10.01,627208,215581,11.87,3.66
2007-01-18,32.72,34.25,31.00,33.72,0.81,2.46,534144,176600,9.88,3.12
2007-01-19,33.72,34.43,32.75,33.77,0.05,0.15,381763,128708,4.98,2.23
2007-01-22,34.00,35.50,33.90,34.67,0.90,2.67,313791,109156,4.74,1.83
2007-01-23,34.70,35.27,32.60,34.66,-0.01,-0.03,378959,129339,7.70,2.21
2007-01-24,35.10,38.13,35.10,37.76,3.10,8.94,691785,258822,8.74,4.03
2007-01-25,37.00,40.10,36.20,38.39,0.63,1.67,537229,209317,10.33,3.13
2007-01-26,37.91,40.13,36.77,39.36,0.97,2.53,339243,130064,8.75,1.98
2007-01-29,40.01,40.20,38.15,38.97,-0.39,-0.99,315774,123171,5.21,1.84
2007-01-30,38.03,39.49,37.30,37.67,-1.30,-3.34,199056,75956,5.62,1.16
2007-01-31,36.75,38.49,33.90,34.96,-2.71,-7.19,355664,127558,12.18,2.07
2007-02-01,34.81,35.86,34.35,35.77,0.81,2.32,290851,101839,4.32,1.70
2007-02-02,35.69,35.69,32.30,33.16,-2.61,-7.30,314096,105793,9.48,1.83
2007-02-05,33.00,34.38,32.11,33.10,-0.06,-0.18,243760,80976,6.85,1.42
2007-02-06,32.82,33.47,30.10,33.37,0.27,0.82,486475,154418,10.18,2.84
