日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-12-03,7.50,8.10,7.21,8.09,3.29,68.54,18698064,1443303,18.54,57.14
2007-12-04,8.21,8.34,7.76,7.83,-0.26,-3.21,7764833,627531,7.17,23.73
2007-12-05,8.10,8.61,7.98,8.48,0.65,8.30,8225917,689202,8.05,25.14
2007-12-06,8.23,8.39,8.14,8.35,-0.13,-1.53,4756126,393112,2.95,14.53
2007-12-07,8.30,8.75,8.24,8.44,0.09,1.08,4920041,419650,6.11,15.03
2007-12-10,8.35,8.74,8.30,8.65,0.21,2.49,3152526,270859,5.21,9.63
2007-12-11,8.66,8.72,8.42,8.59,-0.06,-0.69,2164660,185202,3.47,6.61
2007-12-12,8.50,9.00,8.31,8.97,0.38,4.42,2908158,249518,8.03,8.89
2007-12-13,9.13,9.25,8.86,8.88,-0.09,-1.00,3890856,352589,4.35,11.89
2007-12-14,8.87,8.95,8.53,8.81,-0.07,-0.79,2160651,188539,4.73,6.60
2007-12-17,8.82,9.00,8.62,8.79,-0.02,-0.23,1186186,104524,4.31,3.62
2007-12-18,8.68,9.12,8.68,8.96,0.17,1.93,1357517,121465,5.01,4.15
2007-12-19,9.14,9.18,8.93,9.06,0.10,1.12,1324463,119869,2.79,4.05
2007-12-20,9.09,9.97,8.96,9.97,0.91,10.04,3296282,316057,11.15,10.07
2007-12-21,10.04,10.88,9.94,10.59,0.62,6.22,4094128,421835,9.43,12.51
2007-12-24,10.74,11.18,10.38,10.78,0.19,1.79,3116863,336972,7.55,9.52
2007-12-25,10.79,11.14,10.61,10.99,0.21,1.95,1742317,189185,4.92,5.32
2007-12-26,10.98,11.49,10.88,11.40,0.41,3.73,1892170,213068,5.55,5.78
2007-12-27,11.48,11.60,11.15,11.45,0.05,0.44,1952462,221452,3.95,5.97
2007-12-28,11.60,11.77,11.20,11.49,0.04,0.35,2216589,255489,4.98,6.77
2008-01-02,11.20,11.68,10.80,11.43,-0.06,-0.52,2270084,254633,7.66,6.94
2008-01-03,11.29,11.65,11.02,11.30,-0.13,-1.14,1845840,208783,5.51,5.64
2008-01-04,11.38,11.58,11.12,11.43,0.13,1.15,2148951,245282,4.07,6.57
2008-01-07,11.99,12.57,11.57,12.39,0.96,8.40,5370785,642888,8.75,16.41
2008-01-08,12.30,12.44,11.68,11.88,-0.51,-4.12,3175195,383778,6.13,9.70
2008-01-09,11.68,11.99,11.46,11.89,0.01,0.08,1970788,230273,4.46,6.02
2008-01-10,11.89,11.89,11.56,11.61,-0.28,-2.35,1942089,226656,2.78,5.93
2008-01-11,11.60,11.60,11.16,11.46,-0.15,-1.29,2275916,258184,3.79,6.95
2008-01-14,11.40,11.57,11.21,11.45,-0.01,-0.09,1159890,132175,3.14,3.54
2008-01-15,11.49,11.85,11.40,11.49,0.04,0.35,1472781,170813,3.93,4.50
2008-01-16,11.38,11.38,11.10,11.14,-0.35,-3.05,1407533,157596,2.44,4.30
