日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2012-03-09,6.99,7.09,6.41,6.66,1.26,23.33,5643178,377789,12.59,67.41
2012-03-12,6.70,6.74,6.37,6.45,-0.21,-3.15,2466750,160966,5.56,29.47
2012-03-13,6.45,6.49,6.34,6.47,0.02,0.31,1589629,102044,2.33,18.99
2012-03-14,6.47,6.53,6.01,6.02,-0.45,-6.96,2027491,128044,8.04,24.22
2012-03-15,5.98,6.06,5.78,5.80,-0.22,-3.65,1358981,80017,4.65,16.23
2012-03-16,5.80,6.23,5.65,6.13,0.33,5.69,2092735,124117,10.00,25.00
2012-03-19,6.00,6.11,5.91,6.05,-0.08,-1.31,1178721,70726,3.26,14.08
2012-03-20,6.01,6.01,5.80,5.81,-0.24,-3.97,797988,46949,3.47,9.53
2012-03-21,5.86,5.88,5.72,5.81,0.00,0.00,643750,37388,2.75,7.69
2012-03-22,5.85,5.99,5.80,5.87,0.06,1.03,812363,47890,3.27,9.70
2012-03-23,5.82,5.85,5.72,5.76,-0.11,-1.87,521734,30219,2.21,6.23
2012-03-26,5.74,5.89,5.71,5.84,0.08,1.39,481159,27942,3.13,5.75
2012-03-27,5.91,5.92,5.78,5.79,-0.05,-0.86,513179,30048,2.40,6.13
2012-03-28,5.76,5.78,5.66,5.69,-0.10,-1.73,587109,33522,2.07,7.01
2012-03-29,5.65,5.66,5.52,5.54,-0.15,-2.64,513363,28680,2.46,6.13
2012-03-30,5.55,5.59,5.51,5.57,0.03,0.54,335164,18623,1.44,4.00
2012-04-05,5.58,5.76,5.55,5.72,0.15,2.69,602437,34202,3.77,7.20
2012-04-06,5.70,5.71,5.62,5.67,-0.05,-0.87,491460,27850,1.57,5.87
2012-04-09,5.64,5.68,5.56,5.56,-0.11,-1.94,328944,18466,2.12,3.93
2012-04-10,5.55,5.61,5.49,5.61,0.05,0.90,418471,23196,2.16,5.00
2012-04-11,5.55,5.75,5.54,5.69,0.08,1.43,615388,34868,3.74,7.35
2012-04-12,5.68,5.75,5.62,5.72,0.03,0.53,580124,33026,2.28,6.93
2012-04-13,5.74,5.75,5.67,5.69,-0.03,-0.52,437550,24960,1.40,5.23
2012-04-16,5.66,5.71,5.63,5.69,0.00,0.00,316269,17949,1.41,3.78
2012-04-17,5.68,5.69,5.59,5.60,-0.09,-1.58,348072,19620,1.76,4.16
2012-04-18,5.62,5.81,5.60,5.78,0.18,3.21,772499,44179,3.75,9.23
2012-04-19,5.76,5.78,5.72,5.74,-0.04,-0.69,337217,19381,1.04,4.03
2012-04-20,5.73,5.92,5.72,5.90,0.16,2.79,834304,48839,3.48,9.97
2012-04-23,5.86,6.02,5.86,5.90,0.00,0.00,700047,41536,2.71,8.36
2012-04-24,5.87,6.05,5.82,6.03,0.13,2.20,891672,53105,3.90,10.65
2012-04-25,6.00,6.08,5.93,6.02,-0.01,-0.17,633313,38029,2.49,7.57
2012-04-26,5.96,5.98,5.84,5.87,-0.15,-2.49,593449,35011,2.33,7.09
2012-04-27,5.85,5.93,5.83,5.89,0.02,0.34,306333,18014,1.70,3.66
2012-05-02,5.95,5.95,5.87,5.89,0.00,0.00,460541,27211,1.36,5.50
2012-05-03,5.87,5.88,5.79,5.83,-0.06,-1.02,373745,21793,1.53,4.46
2012-05-04,5.80,5.86,5.79,5.85,0.02,0.34,294030,17106,1.20,3.51
2012-05-07,5.81,5.82,5.77,5.81,-0.04,-0.68,272100,15763,0.85,3.25
2012-05-08,5.81,5.88,5.79,5.87,0.06,1.03,370023,21633,1.55,4.42
2012-05-09,5.85,5.87,5.76,5.77,-0.10,-1.70,329101,19167,1.87,3.93
2012-05-10,5.77,5.80,5.67,5.69,-0.08,-1.39,305736,17497,2.25,3.65
2012-05-11,5.69,5.71,5.64,5.66,-0.03,-0.53,235410,13353,1.23,2.81
2012-05-14,5.70,5.71,5.62,5.63,-0.03,-0.53,251692,14273,1.59,3.01
2012-05-15,5.61,5.62,5.55,5.59,-0.04,-0.71,256179,14298,1.24,3.06
2012-05-16,5.59,5.62,5.56,5.56,-0.03,-0.54,169023,9457,1.07,2.02
2012-05-17,5.58,5.65,5.55,5.63,0.07,1.26,205004,11495,1.80,2.45
2012-05-18,5.59,5.60,5.50,5.53,-0.10,-1.78,288151,15977,1.78,3.44
2012-05-21,5.53,5.62,5.53,5.55,0.02,0.36,169988,9465,1.63,2.03
2012-05-22,5.58,5.67,5.57,5.66,0.11,1.98,338171,19006,1.80,4.04
2012-05-23,5.65,5.66,5.54,5.60,-0.06,-1.06,267897,15036,2.12,3.20
2012-05-24,5.63,5.65,5.54,5.56,-0.04,-0.71,210274,11742,1.96,2.51
2012-05-25,5.55,5.62,5.51,5.54,-0.02,-0.36,206576,11484,1.98,2.47
2012-05-28,5.53,5.73,5.52,5.72,0.18,3.25,496923,28096,3.79,5.94
2012-05-29,5.70,5.80,5.68,5.73,0.01,0.17,654141,37526,2.10,7.81
2012-05-30,5.71,5.71,5.62,5.64,-0.09,-1.57,381748,21559,1.57,4.56
2012-05-31,5.61,5.63,5.55,5.58,-0.06,-1.06,184141,10288,1.42,2.20
2012-06-01,5.58,5.60,5.53,5.56,-0.02,-0.36,216900,12060,1.25,2.59
2012-06-04,5.49,5.49,5.28,5.29,-0.27,-4.86,509319,27497,3.78,6.08
2012-06-05,5.30,5.32,5.15,5.20,-0.09,-1.70,374045,19498,3.21,4.47
2012-06-07,5.24,5.25,5.14,5.15,-0.05,-0.96,306816,15942,2.12,3.67
2012-06-08,5.19,5.19,5.13,5.16,0.01,0.19,289254,14931,1.17,3.46
2012-06-11,5.18,5.19,5.12,5.17,0.01,0.19,490465,25305,1.36,4.21
2012-06-12,5.12,5.15,5.04,5.06,-0.11,-2.13,422585,21549,2.13,3.63
