日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-09,37.00,40.20,37.00,38.93,20.05,106.20,3190190,1237955,16.95,53.17
2007-01-10,39.80,40.30,38.72,39.46,0.53,1.36,686102,270859,4.06,11.44
2007-01-11,38.80,39.60,37.01,38.29,-1.17,-2.97,439025,168563,6.56,7.32
2007-01-12,37.79,39.74,37.50,39.50,1.21,3.16,421775,164809,5.85,7.03
2007-01-15,39.82,43.45,38.95,43.45,3.95,10.00,561319,228736,11.39,9.36
2007-01-16,45.28,46.88,44.06,45.05,1.60,3.68,445677,202787,6.49,7.43
2007-01-17,45.28,49.50,44.16,45.00,-0.05,-0.11,509489,237192,11.85,8.49
2007-01-18,45.08,46.10,41.90,43.47,-1.53,-3.40,520231,227537,9.33,8.67
2007-01-19,44.02,44.70,42.53,44.57,1.10,2.53,259195,113658,4.99,4.32
2007-01-22,44.68,47.00,43.50,46.86,2.29,5.14,339224,153178,7.85,5.65
2007-01-23,47.20,47.47,43.88,44.03,-2.83,-6.04,380900,171603,7.66,6.35
2007-01-24,43.70,44.86,42.48,43.90,-0.13,-0.30,215812,94045,5.41,3.60
2007-01-25,43.00,43.15,39.80,40.84,-3.06,-6.97,373137,155341,7.63,6.22
2007-01-26,40.00,40.89,38.50,40.26,-0.58,-1.42,275039,108719,5.85,4.58
2007-01-29,41.82,42.00,40.31,40.75,0.49,1.22,224751,92268,4.20,3.75
2007-01-30,41.50,41.50,39.60,39.97,-0.78,-1.91,160315,64420,4.66,2.67
2007-01-31,40.00,40.39,37.70,38.21,-1.76,-4.40,259095,100528,6.73,4.32
2007-02-01,37.83,39.00,37.78,38.80,0.59,1.54,176652,67800,3.19,2.94
2007-02-02,38.78,38.84,35.80,35.99,-2.81,-7.24,346891,128440,7.84,5.78
2007-02-05,35.70,35.70,33.50,33.77,-2.22,-6.17,239358,82338,6.11,3.99
2007-02-06,33.49,34.55,33.00,34.54,0.77,2.28,201593,67849,4.59,3.36
2007-02-07,34.65,35.84,34.28,34.85,0.31,0.90,294681,103233,4.52,4.91
2007-02-08,35.20,35.27,34.15,34.70,-0.15,-0.43,120404,41803,3.21,2.01
2007-02-09,34.99,36.58,34.75,36.10,1.40,4.03,201629,72326,5.27,3.36
2007-02-12,35.67,36.75,35.60,36.20,0.10,0.28,138163,49999,3.19,2.30
2007-02-13,36.30,36.40,35.39,35.72,-0.48,-1.33,112710,40285,2.79,1.88
2007-02-14,36.12,36.50,35.79,36.41,0.69,1.93,145795,52682,1.99,2.43
2007-02-15,36.70,38.18,36.48,37.99,1.58,4.34,200657,74576,4.67,3.34
2007-02-16,38.44,38.48,37.58,37.82,-0.17,-0.45,149435,56739,2.37,2.49
2007-02-26,37.87,37.87,36.63,37.25,-0.57,-1.51,213489,78705,3.28,3.56
2007-02-27,37.23,37.23,33.80,33.89,-3.36,-9.02,243539,86540,9.21,4.06
2007-02-28,33.75,35.89,33.58,35.87,1.98,5.84,269808,94017,6.82,4.50
2007-03-01,36.00,36.10,33.60,34.00,-1.87,-5.21,260054,88691,6.97,4.33
2007-03-02,34.00,34.30,33.49,33.80,-0.20,-0.59,153386,51747,2.38,2.56
2007-03-05,33.75,33.76,31.50,32.28,-1.52,-4.50,197292,64540,6.69,3.29
2007-03-06,32.07,33.68,31.65,32.94,0.66,2.04,153612,50201,6.29,2.56
2007-03-07,33.15,33.85,32.95,33.16,0.22,0.67,129627,43289,2.73,2.16
2007-03-08,33.39,33.50,32.96,33.20,0.04,0.12,105333,34884,1.63,1.76
2007-03-09,33.25,33.53,32.50,33.07,-0.13,-0.39,158505,52231,3.10,2.64
2007-03-12,33.09,33.33,32.50,32.80,-0.27,-0.82,155357,51072,2.51,2.59
2007-03-13,32.82,33.30,32.67,33.00,0.20,0.61,125474,41344,1.92,2.09
2007-03-14,32.80,32.80,32.00,32.04,-0.96,-2.91,162741,52450,2.42,2.71
2007-03-15,32.26,33.16,32.26,32.48,0.44,1.37,131412,42969,2.81,2.19
2007-03-16,32.65,34.00,32.40,33.81,1.33,4.09,346318,115636,4.93,5.77
2007-03-19,33.35,35.80,33.25,35.29,1.48,4.38,395113,138068,7.54,6.59
2007-03-20,35.35,35.50,34.51,34.86,-0.43,-1.22,168692,58764,2.81,2.81
2007-03-21,35.05,35.15,34.20,34.61,-0.25,-0.72,137990,47717,2.73,2.30
2007-03-22,34.80,35.35,34.26,34.35,-0.26,-0.75,168678,58714,3.15,2.81
2007-03-23,34.35,34.80,33.71,34.00,-0.35,-1.02,158980,54286,3.17,2.65
2007-03-26,34.10,34.80,34.01,34.46,0.46,1.35,142410,49115,2.32,2.37
2007-03-27,34.55,34.62,34.00,34.23,-0.23,-0.67,144795,49563,1.80,2.41
2007-03-28,34.30,35.30,33.86,35.14,0.91,2.66,305991,106378,4.21,5.10
2007-03-29,35.25,37.50,35.25,35.79,0.65,1.85,453017,164121,6.40,7.55
2007-03-30,35.54,35.97,35.14,35.23,-0.56,-1.56,159869,56677,2.32,2.66
2007-04-02,35.32,35.89,35.14,35.55,0.32,0.91,166306,59135,2.13,2.77
2007-04-03,35.58,36.37,35.55,35.85,0.30,0.84,152965,54885,2.31,2.55
2007-04-04,35.88,35.90,35.15,35.26,-0.59,-1.65,168797,59742,2.09,2.81
2007-04-05,35.25,35.30,34.65,35.08,-0.18,-0.51,164184,57279,1.84,2.74
2007-04-06,34.89,35.66,34.75,35.21,0.13,0.37,139595,49252,2.59,2.33
2007-04-09,35.05,37.06,35.01,37.00,1.79,5.08,382003,137725,5.82,6.37
2007-04-10,36.52,37.18,35.68,36.44,-0.56,-1.51,445527,162459,4.05,4.95
2007-04-11,36.65,37.88,36.50,37.48,1.04,2.85,505067,188676,3.79,5.61
2007-04-12,37.91,38.23,37.31,37.50,0.02,0.05,298565,112780,2.45,3.32
2007-04-13,37.50,38.35,37.05,37.69,0.19,0.51,301776,113578,3.47,3.35
2007-04-16,37.71,38.48,37.70,38.31,0.62,1.65,342124,130380,2.07,3.80
2007-04-17,38.32,39.35,37.10,37.90,-0.41,-1.07,391327,150396,5.87,4.35
2007-04-18,37.10,37.77,36.15,36.58,-1.32,-3.48,385686,141973,4.27,4.29
2007-04-19,36.66,37.10,34.89,35.46,-1.12,-3.06,375824,135069,6.04,4.18
2007-04-20,35.55,37.20,35.55,36.89,1.43,4.03,282689,103263,4.65,3.14
2007-04-24,38.51,39.99,37.30,37.62,0.73,1.98,356685,136886,7.29,3.96
2007-04-25,37.71,38.80,37.70,38.16,0.54,1.44,266239,101750,2.92,2.96
2007-04-26,38.50,39.56,38.19,39.20,1.04,2.73,315801,122959,3.59,3.51
2007-04-27,39.00,42.32,38.71,40.78,1.58,4.03,478043,193359,9.21,5.31
2007-04-30,40.37,42.86,39.90,41.65,0.87,2.13,407868,168508,7.26,4.53
2007-05-08,42.50,42.88,40.88,41.19,-0.46,-1.10,301336,125129,4.80,3.35
2007-05-09,40.90,41.69,39.80,40.89,-0.30,-0.73,303736,123415,4.59,3.37
2007-05-10,41.20,41.66,40.00,40.29,-0.60,-1.47,228866,93517,4.06,2.54
2007-05-11,40.30,40.30,38.50,39.22,-1.07,-2.66,439780,172010,4.47,4.89
2007-05-14,39.20,40.15,38.60,39.30,0.08,0.20,282435,111827,3.95,3.14
2007-05-15,39.40,39.78,37.90,38.02,-1.28,-3.26,270531,104619,4.78,3.01
2007-05-16,38.01,38.95,37.65,38.94,0.92,2.42,231293,88549,3.42,2.57
2007-05-17,38.90,39.31,38.53,39.09,0.15,0.39,270071,105077,2.00,3.00
2007-05-18,38.97,39.36,38.08,39.02,-0.07,-0.18,288738,111586,3.27,3.21
2007-05-21,38.00,39.91,38.00,39.20,0.18,0.46,318819,125545,4.89,3.54
2007-05-22,39.30,40.13,38.97,39.44,0.24,0.61,264777,104459,2.96,2.94
2007-05-23,39.50,40.10,39.00,39.65,0.21,0.53,270007,106905,2.79,3.00
2007-05-24,39.55,40.00,38.30,38.98,-0.67,-1.69,269735,105590,4.29,3.00
2007-05-25,39.10,39.56,38.93,39.03,0.05,0.13,273151,107078,1.62,3.04
2007-05-28,39.34,40.44,38.81,40.20,1.17,3.00,475552,188903,4.18,5.28
2007-05-29,40.41,40.52,39.58,39.98,-0.22,-0.55,297183,118706,2.34,3.30
2007-05-30,37.50,38.87,36.08,36.35,-3.63,-9.08,440124,165353,6.98,4.89
2007-05-31,36.20,37.80,35.30,37.00,0.65,1.79,334239,122773,6.88,3.71
2007-06-01,37.33,38.31,36.68,37.08,0.08,0.22,323833,121461,4.41,3.60
2007-06-04,36.97,37.10,33.80,33.96,-3.12,-8.41,289744,101701,8.90,3.22
2007-06-05,33.80,34.99,32.10,34.86,0.90,2.65,277308,93522,8.51,3.08
2007-06-06,35.09,35.49,34.13,34.30,-0.56,-1.61,246325,85460,3.90,2.74
2007-06-07,34.42,36.10,34.42,35.95,1.65,4.81,266951,94305,4.90,2.97
2007-06-08,36.10,36.10,35.20,35.74,-0.21,-0.58,150487,53673,2.50,1.67
2007-06-11,35.90,37.60,35.90,36.82,1.08,3.02,250325,92558,4.76,2.78
2007-06-13,37.78,38.54,37.50,37.62,0.80,2.17,281232,106527,2.82,3.12
2007-06-14,37.62,38.51,37.03,37.64,0.02,0.05,180660,68579,3.93,2.01
2007-06-15,37.60,38.08,37.08,37.46,-0.18,-0.48,198497,74432,2.66,2.21
2007-06-18,38.36,40.97,38.11,40.82,3.36,8.97,572237,227005,7.63,6.36
2007-06-19,40.35,41.39,39.87,40.06,-0.76,-1.86,316684,128589,3.72,3.52
2007-06-20,40.03,42.19,39.50,40.11,0.05,0.12,393935,161921,6.71,4.38
2007-06-21,40.60,44.12,40.60,43.42,3.31,8.25,788945,341563,8.78,8.77
2007-06-22,43.39,44.71,42.88,43.44,0.02,0.05,564801,246448,4.21,6.28
2007-06-25,43.84,46.28,42.90,44.53,1.09,2.51,560543,250804,7.78,6.23
