日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-03-01,50.00,50.97,45.80,46.79,12.99,38.43,1977634,950030,15.30,34.39
2007-03-02,47.00,47.44,45.88,46.41,-0.38,-0.81,425048,198145,3.33,7.39
2007-03-05,45.98,46.17,43.53,44.38,-2.03,-4.37,419197,188050,5.69,7.29
2007-03-06,44.00,46.00,43.75,45.25,0.87,1.96,297728,133772,5.07,5.18
2007-03-07,45.29,46.90,44.91,46.48,1.23,2.72,287464,131776,4.40,5.00
2007-03-08,46.10,46.33,45.68,45.92,-0.56,-1.20,130984,60190,1.40,2.28
2007-03-09,45.90,46.10,44.70,45.53,-0.39,-0.85,160888,72924,3.05,2.80
2007-03-12,45.30,45.30,44.50,44.71,-0.82,-1.80,145353,65122,1.76,2.53
2007-03-13,44.81,45.26,44.62,44.89,0.18,0.40,102320,45930,1.43,1.78
2007-03-14,44.30,45.10,43.79,44.94,0.05,0.11,173307,76708,2.92,3.01
2007-03-15,45.52,46.49,44.80,44.96,0.02,0.04,152522,69309,3.76,2.65
2007-03-16,44.99,45.95,44.40,45.21,0.25,0.56,227547,102588,3.45,3.96
2007-03-20,46.80,46.92,45.50,45.78,0.57,1.26,222027,102252,3.14,3.86
2007-03-21,45.80,46.00,44.90,45.10,-0.68,-1.49,136728,61838,2.40,2.38
2007-03-22,45.45,45.92,45.23,45.36,0.26,0.58,167510,76279,1.53,2.91
2007-03-23,45.34,45.53,44.71,45.16,-0.20,-0.44,139810,63165,1.81,2.43
2007-03-26,45.20,46.20,45.18,45.94,0.78,1.73,223267,102432,2.26,3.88
2007-03-27,45.79,46.36,45.63,45.91,-0.03,-0.07,139338,64074,1.59,2.42
2007-03-28,45.90,46.90,45.58,46.58,0.67,1.46,258264,119735,2.88,4.49
2007-03-29,46.81,48.79,46.48,47.40,0.82,1.76,461986,220901,4.96,8.03
2007-03-30,46.96,47.87,46.72,47.05,-0.35,-0.74,144617,68303,2.43,2.52
2007-04-02,47.05,48.70,47.05,48.39,1.34,2.85,231445,111805,3.51,4.03
2007-04-03,48.42,48.76,47.90,48.21,-0.18,-0.37,132712,64097,1.78,2.31
2007-04-04,48.22,48.50,47.55,47.79,-0.42,-0.87,122455,58650,1.97,2.13
2007-04-05,47.80,48.00,47.20,47.92,0.13,0.27,122865,58488,1.67,2.14
2007-04-06,47.68,48.95,47.50,48.01,0.09,0.19,195209,94458,3.03,3.39
2007-04-09,48.09,51.89,47.70,51.61,3.60,7.50,462770,231274,8.73,8.05
2007-04-10,51.00,53.68,51.00,52.82,1.21,2.34,407824,215417,5.19,7.09
2007-04-11,52.88,55.18,52.60,53.54,0.72,1.36,243447,131382,4.88,4.23
2007-04-12,53.98,58.00,52.95,53.44,-0.10,-0.19,159270,85519,9.43,2.77
2007-04-13,54.10,56.44,54.00,55.03,1.59,2.98,266689,146929,4.57,4.64
2007-04-16,55.66,56.55,55.66,56.42,1.39,2.53,146972,82420,1.62,2.56
2007-04-17,56.45,57.02,53.60,55.15,-1.27,-2.25,197244,109171,6.06,3.43
2007-04-18,54.98,55.09,53.40,53.91,-1.24,-2.25,130322,70621,3.06,2.27
2007-04-19,53.50,54.30,50.21,51.98,-1.93,-3.58,205587,108024,7.59,3.58
2007-04-20,52.66,56.40,52.37,55.34,3.36,6.46,185690,101052,7.75,3.23
2007-04-23,55.37,57.57,54.88,56.98,1.64,2.96,146935,83531,4.86,2.56
2007-04-24,57.99,58.01,55.75,55.82,-1.16,-2.04,160473,90754,3.97,2.79
2007-04-25,55.12,57.70,54.91,56.71,0.89,1.59,145938,82320,5.00,2.54
2007-04-26,56.58,58.68,56.58,58.51,1.80,3.17,184961,107329,3.70,3.22
2007-04-27,58.55,64.36,58.30,63.60,5.09,8.70,389839,240477,10.36,6.78
2007-04-30,63.20,67.83,62.38,65.85,2.25,3.54,204190,132323,8.57,3.55
2007-05-08,67.80,67.98,65.00,65.72,-0.13,-0.20,132326,87078,4.53,2.30
2007-05-09,64.50,66.80,63.00,65.72,0.00,0.00,111813,72712,5.78,1.94
2007-05-10,65.76,66.00,64.30,64.48,-1.24,-1.89,85845,55798,2.59,1.49
2007-05-11,63.50,63.90,61.15,62.81,-1.67,-2.59,160593,100329,4.26,2.79
2007-05-14,61.80,66.69,60.00,64.01,1.20,1.91,171744,110470,10.65,2.99
2007-05-15,64.40,64.49,61.45,61.53,-2.48,-3.87,111534,69869,4.75,1.94
2007-05-16,61.50,62.98,60.70,62.33,0.80,1.30,98842,61078,3.71,1.72
2007-05-17,62.33,63.78,62.00,62.85,0.52,0.83,84328,52818,2.86,1.47
2007-05-18,62.49,62.84,61.01,62.20,-0.65,-1.03,111773,69562,2.91,1.94
2007-05-21,60.91,64.59,60.80,63.46,1.26,2.03,168889,107395,6.09,2.94
2007-05-22,63.50,65.64,63.46,64.00,0.54,0.85,124377,80253,3.44,2.16
2007-05-23,64.13,65.00,63.60,64.21,0.21,0.33,76321,49220,2.19,1.33
2007-05-24,64.00,65.00,61.40,62.42,-1.79,-2.79,114202,71962,5.61,1.99
2007-05-25,61.98,63.16,61.61,61.92,-0.50,-0.80,85755,53434,2.48,1.49
2007-05-28,62.08,64.60,62.01,64.48,2.56,4.13,158345,100871,4.18,2.75
2007-05-29,64.50,65.50,64.20,64.98,0.50,0.78,97018,62929,2.02,1.69
2007-05-30,61.30,64.38,58.51,58.97,-6.01,-9.25,203317,124744,9.03,3.54
2007-05-31,60.00,62.50,58.55,60.94,1.97,3.34,142413,86187,6.70,2.48
2007-06-01,60.09,62.50,59.58,60.55,-0.39,-0.64,384487,234359,4.79,4.78
2007-06-04,60.55,61.02,55.80,57.01,-3.54,-5.85,219698,128179,8.62,2.73
2007-06-05,56.60,58.60,53.88,56.99,-0.02,-0.04,201584,113020,8.28,2.50
2007-06-06,57.25,59.08,56.51,57.70,0.71,1.25,144223,83464,4.51,1.79
2007-06-08,59.51,60.15,57.73,59.18,1.48,2.57,167924,98813,4.19,2.09
2007-06-11,59.02,62.97,59.02,62.53,3.35,5.66,183390,113502,6.67,2.28
2007-06-12,62.80,65.28,62.68,64.40,1.87,2.99,193908,124611,4.16,2.41
2007-06-13,64.50,65.58,62.97,63.67,-0.73,-1.13,151369,97119,4.05,1.88
2007-06-14,64.30,66.10,63.60,64.43,0.76,1.19,115152,74747,3.93,1.43
2007-06-15,64.40,65.87,64.06,65.38,0.95,1.47,93825,61135,2.81,1.17
2007-06-18,66.75,71.92,66.52,71.92,6.54,10.00,205302,142698,8.26,2.55
2007-06-19,72.00,73.80,70.50,71.17,-0.75,-1.04,144187,104083,4.59,1.79
2007-06-20,71.00,73.90,70.58,70.66,-0.51,-0.72,134554,97207,4.66,1.67
2007-06-21,70.50,77.49,70.50,73.91,3.25,4.60,198229,147395,9.89,2.46
2007-06-22,73.78,76.54,73.00,74.79,1.10,1.49,140629,104268,4.80,1.75
2007-06-25,75.50,77.55,72.77,74.26,-0.53,-0.71,186736,140826,6.39,2.32
2007-06-26,72.80,74.18,71.60,73.19,-1.07,-1.44,166576,121125,3.47,2.07
2007-06-27,73.22,77.20,73.22,76.18,2.99,4.09,108954,82402,5.44,1.35
2007-06-28,76.33,76.49,73.02,73.10,-3.08,-4.04,88164,65744,4.56,1.10
