日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2009-07-29,6.70,7.96,6.21,6.53,2.35,56.22,41731609,2916769,41.87,69.55
2009-07-30,6.80,7.00,6.62,6.94,0.41,6.28,16480096,1123723,5.82,27.47
2009-07-31,6.80,6.92,6.68,6.85,-0.09,-1.30,10535058,714523,3.46,17.56
2009-08-03,6.79,6.82,6.56,6.67,-0.18,-2.63,8371755,557721,3.80,13.95
2009-08-04,6.63,6.63,6.38,6.47,-0.20,-3.00,7428538,482071,3.75,12.38
2009-08-05,6.47,6.61,6.42,6.57,0.10,1.55,5089199,331628,2.94,8.48
2009-08-06,6.49,6.55,6.30,6.44,-0.13,-1.98,4763348,305972,3.81,7.94
2009-08-07,6.45,6.50,6.34,6.37,-0.07,-1.09,4355387,279122,2.48,7.26
2009-08-10,6.40,6.47,6.33,6.40,0.03,0.47,3188140,203818,2.20,5.31
2009-08-11,6.42,6.65,6.35,6.59,0.19,2.97,6130564,400608,4.69,10.22
2009-08-12,6.50,6.55,6.13,6.20,-0.39,-5.92,5406823,343130,6.37,9.01
2009-08-13,6.23,6.24,6.06,6.12,-0.08,-1.29,3343743,204644,2.90,5.57
2009-08-14,6.13,6.16,5.77,5.78,-0.34,-5.56,4372898,259480,6.37,7.29
2009-08-17,5.66,5.84,5.61,5.66,-0.12,-2.08,3972981,227868,3.98,6.62
2009-08-18,5.68,5.75,5.55,5.71,0.05,0.88,2785237,157615,3.53,4.64
2009-08-19,5.68,5.70,5.26,5.29,-0.42,-7.36,3359966,182915,7.71,5.60
2009-08-20,5.28,5.50,5.25,5.45,0.16,3.02,3139957,169434,4.73,5.23
2009-08-21,5.36,5.46,5.31,5.40,-0.05,-0.92,2891632,155677,2.75,4.82
2009-08-24,5.40,5.42,5.27,5.31,-0.09,-1.67,2649500,141141,2.78,4.42
2009-08-25,5.31,5.32,4.97,5.09,-0.22,-4.14,4285676,217507,6.59,7.14
2009-08-26,5.09,5.34,5.01,5.22,0.13,2.55,3240648,169029,6.48,5.40
2009-08-27,5.16,5.24,5.10,5.18,-0.04,-0.77,2135390,110261,2.68,3.56
2009-08-28,5.15,5.18,5.03,5.06,-0.12,-2.32,1690456,85975,2.90,2.82
2009-08-31,5.00,5.14,4.96,5.00,-0.06,-1.19,2886260,145484,3.56,4.81
2009-09-01,5.03,5.22,5.00,5.14,0.14,2.80,2974071,152956,4.40,4.96
2009-09-02,5.06,5.15,5.05,5.13,-0.01,-0.19,1685634,86082,1.95,2.81
2009-09-03,5.13,5.37,5.13,5.36,0.23,4.48,4380723,231754,4.68,7.30
2009-09-04,5.31,5.39,5.26,5.30,-0.06,-1.12,2549672,135542,2.43,4.25
2009-09-07,5.36,5.38,5.25,5.30,0.00,0.00,2123697,112738,2.45,3.54
2009-09-08,5.27,5.29,5.20,5.29,-0.01,-0.19,2294580,120198,1.70,3.82
2009-09-09,5.26,5.28,5.14,5.24,-0.05,-0.95,2364043,123094,2.65,3.94
2009-09-10,5.21,5.38,5.19,5.25,0.01,0.19,2847953,150829,3.63,4.75
2009-09-11,5.24,5.35,5.21,5.31,0.06,1.14,2263463,119777,2.67,3.77
2009-09-14,5.33,5.47,5.31,5.46,0.15,2.82,3306571,177885,3.01,5.51
2009-09-15,5.45,5.46,5.35,5.38,-0.08,-1.47,2470235,133259,2.01,4.12
2009-09-16,5.37,5.38,5.25,5.28,-0.10,-1.86,1969939,104230,2.42,3.28
2009-09-17,5.30,5.36,5.27,5.32,0.04,0.76,2732072,145120,1.70,4.55
2009-09-18,5.33,5.35,5.14,5.17,-0.15,-2.82,2675362,140484,3.95,4.46
2009-09-21,5.11,5.14,5.04,5.12,-0.05,-0.97,1949966,99079,1.93,3.25
2009-09-22,5.12,5.16,5.04,5.06,-0.06,-1.17,1677410,85466,2.34,2.80
2009-09-23,5.05,5.08,4.98,5.00,-0.06,-1.19,1748038,87812,1.98,2.91
2009-09-24,4.98,4.99,4.83,4.87,-0.13,-2.60,1954866,95778,3.20,3.26
2009-09-25,4.87,4.93,4.83,4.87,0.00,0.00,1248052,60850,2.05,2.08
2009-09-28,4.89,4.90,4.71,4.73,-0.14,-2.87,1331065,64202,3.90,2.22
2009-09-29,4.72,4.73,4.59,4.66,-0.07,-1.48,1356350,63042,2.96,2.26
2009-09-30,4.68,4.73,4.62,4.64,-0.02,-0.43,912164,42551,2.36,1.52
2009-10-09,4.69,4.83,4.68,4.82,0.18,3.88,1401883,66682,3.23,2.34
2009-10-12,4.81,4.81,4.72,4.74,-0.08,-1.66,879938,41816,1.87,1.47
2009-10-13,4.74,4.77,4.72,4.77,0.03,0.63,720101,34152,1.05,1.20
2009-10-14,4.78,5.25,4.77,5.25,0.48,10.06,8272664,429632,10.06,13.79
2009-10-15,5.17,5.25,5.07,5.13,-0.12,-2.29,3960142,204322,3.43,6.60
2009-10-16,5.13,5.19,5.05,5.14,0.01,0.19,1802743,92210,2.73,3.00
2009-10-19,5.14,5.29,5.11,5.24,0.10,1.95,3465636,181510,3.50,5.78
2009-10-20,5.24,5.28,5.19,5.24,0.00,0.00,2554783,133380,1.72,4.26
2009-10-21,5.25,5.34,5.21,5.25,0.01,0.19,2748148,145179,2.48,4.58
2009-10-22,5.22,5.25,5.11,5.16,-0.09,-1.71,1712821,88411,2.67,2.85
2009-10-23,5.17,5.30,5.17,5.22,0.06,1.16,2393337,125304,2.52,3.99
2009-10-26,5.22,5.29,5.17,5.26,0.04,0.77,1685971,87993,2.30,2.81
2009-10-27,5.22,5.34,5.16,5.24,-0.02,-0.38,2819025,148584,3.42,4.70
2009-10-28,5.20,5.23,5.10,5.16,-0.08,-1.53,1855449,95541,2.48,3.09
2009-10-29,4.89,4.95,4.70,4.79,-0.37,-7.17,15547323,747729,4.85,12.96
2009-10-30,4.81,4.84,4.74,4.77,-0.02,-0.42,5145275,246490,2.09,4.29
2009-11-02,4.68,4.80,4.58,4.79,0.02,0.42,5613533,263708,4.61,4.68
2009-11-03,4.79,4.82,4.74,4.80,0.01,0.21,5198263,248773,1.67,4.33
2009-11-04,4.80,4.81,4.74,4.79,-0.01,-0.21,3929859,187644,1.46,3.27
2009-11-05,4.80,4.95,4.79,4.89,0.10,2.09,5611765,273707,3.34,4.68
2009-11-06,4.92,4.93,4.85,4.88,-0.01,-0.20,4155561,202878,1.64,3.46
2009-11-09,4.88,4.90,4.81,4.86,-0.02,-0.41,3134017,151855,1.84,2.61
2009-11-10,4.89,4.92,4.85,4.89,0.03,0.62,3922754,191603,1.44,3.27
2009-11-11,4.89,4.90,4.81,4.85,-0.04,-0.82,2464222,119357,1.84,2.05
2009-11-12,4.85,4.88,4.81,4.83,-0.02,-0.41,3240082,156694,1.44,2.70
2009-11-13,4.84,4.84,4.72,4.81,-0.02,-0.41,4151961,198352,2.48,3.46
2009-11-16,4.83,4.92,4.81,4.92,0.11,2.29,6443455,314456,2.29,5.37
2009-11-17,4.93,4.95,4.87,4.88,-0.04,-0.81,3559362,174315,1.63,2.97
2009-11-18,4.89,4.94,4.87,4.91,0.03,0.61,4023091,197121,1.43,3.35
2009-11-19,4.93,5.04,4.90,5.01,0.10,2.04,6115791,304363,2.85,5.10
2009-11-20,4.99,5.01,4.95,4.98,-0.03,-0.60,4028571,200768,1.20,3.36
2009-11-23,5.01,5.03,4.96,5.00,0.02,0.40,3354961,167626,1.41,2.80
2009-11-24,5.02,5.14,4.95,4.96,-0.04,-0.80,8164132,411324,3.80,6.80
2009-11-25,4.95,5.01,4.88,5.00,0.04,0.81,5395477,266891,2.62,4.50
2009-11-26,5.01,5.12,4.90,4.92,-0.08,-1.60,7298198,366350,4.40,6.08
2009-11-27,4.86,4.88,4.76,4.79,-0.13,-2.64,4883799,235274,2.44,4.07
2009-11-30,4.83,4.89,4.77,4.89,0.10,2.09,3983393,192873,2.51,3.32
2009-12-01,4.88,4.90,4.82,4.89,0.00,0.00,3394447,165012,1.64,2.83
2009-12-02,4.91,4.98,4.85,4.94,0.05,1.02,4703727,231401,2.66,3.92
2009-12-03,4.91,4.94,4.83,4.88,-0.06,-1.21,3990631,194597,2.23,3.33
2009-12-04,4.88,5.02,4.80,5.00,0.12,2.46,7923420,389829,4.51,6.60
2009-12-07,4.98,5.02,4.96,5.00,0.00,0.00,4616340,230269,1.20,3.85
2009-12-08,5.01,5.12,4.97,5.01,0.01,0.20,6779054,341638,3.00,5.65
2009-12-09,4.95,4.98,4.88,4.89,-0.12,-2.40,3565055,175665,2.00,2.97
2009-12-10,4.92,4.94,4.88,4.92,0.03,0.61,2124800,104149,1.23,1.77
