日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-10-09,68.00,70.50,68.00,69.30,32.31,87.35,4651283,3225408,6.76,36.91
2007-10-10,70.51,76.23,69.99,76.23,6.93,10.00,867218,639551,9.00,6.88
2007-10-11,80.50,83.85,79.50,83.85,7.62,10.00,1607449,1313721,5.71,12.76
2007-10-12,88.00,92.24,85.02,92.12,8.27,9.86,1693472,1501548,8.61,13.44
2007-10-15,92.20,94.88,88.59,90.87,-1.25,-1.36,941491,862906,6.83,7.47
2007-10-16,91.10,91.99,87.00,90.49,-0.38,-0.42,691622,618457,5.49,5.49
2007-10-17,88.88,89.87,87.17,88.02,-2.47,-2.73,553330,488792,2.98,4.39
2007-10-18,87.00,87.50,81.60,82.26,-5.76,-6.54,784895,660576,6.70,6.23
2007-10-19,84.10,84.80,82.00,83.62,1.36,1.65,505572,421857,3.40,4.01
2007-10-22,81.40,82.40,78.58,79.25,-4.37,-5.23,474347,380753,4.57,3.76
2007-10-23,79.50,80.88,76.68,80.05,0.80,1.01,571340,451408,5.30,4.53
2007-10-24,80.30,83.35,78.50,80.63,0.58,0.72,582578,470417,6.06,4.62
2007-10-25,78.88,80.00,76.59,77.11,-3.52,-4.37,450494,349715,4.23,3.58
2007-10-26,76.50,78.77,76.30,77.54,0.43,0.56,302888,235009,3.20,2.40
2007-10-29,78.30,81.03,77.00,79.00,1.46,1.88,275114,217796,5.20,2.18
2007-10-30,79.50,83.69,78.10,82.95,3.95,5.00,372921,303718,7.08,2.96
2007-10-31,84.01,84.50,81.01,81.69,-1.26,-1.52,352370,290342,4.21,2.80
2007-11-01,81.80,83.38,80.47,80.51,-1.18,-1.44,255863,209515,3.56,2.03
2007-11-02,79.00,79.68,77.00,77.08,-3.43,-4.26,361993,281664,3.33,2.87
2007-11-05,77.00,77.08,73.68,74.29,-2.79,-3.62,354214,265272,4.41,2.81
2007-11-06,73.90,74.90,72.00,72.31,-1.98,-2.67,261216,190651,3.90,2.07
2007-11-07,73.50,74.74,72.72,74.04,1.73,2.39,183541,135433,2.79,1.46
2007-11-08,73.00,73.38,70.50,70.58,-3.46,-4.67,192689,138735,3.89,1.53
2007-11-09,70.50,70.50,68.70,69.51,-1.07,-1.52,218641,152109,2.55,1.74
