日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2008-03-10,11.00,12.18,11.00,11.64,2.56,28.19,11137978,1272206,13.00,56.83
2008-03-11,11.52,12.54,11.42,12.23,0.59,5.07,5093206,614439,9.62,25.99
2008-03-12,12.20,12.30,11.73,12.00,-0.23,-1.88,3414975,410162,4.66,17.42
2008-03-13,11.91,12.26,11.65,11.99,-0.01,-0.08,3604068,432822,5.08,18.39
2008-03-14,12.02,12.18,11.20,11.46,-0.53,-4.42,2237769,261486,8.17,11.42
2008-03-17,11.22,11.74,11.05,11.41,-0.05,-0.44,1532198,174267,6.02,7.82
2008-03-18,11.30,11.65,10.60,11.04,-0.37,-3.24,1828794,202486,9.20,9.33
2008-03-19,11.42,11.67,11.16,11.39,0.35,3.17,1879078,214835,4.62,9.59
2008-03-20,11.00,12.19,10.64,11.89,0.50,4.39,2177936,249572,13.61,11.11
2008-03-21,11.70,12.08,11.55,11.66,-0.23,-1.93,1294682,152772,4.46,6.61
2008-03-24,11.88,11.98,10.93,10.98,-0.68,-5.83,1568018,177408,9.01,8.00
2008-03-25,10.80,11.38,10.65,11.20,0.22,2.00,947876,104088,6.65,4.84
2008-03-26,11.24,11.24,10.73,10.90,-0.30,-2.68,997543,109376,4.55,5.09
2008-03-27,10.50,10.60,9.85,9.98,-0.92,-8.44,1850089,187551,6.88,9.44
2008-03-28,9.98,10.43,9.66,10.34,0.36,3.61,1244401,126255,7.72,6.35
2008-03-31,9.85,10.04,9.68,9.79,-0.55,-5.32,986519,96847,3.48,5.03
2008-04-01,9.83,10.28,9.80,10.05,0.26,2.66,1100198,110548,4.90,5.61
2008-04-02,10.27,10.65,10.00,10.45,0.40,3.98,1542696,159714,6.47,7.87
2008-04-03,10.61,11.10,10.46,10.86,0.41,3.92,1302054,141269,6.12,6.64
2008-04-07,10.65,11.90,10.54,11.53,0.67,6.17,1847441,208239,12.52,9.43
2008-04-08,11.41,11.79,11.19,11.46,-0.07,-0.61,1227583,140243,5.20,6.26
2008-04-09,11.25,11.67,10.60,10.65,-0.81,-7.07,1197825,132736,9.34,6.11
2008-04-10,10.50,10.96,10.27,10.84,0.19,1.78,661819,70279,6.48,3.38
2008-04-11,10.91,10.98,10.60,10.79,-0.05,-0.46,489409,52848,3.51,2.50
2008-04-14,10.40,10.58,9.98,10.15,-0.64,-5.93,810355,82627,5.56,4.13
2008-04-15,10.08,10.58,9.98,10.55,0.40,3.94,737554,75672,5.91,3.76
2008-04-16,10.47,10.65,10.20,10.32,-0.23,-2.18,444033,46240,4.27,2.27
2008-04-17,10.48,10.65,10.16,10.26,-0.06,-0.58,547203,57040,4.75,2.79
2008-04-18,10.26,10.49,10.00,10.28,0.02,0.19,569400,58332,4.78,2.91
2008-04-21,11.31,11.31,10.38,10.57,0.29,2.82,1356568,147071,9.05,6.92
2008-04-22,10.27,11.23,10.14,11.09,0.52,4.92,1270418,137678,10.31,6.48
2008-04-23,10.95,11.49,10.83,11.28,0.19,1.71,1673571,187823,5.95,8.54
2008-04-24,12.00,12.41,11.84,12.41,1.13,10.02,3856440,470021,5.05,19.68
2008-04-25,12.00,13.00,12.00,12.17,-0.24,-1.93,2723329,337754,8.06,13.89
2008-04-28,12.18,12.35,11.67,11.81,-0.36,-2.96,1166934,139552,5.59,5.95
2008-04-29,11.75,12.30,11.69,11.90,0.09,0.76,1031849,123800,5.17,5.26
2008-04-30,11.91,12.44,11.84,12.29,0.39,3.28,1474309,179875,5.04,7.52
2008-05-05,12.45,12.52,11.98,12.25,-0.04,-0.33,1206726,147081,4.39,6.16
2008-05-06,12.15,12.95,11.89,12.67,0.42,3.43,2011410,251606,8.65,10.26
2008-05-07,12.51,13.03,11.81,11.89,-0.78,-6.16,1940527,242278,9.63,9.90
2008-05-08,11.74,12.16,11.74,12.15,0.26,2.19,836110,100148,3.53,4.27
2008-05-09,12.12,12.25,11.61,11.81,-0.34,-2.80,868261,103624,5.27,4.43
2008-05-12,11.50,12.12,11.43,11.90,0.09,0.76,858602,100588,5.84,4.38
2008-05-13,11.53,12.17,11.53,11.77,-0.13,-1.09,726853,86468,5.38,3.71
2008-05-14,11.80,12.18,11.80,12.08,0.31,2.63,693006,83535,3.23,3.54
