日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2017-01-23,8.17,9.81,8.17,9.81,3.00,44.05,4606,450,24.08,0.08
2017-01-24,10.79,10.79,10.79,10.79,0.98,9.99,5436,587,0.00,0.09
2017-01-25,11.87,11.87,11.87,11.87,1.08,10.01,34113,4049,0.00,0.57
2017-01-26,12.12,12.56,11.71,11.82,-0.05,-0.42,2502583,301169,7.16,41.71
2017-02-03,11.40,11.46,10.94,10.99,-0.83,-7.02,1373574,152420,4.40,22.89
2017-02-06,10.92,11.16,10.89,11.09,0.10,0.91,955409,105302,2.46,15.92
2017-02-07,11.02,11.02,10.73,10.77,-0.32,-2.89,1015880,110380,2.62,16.93
2017-02-08,10.72,11.60,10.56,11.44,0.67,6.22,1816471,201717,9.66,30.27
2017-02-09,11.19,11.56,11.14,11.22,-0.22,-1.92,1540983,174658,3.67,25.68
2017-02-10,11.16,12.34,11.13,12.01,0.79,7.04,2472204,293557,10.78,41.20
2017-02-13,11.85,12.48,11.80,12.21,0.20,1.67,1973337,240438,5.66,32.89
2017-02-14,12.20,13.39,12.10,12.83,0.62,5.08,1884155,240217,10.57,31.40
2017-02-15,12.60,13.39,12.43,12.90,0.07,0.55,1863093,239388,7.48,31.05
2017-02-16,12.70,14.19,12.61,14.19,1.29,10.00,2581731,350934,12.25,43.03
2017-02-17,14.40,15.61,13.90,13.94,-0.25,-1.76,3191720,473304,12.05,53.20
2017-02-20,13.51,14.13,13.33,13.94,0.00,0.00,1822694,249917,5.74,30.38
2017-02-21,13.90,14.37,13.55,13.72,-0.22,-1.58,1422002,198468,5.88,23.70
2017-02-22,13.60,13.67,13.25,13.40,-0.32,-2.33,1003472,134470,3.06,16.72
2017-02-23,13.40,13.72,13.29,13.62,0.22,1.64,950419,128601,3.21,15.84
2017-02-24,13.51,13.77,13.36,13.65,0.03,0.22,742323,100452,3.01,12.37
2017-02-27,13.60,13.64,13.20,13.27,-0.38,-2.78,684112,91883,3.22,11.40
2017-02-28,13.21,13.80,13.21,13.77,0.50,3.77,1081639,147346,4.45,18.03
2017-03-01,13.80,14.04,13.55,13.61,-0.16,-1.16,861463,118335,3.56,14.36
2017-03-02,13.66,14.64,13.58,14.15,0.54,3.97,1701743,242712,7.79,28.36
2017-03-03,13.97,13.99,13.69,13.86,-0.29,-2.05,751438,103928,2.12,12.52
2017-03-06,13.80,14.15,13.70,14.01,0.15,1.08,699167,97471,3.25,11.65
2017-03-07,13.99,14.17,13.78,14.15,0.14,1.00,722732,101142,2.78,12.05
2017-03-08,14.12,14.14,13.82,13.92,-0.23,-1.63,599942,83789,2.26,10.00
2017-03-09,13.86,13.93,13.59,13.83,-0.09,-0.65,665011,91333,2.44,11.08
2017-03-10,13.73,13.89,13.25,13.31,-0.52,-3.76,627160,85163,4.63,10.45
2017-03-13,13.12,13.25,12.92,13.21,-0.10,-0.75,468143,61337,2.48,7.80
2017-03-14,13.18,13.45,13.17,13.22,0.01,0.08,404978,53810,2.12,6.75
2017-03-15,13.20,13.33,13.15,13.22,0.00,0.00,315717,41801,1.36,5.26
2017-03-16,13.32,14.54,13.31,14.54,1.32,9.98,1683213,239473,9.30,28.05
2017-03-17,15.30,15.58,14.05,14.11,-0.43,-2.96,2399566,356669,10.52,39.99
2017-03-20,14.10,14.22,13.75,13.96,-0.15,-1.06,973698,135451,3.33,16.23
2017-03-21,13.82,14.07,13.76,13.99,0.03,0.21,713753,99547,2.22,11.90
2017-03-22,13.81,14.06,13.77,13.89,-0.10,-0.71,612564,85033,2.07,10.21
2017-03-23,13.85,14.78,13.84,14.25,0.36,2.59,1184724,169637,6.77,19.75
2017-03-24,14.09,14.66,13.93,14.50,0.25,1.75,1102911,157256,5.12,18.38
2017-03-27,14.52,15.20,14.36,14.64,0.14,0.97,1370513,202860,5.79,22.84
2017-03-28,14.49,14.70,14.35,14.56,-0.08,-0.55,702668,101806,2.39,11.71
2017-03-29,14.55,14.55,13.20,13.53,-1.03,-7.07,1043940,146579,9.27,17.40
2017-03-30,13.30,13.47,13.12,13.17,-0.36,-2.66,656433,87299,2.59,10.94
2017-03-31,13.27,13.51,13.24,13.36,0.19,1.44,440696,58982,2.05,7.34
2017-04-05,13.31,13.79,12.96,13.75,0.39,2.92,607751,81796,6.21,10.13
2017-04-06,13.65,13.83,13.58,13.76,0.01,0.07,438507,60121,1.82,7.31
2017-04-07,13.71,13.84,13.54,13.56,-0.20,-1.45,424434,57982,2.18,7.07
2017-04-10,13.40,13.45,13.03,13.10,-0.46,-3.39,479050,63362,3.10,7.98
