日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,5.69,5.97,5.37,5.63,0.20,3.68,7281333,422485,11.05,16.81
2007-01-05,5.30,5.34,5.07,5.07,-0.56,-9.95,7867307,405038,4.80,15.11
2007-01-08,4.87,5.14,4.83,5.08,0.01,0.20,5565756,276375,6.11,10.69
2007-01-09,5.06,5.19,4.95,5.18,0.10,1.97,4334458,219833,4.72,8.32
2007-01-10,5.25,5.29,5.05,5.10,-0.08,-1.54,3721171,191522,4.63,7.15
2007-01-11,5.07,5.07,4.90,4.93,-0.17,-3.33,3274026,162522,3.33,6.29
2007-01-12,4.88,4.97,4.70,4.73,-0.20,-4.06,2329179,112655,5.48,4.47
2007-01-15,4.71,5.00,4.65,4.99,0.26,5.50,2487325,120038,7.40,4.78
2007-01-16,5.05,5.10,4.85,4.94,-0.05,-1.00,2595925,128633,5.01,4.98
2007-01-17,4.94,5.04,4.82,4.88,-0.06,-1.21,2372504,116620,4.45,4.56
2007-01-18,4.83,4.89,4.65,4.76,-0.12,-2.46,2036686,96724,4.92,3.91
2007-01-19,4.78,4.85,4.71,4.85,0.09,1.89,1769177,84888,2.94,3.40
2007-01-22,4.89,5.02,4.86,5.02,0.17,3.51,3173484,157460,3.30,6.09
2007-01-23,5.06,5.15,4.88,5.12,0.10,1.99,3452102,173427,5.38,6.63
2007-01-24,5.13,5.15,5.02,5.04,-0.08,-1.56,2447170,124048,2.54,4.70
2007-01-25,4.99,4.99,4.78,4.79,-0.25,-4.96,2121921,103207,4.17,4.07
2007-01-26,4.70,4.92,4.52,4.85,0.06,1.25,2358566,111176,8.35,4.53
2007-01-29,4.85,5.02,4.82,5.00,0.15,3.09,2801973,138466,4.12,5.38
2007-01-30,5.02,5.05,4.88,4.96,-0.04,-0.80,2600924,128965,3.40,4.99
2007-01-31,5.01,5.18,4.90,4.96,0.00,0.00,6066305,305759,5.65,11.65
2007-02-01,4.79,4.95,4.72,4.85,-0.11,-2.22,2574338,123981,4.64,4.94
2007-02-02,4.88,4.88,4.65,4.66,-0.19,-3.92,2370241,111639,4.74,4.55
2007-02-05,4.65,4.68,4.41,4.42,-0.24,-5.15,1966342,88696,5.79,3.78
2007-02-06,4.44,4.62,4.32,4.61,0.19,4.30,1733065,77403,6.79,3.33
2007-02-07,4.63,4.76,4.59,4.65,0.04,0.87,2035883,95175,3.69,3.91
2007-02-08,4.67,4.68,4.55,4.60,-0.05,-1.08,1035018,47518,2.80,1.99
2007-02-09,4.60,4.61,4.49,4.54,-0.06,-1.30,1081537,48991,2.61,2.08
2007-02-12,4.53,4.64,4.51,4.64,0.10,2.20,1032314,47508,2.86,1.98
2007-02-13,4.67,4.69,4.60,4.64,0.00,0.00,972703,45118,1.94,1.87
2007-02-14,4.64,4.75,4.60,4.75,0.11,2.37,1734880,81334,3.23,3.33
2007-02-15,4.77,4.95,4.77,4.94,0.19,4.00,2563731,124092,3.79,4.92
2007-02-16,5.00,5.02,4.90,4.95,0.01,0.20,2528834,125309,2.43,4.86
2007-02-26,4.94,4.99,4.80,4.98,0.03,0.61,2145778,105297,3.84,4.12
2007-02-27,4.98,5.00,4.52,4.62,-0.36,-7.23,2948783,141457,9.64,5.66
2007-02-28,4.58,4.81,4.55,4.79,0.17,3.68,1733240,81250,5.63,3.33
2007-03-01,4.77,4.77,4.61,4.66,-0.13,-2.71,1353844,63206,3.34,2.60
2007-03-02,4.65,4.74,4.64,4.71,0.05,1.07,995588,46672,2.15,1.91
2007-03-05,4.70,4.76,4.59,4.68,-0.03,-0.64,1176292,54903,3.61,2.26
2007-03-06,4.68,4.91,4.62,4.84,0.16,3.42,2251768,108136,6.20,4.32
2007-03-07,4.84,4.90,4.82,4.86,0.02,0.41,1702601,82825,1.65,3.27
2007-03-08,4.86,4.89,4.81,4.88,0.02,0.41,1314340,63811,1.65,2.52
2007-03-09,4.88,5.07,4.87,5.04,0.16,3.28,4556638,227032,4.10,8.75
2007-03-12,5.06,5.19,5.05,5.08,0.04,0.79,3143081,160632,2.78,6.04
2007-03-13,5.08,5.11,4.99,5.03,-0.05,-0.98,1916575,96316,2.36,3.68
2007-03-14,4.99,4.99,4.88,4.91,-0.12,-2.39,1720108,84600,2.19,3.30
2007-03-15,4.91,5.03,4.90,4.98,0.07,1.43,1424594,70788,2.65,2.74
2007-03-16,5.00,5.10,4.96,5.00,0.02,0.40,2823528,142075,2.81,5.42
2007-03-19,5.07,5.39,5.05,5.29,0.29,5.80,4129921,216446,6.80,7.93
2007-03-20,5.31,5.33,5.21,5.29,0.00,0.00,2072982,109324,2.27,3.98
2007-03-21,5.29,5.36,5.26,5.31,0.02,0.38,2187388,115989,1.89,4.20
2007-03-22,5.33,5.36,5.20,5.24,-0.07,-1.32,2288568,121039,3.01,4.39
2007-03-23,5.24,5.29,5.10,5.20,-0.04,-0.76,2085988,107889,3.63,4.01
2007-03-26,5.20,5.26,5.15,5.22,0.02,0.38,1992180,103709,2.12,3.83
2007-03-27,5.21,5.22,5.14,5.18,-0.04,-0.77,2220792,114948,1.53,4.26
2007-03-28,5.17,5.36,5.10,5.33,0.15,2.90,4367972,230169,5.02,8.39
2007-03-29,5.36,5.86,5.35,5.67,0.34,6.38,7438492,417172,9.57,14.28
2007-03-30,5.60,5.66,5.49,5.55,-0.12,-2.12,3433943,190820,3.00,6.59
2007-04-02,5.56,5.75,5.56,5.65,0.10,1.80,2260526,127837,3.42,4.34
2007-04-03,5.66,5.70,5.60,5.69,0.04,0.71,2177037,122946,1.77,4.18
2007-04-04,5.70,5.74,5.60,5.63,-0.06,-1.05,1997142,112694,2.46,3.83
2007-04-05,5.60,5.73,5.53,5.69,0.06,1.07,2152707,120624,3.55,4.13
2007-04-06,5.63,5.67,5.58,5.63,-0.06,-1.05,1875604,105496,1.58,3.60
2007-04-09,5.63,5.70,5.56,5.67,0.04,0.71,2409118,135778,2.49,4.63
2007-04-10,5.67,5.90,5.61,5.88,0.21,3.70,4565270,262595,5.11,8.77
2007-04-11,5.91,5.95,5.80,5.88,0.00,0.00,3499464,205579,2.55,6.72
2007-04-12,5.90,5.92,5.77,5.83,-0.05,-0.85,3255848,189245,2.55,6.25
2007-04-13,5.82,5.85,5.70,5.76,-0.07,-1.20,2749560,158611,2.57,5.28
2007-04-16,5.73,5.85,5.72,5.82,0.06,1.04,2297868,133109,2.26,4.41
2007-04-17,5.82,5.83,5.61,5.75,-0.07,-1.20,2775513,158975,3.78,5.33
2007-04-18,5.70,5.74,5.61,5.67,-0.08,-1.39,2560773,144742,2.26,4.92
2007-04-19,5.67,5.75,5.23,5.42,-0.25,-4.41,3128340,174443,9.17,6.01
2007-04-20,5.42,5.55,5.40,5.52,0.10,1.85,2151690,118062,2.77,4.13
2007-04-23,5.52,5.70,5.47,5.65,0.13,2.36,3297894,184305,4.17,6.33
2007-04-24,5.66,5.69,5.55,5.59,-0.06,-1.06,2836388,158734,2.48,5.45
2007-04-25,5.59,5.85,5.51,5.76,0.17,3.04,4183215,239345,6.08,8.03
2007-04-26,5.82,5.87,5.69,5.74,-0.02,-0.35,2344574,134893,3.13,4.50
2007-04-27,5.75,5.78,5.60,5.62,-0.12,-2.09,2174419,122898,3.14,4.18
2007-04-30,5.58,5.67,5.54,5.62,0.00,0.00,2116131,118407,2.31,4.06
2007-05-08,5.68,5.73,5.60,5.66,0.04,0.71,2732547,154346,2.31,5.25
2007-05-09,5.72,6.20,5.67,6.10,0.44,7.77,7699753,457403,9.36,14.79
2007-05-10,6.09,6.30,6.01,6.14,0.04,0.66,5016061,308580,4.75,9.63
2007-05-11,6.09,6.13,5.97,6.09,-0.05,-0.81,3170977,192016,2.61,6.09
2007-05-14,6.06,6.20,6.00,6.13,0.04,0.66,2721420,166911,3.28,5.23
2007-05-15,6.15,6.18,5.81,5.85,-0.28,-4.57,3290135,196835,6.04,6.32
2007-05-16,5.83,5.94,5.78,5.90,0.05,0.85,1895450,110980,2.74,3.64
2007-05-17,5.90,5.97,5.83,5.91,0.01,0.17,2157119,127187,2.37,4.14
2007-05-18,5.88,5.88,5.79,5.81,-0.10,-1.69,2043485,119045,1.52,3.92
2007-05-21,5.66,5.79,5.61,5.75,-0.06,-1.03,2161746,123593,3.10,4.15
2007-05-22,5.75,5.83,5.71,5.76,0.01,0.17,2228664,128346,2.09,4.28
2007-05-23,5.79,5.88,5.76,5.83,0.07,1.22,2253422,130976,2.08,4.33
2007-05-24,5.84,6.03,5.81,5.88,0.05,0.86,2933977,173071,3.77,5.63
2007-05-25,5.87,5.88,5.76,5.80,-0.08,-1.36,2219261,128790,2.04,4.26
2007-05-28,5.80,5.90,5.78,5.84,0.04,0.69,2389856,139272,2.07,4.59
2007-05-29,5.85,5.95,5.84,5.90,0.06,1.03,2863327,168407,1.88,5.50
2007-05-30,5.69,5.85,5.42,5.48,-0.42,-7.12,3569305,200611,7.29,6.85
2007-05-31,5.48,5.85,5.27,5.73,0.25,4.56,3287449,184349,10.58,6.31
2007-06-01,5.73,5.87,5.61,5.62,-0.11,-1.92,2593711,148558,4.54,4.98
2007-06-04,5.59,5.59,5.06,5.10,-0.52,-9.25,2791122,147272,9.43,5.36
2007-06-05,5.05,5.28,4.80,5.19,0.09,1.76,2319599,117380,9.41,4.45
2007-06-06,5.21,5.23,5.10,5.17,-0.02,-0.39,1479569,76273,2.50,2.84
2007-06-07,5.15,5.20,5.13,5.20,0.03,0.58,1673240,86443,1.35,3.21
2007-06-08,5.20,5.22,5.11,5.16,-0.04,-0.77,1371159,70700,2.12,2.63
2007-06-11,5.18,5.23,5.11,5.21,0.05,0.97,1462420,75612,2.33,2.81
2007-06-12,5.19,5.23,5.07,5.20,-0.01,-0.19,1610323,82851,3.07,3.09
2007-06-13,5.23,5.48,5.20,5.40,0.20,3.85,2874827,152872,5.38,5.52
2007-06-14,5.37,5.40,5.26,5.27,-0.13,-2.41,1480756,78617,2.59,2.84
2007-06-15,5.27,5.35,5.18,5.29,0.02,0.38,1076903,56802,3.23,2.07
2007-06-18,5.32,5.45,5.31,5.36,0.07,1.32,1710579,91919,2.65,3.28
