日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,26.97,27.30,25.38,25.75,-0.75,-2.83,132654,35018,7.25,3.58
2007-01-05,25.48,25.50,24.88,24.95,-0.80,-3.11,81228,20375,2.41,2.19
2007-01-08,24.79,26.50,24.70,25.28,0.33,1.32,71356,17976,7.21,1.92
2007-01-09,25.42,26.26,25.25,25.92,0.64,2.53,95145,24414,4.00,2.57
2007-01-10,25.99,26.00,24.55,25.89,-0.03,-0.12,161356,40690,5.59,4.35
2007-01-11,25.79,27.20,25.11,26.33,0.44,1.70,129318,34116,8.07,3.49
2007-01-12,25.89,27.66,25.89,27.60,1.27,4.82,162256,44023,6.72,4.37
2007-01-15,27.85,29.80,27.80,28.76,1.16,4.20,152178,44098,7.25,4.10
2007-01-16,29.01,29.50,28.20,29.50,0.74,2.57,139094,40082,4.52,3.75
2007-01-17,29.50,30.80,28.46,29.10,-0.40,-1.36,106157,31806,7.93,2.86
2007-01-18,28.50,30.55,28.40,30.44,1.34,4.60,83497,24881,7.39,2.25
2007-01-19,30.45,32.24,30.45,31.86,1.42,4.66,82573,26127,5.88,2.23
2007-01-22,31.90,32.63,31.54,32.10,0.24,0.75,83502,26704,3.42,2.25
2007-01-23,32.06,32.31,29.18,30.52,-1.58,-4.92,91466,27865,9.75,2.47
2007-01-24,30.29,30.30,29.28,29.82,-0.70,-2.29,91898,27169,3.34,2.48
2007-01-25,29.51,31.05,28.88,29.72,-0.10,-0.34,88522,26638,7.28,2.39
2007-01-26,29.00,30.38,28.90,30.03,0.31,1.04,80675,24165,4.98,2.18
2007-01-29,30.03,30.75,29.50,29.86,-0.17,-0.57,61587,18514,4.16,1.66
2007-01-30,29.72,30.48,28.70,28.98,-0.88,-2.95,82125,23905,5.96,2.21
2007-01-31,29.00,29.00,26.40,26.65,-2.33,-8.04,73573,20270,8.97,1.98
2007-02-01,26.20,27.68,26.00,27.51,0.86,3.23,93432,25209,6.30,2.52
2007-02-02,27.47,27.47,25.60,25.71,-1.80,-6.54,59013,15587,6.80,1.59
2007-02-05,25.60,26.31,25.10,25.96,0.25,0.97,78166,20154,4.71,2.11
2007-02-06,25.90,26.45,24.90,26.24,0.28,1.08,89605,22974,5.97,2.42
2007-02-07,26.41,27.46,26.41,26.96,0.72,2.74,105798,28664,4.00,2.85
2007-02-08,27.17,27.27,26.66,26.95,-0.01,-0.04,51706,13929,2.26,1.39
2007-02-09,26.90,27.80,26.90,27.40,0.45,1.67,40468,11097,3.34,1.09
2007-02-12,27.40,28.10,27.01,27.86,0.46,1.68,45718,12640,3.98,1.23
2007-02-13,28.06,28.56,27.61,28.47,0.61,2.19,39469,11136,3.41,1.06
2007-02-14,28.40,28.68,28.10,28.52,0.05,0.18,57960,16451,2.04,1.56
2007-02-15,28.69,30.99,28.55,30.83,2.31,8.10,102513,30872,8.56,2.76
2007-02-16,30.90,31.20,30.15,30.18,-0.65,-2.11,46359,14296,3.41,1.25
2007-02-26,30.19,30.45,29.50,29.85,-0.33,-1.09,35126,10514,3.15,0.95
2007-02-27,29.92,30.00,26.87,26.87,-2.98,-9.98,79530,21953,10.49,2.14
2007-02-28,25.82,27.16,25.52,26.88,0.01,0.04,101533,26669,6.10,2.74
2007-03-01,27.00,27.15,24.88,25.54,-1.34,-4.99,75611,19498,8.44,2.04
2007-03-02,25.59,26.24,25.14,25.54,0.00,0.00,102664,26265,4.31,2.77
2007-03-05,25.65,26.25,24.47,24.99,-0.55,-2.15,77228,19586,6.97,2.08
2007-03-06,24.90,25.89,24.77,25.83,0.84,3.36,74037,18661,4.48,2.00
2007-03-07,25.75,26.40,25.65,26.11,0.28,1.08,62873,16359,2.90,1.70
2007-03-08,26.20,26.80,25.85,26.72,0.61,2.34,61635,16263,3.64,1.66
2007-03-09,26.68,26.99,26.00,26.15,-0.57,-2.13,78546,20680,3.71,2.12
2007-03-12,26.00,26.00,24.95,25.43,-0.72,-2.75,62391,15806,4.02,1.68
2007-03-13,25.50,25.75,24.97,25.59,0.16,0.63,79516,20092,3.07,2.14
2007-03-14,25.53,25.53,24.98,25.18,-0.41,-1.60,66835,16871,2.15,1.80
2007-03-15,25.31,25.81,25.30,25.51,0.33,1.31,57628,14701,2.03,1.55
2007-03-16,25.79,26.55,25.43,26.01,0.50,1.96,108888,28408,4.39,2.94
2007-03-19,25.39,26.36,25.24,25.89,-0.12,-0.46,91273,23692,4.31,2.46
2007-03-20,26.00,26.50,25.35,25.70,-0.19,-0.73,112724,29083,4.44,3.04
2007-03-21,25.71,26.38,25.68,26.08,0.38,1.48,95907,24901,2.72,2.59
2007-03-22,26.30,27.10,26.06,26.88,0.80,3.07,134070,35809,3.99,3.61
2007-03-23,26.88,26.88,25.95,26.38,-0.50,-1.86,106575,28076,3.46,2.87
2007-03-26,26.45,26.93,26.28,26.79,0.41,1.55,140660,37323,2.46,3.79
2007-03-27,26.78,27.70,26.77,27.32,0.53,1.98,123892,33887,3.47,3.34
2007-03-28,27.60,27.60,25.51,26.54,-0.78,-2.86,129427,34472,7.65,3.49
2007-03-29,26.56,26.69,25.90,26.04,-0.50,-1.88,100418,26254,2.98,2.71
2007-03-30,25.99,25.99,25.00,25.50,-0.54,-2.07,146717,37380,3.80,3.96
2007-04-02,25.50,25.98,25.50,25.94,0.44,1.73,113259,29145,1.88,3.05
2007-04-03,25.95,26.80,25.71,26.79,0.85,3.28,131277,34463,4.20,3.54
