日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,12.92,13.05,12.71,12.73,-0.13,-1.01,19922,2552,2.64,3.95
2007-01-05,12.72,13.36,12.70,13.35,0.62,4.87,19024,2491,5.18,3.77
2007-01-08,13.00,14.15,13.00,13.94,0.59,4.42,25813,3526,8.61,5.12
2007-01-09,13.94,14.60,13.93,14.57,0.63,4.52,40665,5801,4.81,8.07
2007-01-10,14.57,15.10,14.28,14.70,0.13,0.89,47948,7062,5.63,9.51
2007-01-11,14.61,14.89,14.35,14.42,-0.28,-1.90,31947,4666,3.67,6.34
2007-01-12,14.38,14.38,13.31,13.33,-1.09,-7.56,31707,4376,7.42,6.29
2007-01-15,13.33,14.35,13.06,14.14,0.81,6.08,22723,3131,9.68,4.51
2007-01-16,14.10,14.59,13.90,14.21,0.07,0.50,28685,4077,4.88,5.69
2007-01-17,14.20,15.26,13.93,15.10,0.89,6.26,66550,9725,9.36,13.20
2007-01-18,14.86,15.90,14.78,15.30,0.20,1.32,56332,8639,7.42,11.18
2007-01-19,15.33,15.89,15.28,15.78,0.48,3.14,43681,6819,3.99,8.67
2007-01-22,15.85,16.30,15.50,16.25,0.47,2.98,52582,8374,5.07,10.43
2007-01-23,15.98,16.15,14.63,15.29,-0.96,-5.91,50013,7655,9.35,9.92
2007-01-24,15.06,15.46,14.91,15.26,-0.03,-0.20,25967,3943,3.60,5.15
2007-01-25,15.26,15.26,14.33,14.36,-0.90,-5.90,24126,3550,6.09,4.79
2007-01-26,14.20,14.62,13.63,14.39,0.03,0.21,24608,3453,6.89,4.88
2007-01-29,14.31,15.83,14.31,15.83,1.44,10.01,58750,8908,10.56,11.66
2007-01-30,15.79,15.79,15.05,15.07,-0.76,-4.80,29859,4593,4.67,5.92
2007-02-01,14.09,14.74,13.80,14.28,-0.79,-5.24,24755,3518,6.24,4.91
2007-02-02,14.40,14.50,13.76,13.80,-0.48,-3.36,13405,1888,5.18,2.66
2007-02-05,14.09,14.31,13.00,14.30,0.50,3.62,17039,2384,9.49,3.38
2007-02-06,14.31,14.65,14.12,14.64,0.34,2.38,15273,2206,3.71,3.03
2007-02-07,14.74,14.90,14.50,14.68,0.04,0.27,17809,2618,2.73,3.53
2007-02-08,14.60,15.14,14.46,15.09,0.41,2.79,18946,2809,4.63,3.76
2007-02-09,14.98,15.20,14.66,14.72,-0.37,-2.45,14612,2163,3.58,2.90
2007-02-12,14.63,15.44,14.56,15.38,0.66,4.48,23236,3521,5.98,4.61
2007-02-13,15.49,16.20,15.40,15.81,0.43,2.80,35142,5548,5.20,6.97
2007-02-14,16.00,16.36,15.50,15.60,-0.21,-1.33,39410,6285,5.44,7.82
2007-02-15,16.00,16.99,15.68,16.68,1.08,6.92,62202,10172,8.40,12.34
2007-02-16,16.99,17.55,16.60,16.93,0.25,1.50,52085,8920,5.70,10.33
2007-02-26,17.28,17.75,16.88,17.59,0.66,3.90,33339,5788,5.14,6.61
2007-02-27,17.70,17.85,15.83,15.83,-1.76,-10.01,63696,10679,11.48,12.64
2007-02-28,16.15,17.12,15.80,16.94,1.11,7.01,41830,6971,8.34,8.30
2007-03-01,16.87,16.95,15.80,16.46,-0.48,-2.83,34174,5569,6.79,6.78
2007-03-02,16.46,17.27,16.32,16.83,0.37,2.25,32276,5464,5.77,6.40
2007-03-05,16.85,17.40,16.20,16.54,-0.29,-1.72,26647,4465,7.13,5.29
