日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2009-08-18,30.00,30.88,27.29,27.40,6.32,29.98,1992982,565796,17.03,58.48
2009-08-19,26.50,26.94,24.66,24.66,-2.74,-10.00,1015708,258815,8.32,29.80
2009-08-20,24.10,25.88,23.74,25.55,0.89,3.61,891666,223237,8.68,26.16
2009-08-21,25.00,25.19,23.99,24.68,-0.87,-3.41,708045,174390,4.70,20.78
2009-08-24,24.68,24.70,23.81,24.25,-0.43,-1.74,444854,107714,3.61,13.05
2009-08-25,24.59,25.30,23.75,25.20,0.95,3.92,700028,171515,6.39,20.54
2009-08-26,24.76,25.36,24.47,24.83,-0.37,-1.47,525778,131209,3.53,15.43
2009-08-27,24.65,25.23,24.44,24.66,-0.17,-0.68,380418,94286,3.18,11.16
2009-08-28,24.60,24.83,23.80,23.83,-0.83,-3.37,336282,81038,4.18,9.87
2009-08-31,23.31,23.40,22.06,22.19,-1.64,-6.88,363344,82695,5.62,10.66
2009-09-01,22.15,22.83,22.11,22.32,0.13,0.59,242800,54666,3.24,7.12
2009-09-02,21.98,22.60,21.86,22.32,0.00,0.00,198408,44072,3.32,5.82
2009-09-03,22.30,23.79,22.12,23.50,1.18,5.29,435033,100476,7.48,12.77
2009-09-04,23.24,23.50,23.06,23.20,-0.30,-1.28,320995,74582,1.87,9.42
2009-09-07,23.40,23.97,23.23,23.62,0.42,1.81,323157,76284,3.19,9.48
2009-09-08,23.62,23.85,23.26,23.83,0.21,0.89,259888,61394,2.50,7.63
2009-09-09,23.87,24.58,23.49,24.13,0.30,1.26,476321,114728,4.57,13.98
2009-09-10,23.80,23.95,23.38,23.40,-0.73,-3.03,219546,51864,2.36,6.44
2009-09-11,23.59,24.18,23.48,23.82,0.42,1.79,262977,62754,2.99,7.72
2009-09-14,23.89,24.77,23.75,24.55,0.73,3.06,407989,98807,4.28,11.97
2009-09-15,24.50,24.50,23.96,24.14,-0.41,-1.67,263700,63894,2.20,7.74
2009-09-16,24.00,24.13,23.38,23.61,-0.53,-2.20,238563,56485,3.11,7.00
2009-09-17,23.75,24.14,23.72,23.94,0.33,1.40,189483,45392,1.78,5.56
2009-09-18,24.00,24.90,23.86,23.99,0.05,0.21,473269,115483,4.34,13.89
2009-09-21,23.70,23.83,22.70,23.58,-0.41,-1.71,242750,56500,4.71,7.12
2009-09-22,23.37,23.70,22.80,22.81,-0.77,-3.27,151579,35161,3.82,4.45
2009-09-23,22.88,23.17,22.46,22.59,-0.22,-0.96,145608,33172,3.11,4.27
2009-09-24,22.60,23.20,22.49,22.85,0.26,1.15,148283,33853,3.14,4.35
2009-09-28,22.86,22.92,21.75,21.90,-0.95,-4.16,138780,30939,5.12,4.07
2009-09-29,21.95,22.06,21.37,21.56,-0.34,-1.55,105502,22843,3.15,3.10
2009-09-30,21.76,22.08,21.68,21.94,0.38,1.76,112079,24541,1.86,3.29
2009-10-09,22.25,22.80,22.11,22.71,0.77,3.51,139508,31459,3.14,4.09
2009-10-12,22.65,22.65,22.19,22.21,-0.50,-2.20,108705,24386,2.03,3.19
2009-10-13,22.19,22.55,22.15,22.42,0.21,0.95,71311,15933,1.80,2.09
2009-10-14,22.49,23.49,22.42,22.96,0.54,2.41,226100,52266,4.77,6.63
2009-10-15,23.31,23.80,23.03,23.12,0.16,0.70,211617,49657,3.35,6.21
2009-10-16,23.07,23.30,22.56,22.99,-0.13,-0.56,136259,31172,3.20,4.00
2009-10-19,23.01,23.49,22.83,23.46,0.47,2.04,150368,35000,2.87,4.41
2009-10-20,23.60,24.10,23.38,24.09,0.63,2.69,273302,64846,3.07,8.02
2009-10-21,24.20,25.18,23.86,24.54,0.45,1.87,448712,110491,5.48,13.17
2009-10-22,24.50,25.08,24.36,24.67,0.13,0.53,268326,66355,2.93,7.87
2009-10-26,25.05,25.20,24.51,24.93,0.26,1.05,266229,66169,2.80,7.81
2009-10-27,24.00,24.00,23.10,23.19,-1.16,-4.76,184225,43362,3.70,5.41
2009-10-28,23.23,24.01,22.89,23.79,0.60,2.59,166333,39039,4.83,4.88
2009-10-29,23.30,23.50,23.01,23.09,-0.70,-2.94,105198,24412,2.06,3.09
2009-10-30,23.50,23.59,23.02,23.08,-0.01,-0.04,122467,28531,2.47,3.59
2009-11-02,22.51,23.55,22.30,23.46,0.38,1.65,195416,44825,5.42,5.73
2009-11-03,23.54,24.25,23.50,23.81,0.35,1.49,191122,45625,3.20,5.61
2009-11-04,23.79,24.36,23.65,24.00,0.19,0.80,230403,55361,2.98,6.76
2009-11-05,24.08,24.18,23.67,24.00,0.00,0.00,174592,41735,2.13,5.12
2009-11-06,24.20,24.29,23.91,23.96,-0.04,-0.17,191288,46029,1.58,5.61
2009-11-09,24.25,24.79,24.01,24.74,0.78,3.26,298297,72740,3.26,8.75
2009-11-10,24.88,24.88,24.22,24.29,-0.45,-1.82,228876,56002,2.67,6.72
2009-11-11,24.38,24.92,24.04,24.70,0.41,1.69,291145,71611,3.62,8.54
2009-11-12,24.79,24.96,24.50,24.89,0.19,0.77,301956,74744,1.86,8.86
2009-11-13,24.71,24.92,24.10,24.81,-0.08,-0.32,267130,65492,3.29,7.84
2009-11-16,24.88,25.48,24.85,25.46,0.65,2.62,394336,99571,2.54,11.57
2009-11-17,25.15,25.25,24.48,24.56,-0.90,-3.54,424194,104923,3.02,12.45
2009-11-18,23.30,24.56,23.20,24.22,-0.34,-1.38,1146304,271578,5.54,22.04
2009-11-19,23.81,24.14,23.60,24.03,-0.19,-0.78,538926,128794,2.23,10.36
2009-11-20,23.97,24.78,23.80,24.42,0.39,1.62,535861,130030,4.08,10.31
2009-11-23,24.40,24.64,24.23,24.55,0.13,0.53,374988,91538,1.68,7.21
2009-11-24,24.65,24.97,23.80,23.88,-0.67,-2.73,659735,161759,4.77,12.69
2009-11-25,23.90,24.15,23.35,24.02,0.14,0.59,372770,88684,3.35,7.17
2009-11-26,24.00,24.03,22.90,22.92,-1.10,-4.58,444591,104260,4.70,8.55
