日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2010-08-18,3.37,3.72,3.35,3.66,0.56,18.06,20938116,734276,11.94,85.46
2010-08-19,3.64,3.83,3.60,3.70,0.04,1.09,7958145,292790,6.28,32.48
2010-08-20,3.69,3.74,3.64,3.68,-0.02,-0.54,3332318,122674,2.70,13.60
2010-08-23,3.66,3.71,3.53,3.56,-0.12,-3.26,3615813,130363,4.89,14.76
2010-08-24,3.54,3.64,3.52,3.56,0.00,0.00,2824713,100761,3.37,11.53
2010-08-25,3.53,3.55,3.44,3.46,-0.10,-2.81,2193120,76426,3.09,8.95
2010-08-26,3.47,3.50,3.44,3.47,0.01,0.29,1231633,42701,1.73,5.03
2010-08-27,3.46,3.48,3.44,3.48,0.01,0.29,947606,32773,1.15,3.87
2010-08-30,3.49,3.52,3.45,3.49,0.01,0.29,1858059,64760,2.01,7.58
2010-08-31,3.46,3.47,3.38,3.40,-0.09,-2.58,2039412,69759,2.58,8.32
2010-09-01,3.40,3.60,3.38,3.48,0.08,2.35,3143959,109762,6.47,12.83
2010-09-02,3.52,3.53,3.44,3.48,0.00,0.00,1660453,57614,2.59,6.78
2010-09-03,3.47,3.52,3.45,3.51,0.03,0.86,1387645,48272,2.01,5.66
2010-09-06,3.52,3.60,3.51,3.58,0.07,1.99,1799501,64203,2.56,7.34
2010-09-07,3.58,3.59,3.52,3.55,-0.03,-0.84,1014959,36027,1.96,4.14
2010-09-08,3.52,3.53,3.47,3.49,-0.06,-1.69,928110,32419,1.69,3.79
2010-09-09,3.50,3.57,3.44,3.49,0.00,0.00,1431088,50028,3.72,5.84
2010-09-10,3.50,3.50,3.45,3.49,0.00,0.00,696587,24181,1.43,2.84
2010-09-13,3.48,3.52,3.46,3.50,0.01,0.29,1444048,50429,1.72,5.89
2010-09-14,3.51,3.54,3.46,3.48,-0.02,-0.57,982727,34365,2.29,4.01
2010-09-15,3.46,3.47,3.42,3.44,-0.04,-1.15,1046019,36010,1.44,4.27
2010-09-16,3.43,3.44,3.33,3.36,-0.08,-2.33,1264004,42758,3.20,5.16
2010-09-17,3.37,3.38,3.34,3.36,0.00,0.00,671727,22577,1.19,2.74
2010-09-20,3.36,3.38,3.32,3.35,-0.01,-0.30,392746,13159,1.79,1.60
2010-09-21,3.36,3.39,3.34,3.39,0.04,1.19,459042,15462,1.49,1.87
2010-09-27,3.36,3.40,3.36,3.38,-0.01,-0.30,387588,13096,1.18,1.58
2010-09-28,3.38,3.38,3.32,3.34,-0.04,-1.18,421821,14079,1.78,1.72
2010-09-29,3.33,3.40,3.32,3.38,0.04,1.20,611522,20591,2.40,2.50
2010-09-30,3.35,3.51,3.35,3.46,0.08,2.37,1202222,41732,4.73,4.91
2010-10-08,3.49,3.53,3.45,3.51,0.05,1.45,1097462,38396,2.31,4.48
2010-10-11,3.51,3.68,3.48,3.58,0.07,1.99,2289696,81999,5.70,9.35
2010-10-12,3.55,3.60,3.52,3.58,0.00,0.00,952540,33864,2.23,3.89
2010-10-13,3.58,3.83,3.56,3.81,0.23,6.42,2111921,77592,7.54,8.62
2010-10-14,3.90,4.19,3.90,4.19,0.38,9.97,4430202,181455,7.61,18.08
2010-10-15,4.18,4.61,4.14,4.57,0.38,9.07,4326106,186769,11.22,17.66
2010-10-18,4.85,4.87,4.47,4.51,-0.06,-1.31,2859614,132458,8.75,11.67
2010-10-19,4.51,4.67,4.37,4.56,0.05,1.11,2006352,90341,6.65,8.19
2010-10-20,4.56,4.90,4.56,4.70,0.14,3.07,2690538,126853,7.46,10.98
2010-10-21,4.60,4.66,4.39,4.47,-0.23,-4.89,2017110,90431,5.74,8.23
2010-10-25,4.40,4.55,4.27,4.52,0.05,1.12,2090476,92278,6.26,8.53
2010-10-26,4.47,4.52,4.34,4.43,-0.09,-1.99,1482521,65762,3.98,6.05
2010-10-27,4.38,4.59,4.34,4.44,0.01,0.23,1437013,64569,5.64,5.87
2010-10-28,4.42,4.47,4.29,4.40,-0.04,-0.90,1046495,45851,4.05,4.27
2010-10-29,4.42,4.42,4.27,4.32,-0.08,-1.82,947458,40917,3.41,3.87
2010-11-01,4.30,4.39,4.28,4.37,0.05,1.16,1121529,48701,2.55,4.58
2010-11-02,4.35,4.65,4.26,4.50,0.13,2.97,1973637,88331,8.92,8.06
2010-11-03,4.45,4.95,4.36,4.90,0.40,8.89,3459330,164246,13.11,14.12
2010-11-04,4.80,4.93,4.73,4.82,-0.08,-1.63,2043479,98744,4.08,8.34
