日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2015-06-26,23.65,28.38,23.65,28.38,8.67,43.99,20681,5851,24.00,0.14
2015-06-29,31.22,31.22,29.18,31.22,2.84,10.01,3148230,978578,7.19,20.64
2015-06-30,30.68,34.34,29.18,34.34,3.12,9.99,5211003,1691114,16.53,34.17
2015-07-01,36.00,37.30,34.03,34.82,0.48,1.40,5293590,1906522,9.52,34.71
2015-07-02,35.80,35.88,31.35,31.42,-3.40,-9.76,3553935,1179188,13.01,23.30
2015-07-03,30.01,33.30,28.31,29.60,-1.82,-5.79,3310843,999744,15.88,21.71
2015-07-06,32.56,32.56,29.80,31.95,2.35,7.94,4294130,1361575,9.32,28.16
2015-07-07,30.00,30.90,28.76,28.76,-3.19,-9.98,2815863,825012,6.70,18.46
2015-07-08,25.88,25.88,25.88,25.88,-2.88,-10.01,423570,109620,0.00,2.78
2015-07-09,23.29,28.47,23.29,28.47,2.59,10.01,3889723,1012811,20.02,25.51
2015-07-10,28.50,31.32,28.47,31.32,2.85,10.01,3679482,1130457,10.01,24.13
2015-07-13,31.50,33.98,30.38,32.82,1.50,4.79,4489244,1448417,11.49,29.44
2015-07-14,31.35,32.25,29.95,30.38,-2.44,-7.43,3427757,1065279,7.01,22.48
2015-07-15,29.56,30.38,27.34,27.34,-3.04,-10.01,2456028,697858,10.01,16.11
2015-07-16,26.55,28.75,25.70,27.64,0.30,1.10,1680207,461182,11.16,11.02
2015-07-17,27.65,29.88,27.33,29.36,1.72,6.22,1940514,555130,9.23,12.72
2015-07-20,29.00,29.26,28.00,28.37,-0.99,-3.37,1694539,484722,4.29,11.11
2015-07-21,27.89,29.58,27.51,28.71,0.34,1.20,1750595,501934,7.30,11.48
2015-07-22,28.78,29.50,28.49,28.64,-0.07,-0.24,1471208,425191,3.52,9.65
2015-07-23,28.68,29.98,28.51,29.59,0.95,3.32,2149727,632093,5.13,14.10
2015-07-24,29.78,29.86,28.17,28.41,-1.18,-3.99,1853257,539073,5.71,12.15
2015-07-27,27.50,27.97,25.57,25.57,-2.84,-10.00,1703243,457885,8.45,11.17
2015-07-28,24.24,28.13,23.48,27.72,2.15,8.41,3160813,846560,18.19,20.73
2015-07-29,27.50,27.77,26.20,27.69,-0.03,-0.11,1287074,348067,5.66,8.44
2015-07-30,27.10,28.11,26.50,26.66,-1.03,-3.72,1278255,351182,5.81,8.38
2015-07-31,26.18,27.13,25.80,26.38,-0.28,-1.05,854187,225889,4.99,5.60
2015-08-03,25.95,26.45,25.18,26.22,-0.16,-0.61,788053,203484,4.81,5.17
2015-08-04,26.22,27.27,25.91,27.12,0.90,3.43,1072861,286547,5.19,7.04
2015-08-05,26.80,27.00,26.18,26.22,-0.90,-3.32,731823,194731,3.02,4.80
2015-08-06,25.78,26.55,25.58,25.77,-0.45,-1.72,506077,131319,3.70,3.32
2015-08-07,25.76,26.49,25.76,26.09,0.32,1.24,732215,191370,2.83,4.80
2015-08-10,26.21,28.08,25.88,27.54,1.45,5.56,1953645,528710,8.43,12.81
2015-08-11,27.19,27.64,26.90,26.99,-0.55,-2.00,1251657,340511,2.69,8.21
2015-08-12,26.78,27.73,26.65,26.87,-0.12,-0.44,999973,271574,4.00,6.56
2015-08-13,26.87,27.30,26.38,27.05,0.18,0.67,800471,214817,3.42,5.25
2015-08-14,27.23,27.46,26.91,27.08,0.03,0.11,941700,255303,2.03,6.18
2015-08-17,26.98,27.06,26.02,26.43,-0.65,-2.40,872548,230585,3.84,5.72
2015-08-18,26.58,27.50,24.10,24.56,-1.87,-7.08,1454926,381362,12.86,9.54
2015-08-19,24.09,25.10,23.69,25.07,0.51,2.08,987391,242480,5.74,6.47
2015-08-20,24.80,24.90,24.00,24.08,-0.99,-3.95,641178,156698,3.59,4.20
2015-08-21,23.72,24.04,23.00,23.16,-0.92,-3.82,773309,181817,4.32,5.07
2015-08-24,22.01,22.49,20.84,20.84,-2.32,-10.02,1064874,224894,7.12,6.98
2015-08-25,19.25,20.17,18.76,18.76,-2.08,-9.98,1323665,254334,6.77,8.68
2015-08-26,19.28,20.25,18.20,18.95,0.19,1.01,1311747,253661,10.93,8.60
2015-08-27,19.51,20.29,18.80,20.24,1.29,6.81,1129913,220928,7.86,7.41
2015-08-28,20.30,21.27,19.90,21.14,0.90,4.45,1386219,283739,6.77,9.09
2015-08-31,21.00,21.00,19.70,19.99,-1.15,-5.44,1038702,209284,6.15,6.81
2015-09-01,19.90,20.89,18.76,19.67,-0.32,-1.60,875718,173104,10.66,5.74
2015-09-02,18.88,20.08,18.50,18.71,-0.96,-4.88,792359,151730,8.03,5.20
2015-09-07,19.02,19.72,18.80,18.94,0.23,1.23,723747,139717,4.92,4.75
2015-09-08,18.90,20.08,18.76,19.98,1.04,5.49,725148,140221,6.97,4.76
2015-09-09,19.99,20.97,19.82,20.51,0.53,2.65,1316101,268535,5.76,8.63
2015-09-10,20.13,20.27,19.71,19.82,-0.69,-3.36,668065,133655,2.73,4.38
2015-09-11,19.79,20.06,19.48,19.66,-0.16,-0.81,455605,90011,2.93,2.99
2015-09-14,19.77,19.78,18.00,18.25,-1.41,-7.17,824264,154727,9.05,5.41
2015-09-15,18.00,18.46,17.50,17.55,-0.70,-3.84,574179,102905,5.26,3.77
2015-09-16,17.61,19.13,17.45,18.98,1.43,8.15,778980,142361,9.57,5.11
2015-09-17,18.65,19.30,18.35,18.43,-0.55,-2.90,867854,163897,5.01,5.69
2015-09-18,18.65,18.76,18.27,18.53,0.10,0.54,377158,69922,2.66,2.47
2015-09-21,18.10,18.96,18.00,18.89,0.36,1.94,478965,89053,5.18,3.14
2015-09-22,19.20,20.25,19.04,20.02,1.13,5.98,1382277,274725,6.41,9.06
2015-09-23,19.54,19.81,19.05,19.14,-0.88,-4.40,805602,156354,3.80,5.28
2015-09-24,19.26,19.36,18.88,19.05,-0.09,-0.47,605868,115711,2.51,3.97
2015-09-25,18.88,19.09,18.27,18.40,-0.65,-3.41,467312,86960,4.30,3.06
2015-09-28,18.43,18.79,18.11,18.76,0.36,1.96,319677,59241,3.70,2.10
2015-09-29,18.37,19.05,18.13,18.51,-0.25,-1.33,383401,70985,4.90,2.51
2015-09-30,18.55,18.99,18.48,18.60,0.09,0.49,346370,64840,2.76,2.27
2015-10-08,19.60,19.62,19.17,19.22,0.62,3.33,661363,128094,2.42,4.34
2015-10-09,19.22,19.96,19.18,19.68,0.46,2.39,706703,138511,4.06,4.63
2015-10-12,19.80,20.96,19.58,20.59,0.91,4.62,1010420,206302,7.01,6.63
2015-10-13,20.31,20.48,20.02,20.29,-0.30,-1.46,560741,113521,2.23,3.68
2015-10-14,20.15,20.59,20.01,20.02,-0.27,-1.33,608970,123448,2.86,3.99
2015-10-15,19.95,20.64,19.91,20.62,0.60,3.00,688279,140120,3.65,4.51
2015-10-16,20.88,21.24,20.58,21.04,0.42,2.04,1032582,216681,3.20,6.77
2015-10-19,21.10,22.25,21.10,21.62,0.58,2.76,1338888,290797,5.47,8.78
2015-10-20,21.58,21.76,21.05,21.71,0.09,0.42,710696,152533,3.28,4.66
2015-10-21,21.79,21.90,20.07,20.30,-1.41,-6.49,925662,196074,8.43,6.07
2015-10-22,20.20,20.61,19.93,20.58,0.38,1.88,508966,103367,3.37,3.34
2015-10-23,20.84,21.35,20.50,21.28,0.70,3.40,639119,133714,4.13,4.19
2015-10-26,21.90,22.20,21.41,21.65,0.37,1.74,967252,211896,3.71,6.34
2015-10-27,21.05,21.68,20.70,21.58,-0.07,-0.32,532822,112506,4.53,3.49
2015-10-28,21.30,21.68,20.82,20.86,-0.72,-3.34,435811,92378,3.99,2.86
2015-10-29,20.85,21.10,20.59,20.81,-0.05,-0.24,313023,65337,2.44,2.05
2015-10-30,20.92,21.88,20.72,21.30,0.49,2.35,611478,130609,5.57,4.01
2015-11-02,20.90,21.43,20.75,20.79,-0.51,-2.39,440981,92548,3.19,2.89
2015-11-03,20.79,21.07,20.66,20.82,0.03,0.14,290415,60610,1.97,1.90
2015-11-04,20.94,22.90,20.87,22.90,2.08,9.99,1438685,319798,9.75,9.43
2015-11-05,23.51,25.19,23.50,24.19,1.29,5.63,3247350,798170,7.38,21.29
2015-11-06,23.80,26.27,23.51,25.81,1.62,6.70,2352662,588962,11.41,15.43
2015-11-09,25.90,26.77,25.00,25.21,-0.60,-2.32,2228331,575711,6.86,14.61
2015-11-10,24.85,26.51,24.71,25.42,0.21,0.83,1787136,457647,7.14,11.72
2015-11-11,25.01,25.95,24.51,25.42,0.00,0.00,1253916,314895,5.66,8.22
2015-11-12,25.58,25.58,24.54,24.71,-0.71,-2.79,938653,234368,4.09,6.16
2015-11-13,24.26,25.24,24.18,24.72,0.01,0.04,972826,240358,4.29,6.38
2015-11-16,23.90,24.31,23.70,24.27,-0.45,-1.82,808140,193772,2.47,5.30
2015-11-17,24.70,26.38,24.61,24.75,0.48,1.98,1590681,404410,7.29,10.43
2015-11-18,24.85,25.45,23.89,24.06,-0.69,-2.79,940970,232815,6.30,6.17
2015-11-19,24.15,24.42,23.79,24.38,0.32,1.33,608250,146402,2.62,3.99
2015-11-20,24.54,25.20,24.34,24.59,0.21,0.86,749971,185589,3.53,4.92
2015-11-23,24.34,24.90,23.86,23.95,-0.64,-2.60,821961,199869,4.23,5.39
2015-11-24,23.62,24.35,23.15,23.95,0.00,0.00,827136,195751,5.01,5.42
2015-11-25,23.69,24.02,23.53,23.99,0.04,0.17,590384,140479,2.05,3.87
2015-11-26,24.10,24.69,23.89,24.03,0.04,0.17,663182,161098,3.33,4.35
2015-11-27,23.60,23.77,21.88,22.11,-1.92,-7.99,1062738,242164,7.87,6.97
2015-11-30,22.31,22.45,21.22,22.03,-0.08,-0.36,682038,149542,5.56,4.47
2015-12-01,22.04,22.50,21.77,22.26,0.23,1.04,461139,102220,3.31,3.02
2015-12-02,22.33,23.49,22.00,23.38,1.12,5.03,746021,170571,6.69,4.89
2015-12-03,23.12,23.84,22.95,23.35,-0.03,-0.13,596646,139459,3.81,3.91
2015-12-04,23.11,23.26,22.71,22.85,-0.50,-2.14,412900,94809,2.36,2.71
2015-12-07,23.14,23.50,22.92,23.24,0.39,1.71,420538,97722,2.54,2.76
2015-12-08,23.00,23.35,22.70,22.72,-0.52,-2.24,353069,81188,2.80,2.32
2015-12-09,22.61,23.24,22.54,22.96,0.24,1.06,322816,74074,3.08,2.12
2015-12-10,23.04,24.15,23.04,23.20,0.24,1.05,715992,169057,4.83,4.70
2015-12-11,23.00,24.78,22.78,24.34,1.14,4.91,1292004,310258,8.62,8.47
2015-12-14,24.02,26.50,24.02,26.23,1.89,7.77,1436511,362284,10.19,9.42
2015-12-15,26.00,26.00,24.80,25.02,-1.21,-4.61,1090628,276965,4.57,7.15
2015-12-16,25.25,25.60,24.81,25.14,0.12,0.48,608477,153379,3.16,3.99
2015-12-17,25.34,26.22,25.14,25.52,0.38,1.51,888446,228257,4.30,5.83
2015-12-18,25.34,25.57,24.95,25.31,-0.21,-0.82,612609,154459,2.43,4.02
2015-12-21,25.10,25.98,25.06,25.41,0.10,0.40,668828,171179,3.63,4.39
2015-12-22,25.42,25.70,25.28,25.53,0.12,0.47,560226,142672,1.65,3.67
2015-12-23,25.55,26.64,25.40,25.63,0.10,0.39,1307993,340811,4.86,8.58
2015-12-24,25.25,25.30,24.30,24.57,-1.06,-4.14,720626,178505,3.90,4.73
2015-12-25,24.58,24.77,24.43,24.64,0.07,0.28,293103,72121,1.38,1.92
2015-12-28,24.79,24.96,23.70,23.76,-0.88,-3.57,524181,127813,5.11,3.44
2015-12-29,23.72,24.15,23.72,24.00,0.24,1.01,331191,79219,1.81,2.17
2015-12-30,24.10,24.16,23.79,24.09,0.09,0.38,325624,78157,1.54,2.14
2015-12-31,24.03,24.28,23.84,23.90,-0.19,-0.79,283279,68199,1.83,1.86
2016-01-04,23.76,23.95,21.79,21.89,-2.01,-8.41,343329,78674,9.04,2.25
