日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,8.22,8.90,8.14,8.45,0.35,4.32,1212888,103135,9.38,7.28
2007-01-05,8.46,8.79,8.38,8.48,0.03,0.36,765299,65519,4.85,4.59
2007-01-08,8.48,8.71,8.47,8.67,0.19,2.24,485414,41619,2.83,2.91
2007-01-09,8.69,8.87,8.50,8.80,0.13,1.50,547514,47378,4.27,3.29
2007-01-10,8.83,9.10,8.66,9.09,0.29,3.30,686483,61220,5.00,4.12
2007-01-11,9.12,9.26,8.82,8.85,-0.24,-2.64,477361,43040,4.84,2.86
2007-01-12,8.85,8.85,8.25,8.28,-0.57,-6.44,616497,52729,6.78,3.70
2007-01-15,8.24,8.85,8.20,8.84,0.56,6.76,436903,37369,7.85,2.62
2007-01-16,8.95,8.97,8.65,8.91,0.07,0.79,494634,43823,3.62,2.97
2007-01-17,8.94,9.04,8.50,8.68,-0.23,-2.58,548540,48218,6.06,3.29
2007-01-18,8.60,8.77,8.38,8.64,-0.04,-0.46,502001,43115,4.49,3.01
2007-01-19,8.66,9.21,8.60,9.15,0.51,5.90,637309,57264,7.06,3.82
2007-01-22,9.22,10.07,9.22,10.07,0.92,10.05,872661,85218,9.29,5.24
2007-01-23,10.30,11.05,10.10,10.32,0.25,2.48,848303,89176,9.43,5.09
2007-01-24,10.36,11.10,10.15,10.92,0.60,5.81,700117,75859,9.21,4.20
2007-01-25,10.78,11.09,10.40,10.68,-0.24,-2.20,507977,54827,6.32,3.05
2007-01-26,10.50,10.80,9.81,10.71,0.03,0.28,453602,47412,9.27,2.72
2007-01-29,10.60,10.92,10.37,10.76,0.05,0.47,519824,55281,5.14,3.12
2007-01-30,10.68,11.50,10.65,10.95,0.19,1.77,520051,58023,7.90,3.12
2007-01-31,10.94,11.41,10.31,10.54,-0.41,-3.74,539889,59245,10.05,3.24
2007-02-01,10.20,10.30,9.58,9.99,-0.55,-5.22,1110508,110779,6.83,5.24
2007-02-02,10.10,10.16,9.73,9.78,-0.21,-2.10,407996,40586,4.30,1.92
2007-02-05,9.75,10.08,9.75,9.81,0.03,0.31,256141,25474,3.37,1.21
2007-02-06,9.88,10.02,9.03,9.65,-0.16,-1.63,476421,45437,10.09,2.25
2007-02-07,9.79,10.05,9.58,9.82,0.17,1.76,444328,43969,4.87,2.09
2007-02-08,9.87,10.80,9.84,10.80,0.98,9.98,598555,63208,9.78,2.82
2007-02-09,11.20,11.45,10.70,10.90,0.10,0.93,696366,77035,6.94,3.28
2007-02-12,10.82,11.35,10.70,11.15,0.25,2.29,393129,43561,5.96,1.85
2007-02-13,11.15,11.95,11.15,11.68,0.53,4.75,621174,72531,7.17,2.93
2007-02-14,11.70,12.29,11.70,12.08,0.40,3.42,509214,61472,5.05,2.40
2007-02-15,12.15,12.49,11.96,12.10,0.02,0.17,427760,52168,4.39,2.02
2007-02-16,12.20,12.88,12.14,12.35,0.25,2.07,301242,37528,6.12,1.42
2007-02-26,12.50,12.94,12.21,12.45,0.10,0.81,275115,34490,5.91,1.30
2007-02-27,12.40,12.40,11.21,11.21,-1.24,-9.96,402014,46583,9.56,1.90
2007-02-28,10.35,11.27,10.35,11.25,0.04,0.36,492598,53418,8.21,2.32
2007-03-01,11.27,11.35,10.50,10.60,-0.65,-5.78,519670,56333,7.56,2.45
2007-03-02,10.59,11.30,10.59,11.23,0.63,5.94,349577,38747,6.70,1.65
2007-03-05,11.23,11.23,10.47,10.78,-0.45,-4.01,554748,59851,6.77,2.62
2007-03-06,10.78,11.40,10.65,11.09,0.31,2.88,381071,42149,6.96,1.80
2007-03-07,11.21,12.20,11.20,11.93,0.84,7.57,867009,104544,9.02,4.09
2007-03-08,11.88,12.32,11.80,11.99,0.06,0.50,426726,51545,4.36,2.01
2007-03-09,12.06,12.15,11.82,11.99,0.00,0.00,300645,35974,2.75,1.42
2007-03-12,12.05,12.70,12.04,12.26,0.27,2.25,512788,63605,5.50,2.42
2007-03-13,12.24,12.25,11.70,12.15,-0.11,-0.90,285237,34066,4.49,1.34
2007-03-14,11.90,11.95,11.57,11.80,-0.35,-2.88,278453,32795,3.13,1.31
2007-03-15,11.70,12.03,11.70,11.96,0.16,1.36,239455,28486,2.80,1.13
2007-03-16,11.90,12.38,11.67,12.30,0.34,2.84,754449,91356,5.94,3.56
2007-03-19,11.89,13.27,11.81,13.00,0.70,5.69,601473,76680,11.87,2.84
2007-03-20,13.05,14.14,12.70,13.84,0.84,6.46,636372,85136,11.08,3.00
2007-03-21,13.78,13.84,13.28,13.53,-0.31,-2.24,328445,44418,4.05,1.55
2007-03-22,13.58,14.05,13.41,13.43,-0.10,-0.74,306983,41939,4.73,1.45
2007-03-23,13.42,13.99,12.95,13.60,0.17,1.27,395562,52836,7.74,1.86
2007-03-26,13.58,13.68,13.32,13.62,0.02,0.15,318412,43066,2.65,1.50
2007-03-27,13.74,13.87,13.39,13.41,-0.21,-1.54,422385,57415,3.52,1.99
2007-03-28,13.40,13.42,12.50,12.99,-0.42,-3.13,671073,86852,6.86,3.16
2007-03-29,12.95,13.35,12.80,13.00,0.01,0.08,542635,70738,4.23,2.56
2007-03-30,12.98,13.02,12.65,12.85,-0.15,-1.15,360974,46292,2.85,1.70
2007-04-02,12.88,13.19,12.73,13.16,0.31,2.41,423651,55191,3.58,2.00
2007-04-03,13.25,13.42,13.01,13.39,0.23,1.75,502541,66239,3.12,2.37
2007-04-04,13.48,13.86,13.30,13.55,0.16,1.19,689002,93984,4.18,3.25
2007-04-05,13.49,13.55,13.06,13.50,-0.05,-0.37,494533,65760,3.62,2.33
2007-04-06,13.30,13.62,13.21,13.40,-0.10,-0.74,417984,56084,3.04,1.97
2007-04-09,13.43,14.30,13.42,14.04,0.64,4.78,759176,105722,6.57,3.58
2007-04-10,14.06,14.50,13.95,14.31,0.27,1.92,651376,92798,3.92,3.07
2007-04-11,14.45,14.60,14.15,14.42,0.11,0.77,503250,72329,3.14,2.37
2007-04-12,14.41,14.70,14.18,14.55,0.13,0.90,407599,58611,3.61,1.92
