日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2009-11-17,35.01,35.70,33.11,33.61,2.61,8.42,1718886,593301,8.35,59.93
2009-11-18,32.50,33.16,32.01,32.59,-1.02,-3.03,812632,263393,3.42,28.33
2009-11-19,32.49,32.76,32.26,32.58,-0.01,-0.03,354551,115222,1.53,12.36
2009-11-20,32.55,33.46,32.55,33.16,0.58,1.78,449703,148312,2.79,15.68
2009-11-23,33.16,33.17,32.68,32.86,-0.30,-0.90,285305,93673,1.48,9.95
2009-11-24,32.98,33.19,32.01,32.21,-0.65,-1.98,350873,114737,3.59,12.23
2009-11-25,32.25,32.48,31.68,32.31,0.10,0.31,227121,72894,2.48,7.92
2009-11-26,32.28,32.29,31.25,31.31,-1.00,-3.10,253379,80452,3.22,8.83
2009-11-27,31.17,31.76,31.10,31.23,-0.08,-0.26,177882,55804,2.11,6.20
2009-11-30,31.47,32.48,31.25,32.18,0.95,3.04,256434,82134,3.94,8.94
2009-12-01,32.00,32.18,31.70,31.97,-0.21,-0.65,192552,61471,1.49,6.71
2009-12-02,32.00,32.13,31.73,31.87,-0.10,-0.31,169930,54134,1.25,5.92
2009-12-03,31.97,32.23,31.74,31.90,0.03,0.09,148309,47437,1.54,5.17
2009-12-04,32.00,32.90,31.55,32.61,0.71,2.23,392168,126550,4.23,13.67
2009-12-07,32.50,32.75,32.22,32.53,-0.08,-0.25,226720,73684,1.63,7.90
2009-12-08,32.48,32.53,31.65,31.82,-0.71,-2.18,141157,45161,2.71,4.92
2009-12-09,31.65,31.77,31.31,31.40,-0.42,-1.32,113207,35670,1.45,3.95
2009-12-10,31.52,31.72,31.37,31.61,0.21,0.67,86103,27156,1.11,3.00
2009-12-11,31.62,31.70,31.40,31.44,-0.17,-0.54,79428,25036,0.95,2.77
2009-12-14,31.38,31.52,30.65,31.22,-0.22,-0.70,149941,46593,2.77,5.23
2009-12-15,31.20,31.20,30.80,30.81,-0.41,-1.31,98439,30433,1.28,3.43
2009-12-16,30.80,31.18,30.70,30.85,0.04,0.13,95720,29563,1.56,3.34
2009-12-17,30.84,30.90,29.61,29.63,-1.22,-3.95,146004,44054,4.18,5.09
2009-12-18,29.50,29.50,28.52,28.73,-0.90,-3.04,125272,36256,3.31,4.37
2009-12-21,28.76,29.12,28.60,28.89,0.16,0.56,85861,24774,1.81,2.99
2009-12-22,28.95,28.99,27.82,27.83,-1.06,-3.67,101627,28737,4.05,3.54
2009-12-23,27.76,28.20,27.70,28.08,0.25,0.90,65349,18287,1.80,2.28
2009-12-24,28.08,28.55,28.02,28.46,0.38,1.35,83588,23707,1.89,2.91
2009-12-25,28.47,28.47,28.10,28.13,-0.33,-1.16,64118,18076,1.30,2.24
2009-12-28,28.20,28.92,28.20,28.73,0.60,2.13,98795,28363,2.56,3.44
2009-12-29,28.73,29.10,28.58,28.89,0.16,0.56,73778,21297,1.81,2.57
2009-12-30,28.95,29.45,28.85,29.33,0.44,1.52,139557,40738,2.08,4.87
2009-12-31,29.38,29.48,29.15,29.39,0.06,0.20,95419,27968,1.13,3.33
2010-01-04,29.42,29.60,29.16,29.21,-0.18,-0.61,85639,25134,1.50,2.99
2010-01-05,29.24,31.60,28.75,30.85,1.64,5.61,324631,99552,9.76,11.32
2010-01-06,30.50,30.98,30.15,30.16,-0.69,-2.24,139524,42670,2.69,4.86
2010-01-07,30.21,30.75,29.80,29.91,-0.25,-0.83,133083,40314,3.15,4.64
2010-01-08,30.19,30.64,29.80,30.53,0.62,2.07,102600,31005,2.81,3.58
2010-01-11,33.57,33.57,31.04,31.21,0.68,2.23,366523,117520,8.29,12.78
2010-01-12,31.00,31.54,30.51,31.36,0.15,0.48,128079,39742,3.30,4.47
2010-01-13,30.50,30.88,29.94,29.98,-1.38,-4.40,124128,37797,3.00,4.33
2010-01-14,30.13,30.78,29.78,30.52,0.54,1.80,120307,36395,3.34,4.19
2010-01-15,30.51,31.40,30.51,31.22,0.70,2.29,144703,45013,2.92,5.04
2010-01-18,30.94,30.98,30.52,30.82,-0.40,-1.28,76942,23647,1.47,2.68
2010-01-19,31.14,31.46,30.80,30.95,0.13,0.42,60021,18668,2.14,2.09
2010-01-20,31.00,31.08,29.75,29.81,-1.14,-3.68,78762,23860,4.30,2.75
2010-01-21,29.85,30.35,29.85,30.24,0.43,1.44,56900,17173,1.68,1.98
2010-01-22,29.90,29.98,28.80,29.53,-0.71,-2.35,78556,23133,3.90,2.74
2010-01-25,29.55,29.90,29.31,29.32,-0.21,-0.71,45625,13494,2.00,1.59
2010-01-26,29.31,29.50,28.46,28.73,-0.59,-2.01,54145,15591,3.55,1.89
2010-01-27,28.89,28.96,28.38,28.39,-0.34,-1.18,35157,10075,2.02,1.23
2010-01-28,28.42,28.65,28.10,28.57,0.18,0.63,30793,8758,1.94,1.07
2010-01-29,28.47,29.12,28.35,28.50,-0.07,-0.25,37381,10748,2.70,1.30
2010-02-01,28.58,28.59,28.00,28.31,-0.19,-0.67,49677,14008,2.07,1.73
2010-02-02,28.51,28.86,28.29,28.36,0.05,0.18,33706,9643,2.01,1.18
2010-02-03,28.44,29.56,28.03,29.53,1.17,4.13,89160,25920,5.39,3.11
2010-02-04,29.31,30.15,29.18,29.90,0.37,1.25,100838,30018,3.28,3.52
2010-02-05,29.40,29.86,29.22,29.75,-0.15,-0.50,59019,17382,2.14,2.06
2010-02-08,29.79,30.28,29.60,30.08,0.33,1.11,56332,16941,2.29,1.96
2010-02-09,29.96,30.00,29.17,29.30,-0.78,-2.59,55559,16381,2.76,1.94
2010-02-10,29.53,29.69,29.23,29.55,0.25,0.85,33629,9913,1.57,1.17
2010-02-11,29.47,29.63,29.29,29.38,-0.17,-0.58,27581,8123,1.15,0.96
2010-02-12,29.50,29.56,29.18,29.19,-0.19,-0.65,33558,9824,1.29,1.17
2010-02-22,28.85,29.00,28.26,28.53,-0.66,-2.26,168297,48054,2.54,4.69
2010-02-23,28.40,28.40,27.85,28.18,-0.35,-1.23,69789,19603,1.93,1.95
2010-02-24,28.12,28.48,28.04,28.46,0.28,0.99,55617,15750,1.56,1.55
2010-02-25,28.58,29.00,28.48,28.72,0.26,0.91,86359,24853,1.83,2.41
2010-02-26,28.72,29.20,28.54,28.87,0.15,0.52,111728,32214,2.30,3.12
2010-03-01,28.74,29.08,28.65,29.00,0.13,0.45,72394,20953,1.49,2.02
2010-03-02,29.10,29.10,28.70,28.78,-0.22,-0.76,53000,15294,1.38,1.48
2010-03-03,28.71,29.26,28.56,29.11,0.33,1.15,85840,24871,2.43,2.39
2010-03-04,29.13,29.14,28.20,28.25,-0.86,-2.95,61768,17664,3.23,1.72
2010-03-05,28.40,29.36,28.35,28.93,0.68,2.41,117455,34080,3.58,3.28
2010-03-08,28.86,29.07,28.70,28.98,0.05,0.17,45980,13281,1.28,1.28
2010-03-09,28.87,29.09,28.47,28.79,-0.19,-0.66,53919,15531,2.14,1.50
2010-03-10,28.85,29.07,28.50,28.60,-0.19,-0.66,55219,15895,1.98,1.54
2010-03-11,28.62,29.16,28.41,28.92,0.32,1.12,75048,21654,2.62,2.09
2010-03-12,28.86,29.10,28.62,28.63,-0.29,-1.00,57045,16463,1.66,1.59
2010-03-15,28.63,28.75,28.23,28.36,-0.27,-0.94,37055,10516,1.82,1.03
2010-03-16,28.38,28.55,28.12,28.37,0.01,0.04,37324,10571,1.52,1.04
2010-03-17,28.41,28.69,28.30,28.68,0.31,1.09,48205,13744,1.37,1.34
2010-03-18,28.69,28.75,28.49,28.52,-0.16,-0.56,53033,15185,0.91,1.48
2010-03-19,28.60,28.73,28.43,28.69,0.17,0.60,36532,10433,1.05,1.02
2010-03-22,28.71,28.85,28.58,28.63,-0.06,-0.21,41317,11842,0.94,1.15
2010-03-23,28.68,28.70,28.16,28.20,-0.43,-1.50,86603,24498,1.89,2.42
2010-03-24,28.38,28.38,28.10,28.16,-0.04,-0.14,51597,14553,0.99,1.44
2010-03-25,28.20,28.20,27.78,27.84,-0.32,-1.14,73836,20597,1.49,2.06
2010-03-26,27.82,28.17,27.80,28.04,0.20,0.72,46219,12954,1.33,1.29
2010-03-29,28.24,28.65,28.14,28.56,0.52,1.85,89521,25510,1.82,2.50
2010-03-30,28.58,28.60,28.38,28.46,-0.10,-0.35,49804,14181,0.77,1.39
2010-03-31,28.53,28.70,28.24,28.28,-0.18,-0.63,43366,12313,1.62,1.21
2010-04-01,28.26,28.67,28.20,28.61,0.33,1.17,77734,22134,1.66,2.17
2010-04-02,28.65,28.82,28.50,28.70,0.09,0.31,68704,19698,1.12,1.92
