日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,16.99,17.80,15.50,15.96,-0.40,-2.45,1534458,258163,14.06,3.26
2007-01-05,15.76,15.76,15.00,15.24,-0.72,-4.51,1127980,173451,4.76,2.40
2007-01-08,15.36,16.20,15.36,16.00,0.76,4.99,961097,152035,5.51,2.04
2007-01-09,15.85,16.50,15.80,16.43,0.43,2.69,931744,151508,4.38,1.98
2007-01-10,16.59,16.88,16.15,16.74,0.31,1.89,746491,123233,4.44,1.59
2007-01-11,16.71,16.90,16.18,16.23,-0.51,-3.05,745136,123405,4.30,1.58
2007-01-12,16.02,16.39,15.55,15.89,-0.34,-2.09,653623,105040,5.18,1.39
2007-01-15,15.88,16.80,15.72,16.70,0.81,5.10,695272,113344,6.80,1.48
2007-01-16,16.86,17.42,16.70,17.09,0.39,2.34,867204,148204,4.31,1.84
2007-01-17,17.10,17.48,16.20,16.46,-0.63,-3.69,743858,125651,7.49,1.58
2007-01-18,16.43,16.83,15.36,15.70,-0.76,-4.62,983312,156823,8.93,2.09
2007-01-19,16.10,16.87,16.05,16.48,0.78,4.97,829260,136077,5.22,1.76
2007-01-22,16.81,17.63,16.81,17.53,1.05,6.37,1085171,188198,4.98,2.30
2007-01-23,17.61,19.08,17.56,18.81,1.28,7.30,1298616,236020,8.67,2.76
2007-01-24,18.90,19.71,18.00,18.14,-0.67,-3.56,1231089,232687,9.09,2.61
2007-01-25,18.21,18.61,17.85,18.05,-0.09,-0.50,905206,164846,4.19,1.92
2007-01-26,17.92,19.51,17.60,19.24,1.19,6.59,985269,181819,10.58,2.09
2007-01-29,19.30,19.96,18.80,19.00,-0.24,-1.25,1217080,233835,6.03,2.58
2007-01-30,19.12,19.19,18.35,18.45,-0.55,-2.89,868337,162601,4.42,1.84
2007-01-31,18.32,18.32,16.81,17.17,-1.28,-6.94,943372,166708,8.18,2.00
2007-02-01,16.89,17.49,16.68,16.91,-0.26,-1.51,859324,146116,4.72,1.82
2007-02-02,17.04,17.13,16.08,16.15,-0.76,-4.49,889613,146263,6.21,1.89
2007-02-05,16.15,16.35,15.62,15.63,-0.52,-3.22,689939,109544,4.52,1.47
2007-02-06,15.55,16.50,14.99,16.46,0.83,5.31,1683799,261086,9.66,3.58
2007-02-07,16.49,17.30,16.33,16.72,0.26,1.58,1340583,225664,5.89,2.85
2007-02-08,16.89,16.90,16.23,16.56,-0.16,-0.96,612106,100821,4.01,1.30
2007-02-09,16.51,16.65,15.97,16.05,-0.51,-3.08,602604,97695,4.11,1.28
2007-02-12,16.03,17.10,16.03,16.91,0.86,5.36,692676,115290,6.67,1.47
2007-02-13,17.00,17.38,16.81,17.03,0.12,0.71,550887,94210,3.37,1.17
