日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,10.35,11.20,10.18,10.21,0.01,0.10,1542890,165808,10.00,2.52
2007-01-05,10.01,10.24,9.48,9.61,-0.60,-5.88,1249762,122136,7.44,2.04
2007-01-08,9.53,9.97,9.39,9.69,0.08,0.83,941296,90495,6.04,1.54
2007-01-09,9.69,10.14,9.65,10.10,0.41,4.23,1627222,161766,5.06,2.66
2007-01-10,10.19,10.51,9.96,10.17,0.07,0.69,1406619,143703,5.45,2.30
2007-01-11,10.18,10.35,9.75,9.76,-0.41,-4.03,1383319,138318,5.90,2.26
2007-01-12,9.69,10.08,9.48,9.69,-0.07,-0.72,1014266,98933,6.15,1.66
2007-01-16,10.40,10.59,10.00,10.24,0.55,5.68,1957083,201699,6.09,3.20
2007-01-17,10.30,10.65,10.10,10.35,0.11,1.07,1969003,204405,5.37,3.22
2007-01-18,10.25,10.45,9.40,9.84,-0.51,-4.93,1715851,169549,10.14,2.81
2007-01-19,9.76,10.22,9.71,10.14,0.30,3.05,1466477,147464,5.18,2.40
2007-01-22,10.30,10.60,10.30,10.37,0.23,2.27,2115669,220923,2.96,3.46
2007-01-23,10.47,11.41,10.35,11.41,1.04,10.03,4293836,466693,10.22,7.02
2007-01-24,11.48,12.21,11.25,11.53,0.12,1.05,2371685,279292,8.41,3.88
2007-01-25,11.39,12.12,11.08,11.67,0.14,1.21,2065587,243368,9.02,3.38
2007-01-26,11.62,12.84,11.50,12.84,1.17,10.03,2585727,314851,11.48,4.23
2007-01-29,13.28,14.07,13.01,13.98,1.14,8.88,2747266,371551,8.26,4.49
2007-01-30,13.98,13.98,13.00,13.25,-0.73,-5.22,1510370,202571,7.01,2.47
2007-01-31,13.25,13.48,11.93,12.02,-1.23,-9.28,1629269,205334,11.70,2.67
2007-02-01,11.88,12.50,11.60,12.29,0.27,2.25,1445864,175678,7.49,2.37
2007-02-02,12.29,12.39,11.38,11.51,-0.78,-6.35,1276829,149710,8.22,2.09
2007-02-05,11.45,11.65,10.63,10.84,-0.67,-5.82,1165420,128080,8.86,1.91
2007-02-06,10.71,11.92,10.05,11.92,1.08,9.96,2239549,242515,17.25,3.66
2007-02-07,11.80,12.78,11.68,12.19,0.27,2.27,2553900,313376,9.23,4.18
2007-02-08,12.19,12.28,11.70,11.95,-0.24,-1.97,1014261,121585,4.76,1.66
2007-02-09,11.98,12.30,11.49,11.57,-0.38,-3.18,1007398,118533,6.78,1.65
2007-02-12,11.55,12.30,11.51,12.23,0.66,5.70,1399832,168031,6.83,2.29
2007-02-13,12.30,12.57,12.06,12.42,0.19,1.55,962649,118527,4.17,1.57
2007-02-14,12.41,12.77,12.21,12.63,0.21,1.69,950710,119400,4.51,1.56
2007-02-15,12.76,13.51,12.76,13.18,0.55,4.35,1355953,179133,5.94,2.22
2007-02-16,13.36,13.55,13.00,13.17,-0.01,-0.08,1085513,143987,4.17,1.78
2007-02-26,12.90,12.90,12.30,12.63,-0.54,-4.10,1829544,229260,4.56,2.99
2007-02-27,12.75,12.85,11.37,11.37,-1.26,-9.98,1909743,231701,11.72,3.12
2007-03-01,11.88,11.88,11.08,11.46,0.09,0.79,1725808,199051,7.04,2.82
2007-03-02,11.50,11.73,11.28,11.50,0.04,0.35,1157128,132855,3.93,1.89
2007-03-05,11.43,11.49,10.62,10.98,-0.52,-4.52,1372960,152024,7.57,2.25
2007-03-06,11.05,11.82,10.95,11.53,0.55,5.01,1615421,183646,7.92,2.64
2007-03-07,11.53,11.79,11.40,11.62,0.09,0.78,1169527,135509,3.38,1.91
2007-03-08,11.62,11.65,11.36,11.53,-0.09,-0.77,968183,111001,2.50,1.58
2007-03-09,11.57,11.80,11.38,11.62,0.09,0.78,1544692,179206,3.64,2.53
2007-03-12,11.70,11.76,11.21,11.40,-0.22,-1.89,1255972,144267,4.73,2.05
2007-03-13,11.41,11.44,11.18,11.31,-0.09,-0.79,1076906,121555,2.28,1.76
2007-03-14,11.15,11.18,10.80,11.01,-0.30,-2.65,1357329,149483,3.36,2.22
2007-03-15,11.02,11.24,10.92,11.19,0.18,1.63,1173940,130066,2.91,1.92
2007-03-16,11.26,11.39,10.91,11.03,-0.16,-1.43,1377393,153652,4.29,2.25
2007-03-19,11.40,12.13,11.30,11.90,0.87,7.89,2417775,284425,7.52,3.95
2007-03-20,12.00,12.04,11.70,11.77,-0.13,-1.09,1160314,137480,2.86,1.90
2007-03-21,11.80,12.08,11.78,11.89,0.12,1.02,1182540,141021,2.55,1.93
2007-03-22,12.10,12.14,11.80,11.85,-0.04,-0.34,1334254,159856,2.86,2.18
2007-03-23,11.85,11.90,11.37,11.64,-0.21,-1.77,1152459,134027,4.47,1.89
2007-03-26,11.66,11.92,11.44,11.88,0.24,2.06,1506884,175895,4.12,2.46
2007-03-27,11.88,11.93,11.66,11.82,-0.06,-0.51,1259624,148394,2.27,2.06
2007-03-28,11.85,12.57,11.70,12.40,0.58,4.91,3209546,390156,7.36,5.25
2007-03-29,12.42,13.31,12.30,12.61,0.21,1.69,3686593,472307,8.15,6.03
2007-03-30,12.48,12.68,12.31,12.44,-0.17,-1.35,1196661,149580,2.93,1.96
2007-04-02,12.43,12.84,12.41,12.67,0.23,1.85,1093513,138192,3.46,1.79
2007-04-03,12.70,12.90,12.57,12.75,0.08,0.63,1029702,130807,2.60,1.68
2007-04-04,12.79,12.83,12.46,12.55,-0.20,-1.57,1319289,167037,2.90,2.16
2007-04-05,12.50,12.53,12.23,12.40,-0.15,-1.20,1934364,238723,2.39,3.16
2007-04-06,12.30,12.41,12.18,12.26,-0.14,-1.13,1740521,213354,1.85,2.85
2007-04-10,12.43,12.54,12.25,12.49,0.23,1.88,2140795,265614,2.37,3.50
2007-04-11,12.58,12.98,12.57,12.81,0.32,2.56,2643044,337666,3.28,4.32
2007-04-12,12.95,13.18,12.86,12.92,0.11,0.86,2142003,278523,2.50,3.50
2007-04-13,12.90,12.90,12.51,12.54,-0.38,-2.94,2010036,254737,3.02,3.29
2007-04-16,12.47,13.08,12.34,12.90,0.36,2.87,2512056,317954,5.90,4.11
2007-04-17,13.05,13.10,12.43,12.77,-0.13,-1.01,2071831,265234,5.19,3.39
2007-04-18,12.78,12.78,12.41,12.52,-0.25,-1.96,1937009,242654,2.90,3.17
2007-04-19,12.53,12.69,11.61,11.97,-0.55,-4.39,2337119,286658,8.63,3.82
2007-04-20,12.01,12.38,12.01,12.28,0.31,2.59,1901878,232127,3.09,3.11
2007-04-23,12.34,12.65,12.14,12.58,0.30,2.44,2449182,304561,4.15,4.01
2007-04-24,12.71,12.78,12.46,12.60,0.02,0.16,2077871,261911,2.54,3.40
2007-04-25,12.65,13.61,12.52,13.45,0.85,6.75,4515078,595767,8.65,7.39
2007-04-26,13.66,13.75,13.17,13.37,-0.08,-0.59,2520078,337678,4.31,4.12
2007-04-27,13.40,13.43,12.85,13.06,-0.31,-2.32,1912124,250796,4.34,3.13
2007-04-30,12.94,13.16,12.80,13.01,-0.05,-0.38,1795307,232935,2.76,2.94
2007-05-08,13.30,13.38,13.00,13.14,0.13,1.00,2261497,297618,2.92,3.70
2007-05-09,13.12,13.75,13.00,13.63,0.49,3.73,3740673,502590,5.71,6.12
