日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,21.65,23.44,19.96,21.46,0.15,0.70,508894,114084,16.33,3.82
2007-01-05,21.46,21.46,19.52,20.83,-0.63,-2.94,357056,73119,9.04,2.68
2007-01-08,20.80,21.68,20.61,21.25,0.42,2.02,254889,53649,5.14,1.91
2007-01-09,21.03,22.90,21.00,22.79,1.54,7.25,329619,72704,8.94,2.47
2007-01-10,22.83,24.28,22.83,23.63,0.84,3.69,352768,83577,6.36,2.65
2007-01-11,23.50,24.33,22.52,23.22,-0.41,-1.74,228859,53977,7.66,1.72
2007-01-12,22.90,23.37,22.20,22.60,-0.62,-2.67,232148,53040,5.04,1.74
2007-01-15,22.92,24.00,22.71,23.95,1.35,5.97,228229,53145,5.71,1.71
2007-01-16,24.01,24.45,23.20,23.78,-0.17,-0.71,201942,48203,5.22,1.52
2007-01-17,23.85,24.01,22.54,22.94,-0.84,-3.53,292171,67573,6.18,2.19
2007-01-18,22.70,23.01,20.65,21.39,-1.55,-6.76,353450,75779,10.29,2.65
2007-01-19,21.50,22.30,21.50,21.82,0.43,2.01,296652,64803,3.74,2.23
2007-01-22,22.50,23.10,21.95,22.59,0.77,3.53,421726,95110,5.27,3.17
2007-01-23,22.88,24.85,22.32,24.85,2.26,10.00,491352,115319,11.20,3.69
2007-01-24,24.91,25.99,24.11,24.70,-0.15,-0.60,352938,88813,7.57,2.65
2007-01-25,24.30,25.50,23.81,24.37,-0.33,-1.34,286076,71229,6.84,2.15
2007-01-26,24.05,26.81,23.80,26.58,2.21,9.07,371711,92331,12.35,2.79
2007-01-29,26.40,27.80,25.97,27.19,0.61,2.30,374506,100442,6.88,2.81
2007-01-30,27.00,28.33,25.80,26.33,-0.86,-3.16,388509,105867,9.30,2.92
2007-01-31,26.28,26.28,23.70,24.99,-1.34,-5.09,281170,70681,9.80,2.11
2007-02-01,24.40,25.16,24.20,24.59,-0.40,-1.60,175139,43326,3.84,1.31
2007-02-02,24.65,24.97,22.33,23.00,-1.59,-6.47,199090,46940,10.74,1.49
