日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,6.38,6.38,6.38,6.38,0.58,10.00,844,54,0.00,0.07
2007-01-05,7.02,7.02,7.02,7.02,0.64,10.03,1301,91,0.00,0.11
2007-01-08,7.72,7.72,7.72,7.72,0.70,9.97,1730,134,0.00,0.15
2007-01-09,8.49,8.49,8.49,8.49,0.77,9.97,3485,296,0.00,0.30
2007-01-10,9.34,9.34,9.34,9.34,0.85,10.01,1489,139,0.00,0.13
2007-01-11,10.27,10.27,10.27,10.27,0.93,9.96,2198,226,0.00,0.19
2007-01-12,11.30,11.30,11.30,11.30,1.03,10.03,35379,3998,0.00,3.03
2007-01-24,12.43,12.43,12.43,12.43,1.13,10.00,854,106,0.00,0.07
2007-01-25,13.67,13.67,13.67,13.67,1.24,9.98,301,41,0.00,0.03
2007-01-26,15.04,15.04,15.04,15.04,1.37,10.02,4712,709,0.00,0.40
2007-01-29,16.54,16.54,16.54,16.54,1.50,9.97,2106,348,0.00,0.18
2007-01-30,18.19,18.19,18.19,18.19,1.65,9.98,676,123,0.00,0.06
2007-01-31,20.01,20.01,20.01,20.01,1.82,10.01,17841,3570,0.00,1.53
2007-02-01,22.01,22.01,21.09,22.01,2.00,10.00,335510,73767,4.60,28.69
2007-02-02,22.44,22.44,20.01,20.67,-1.34,-6.09,286249,60838,11.04,24.48
2007-02-05,19.80,20.18,18.60,18.60,-2.07,-10.01,96930,18614,7.64,8.29
2007-02-06,17.68,18.27,16.88,17.65,-0.95,-5.11,158392,27924,7.47,13.55
2007-02-07,17.92,19.29,17.76,18.46,0.81,4.59,163268,30104,8.67,13.96
2007-02-08,18.25,19.90,17.68,19.40,0.94,5.09,170171,31647,12.03,14.55
2007-02-09,19.70,19.99,18.83,19.08,-0.32,-1.65,97236,18871,5.98,8.32
2007-02-12,19.48,20.70,19.08,20.37,1.29,6.76,98350,19681,8.49,8.41
2007-02-13,20.36,21.75,19.81,21.34,0.97,4.76,83179,17220,9.52,7.11
2007-02-14,21.25,23.47,21.05,23.47,2.13,9.98,81212,18238,11.34,6.95
2007-02-15,24.99,25.82,24.05,25.82,2.35,10.01,81735,20801,7.54,6.99
2007-02-16,27.48,28.39,25.52,26.15,0.33,1.28,140862,37999,11.12,12.05
2007-02-26,26.20,27.18,25.50,25.92,-0.23,-0.88,65444,17077,6.42,5.60
2007-02-27,25.98,26.25,23.33,23.33,-2.59,-9.99,112920,27045,11.27,9.66
2007-02-28,22.30,23.80,21.50,23.45,0.12,0.51,93574,21098,9.86,8.00
2007-03-01,23.29,23.29,21.11,21.30,-2.15,-9.17,72094,15739,9.30,6.17
2007-03-02,21.01,22.79,21.01,21.92,0.62,2.91,64884,14372,8.36,5.55
2007-03-05,21.97,22.28,20.28,21.11,-0.81,-3.70,45382,9639,9.12,3.88
2007-03-06,20.80,23.22,20.80,22.72,1.61,7.63,78786,17651,11.46,6.74
2007-03-07,22.60,24.78,22.51,24.18,1.46,6.43,92493,22081,9.99,7.91
2007-03-08,24.08,24.98,23.39,24.48,0.30,1.24,62133,15061,6.58,5.31
2007-03-09,24.28,25.18,23.68,24.34,-0.14,-0.57,65874,16147,6.13,5.63
2007-03-12,24.50,26.48,23.94,25.70,1.36,5.59,82141,20812,10.44,7.02
2007-03-13,25.60,26.45,25.11,25.58,-0.12,-0.47,47819,12298,5.21,4.09
2007-03-14,25.00,25.33,23.81,24.08,-1.50,-5.86,58211,14230,5.94,4.98
2007-03-15,23.95,24.77,23.93,24.33,0.25,1.04,29345,7122,3.49,2.51
2007-03-16,24.28,24.59,23.10,23.15,-1.18,-4.85,46668,11099,6.12,3.99
2007-03-19,22.19,24.05,22.18,23.39,0.24,1.04,48770,11399,8.08,4.17
2007-03-20,23.61,24.00,23.30,23.75,0.36,1.54,25504,6025,2.99,2.18
2007-03-21,23.85,24.56,23.76,24.12,0.37,1.56,31071,7493,3.37,2.66
2007-03-22,24.36,24.53,23.31,23.39,-0.73,-3.03,52700,12528,5.06,4.51
2007-03-23,23.01,23.48,22.38,22.92,-0.47,-2.01,49827,11372,4.70,4.26
2007-03-26,23.19,23.86,22.50,23.51,0.59,2.57,32995,7622,5.93,2.82
2007-03-27,23.34,23.99,23.11,23.73,0.22,0.94,29962,7109,3.74,2.56
2007-03-28,23.70,24.44,22.71,24.07,0.34,1.43,54014,12837,7.29,4.62
2007-03-29,24.20,25.49,24.20,24.67,0.60,2.49,80588,20052,5.36,6.89
2007-03-30,24.69,24.97,23.90,24.37,-0.30,-1.22,40505,9929,4.34,3.46
2007-04-02,24.48,26.26,24.48,25.96,1.59,6.52,96080,24456,7.30,8.22
2007-04-03,26.00,27.20,25.35,26.91,0.95,3.66,91945,24475,7.13,7.86
2007-04-04,27.00,27.80,26.03,26.33,-0.58,-2.16,71138,19161,6.58,6.08
2007-04-05,26.25,28.20,25.96,27.88,1.55,5.89,82350,22461,8.51,7.04
2007-04-06,27.50,30.67,27.30,30.67,2.79,10.01,163026,49175,12.09,13.94
2007-04-09,31.51,33.46,30.10,33.43,2.76,9.00,127793,40401,10.96,10.93
2007-04-10,32.99,33.46,31.00,31.99,-1.44,-4.31,87295,28221,7.36,7.47
2007-04-11,32.10,32.20,30.43,30.72,-1.27,-3.97,82771,25717,5.53,7.08
2007-04-12,30.98,32.80,30.90,31.87,1.15,3.74,64861,20743,6.18,5.55
2007-04-13,31.96,32.00,30.50,30.76,-1.11,-3.48,79602,24725,4.71,6.81
2007-04-16,30.84,31.79,30.40,31.55,0.79,2.57,67677,21204,4.52,5.79
2007-04-17,32.05,32.49,29.99,31.43,-0.12,-0.38,74466,23169,7.92,6.37
2007-04-18,31.45,33.78,30.61,33.31,1.88,5.98,92552,30258,10.09,7.92
2007-04-19,33.00,33.00,30.25,30.93,-2.38,-7.15,67432,21411,8.26,5.77
2007-04-20,31.50,34.02,31.48,34.02,3.09,9.99,44135,14814,8.21,3.77
2007-04-23,37.42,37.42,35.61,36.79,2.77,8.14,99464,36383,5.32,8.51
2007-04-24,36.70,40.47,35.66,40.47,3.68,10.00,95705,36003,13.07,8.18
2007-04-25,41.00,43.98,39.80,40.02,-0.45,-1.11,84265,34949,10.33,7.21
2007-04-26,39.80,43.70,39.00,42.83,2.81,7.02,73658,30609,11.74,6.30
2007-04-30,47.11,47.11,47.11,47.11,4.28,9.99,6241,2940,0.00,0.53
2007-05-08,51.82,51.82,50.00,51.82,4.71,10.00,64194,33218,3.86,5.49
2007-05-09,51.70,54.50,46.64,49.52,-2.30,-4.44,132360,66248,15.17,11.32
2007-05-10,48.50,48.80,45.90,46.71,-2.81,-5.67,58186,27376,5.86,4.98
2007-05-11,45.80,48.20,44.90,46.86,0.15,0.32,71616,33106,7.06,6.12
2007-05-14,45.50,47.75,44.80,45.91,-0.95,-2.03,53412,24563,6.30,4.57
2007-05-15,44.88,46.80,41.38,41.96,-3.95,-8.60,78175,34564,11.81,6.69
2007-05-16,41.91,44.58,41.35,44.12,2.16,5.15,56556,24278,7.70,4.84
2007-05-17,44.78,47.88,43.50,45.78,1.66,3.76,61708,28508,9.93,5.28
2007-05-18,45.01,47.49,44.51,45.49,-0.29,-0.63,56493,26095,6.51,4.83
2007-05-21,42.83,46.11,42.83,44.83,-0.66,-1.45,54650,24456,7.21,4.67
2007-05-22,45.10,46.80,44.70,45.30,0.47,1.05,51109,23305,4.68,4.37
2007-05-23,45.70,47.50,45.31,47.21,1.91,4.22,64075,29678,4.83,5.48
2007-05-24,47.55,49.00,46.00,48.24,1.03,2.18,86408,41428,6.35,7.39
2007-05-25,48.30,53.06,47.15,53.06,4.82,9.99,85382,43647,12.25,7.30
2007-05-28,56.89,56.89,51.20,51.44,-1.62,-3.05,96575,51345,10.72,8.26
2007-05-29,51.03,51.68,49.38,50.96,-0.48,-0.93,77796,39178,4.47,6.65
2007-05-30,45.86,48.00,45.86,45.86,-5.10,-10.01,91023,42264,4.20,7.78
2007-05-31,41.80,43.09,41.27,41.27,-4.59,-10.01,134896,56033,3.97,11.54
2007-06-01,42.57,43.20,39.38,40.39,-0.88,-2.13,104701,43003,9.26,8.95
2007-06-04,41.82,41.98,36.35,36.39,-4.00,-9.90,72818,28283,13.94,6.23
2007-06-05,35.80,40.03,32.75,40.03,3.64,10.00,122258,43910,20.01,10.46
2007-06-06,40.03,41.49,38.52,39.87,-0.16,-0.40,69265,27672,7.42,5.92
2007-06-07,39.90,43.86,39.02,43.38,3.51,8.80,89257,36909,12.14,7.63
2007-06-08,43.00,47.72,42.05,47.62,4.24,9.77,194883,89919,13.07,16.67
2007-06-11,52.38,52.38,50.00,52.38,4.76,10.00,159630,83565,5.00,13.65
2007-06-12,55.58,57.20,50.12,52.00,-0.38,-0.73,193338,103695,13.52,16.53
2007-06-13,52.00,53.80,50.00,52.08,0.08,0.15,145585,74416,7.31,12.45
2007-06-14,51.50,52.35,50.00,50.43,-1.65,-3.17,84326,43041,4.51,7.21
2007-06-15,50.00,54.89,49.70,52.88,2.45,4.86,128546,67171,10.29,10.99
2007-06-25,50.01,50.01,47.59,47.59,-5.29,-10.00,30697,14717,4.58,2.63
2007-06-26,42.83,44.68,42.83,44.15,-3.44,-7.23,107362,46208,3.89,9.18
2007-06-27,43.37,45.28,42.70,43.99,-0.16,-0.36,60811,26650,5.84,5.20
2007-06-28,43.60,44.80,39.80,40.01,-3.98,-9.05,76129,31962,11.37,6.51
2007-07-02,38.88,39.25,36.01,38.01,-2.00,-5.00,67486,25233,8.10,5.77
2007-07-03,38.00,39.84,37.81,39.48,1.47,3.87,34609,13489,5.34,2.96
2007-07-04,39.50,40.85,38.65,38.75,-0.73,-1.85,30174,11912,5.57,2.58
2007-07-05,37.99,40.00,37.03,37.39,-1.36,-3.51,32809,12590,7.66,2.81
2007-07-06,37.80,41.13,37.50,41.13,3.74,10.00,55802,21916,9.71,4.77
2007-07-09,42.00,43.70,41.60,42.28,1.15,2.80,66560,28523,5.11,5.69
2007-07-10,42.52,46.51,42.51,45.81,3.53,8.35,90528,41323,9.46,7.74
2007-07-11,44.78,45.47,42.61,44.00,-1.81,-3.95,49395,21781,6.24,4.22
2007-07-12,44.00,45.00,42.50,44.56,0.56,1.27,30158,13158,5.68,2.58
2007-07-13,44.96,46.88,44.11,45.97,1.41,3.16,50095,22994,6.22,4.28
2007-07-17,42.00,44.20,41.37,43.29,-2.68,-5.83,53070,22713,6.16,4.54
2007-07-18,43.01,43.29,41.33,42.02,-1.27,-2.93,33261,14031,4.53,2.84
2007-07-19,41.90,43.19,41.13,41.75,-0.27,-0.64,17718,7469,4.90,1.52
2007-07-20,41.48,43.88,41.48,43.14,1.39,3.33,32588,14031,5.75,2.79
2007-07-23,43.18,46.95,43.16,45.75,2.61,6.05,48263,21874,8.79,4.13
2007-07-24,46.75,48.28,45.85,46.30,0.55,1.20,50634,23799,5.31,4.33
2007-07-25,46.24,48.28,46.00,47.37,1.07,2.31,43874,20725,4.92,3.75
2007-07-26,49.27,52.11,48.81,52.11,4.74,10.01,119570,60532,6.97,10.23
2007-07-27,53.82,53.84,51.01,52.38,0.27,0.52,111584,58635,5.43,9.54
2007-07-30,52.48,57.58,50.50,55.34,2.96,5.65,120203,64343,13.52,10.28
2007-07-31,56.01,56.50,50.89,51.65,-3.69,-6.67,166473,87740,10.14,14.24
2007-08-01,51.65,52.82,47.90,48.20,-3.45,-6.68,123983,62190,9.53,10.60
2007-08-02,48.42,49.58,47.00,49.06,0.86,1.78,76165,36934,5.35,6.51
2007-08-03,49.11,50.87,48.57,50.30,1.24,2.53,91096,45483,4.69,7.79
2007-08-06,51.10,51.48,49.20,49.86,-0.44,-0.87,71180,35586,4.53,6.09
2007-08-07,49.60,50.55,48.00,49.86,0.00,0.00,76052,37463,5.11,6.50
2007-08-08,49.00,50.85,48.40,49.40,-0.46,-0.92,48660,24260,4.91,4.16
2007-08-09,49.02,51.80,49.02,51.02,1.62,3.28,78605,39871,5.63,6.72
2007-08-10,50.40,50.40,47.80,48.76,-1.96,-3.86,56766,27790,5.13,4.85
2007-08-13,48.10,49.80,47.01,47.26,-1.50,-3.08,52686,25277,5.72,4.51
2007-08-14,47.20,51.49,47.20,50.71,3.45,7.30,76717,38157,9.08,6.56
2007-08-15,50.65,50.65,48.01,48.87,-1.84,-3.63,49484,24320,5.21,4.23
2007-08-16,48.89,49.80,47.78,48.85,-0.02,-0.04,36532,17826,4.13,3.12
2007-08-17,48.18,49.97,47.80,47.82,-1.03,-2.11,35335,17241,4.44,3.02
2007-08-20,48.65,50.50,48.65,49.95,2.13,4.45,50146,24951,3.87,4.29
2007-08-21,50.00,51.44,50.00,50.40,0.45,0.90,51350,26049,2.88,4.39
