日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,7.99,8.04,7.62,7.64,-0.32,-4.02,125129,9729,5.28,6.65
2007-01-05,7.63,7.70,7.16,7.66,0.02,0.26,125687,9273,7.07,6.68
2007-01-08,7.64,8.05,7.48,8.05,0.39,5.09,143531,11268,7.44,7.62
2007-01-09,8.16,8.85,8.10,8.47,0.42,5.22,241297,20437,9.32,12.82
2007-01-10,8.52,8.70,8.39,8.66,0.19,2.24,155169,13287,3.66,8.24
2007-01-11,8.69,8.94,8.55,8.57,-0.09,-1.04,151435,13189,4.50,8.04
2007-01-12,8.50,8.67,8.00,8.02,-0.55,-6.42,114278,9498,7.82,6.07
2007-01-15,8.00,8.45,7.95,8.42,0.40,4.99,138038,11314,6.23,7.33
2007-01-16,8.45,8.65,8.25,8.65,0.23,2.73,178295,15114,4.75,9.47
2007-01-17,8.74,8.98,8.12,8.27,-0.38,-4.39,313277,27221,9.94,16.64
2007-01-18,8.00,8.12,7.59,7.85,-0.42,-5.08,188004,14622,6.41,9.99
2007-01-19,7.86,8.38,7.86,8.33,0.48,6.11,155179,12506,6.62,8.24
2007-01-22,8.79,8.88,8.52,8.85,0.52,6.24,291929,25419,4.32,15.50
2007-01-23,8.90,9.74,8.43,9.66,0.81,9.15,327228,29775,14.80,17.38
2007-01-24,9.61,9.88,9.30,9.60,-0.06,-0.62,235480,22675,6.00,12.51
2007-01-25,9.56,9.85,9.00,9.21,-0.39,-4.06,184109,17376,8.85,9.78
2007-01-26,9.10,9.48,8.80,9.37,0.16,1.74,150057,13758,7.38,7.97
2007-01-29,9.46,9.75,9.32,9.48,0.11,1.17,146360,13901,4.59,7.77
2007-01-30,9.48,9.52,9.00,9.06,-0.42,-4.43,139866,12823,5.49,7.43
2007-01-31,9.00,9.00,8.19,8.25,-0.81,-8.94,131812,11395,8.94,7.00
2007-02-01,8.23,8.45,7.90,8.35,0.10,1.21,91090,7500,6.67,4.84
2007-02-02,8.35,8.40,7.93,7.96,-0.39,-4.67,71420,5793,5.63,3.79
2007-02-05,7.94,8.11,7.77,8.06,0.10,1.26,58097,4607,4.27,3.09
2007-02-06,8.02,8.30,7.92,8.29,0.23,2.85,52031,4228,4.71,2.76
2007-02-07,8.25,8.52,8.24,8.44,0.15,1.81,84043,7033,3.38,4.46
2007-02-08,8.46,8.59,8.31,8.39,-0.05,-0.59,124009,10458,3.32,6.59
2007-02-09,8.40,8.40,8.15,8.24,-0.15,-1.79,69411,5725,2.98,3.69
2007-02-12,8.21,8.62,8.20,8.61,0.37,4.49,107117,9085,5.10,5.69
2007-02-13,8.65,8.96,8.60,8.91,0.30,3.48,140362,12362,4.18,7.45
2007-02-14,9.01,9.39,9.01,9.18,0.27,3.03,182172,16784,4.26,9.68
2007-02-15,9.36,9.98,9.36,9.72,0.54,5.88,210498,20464,6.75,11.18
2007-02-16,9.76,9.85,9.49,9.52,-0.20,-2.06,147850,14220,3.70,7.85
2007-02-26,9.52,9.75,9.08,9.69,0.17,1.79,143265,13520,7.04,7.61
2007-02-27,9.67,10.35,8.80,8.93,-0.76,-7.84,272375,26602,16.00,14.47
2007-02-28,9.01,9.80,9.00,9.80,0.87,9.74,167925,15849,8.96,8.92
2007-03-01,9.78,9.90,9.20,9.59,-0.21,-2.14,156728,14903,7.14,8.32
2007-03-02,9.67,10.25,9.51,10.13,0.54,5.63,266462,26690,7.72,14.15
2007-03-05,10.16,10.50,9.60,10.02,-0.11,-1.09,221332,22313,8.88,11.76
2007-03-06,9.90,9.93,9.50,9.67,-0.35,-3.49,120515,11717,4.29,6.40
2007-03-07,9.65,10.18,9.58,10.09,0.42,4.34,138579,13650,6.20,7.36
2007-03-08,10.11,10.60,10.05,10.36,0.27,2.68,223404,23136,5.45,11.87
2007-03-09,10.34,10.65,10.13,10.37,0.01,0.10,178402,18602,5.02,9.48
2007-03-12,10.38,10.82,10.20,10.67,0.30,2.89,157487,16570,5.98,8.36
2007-03-13,10.70,10.85,10.35,10.65,-0.02,-0.19,154139,16288,4.69,8.19
2007-03-14,10.75,11.72,10.38,11.72,1.07,10.05,233075,26301,12.58,12.38
2007-03-15,12.30,12.59,11.81,12.09,0.37,3.16,341193,41653,6.66,18.12
2007-03-16,12.26,12.97,11.91,12.17,0.08,0.66,253000,31232,8.77,13.44
2007-03-19,11.50,13.20,11.21,12.92,0.75,6.16,262293,32212,16.35,13.93
2007-03-20,13.20,13.30,12.50,12.92,0.00,0.00,188772,24512,6.19,10.03
2007-03-21,12.93,13.18,12.62,12.76,-0.16,-1.24,156019,19978,4.33,8.29
2007-03-22,12.78,12.96,12.56,12.58,-0.18,-1.41,170986,21782,3.13,9.08
2007-03-23,12.60,12.74,12.00,12.49,-0.09,-0.72,188536,23407,5.88,10.01
2007-03-26,12.48,12.65,12.35,12.63,0.14,1.12,178549,22327,2.40,9.48
2007-03-27,12.66,13.21,12.65,12.83,0.20,1.58,156058,20137,4.43,8.29
2007-03-28,12.83,12.83,11.70,12.17,-0.66,-5.14,209248,25630,8.81,11.11
2007-03-29,12.15,12.15,11.38,11.39,-0.78,-6.41,172097,20112,6.33,9.14
2007-03-30,11.20,11.77,11.00,11.55,0.16,1.40,81463,9371,6.76,4.33
2007-04-02,11.56,12.10,11.55,11.96,0.41,3.55,85253,10115,4.76,4.53
2007-04-03,12.10,12.15,11.70,11.86,-0.10,-0.84,76967,9114,3.76,4.09
2007-04-04,11.95,12.09,11.72,12.01,0.15,1.26,90155,10748,3.12,4.79
2007-04-05,12.00,12.40,11.83,12.36,0.35,2.91,129392,15721,4.75,6.87
2007-04-06,12.20,12.65,12.11,12.48,0.12,0.97,140656,17587,4.37,7.47
2007-04-09,12.52,12.90,12.50,12.58,0.10,0.80,128677,16286,3.21,6.83
2007-04-10,12.58,12.62,12.01,12.35,-0.23,-1.83,131346,16184,4.85,6.98
2007-04-11,12.35,12.76,12.11,12.74,0.39,3.16,143723,17801,5.26,7.63
2007-04-12,12.80,13.15,12.60,12.97,0.23,1.81,183550,23763,4.32,9.75
2007-04-13,13.32,13.88,13.01,13.28,0.31,2.39,232381,31380,6.71,12.34
2007-04-16,13.36,13.72,13.36,13.54,0.26,1.96,143048,19331,2.71,7.60
2007-04-17,13.70,13.95,13.00,13.56,0.02,0.15,178486,24064,7.02,9.48
2007-04-18,13.56,13.59,13.25,13.49,-0.07,-0.52,138809,18625,2.51,7.37
2007-04-19,13.45,13.46,12.14,12.29,-1.20,-8.90,161300,20669,9.79,8.57
2007-04-20,12.37,13.10,12.37,12.97,0.68,5.53,114797,14694,5.94,6.10
2007-04-23,13.06,13.56,13.06,13.52,0.55,4.24,150106,20155,3.86,7.97
2007-04-24,13.55,14.06,13.10,14.03,0.51,3.77,243594,33094,7.10,12.94
2007-04-26,14.50,14.87,14.10,14.14,0.11,0.78,194018,27846,5.49,10.30
2007-04-27,14.20,15.10,14.00,14.99,0.85,6.01,223111,32348,7.78,11.85
2007-04-30,15.01,16.45,15.01,16.22,1.23,8.21,235024,37154,9.61,12.48
2007-05-08,16.82,17.00,16.30,16.36,0.14,0.86,217736,36103,4.32,11.56
