标题,阅读,评论,字数,影响力,时间
大仙，怎么混成这样了？,9682,33,67,3.0,2017-07-30 11:47:21
攻市场4000点之前，可大胆进行低吸的10只潜力个,46696,56,1213,3.5,2017-06-22 11:45:04
吸纳：中长线必将走牛的小盘潜力成长个股,21215,34,1075,3.5,2017-07-27 18:17:57
时下可底部大胆建仓的超跌低价潜力黑马个股,23693,41,1180,3.5,2017-07-28 19:46:17
到市场4000点之前，可大胆进行低吸的10只潜力个,32898,56,1548,3.5,2017-08-31 13:17:54
蹲下就可捡到钱的低价袖珍小盘个股,31354,38,2253,3.5,2017-05-25 18:26:22
攻市场4000点之前，可大胆进行低吸的10只潜力个,30510,53,1624,3.5,2017-08-07 13:10:19
这一幕，不会太久~~ ~,13823,16,70,3.0,2017-08-27 09:17:17
肯定不是骡子@,36042,100,7,3.0,2017-01-07 17:40:32
[绝对震撼]在上银股吧唱多唱空是无用的，只有资,6178,7,274,3.0,2017-08-30 10:17:34
[超级震撼]罕见走势预示别墅行情即将到来！,11196,16,339,3.0,2017-09-05 09:24:07
[成交]消费金融公司进入盈利爆发期,11329,14,1922,3.0,2017-09-08 09:57:38
满仓中,11371,33,116,0.0,2017-09-02 17:59:09
[爱心]当重大历史机遇出现时，你会作出什么选择,6938,4,200,3.0,2017-09-19 13:21:18
[震撼人类]：欢迎@仙神明灯上海银行吧 继续疯狂,7830,16,456,3.0,2017-09-11 14:18:12
[疯狂大笑]：欢迎@仙神明灯上海银行吧 继续疯狂,7510,16,443,3.0,2017-09-11 14:22:12
[微笑]：欢迎@仙神明灯上海银行吧 继续疯狂恐吓,8878,18,449,3.0,2017-09-11 14:29:21
全球顶级抗癌药，中国拥有自主研发产权,16410,26,2609,0.0,2017-06-23 21:49:06
咯咯咯咯笑，三年利润之和超现公司市值。 今年,15183,18,555,4.5,2017-06-25 22:32:53
咯咯咯，晨鸣三年利润之和超现公司市值。 今年,28734,56,540,4.5,2017-06-26 21:19:08
上行必将复制2月10日的江阴银行！,25932,24,228,2.0,2017-06-02 20:54:37
上海银行再跌15%,5909,10,69,3.0,2017-09-28 07:47:12
一路走好~~ ~,17269,92,67,3.0,2017-07-31 01:27:39
出闗,23652,63,121,3.0,2017-03-21 23:37:25
上海/分享 皇城金枝玉叶 却是贱奴使女身价,8977,21,218,4.0,2017-09-11 10:13:54
小银行，大大的市值！该怎去就怎去吧！,18585,114,146,2.5,2016-12-12 10:36:33
汉贼金煜在恶意做空A股方面是做出了重大贡献的,14664,36,80,3.0,2017-03-29 09:43:57
[狗蛋]上海银行(601229)或将一路疯狂向钱进！,14668,14,1157,3.0,2017-05-26 14:56:42
上海银行进入恒生A股100强指数,21959,50,548,0.0,2017-09-23 09:16:22
上海银行(601229)融资融券信息(09-22),6767,28,494,0.0,2017-09-23 07:47:08
感谢仙灯，有你的陪伴真好，上银在你的大力做空,40257,138,276,3.0,2017-07-19 11:48:08
上海银行(601229)融资融券信息(09-21),6340,6,486,0.0,2017-09-22 07:46:12
上海银行盈利明升暗降 拉携程布局消费金融前景,13705,13,2757,0.0,2017-09-12 11:54:43
叫什么名字啊？,36293,84,62,3.0,2017-03-09 23:38:23
上海银行(601229)融资融券信息(09-19),5116,3,502,0.0,2017-09-20 07:47:02
安静@,22724,89,117,3.0,2016-11-20 21:12:25
上海银行(601229)融资融券信息(09-06),6996,8,484,0.0,2017-09-07 07:58:30
大部分次新银行股都已越过了新股开板的位置！！,56199,66,121,2.0,2017-06-05 15:08:44
上海银行(601229)融资融券信息(09-14),5828,4,494,0.0,2017-09-15 07:46:58
太热门的股要跌破发价。大家都想分红赚钱，可是,2772,0,195,0.5,2017-06-12 14:20:16
