标题,阅读,评论,字数,影响力,时间
小盘2.6亿业绩1.7元发行价14.39次新股杭州银行,62265,142,193,2.0,2017-03-27 13:30:39
->华泰证券+美国金融科技企业颠覆“金融系统,375200,1078,1584,4.0,2016-05-24 20:42:26
->华泰证券+美国金融科技企业颠覆“金融系统,46518,134,1584,4.0,2016-11-27 22:23:47
上海老梁又出来说翻倍了，看丫忽悠到几时！还收,14236,22,182,2.0,2016-10-10 14:07:53
白富美本性难改 风高物燥，小心火烛，捂紧包包 ,65030,243,165,3.0,2017-07-05 06:57:20
播种东邪西毒，期待收货的季节，浇水 施肥 锄草,97761,303,194,2.5,2017-06-07 09:51:13
咯咯笑 狂笑 瞎子狂笑 连续4年业绩翻倍，三年利,31207,70,572,4.5,2017-07-09 19:34:53
继续拿着吧，反正macd红柱也重新放大了，我感觉,17509,37,210,0.0,2017-07-07 15:07:03
东兴.分享 皇城金枝玉叶 却是贱奴使女身价,13603,23,218,4.0,2017-09-11 08:56:03
超短王者技术贴今日重大更新，散户朋友必读。,157287,448,834,0.0,2017-05-10 16:01:12
券商股值得逐步全仓买入和拼命捂住的根本原因,65676,56,814,2.5,2017-05-11 19:01:05
一心陪股友走完东兴证券从16到32元全程,72158,53,322,2.5,2017-04-27 14:46:40
券商2017年5月底前筑完底，上车不要犹豫。,30943,28,185,0.0,2017-05-22 10:08:21
2017半年报点评：资管主动管理提升 投行项目储,22228,5,1052,0.0,2017-08-22 19:58:17
完了完了，这次8月份看的更高了20块也在向我招,106183,348,30,0.0,2017-07-31 15:19:41
此庄画线历害，完全控制此股，5天以内必有一根,31225,59,172,0.0,2017-08-10 15:12:42
东兴的无耻已经到了无以复加地步---这一现象即,50486,134,145,3.0,2017-06-27 10:22:00
国家队也是短线高手,14448,54,128,2.0,2017-08-28 19:49:45
601198:东兴证券2017年8月财务数据简报,48680,6,472,0.0,2017-09-06 18:33:13
华通线缆启动IPO上市 辅导机构为东兴证券,22438,7,321,0.0,2017-08-25 20:14:54
证金为什么要持续增持东兴证券至成为第一大流体,26520,14,266,3.0,2017-08-22 01:31:31
>-新>华泰证券价值投资的芳香，需要时间,274326,929,2060,4.0,2016-05-24 06:28:00
证金，汇金这这些国家队大幅度增持券商股，代表,19375,8,256,3.5,2017-08-19 07:51:15
东兴证券之潜力本质！——吹牛篇，不看后悔！,23181,27,790,3.0,2017-08-07 19:41:01
瑞格股份披露未签字盖章年报审计报告 东兴证券,17141,9,1187,0.0,2017-08-12 13:13:58
东兴证券上半年净利润下降25% 证金公司成为第一,38809,10,1617,0.0,2017-08-19 01:54:46
说什么好呢,26590,45,122,0.0,2016-11-20 17:11:29
东兴证券上半年净利润5.65亿元 同比下降25.75%,35733,7,264,0.0,2017-08-19 04:51:11
东兴证券上半年净赚5.65亿元,30715,9,297,0.0,2017-08-18 21:43:08
东兴证券：上半年净利降26% 证金公司大幅增持成,26945,10,279,0.0,2017-08-18 21:02:36
中报速递：东兴证券2017年上半年盈利5.65亿元，,15021,6,229,0.0,2017-08-18 20:16:05
超短王者技术贴今日更新！重大风险提示！必读！,46805,122,389,0.0,2017-04-13 15:34:40
东兴吧里现状,46756,172,211,0.0,2017-05-22 11:45:28
601198:东兴证券2017年7月财务数据简报,42344,6,471,0.0,2017-08-04 18:18:31
东兴重大消息东兴重大消息即将上头条,17140,9,172,0.0,2017-04-07 12:04:13
东兴证券股票分析（2017年5月19日） 东兴证券是,53426,72,1725,3.0,2017-05-19 17:14:15
进场: “双重改革”受益股，社保养老金标的股,4171,3,1171,4.0,2017-07-29 16:11:08
骗子的套路,36782,179,695,0.0,2017-03-27 11:54:26
基金抱团炒个股是中国式庞氏骗局，隐患危害大19,29079,35,333,4.0,2016-07-22 09:46:37
近期关注东兴证券(601198),120513,140,142,3.5,2016-10-09 19:42:51
赤裸裸放量拉高出货！骗散户，套的就是妄想抛在,50711,83,256,4.5,2016-03-23 15:11:53
人们贪婪和恐惧成就了骗子的千年伟业。,6233,33,146,2.5,2017-06-12 11:26:53
东兴,1047,18,123,2.0,2015-10-22 13:28:26
对于白富美,13853,60,215,3.0,2017-06-15 17:23:42
601198:东兴证券2016年年度权益分派实施公告,43003,8,1774,0.0,2017-06-21 18:14:55
今是哪个傻B庄往下打，爷请野驴日你妈和你奶奶b,12699,18,298,3.5,2016-12-06 13:14:51
对于白富美守护神，我给几点建议：不浏览，不回,6790,26,233,0.0,2017-06-15 13:40:34
隔空喊话大憨子，无论你是因为无知而做了坏人办,7533,14,215,3.5,2017-06-15 15:58:49
好好的一个股吧变得乌烟瘴气,5577,27,348,0.0,2017-06-13 22:06:23
白富美请悠着点,33304,233,127,3.0,2017-05-11 11:15:10
601198:东兴证券关于全资子公司境外发行美元债,28152,4,863,0.0,2016-09-29 17:26:33
唱多唱空都正常，拍点小砖也正常，但白富美的装,5475,31,174,3.0,2017-06-11 20:43:13
斗争太复杂，坏人胆太大。只要良心在，强大我中,7449,41,166,3.0,2017-05-31 20:28:50
寻狗启事 走失一只白色的1岁法斗(法国斗牛)公犬,11029,78,232,3.5,2017-05-24 15:16:32
白富美大屁鼓,15838,106,123,3.5,2017-05-02 10:34:01
唱空唱多都正常 发表自己的观点，展开讨论，包,4074,23,217,3.0,2017-06-11 20:13:28
白富美守护神，以后骗人的把戏你还是不要搞了，,6607,36,189,0.0,2017-05-30 10:54:34
白富美守护神你还有多少号来出来为自已的贴子顶,7179,50,160,0.0,2017-05-25 09:50:19
白富美守护神你骗哦接着骗在拿多点号出来为自已,6898,56,28,0.0,2017-05-25 09:51:57
股吧从来苍蝇多，嗡嗡嗡，嗡嗡嗡[大笑][大笑][,14693,82,152,3.5,2017-03-22 16:27:17
白富美还在顶自已的贴子，时间是试金时，还要在,7575,51,182,0.0,2017-05-25 14:19:32
白富美这骗子用小号又开始淫诗了，哈哈不改品性,7155,42,23,0.0,2017-05-26 15:36:18
白富美守护神，出来叫爹啊,10223,69,147,0.0,2017-04-24 16:12:39
苦肉计之白富美N总号回贴言,10523,58,206,0.0,2017-05-15 21:46:28
白富美守护神,10387,67,179,0.0,2017-04-20 14:43:32
白富美守护神,12144,71,172,0.0,2017-05-10 16:42:02
这骗子白富美守护神还超短线,8140,51,137,0.0,2017-05-26 08:31:03
白富美守护神要等小回调才会出来鬼叫叫别人卖的,7160,54,30,0.0,2017-05-25 14:06:30
试问谁能理论过骗子呢，看见骗子就是一顿锤，大,9656,64,230,3.5,2017-05-22 15:14:31
理性分析白富美守护神为什么是骗子,9859,65,362,0.0,2017-05-25 12:34:07
白富说守护神打脸打的他啪啪啪的就是骗子一个,10797,69,212,0.0,2017-05-03 14:25:12
白富美守护神我就跟你这骗子对着干了,13905,82,186,0.0,2017-05-11 13:51:40
看到白富美守护神这骗子在那自吹自擂，还恩人，,8208,59,225,0.0,2017-05-23 08:10:52
白富美守护神，你个骗人的你怕我什么？把我设置,7266,48,173,0.0,2017-05-26 08:10:28
白富美守护神打这骗子的脸打的他啪啪啪的响,9977,56,210,0.0,2017-05-03 14:26:54
上海老梁VS白富美守护神,8478,48,136,0.0,2017-05-25 10:08:36
白富美说长期不看好房地产,7202,54,130,0.0,2017-05-25 09:48:30
白富美守护神好好乖乖的不要出来骗人，不然哥就,2769,15,176,0.0,2017-06-13 14:26:03
白富美守护神你除了老叫别人看你以前的贴子就没,8571,56,165,0.0,2017-05-23 08:34:17
