标题,阅读,评论,字数,影响力,时间
炒中国石油股票百战百胜的李坚明认为:炒股亏了,165016,309,850,0.0,2017-05-16 13:49:51
《中油：请铭记这一天 》,48313,63,133,3.5,2016-09-25 16:42:04
上半年A股公司政府补助减少一半 中石油降逾八成,37558,11,1003,0.0,2017-09-08 03:10:02
中国石油7.3元买入涨10倍73元,225473,306,140,4.0,2016-11-10 10:16:23
[漂亮]公告现重大利好，10股有望突破大涨！,12538,15,1946,0.0,2017-09-09 17:03:09
哈哈哈哈~有本事把大盘拉涨停。[大笑],26187,59,144,2.0,2017-05-11 10:28:13
看今天的港股.本人李坚明真的为我在炒中国石油,23256,50,1039,0.0,2017-06-28 00:32:38
狂笑狂笑  瞎子狂笑 业绩翻倍 股0.99今年三倍，,21810,56,1342,4.5,2017-05-11 14:02:03
实战炒股口决： 十四工作线，来回做波段；突破,43863,85,753,4.0,2017-04-15 20:02:09
我支持江门李坚明的看法………2007买中石油是赌,25317,68,224,3.0,2017-07-09 19:07:08
抢抢 狂抢 瞎子狂笑 业绩翻倍 股0.99今年三倍，,20181,52,1342,4.5,2017-05-11 13:59:13
狂抢 瞎子狂笑 业绩翻倍 股0.99今年三倍，翻倍,18181,47,1339,4.5,2017-05-11 13:57:25
瞎子也笑 狂笑 白痴不抢 瞎子狂笑 业绩翻倍 股0,21909,53,1349,4.5,2017-05-11 14:00:24
别上火,94901,250,159,3.0,2017-03-02 15:30:53
哈哈哈大笑 咯咯咯咯，晨鸣三年利润之和超现公,20413,55,547,4.5,2017-06-27 13:14:43
笑哈哈 大笑大笑 咯咯咯咯，晨鸣三年利润之和超,21851,55,550,4.5,2017-06-27 10:13:55
感觉良好,32853,80,233,3.0,2017-03-26 16:12:34
宁波港中国石油上调油价格,30119,71,155,1.0,2017-06-08 12:28:43
中石油董事长：确保11月底前完成公司制改制,31059,9,282,0.0,2017-09-28 09:36:54
中国石油(601857)融资融券信息(09-01),7018,10,528,0.0,2017-09-02 07:58:48
李坚明正在边吃茶点边欣赏报道他的电视新闻片《,25915,73,199,0.0,2017-03-16 22:10:21
中国石油中期净利增长23倍至126.74亿元每股派息,11149,6,634,0.0,2017-08-24 17:11:24
老哥我来了[想一下],23819,95,125,0.5,2017-08-10 20:38:36
中国石油(601857)融资融券信息(09-27),5760,4,516,0.0,2017-09-28 08:02:48
股东两日先减持中石化693万股 后增持364万股,19904,14,278,0.0,2017-09-27 20:02:52
一半海水一半火焰,20578,37,2246,2.0,2016-08-09 10:24:59
中石化王玉普因工作调整辞去董事长一职,11078,10,218,0.0,2017-09-22 20:18:19
中石油全国首家股权多元化石油销售公司落地海南,11904,18,305,0.0,2017-09-26 19:29:16
中国石油(601857)融资融券信息(09-26),3190,3,524,0.0,2017-09-27 07:59:58
中国石油，总有翻身之日……,12211,34,692,3.5,2017-09-11 13:49:02
[复盘鼓掌]漂亮50中国股市的心脏；沪深300中国,5142,6,484,3.5,2017-07-18 12:29:33
中国石油尾盘放量拉升,16291,3,621,0.0,2017-09-26 01:50:47
摩根大通增持中国石油和海螺水泥,44061,12,263,0.0,2017-09-21 21:31:05
不管大盘如何涨跌，中石油只跌不涨，快跑！！,15474,40,149,3.0,2017-03-17 13:30:31
中国石油股份9月15日派发A股每股现金红利0.0692,13693,9,204,0.0,2017-09-07 17:26:17
中国石油：一季度大幅扭亏 遭证金公司减持,37481,59,213,0.0,2017-04-27 21:18:15
中国石油(601857)融资融券信息(09-22),7867,38,528,0.0,2017-09-23 07:48:18
王玉普辞任中国石油化工股份董事长 戴厚良暂代,10152,6,251,0.0,2017-09-22 21:39:04
中国石油(601857)融资融券信息(09-21),4140,3,518,0.0,2017-09-22 07:47:14
摩通增持中国石油468万股 每股4.956元,15006,9,215,0.0,2017-09-21 20:26:45
江门一小散户仅炒1只股 连胜157次纯赚上万元,61098,124,1034,0.0,2017-03-26 14:14:27
中国石油铁人精神 沦为惠洋媚外 洋鬼子东洋鬼子,19538,56,175,3.0,2017-04-18 10:07:01
中石油预计今年上半年净利90-110亿 上年同期仅,169313,159,1031,0.0,2017-07-26 16:32:21
中石油业绩预增近20倍 新周期疑似启动,60598,30,2711,0.0,2017-08-05 06:45:31
江正洪辞任中国石油化工股份副总裁,7035,7,174,0.0,2017-09-13 14:15:05
mmp，H股又买不到，你叫劳资价值投资,27985,70,148,3.5,2017-07-26 21:57:18
中国石油(601857)融资融券信息(09-19),3774,2,528,0.0,2017-09-20 07:48:04
中石油董事长：低油价也有有利的方面,38303,24,453,0.0,2017-09-04 20:40:46
笑哈哈咯咯咯，业绩去年翻倍股0.99，今再翻倍超,11049,23,606,4.5,2017-04-28 10:46:21
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,15334,45,803,4.5,2017-02-28 13:28:26
中国石油(601857)融资融券信息(09-15),6188,7,520,0.0,2017-09-16 07:48:19
手上有100股中石油的都是脑子被门夹过的白痴,24748,59,147,3.0,2017-06-07 11:48:43
快割光，中油一股不能留，已彻底崩盘了只跌不涨,29063,91,139,3.0,2017-03-07 14:31:42
光明就在眼前：红六月，市场已进入周线量级别的,18114,82,330,0.0,2017-05-30 11:40:00
手上有100股中石油的都算白痴，脑袋定被门夹过,32290,75,148,3.0,2017-03-17 16:38:16
中国石油(601857)融资融券信息(09-08),6851,33,518,0.0,2017-09-09 07:46:52
中国石油(601857)融资融券信息(09-06),3251,7,528,0.0,2017-09-07 07:45:24
证监会：请依法常态化治市！查处操纵股价的不法,25472,60,354,3.5,2016-08-17 11:16:33
中国石油：国有股份无偿划转完成过户登记手续,9659,16,470,0.0,2017-09-12 17:23:11
中石化江正洪辞任副总裁,7054,13,192,0.0,2017-09-12 20:23:57
中国石油化工股份：江正洪辞任副总裁,4542,9,174,0.0,2017-09-12 20:07:56
中国石油股份控股股东无偿向鞍钢集团划转4.4亿,12652,21,439,0.0,2017-09-12 17:16:08
中国石油(601857)融资融券信息(09-11),2485,3,516,0.0,2017-09-12 07:58:59
中石油首次开启管道气竞价交易 供不应求或将提,13466,8,1927,0.0,2017-09-12 02:09:14
中国石油(601857)融资融券信息(08-25),6184,15,530,0.0,2017-08-26 10:07:58
进场:  怎么跌的就会怎么涨上去（荐股）,11156,16,1381,4.0,2017-08-03 11:17:30
中报速递：中国石油2017年上半年盈利126.74亿元,11078,6,239,0.0,2017-08-24 18:32:06
