标题,阅读,评论,字数,影响力,时间
炒股炒证券新股2017年上市601881一600909一6018,17406,93,255,4.0,2017-09-01 20:47:11
价高位出不如现起全转低价大底黑马600162香江控,23225,101,214,0.0,2017-08-18 12:48:28
山金--全球顶级抗癌药，中国拥有自主研发产权,12262,14,2593,0.0,2017-07-30 19:07:40
大笑 呆子都抢 瞎子也狂笑 业绩翻倍 股0.99今年,18131,31,1587,4.5,2017-05-19 08:46:05
加大探矿增储力度，进一步夯实行业地位,49095,8,1065,0.0,2017-09-01 10:26:09
契机再次到来，明天应当爆发！,4253,10,138,0.0,2017-09-03 16:49:18
600547:山东黄金关于全资子公司收购资产及探矿,35271,12,1804,0.0,2017-09-26 16:39:06
山东黄金(600547)融资融券信息(08-22),9826,47,526,0.0,2016-08-23 07:38:47
技术分析，现在全球降，美国今晚必降，明天看美,8216,47,202,2.5,2016-08-22 13:29:07
静观其变,2306,17,118,3.5,2017-09-27 09:28:01
量不够吗n,1330,22,120,0.0,2017-09-21 09:08:00
600547:山东黄金:山东黄金矿业(鑫汇)有限公司拟,20602,9,1633,0.0,2017-09-26 16:39:07
还是高开低走，技术面还没调整好，最少得下周启,2074,14,168,2.5,2017-09-04 08:54:22
600547:山东黄金关于控股股东部分股份质押的公,33239,12,1007,0.0,2017-09-25 18:18:37
基本持平1点指数高点价格,2879,15,134,0.0,2017-09-21 14:07:28
山东黄金(600547)融资融券信息(09-22),7032,2,522,0.0,2017-09-23 07:43:29
投资价值凸显 山东黄金跻身恒生A股行业龙头指数,37979,17,809,0.0,2017-09-05 23:03:48
大盘微跌，山东黄金收盘前会上涨,4033,20,140,0.0,2017-09-15 14:13:54
开盘急跌又进入,2600,20,124,0.0,2017-09-13 10:49:58
美黄金期探一下1300美元上方会疯狂大跌下探，就,22272,36,265,0.0,2017-08-18 21:09:16
预测2017年山东黄金最高点是38元左右，最低点居,350649,489,191,3.0,2017-01-03 18:47:37
~~最新游资内参外泄,8812,13,163,2.0,2017-07-30 16:38:21
明天高开涨停,2462,22,122,0.0,2017-09-07 21:03:57
不少人琢磨要T了,1606,17,126,0.0,2017-09-08 09:43:15
山东黄金(600547)融资融券信息(09-07),7862,9,518,0.0,2017-09-08 07:45:04
山东黄金(600547)融资融券信息(09-14),6180,6,514,0.0,2017-09-15 07:42:11
山金路线 new,15647,16,126,4.0,2017-08-28 22:18:55
黄金股不如钢铁，不如水泥，极大的讽刺。,6833,19,148,0.0,2017-09-13 05:33:33
此服跟造假,4058,18,120,0.0,2017-09-13 09:20:23
金矿快开采没了你那啥砸盘  拿铁嘎达砸盘啊  愚,24674,79,164,0.0,2017-07-28 22:15:50
山东黄金被纳入恒生A股行业龙头指数,27941,16,770,0.0,2017-09-05 22:55:46
600547:山东黄金:中信证券股份有限公司关于山东,63316,20,1408,0.0,2017-09-12 15:37:47
中国拟推出人民币计价原油期货 可兑换成黄金,11098,10,240,3.0,2017-09-04 15:06:33
山东黄金，现价比去年牛市价还高，定增价又太低,79025,82,113,0.0,2017-01-06 22:00:33
举例：假如以前1g黄金要10美元，美元：人民币=1,12143,24,303,0.0,2017-09-10 14:21:03
9月9日阿3会不会在国庆日放个烟花？,5516,6,157,4.0,2017-09-07 13:06:12
黄金大战中国还是输家啊 加快储备吧 不多了,52184,109,341,0.0,2017-07-16 08:38:33
大资金偷偷跑了[好困惑],12876,10,129,3.5,2017-08-07 12:48:08
有色趋势行情延续，关注还没启动的黄金个股，如,16659,21,176,3.5,2017-07-13 10:39:07
山东黄金(600547)融资融券信息(09-01),8871,7,526,0.0,2017-09-02 07:49:29
美国劳工部公布的数据显示，美国8月非农就业人,14272,8,539,1.5,2017-09-01 20:42:01
黄金现货价格高位震荡，为什么山东黄金会连续下,15404,23,158,2.0,2017-08-24 18:31:46
山东黄金半年报增两成 证金买入,40127,13,249,0.0,2017-08-31 09:08:00
600547:山东黄金2017年半年度报告,50564,13,2052,0.0,2017-08-30 20:47:42
可以关注牛股600791一300419一000958一600531一,7923,50,190,4.0,2017-08-22 08:17:45
这么大的利好，估计明天复牌后先两到三个涨停板,33889,34,211,1.5,2017-05-17 20:32:02
山东黄金(600547)融资融券信息(08-25),7461,11,520,0.0,2017-08-26 09:58:35
600547:山东黄金2013年公司债券(第一期)2017年,27235,3,1845,0.0,2017-08-25 16:29:46
今天是买入黄金股的机会！,67000,126,134,0.0,2017-03-03 09:48:20
301条约～黄金涨不涨？,15866,15,134,3.5,2017-08-19 15:03:35
