标题,阅读,评论,字数,影响力,时间
守了两年4个多月康美，今天依依不舍地抛了，赚,13856,20,186,2.5,2017-09-29 10:07:34
仅此1家江苏银行股价不到10块0.98元业绩次新股,60379,129,184,2.5,2017-04-30 06:54:57
康美药业(600518)大宗交易数据一览(09-08),25749,16,477,0.0,2017-09-08 18:35:14
实战炒股口决： 十四工作线，来回做波段；突破,63088,87,778,4.0,2017-05-07 06:51:13
难得,14774,11,150,3.5,2017-09-04 09:29:29
押宝智慧药房 康美药业谋划全产业链,28265,19,3381,0.0,2017-09-19 13:05:32
浙江的千万大游资尾盘已经悄无声息的进场，康美,18344,10,190,0.0,2017-07-10 20:42:49
康美深度解析,13620,8,330,0.0,2017-09-01 11:58:21
~~最新游资内参外泄,11417,14,163,2.0,2017-07-30 16:39:05
在21上方横了那么久，久盘必跌!庄家太需要一个,84544,180,192,4.0,2017-07-12 22:09:09
下周康美震荡调整难免，考验持股的时刻到来,268484,584,146,0.0,2017-05-07 09:18:29
业绩符合预期，智慧药房业务呈爆发态势,23976,4,1503,0.0,2017-08-29 13:35:40
可想而知半年报业绩差成什么样！大盘都突突往上,8849,9,204,0.0,2017-08-28 11:30:19
600518:康美药业2017年半年度报告摘要,26577,12,1882,0.0,2017-08-28 20:20:40
跑跑跑跑跑跑跑跑跑t,4022,18,130,0.0,2017-09-11 20:55:21
曹了[不赞][不赞][不赞],4807,18,126,1.0,2017-09-12 09:50:59
康美药业(600518)融资融券信息(08-25),6163,8,540,0.0,2017-08-26 09:57:54
康美高管大量增持股份，股价长期走好，阶段目标,13796,8,246,0.0,2017-08-24 15:21:40
康美药业控股股东及高管增持计划完成,20163,11,229,0.0,2017-08-23 18:10:57
康美药业一定要注意的隐藏风险，它的销售模式是,12759,14,150,2.5,2017-06-11 08:54:21
康美药业(600518)大宗交易数据一览(09-07),26360,25,527,0.0,2017-09-07 18:20:47
康美是好票，可是最近的走势很垃圾!公司不会看,10169,10,198,4.0,2017-09-11 19:25:10
哈哈哈哈哈哈哈,9596,8,124,2.5,2017-09-12 13:40:33
形成W底!突破颈线就确立!,15714,13,136,4.0,2017-08-11 01:30:00
康美药业(600518)融资融券信息(08-18),7620,5,534,0.0,2017-08-19 08:33:45
600518:康美药业关于控股股东股权质押解除的公,35190,6,760,0.0,2017-07-31 16:40:01
沪市大宗解读：机构1.86亿卖出康美药业,23059,12,547,0.0,2017-09-07 18:57:03
康美药业(600518)大宗交易数据一览(09-06),24315,16,668,0.0,2017-09-06 18:26:11
康美药业半年报增两成,15584,4,257,0.0,2017-08-29 09:12:05
康美年底前有行情,15201,10,491,3.5,2017-09-04 19:00:39
康美药业：分享半年报： 从业绩看：盈利百分之2,19089,9,332,0.0,2017-08-28 21:17:38
康美药业唯一的利空,16890,10,392,3.5,2017-08-31 16:19:31
中报点评：业绩增长符合预期，看好公司估值中枢,34716,6,2163,0.0,2017-08-30 16:38:54
康美药业控股股东完成增持计划 总投入超20亿,32410,18,889,0.0,2017-08-23 21:17:42
康美药业中报亮点,11532,9,228,3.5,2017-08-29 10:07:14
康美药业并没有真正启动,22274,16,287,3.5,2017-08-25 14:31:01
康美药业中报净利增22% 证金公司增持逾1亿股,21080,9,843,0.0,2017-08-28 23:49:00
康美药业半年净利增两成 智慧药房处理处方250万,21546,8,720,0.0,2017-08-29 00:10:24
康美药业：上半年净利增22% 汇金公司增持超1亿,26002,13,263,0.0,2017-08-28 21:52:35
事件点评：大手笔增持20.29亿完成，彰显大股东,39712,9,1081,0.0,2017-08-28 14:01:23
康美近期这种走势只能说明中报不及预期，同比达,12289,21,306,0.0,2017-08-25 10:38:05
康美药业大股东及高管完成20亿元增持计划,30622,7,530,0.0,2017-08-24 03:29:46
600518:康美药业关于控股股东及高管增持公司股,35806,17,1747,0.0,2017-08-23 16:46:42
16，02分已经屡次试探8次,10663,23,169,3.5,2016-09-08 15:00:05
