标题,阅读,评论,字数,影响力,时间
[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][赚大了][赚大,7068,3,40,4.0,2017-09-29 10:53:57
->华泰证券+美国金融科技企业颠覆“金融系统”,240340,533,1584,4.0,2016-07-27 19:16:29
==华泰证券第一梯队大券商绩优成长中国互联网券,39995,160,193,3.0,2017-07-31 10:56:12
瀑布表演节目开始,8566,44,140,2.0,2017-06-29 12:39:51
突破3139是底部完成。,7387,42,129,0.0,2017-07-04 18:06:12
招商证券一个月内见到39元,30047,44,77,3.5,2017-09-15 19:54:16
招商证券调整整完毕，能否拉升就看这一关键点是,20064,136,135,0.0,2017-09-13 21:57:59
招商--全球顶级抗癌药，中国拥有自主研发产权,16831,19,2608,0.0,2017-05-12 22:15:52
地方国企混改:接下来新一轮行情的热点,4792,5,1413,4.0,2017-09-25 08:45:46
招商--全球顶级抗癌药，中国拥有自主研发产权,12452,18,2593,0.0,2017-07-30 20:22:45
券商股值得重仓买入和拼命捂住的根本原因,56625,51,810,2.5,2017-05-10 11:39:47
狂笑 狂笑 瞎子狂笑 连续4年业绩翻倍，三年利润,35026,82,605,4.5,2017-07-09 19:31:49
疯狂抢盘啦 大笑 咯咯咯咯，晨鸣三年利润之和超,26194,52,549,4.5,2017-06-26 11:27:49
招商证券“17招商D9”明起挂牌上交所 年息4.85%,11162,6,286,0.0,2017-09-28 20:33:34
缩量下跌放量上涨明显主力资金进场信号，一个“,20113,33,210,3.0,2017-05-27 08:36:31
招券.分享 皇城金枝玉叶 却是贱奴使女身价,8789,21,218,4.0,2017-09-11 09:11:10
招商证券投行遭滑铁卢 四家上会企业被否保荐三,64373,12,1497,0.0,2017-09-14 07:51:52
牛市启动指标，来看一个分项指标：信托开户数。,12768,20,565,3.0,2017-02-08 21:10:10
2017年撸起袖子加油干！宿命与反抗！当前我国资,14609,24,464,3.0,2017-03-16 18:24:39
强烈看好券商!券商盈利模式转型：投行将成为券,22073,28,560,3.0,2017-05-27 20:46:19
新股发行不能停的重要理由：让凯撒归凯撒市场归,11987,18,581,3.0,2017-06-11 20:58:24
可怜的散户失败的原因就是：底部区域极度恐慌而,15098,21,272,3.0,2017-03-05 08:03:49
GJD全控银行、保险、券商、两桶油、大型煤炭企,18896,25,513,3.0,2017-04-22 10:45:35
《一个雄霸全球的大牛市正式开始》15年的疯牛只,19767,39,638,3.0,2017-04-08 08:03:20
美军抢站军事至高点，中国抢至三瓶酒至高点。,5480,37,145,0.0,2017-07-20 15:53:04
春暖花开之    股灾救市资金获大利!券商因祸得,5963,7,270,4.0,2017-06-30 12:53:58
短调是低吸机会,6960,31,135,0.0,2017-07-14 18:20:17
券商股:华鑫股份10亿总股本仿效第一创业吗？？,5757,14,24,3.5,2017-08-31 09:49:31
一心陪股友走完招商证券从16到32元全程,49617,63,322,2.5,2017-04-27 14:33:24
实战炒股口决： 十四工作线，来回做波段；突破,63844,104,753,4.0,2017-03-21 08:08:04
招商证券(600999)融资融券信息(09-19),5452,5,526,0.0,2017-09-20 07:46:08
白痴不抢！咯咯咯！抢盘了，黄金砸头！晨鸣投资,24121,43,778,4.5,2017-03-01 20:03:50
招商证券(600999)融资融券信息(09-21),5532,4,526,0.0,2017-09-22 07:45:12
招商证券：需求持续好于预期 3季度经济延续稳中,8920,6,1064,0.0,2017-08-31 11:30:59
招商证券上半年净利增长13.85%债券承销规模市场,11408,6,1055,0.0,2017-08-25 10:37:08
2017定增招商证券续（网格交易）,78499,116,144,2.0,2016-12-25 14:28:54
招商证券(600999)融资融券信息(09-20),4972,3,526,0.0,2017-09-21 07:45:44
招商证券：I.T积极转型前景正面?升目标价至4.49,8557,7,633,0.0,2017-09-20 20:46:22
招商证券获准发行不超过85亿元公司债,9945,5,322,0.0,2017-09-19 19:51:37
招商证券拟发行不超85亿元的债券获中证监核准,9092,18,308,0.0,2017-09-19 19:25:32
招商证券(600999)融资融券信息(09-18),3030,3,524,0.0,2017-09-19 07:53:22
[摊手]MSCI Inc.来了，漂亮50必将是永远中流砥,10342,10,1132,3.0,2017-06-22 13:36:05
保荐项目一天被否掉仨：这家券商牌子被砸 这个,30459,6,1423,0.0,2017-09-15 07:50:54
[鼓掌][鼓掌][鼓掌][鼓掌][赚大了][赚大了][赚,5845,4,40,4.0,2017-08-28 09:45:32
招商证券(600999)融资融券信息(09-15),4945,10,526,0.0,2017-09-16 07:46:19
一弯月色湮开了水墨丹青,5099,43,132,0.0,2017-05-09 22:35:33
创业板IPO遇史上最惨过会率 招商证券出最惨保代,128698,54,1073,0.0,2017-09-14 15:23:42
说明市场做多力量十分有限；另外,5582,47,142,0.0,2017-05-08 14:41:07
焦虑，忧伤,20304,241,130,3.0,2017-08-11 16:32:38
券商只荐不保坑难糊 11只次新股变脸招商证券保,59848,16,1980,0.0,2017-06-23 11:02:53
这牛脾气太倔，牵着不走，打着倒退,5538,52,143,1.5,2017-05-09 21:52:47
招商证券(600999)融资融券信息(09-14),3506,6,530,0.0,2017-09-15 07:46:05
券商股正是涨跌最明显的周期股!速度快!,8460,14,288,4.0,2017-09-06 12:00:37
招商证券9月12日盘中涨幅达5%,6358,6,185,0.0,2017-09-12 13:33:04
招商证券保荐失败项目再填一例：世纪恒通首发上,6887,3,1703,0.0,2017-09-14 13:47:14
最惨保代：招商证券某保代出道当日两个项目全被,6346,4,488,0.0,2017-09-14 13:43:08
智业软件IPO遭否：商誉减值风险受关注 招商证券,4815,6,1344,0.0,2017-09-14 10:27:24
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,96863,98,375,4.5,2016-03-22 13:34:44
招商证券(600999)融资融券信息(09-13),2373,5,528,0.0,2017-09-14 07:45:26
招商证券8月份净利润环比增1.8%至5.04亿元,18199,11,271,0.0,2017-09-06 20:06:49
招商证券(600999)融资融券信息(09-12),3730,8,532,0.0,2017-09-13 07:47:17
招商证券(600999)融资融券信息(09-11),4018,7,524,0.0,2017-09-12 07:54:32
招商证券(600999)融资融券信息(09-08),6429,26,522,0.0,2017-09-09 07:45:05
600999:招商证券2017年8月财务数据简报,39180,6,612,0.0,2017-09-06 16:49:07
招商证券：iPhone8带来新增长动力 瑞声将迎一波,8152,4,1094,0.0,2017-08-31 22:31:12
招商证券(600999)融资融券信息(08-17),5528,4,522,0.0,2017-08-18 07:47:37
粤水电(OO2O6O)未来国企改革是是肯定潜力______,7515,5,318,4.5,2017-07-21 17:01:47
中报速递：招商证券2017年上半年盈利25.52亿元,17318,12,231,0.0,2017-08-24 18:51:30
招商证券：上半年业绩逆势增长 二季度获证金公,33000,10,329,0.0,2017-08-24 22:09:24
招商证券半年报业绩逆势增长 证金增持,7954,3,266,0.0,2017-08-25 08:46:55
招商证券(600999)融资融券信息(08-24),2691,4,522,0.0,2017-08-25 07:45:59
IPO募资一成给了投行？最贵一单IPO招商证券赚1.,29164,6,2680,0.0,2017-08-23 16:04:43
