标题,阅读,评论,字数,影响力,时间
雄安未来人才需求巨大，科锐国际前景广阔,5860,53,160,0.0,2017-09-02 16:04:42
002820，桂花祥、金牛开启，399678，月K金叉！,5982,41,166,0.0,2017-09-01 22:37:16
嘿嘿多好的加仓机会,6912,42,128,0.0,2017-09-01 16:44:11
≥华泰证券+美国金融科技企业颠覆“金融系统”,263854,829,1582,4.0,2016-05-26 21:16:48
本来好好的，下午走成这样，哎,6223,44,138,2.0,2017-08-09 14:54:37
往市场4000点之前，可大胆进行低吸的10只潜力个,22154,56,1548,3.5,2017-08-31 13:13:07
揭密：中长线必将走牛的小盘潜力成长个股,18797,39,1075,3.5,2017-07-27 18:12:12
眼下可底部大胆建仓的超跌低价潜力黑马个股 ,21925,45,1181,3.5,2017-07-28 18:42:57
取市场4000点之前，可大胆进行低吸的10只潜力个,36615,51,1624,3.5,2017-08-07 13:02:16
空仓者可跑步进场的潜力低价牛票,25974,41,2251,3.5,2017-05-25 18:17:22
上市场4000点之前，可大胆进行低吸的10只潜力个,29739,58,1213,3.5,2017-06-22 11:34:39
招商银行理财资金可投资智慧路灯ppp稳收益 飞乐,5511,40,844,2.5,2017-08-02 09:35:26
道琼斯已经翻了三倍之多！请30万亿国际热钱扭过,5422,36,103,3.5,2017-08-07 13:17:51
加油 把大盘拉红喽~,5083,35,10,3.5,2017-08-07 10:04:48
[傲]漂亮50英豪300必将疯狂展我中华5千年大帝国,13455,15,3192,3.0,2017-06-12 09:35:33
[震撼人类]公告现重大利好，10股有望突破大涨！,8367,14,1948,3.0,2017-09-09 16:54:03
招行--全球顶级抗癌药，中国拥有自主研发产权,18923,18,2613,0.0,2017-06-23 17:22:48
招行虽是我第一重仓股，但我哪一篇帖子鼓动你们,23440,27,642,3.5,2017-06-27 22:24:04
招商银行南昌分行发放虚假按揭贷款等遭银监局处,16532,3,207,0.0,2017-09-30 13:35:03
天天资金流进，天天跌，真也是奇葩,23292,124,142,0.0,2017-07-11 22:02:08
新高！,19442,23,135,3.5,2016-08-19 17:27:12
==华泰证券第一梯队大券商绩优成长互联网券商龙,80913,228,190,3.0,2017-06-02 07:48:35
狂笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0.99今,17469,26,1583,4.5,2017-05-24 21:11:28
狂笑 狂笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0,16501,27,1586,4.5,2017-05-24 21:11:37
咯咯笑狂笑咯咯咯咯，三年利润之和超现公司市值,9659,22,559,4.5,2017-06-25 22:27:03
咯咯咯咯咯 狂笑 瞎子狂笑 连续4年业绩翻倍，三,29445,59,1789,4.5,2017-07-17 20:13:05
想继续上拉指数营造和谐，只有平安招行温氏同花,7777,47,174,2.0,2017-08-10 14:49:10
不买还涨~,4876,30,5,3.5,2017-08-02 14:36:53
《商业银行破产风险处置条例》对股民影响大，股,7049,50,186,3.0,2017-08-09 11:54:12
招商银行是银行板块的领头羊，要买就买领头羊,5488,5,93,4.0,2017-08-31 16:30:25
核心内参泄露（600785新华百货）要大涨,14108,78,286,0.0,2017-09-20 16:42:02
招行雄起...,3892,12,146,3.0,2017-09-04 09:56:06
招商银行(600036)融资融券信息(09-20),6769,6,546,0.0,2017-09-21 07:35:38
安硕信息300380曾经474元，现在21元，跌多少自,11197,12,139,4.0,2017-08-02 13:13:51
招商银行应该是最令人担心的银行,15742,10,1183,3.5,2017-09-06 21:43:45
实战炒股口决： 十四工作线，来回做波段；突破,48244,68,778,4.0,2017-05-26 10:35:20
散户必看炒股格言和现金策略！ 孙子云：先立于,46810,77,715,4.0,2017-05-23 06:23:06
实战炒股口决： 十四工作线，来回做波段；突破,69549,102,753,4.0,2017-03-19 09:53:48
四只乌鸦,3319,1,118,2.0,2017-08-31 10:10:32
感谢主力拉升招行这顿大餐,4623,3,146,3.5,2017-06-28 13:49:25
综述: 大盘怎么走？买点什么股？,3034,12,5424,2.5,2017-09-11 17:11:28
休息的任务就是刷屏 [摊手],7046,14,133,3.5,2017-09-09 18:01:35
你的一篇文章 我的158亿没了！招行很受伤,56633,55,2173,0.0,2017-09-09 09:07:09
~~奇虎360借壳中国中期,40051,111,136,3.0,2017-07-18 07:08:24
招商银行完成发行120亿元的金融债券,12234,17,274,0.0,2017-09-14 20:01:35
第四批PPP示范项目将破冰扩围 相关公司望受益(,4989,42,201,3.5,2017-07-28 14:11:07
巨皇集合 傻比徐翔接班人。很快的。,5501,33,17,3.5,2017-08-02 14:04:08
龙头是招商银行，买入,5680,38,130,3.0,2017-08-02 09:41:43
拓普集团601689即将大涨！绩优高成长！拓普集团,4307,41,111,3.5,2017-08-01 13:47:03
这么恶意炒作不停牌？,4355,42,124,3.5,2017-07-24 14:25:35
千万小心 托子骗人接筹码了，他才可以顺利出货,4468,42,204,4.0,2017-08-02 11:27:42
8月2日收盘猜想：华泰广发中信三证券惊天升券商,4342,32,216,4.0,2017-08-02 13:15:47
沪S39475 你傻比。想做第二个徐翔了哈。,5984,41,22,3.5,2017-08-07 11:23:52
招行庄：银座股份上涨放量下跌缩量何看？,6758,33,168,4.0,2017-08-03 09:14:05
以出局为主 涨不动了·该股已成鸡肋 而且后市会,6226,47,138,3.5,2017-08-09 13:45:36
招商银行的盘面变成次新股了，几百亿的盘子，而,7279,49,125,1.5,2017-07-27 14:06:24
中报危机！50、300股面临危险触发期 随时引报？,5323,33,362,3.5,2017-07-20 11:48:31
注意 科大智能长线的合理价是50元以上 坚定持有,5271,47,308,3.0,2017-07-30 22:24:40
量支持蓝筹持久性吗？南都电源可以看看嘛,5595,37,19,3.5,2017-08-07 10:17:09
继续持仓待涨，主板成交量逐渐放大，进来的傻子,7846,60,218,2.0,2017-08-07 10:24:14
坐看招行拉尾盘护盘,5422,35,128,3.5,2017-07-28 14:50:08
妈卖批，招商银行一涨，题材股就跌，我买啥啥跌,6331,38,191,3.0,2017-07-28 10:14:28
VVV不要让一日游的创业板动摇咱们持有的信息VVV,4984,33,159,3.5,2017-07-28 05:37:16
看看银行都跌废了招行护下午夜跳,5892,33,140,3.5,2017-08-09 10:54:54
