标题,阅读,评论,字数,影响力,时间
《北斗“卢沟7-7型”导航仪》,590392,2353,207,0.0,2017-07-07 07:48:49
融资客决战国家指数牛系列！历史总是惊人的相似,24896,31,561,3.0,2017-08-29 19:22:50
铁心陪股友走完方正证券现价到16元全程,67287,51,319,2.5,2017-04-27 09:54:15
券商股值得全仓买入和拼命捂住的根本原因,98305,114,810,2.5,2017-05-11 18:36:40
各位股友，能不吹捧方正就尽量心情压一压，今天,11984,17,416,3.5,2017-08-28 20:29:18
601901:方正证券关于获准撤销北京证券自营分公,18708,5,569,0.0,2017-09-29 18:12:32
哈哈哈哈哈 删贴啦 狂笑 狂笑 连续4年业绩翻倍,28124,69,578,4.5,2017-07-11 09:19:55
601901:方正证券关于股东股份被司法轮候冻结的,58397,37,589,0.0,2016-09-18 15:08:49
方正证券半年净利惨遭腰斩 处罚不断竞争力承压,102764,15,2526,0.0,2017-09-28 07:23:39
昨天共成交1.41亿，但是港资星展银行与中银国际,9277,23,202,2.0,2017-08-10 05:47:43
哈哈哈哈 删贴啦 狂笑 狂笑 连续4年业绩翻倍，,26557,72,577,4.5,2017-07-11 09:19:22
咯咯咯 狂笑大笑 翻倍股 晨鸣季报隐藏业绩核弹,15899,33,999,4.5,2017-06-11 09:06:10
咯咯咯咯 狂笑大笑 翻倍股 晨鸣季报隐藏业绩核,17689,38,1000,4.5,2017-06-11 09:05:49
方证.分享 ：皇城金枝玉叶 却是贱奴使女身价,11852,20,219,4.0,2017-09-11 08:59:32
曾购买方正证券（601901）股票符合索赔条件的股,14697,41,586,0.0,2017-07-06 16:21:29
方正证券(601901)融资融券信息(09-26),5942,4,528,0.0,2017-09-27 07:59:41
《炒股日记》（9月25日，周一）,9371,20,2107,4.0,2017-09-25 16:05:18
难道今天哈投也在出货吗,10818,19,123,0.0,2017-06-29 10:39:36
抢！咯咯咯！抢盘了，黄金砸头！晨鸣投资价值第,23946,44,775,4.5,2017-03-01 20:16:19
雄安崛起大牛市启动，A股必将雄霸全球！,8834,18,148,3.0,2017-04-22 09:22:52
重大提示：方正证券投资者索赔须知,40331,79,1052,3.5,2017-05-08 10:32:56
方正证券(601901)融资融券信息(09-22),8059,35,530,0.0,2017-09-23 07:48:36
601901:方正证券2017年8月财务数据简报,48148,7,628,0.0,2017-09-06 18:33:07
今日调整到位，下周震荡上涨[复盘],13691,29,140,3.0,2017-09-08 15:22:25
《炒股日记》（8月31日，周四）,13050,6,1736,4.0,2017-08-31 15:40:28
方正证券(601901)融资融券信息(09-01),9000,11,534,0.0,2017-09-02 07:58:57
是谁说的3000点要有信心？结果股价都跌破2000点,28364,87,158,0.5,2017-07-26 21:58:12
方正证券庄家继续狗咬狗，我拿500股看着方正证,24571,79,137,0.0,2017-09-08 14:58:46
[深度揭发]MSCI Inc.来了，漂亮50必将是永远中,11160,19,1200,3.0,2017-06-22 20:01:25
方正6月末领先大盘调整，走势与2016年12月至201,29722,36,287,2.5,2017-08-11 18:09:34
笑笑笑，业绩去年翻倍股0.99，今再翻倍超2元，,16390,31,603,4.5,2017-04-28 12:51:09
方正证券(601901)融资融券信息(08-24),5673,9,536,0.0,2017-08-25 07:48:12
方正证券主力资金还在，港资也没有跑路，继续看,42411,71,113,0.0,2017-08-30 16:09:41
0.98元业绩股价不到10块江苏银行仅此1家次新股,60108,152,188,1.5,2017-03-28 21:07:31
中报速递：方正证券2017年上半年盈利8.24亿元，,17753,5,229,0.0,2017-08-24 18:27:01
方正证券：上半年净利同比降六成 二季度获证金,25126,7,277,0.0,2017-08-24 22:30:29
小芳的庄家可够坏的啊！,3466,16,138,0.0,2017-06-05 09:58:49
方正证券(601901)融资融券信息(08-18),7968,33,532,0.0,2017-08-19 08:39:13
2016年个人资金账户配置了一部分方正证券（6019,134573,102,204,3.0,2016-04-16 14:56:22
有时候看线是一种超级误导，某些人却津津乐道~,5906,5,154,3.0,2017-07-20 17:43:16
《炒股日记》（9月13日，周三）,6678,7,2182,4.0,2017-09-13 16:54:47
方正证券：政泉控股所持公司股权继续遭冻结,32516,10,268,0.0,2017-08-04 19:41:18
不妨来个潜伏,7242,9,5345,4.0,2017-09-04 08:55:51
咸鱼翻身，终于云开见月明。 英联股份（17.07.3,17192,16,347,4.0,2017-08-09 20:46:29
方正证券：上半年净利降逾六成,39607,19,259,0.0,2017-08-13 16:24:07
方正证券(601901)融资融券信息(09-08),8621,35,536,0.0,2017-09-09 07:47:09
《炒股日记》（9月7日，周四）,8072,15,2132,4.0,2017-09-07 15:58:25
重大提示：方正证券投资者索赔须知,59135,84,1052,3.5,2017-05-06 09:14:36
今天为什么留一分钱的缺口不补，准备害人吗?,11225,17,137,0.0,2017-08-28 11:59:49
方正证券(601901)解禁股信息(08-08),23048,11,361,0.0,2017-08-07 00:01:28
读懂K线语言、明白它给你指明的方向,198551,502,224,2.0,2017-06-17 19:01:08
方正证券(601901)融资融券信息(08-25),6508,17,538,0.0,2017-08-26 10:08:13
进场: “双重改革”受益股，社保养老金标的股,6749,7,1300,4.0,2017-07-31 10:48:05
《炒股日记》（8月23日，周三）,6560,8,2025,4.0,2017-08-23 15:48:49
今天出货？,8012,49,120,3.0,2017-06-06 10:31:26
股市的夏天行情(六）,5245,51,704,3.0,2017-06-05 16:07:04
方证证券这样让小小股民索赔 小股民索赔是不现,5627,46,180,2.0,2017-06-06 17:42:52
我清仓走了  等下跌在回来见大家,5126,49,145,2.0,2017-06-05 13:07:27
方正证券风险只是暂时的，谨慎持有待涨追高,9123,47,91,0.0,2017-06-01 10:08:55
《炒股日记》（8月18日，周五）,9094,11,2031,4.0,2017-08-18 15:49:53
方正证券上半年净利润同比降六成,13690,7,226,0.0,2017-08-14 09:54:02
《炒股日记》（8月16日，周三）,9995,14,1852,4.0,2017-08-16 15:57:26
《炒股日记》（8月15日，周二）,8269,10,1845,4.0,2017-08-15 15:49:50
8，56进的,7991,15,6,3.0,2017-08-15 13:20:17
“方正系”或遭史上最大规模索赔 索赔人数或创,85774,25,1238,0.0,2017-05-13 13:05:43
601901:方正证券关于全资子公司方正和生完成减,24107,9,635,0.0,2017-07-12 19:32:43
601901:方正证券关于控股股东开展融资融券业务,30454,16,617,0.0,2017-08-14 16:18:12
《炒股周记》（8月11日，周五）,7717,8,1835,4.0,2017-08-11 17:12:39
[想一下]国家慢牛行情开启，让我们乘风破浪钱行,2690,3,799,3.5,2017-08-02 11:37:27
601901:方正证券2017年半年度业绩快报公告,44217,9,1057,0.0,2017-08-13 15:27:02
方正证券(601901)融资融券信息(08-11),4868,5,536,0.0,2017-08-12 07:49:31
方正最近是不是有个大新闻？,27120,35,155,0.0,2017-07-12 15:52:20
8月7日收评,17277,23,457,2.0,2017-08-07 16:02:11
《炒股日记》（8月4日，周五）,10806,21,1773,4.0,2017-08-04 16:14:38
方正证券(601901)融资融券信息(01-05),6966,8,520,0.0,2017-01-06 07:47:19
方正香港金控完成3亿增资 方正证券高起点搭建海,32474,15,2698,0.0,2017-08-08 17:56:19
牛股，但是未来不如中国银河！,13138,19,138,3.0,2017-05-17 11:57:43
7月21日港资持股方正1，241，583，518股，比例1,20579,24,295,2.5,2017-07-25 00:50:27
方正证券(601901)融资融券信息(08-04),5713,6,526,0.0,2017-08-05 07:48:25
敬告各位,8637,11,154,4.0,2017-08-08 16:02:20
价高估出明起全转买*惊天一路一带龙头600307酒,27675,87,326,0.0,2017-05-01 20:57:26
解禁之日，大跌之时，准备充足的弹药抄底，从技,29404,72,209,0.0,2017-08-02 21:01:31
601901:方正证券关于股东股份继续冻结的公告,42258,7,489,0.0,2017-08-04 18:41:44
方正证券聘高管遭反对 反对两票来自政泉控股,19052,7,889,0.0,2017-01-06 01:52:45
方正证券股东之争再起余波 反对票来自政泉控股,19322,13,1171,0.0,2017-01-04 08:01:38
选聘高管议案遭两董事否决 方正证券新任董事长,14029,13,2132,0.0,2017-01-05 06:44:31
601901:方正证券:西南证券股份有限公司关于方正,44932,13,223,0.0,2017-08-02 19:03:39
下午9.83收盘，没错了，10.13 10.03 9.93 9.83,17893,63,188,0.0,2017-07-03 10:54:56
601901:方正证券2017年7月财务数据简报,45458,6,626,0.0,2017-08-04 17:09:34
《炒股日记》（8月3日，周四）,7721,11,1905,4.0,2017-08-03 15:46:46
方正证券(601901)大宗交易数据一览(08-03),23866,9,476,0.0,2017-08-03 18:18:14
天量限售股解禁，明天大幅跳空低开，然后一路走,11226,17,174,3.0,2017-08-02 20:43:57
《炒股日记》（8月2日，周三）,11286,30,1808,4.0,2017-08-02 15:59:19
601901:方正证券关于有限售条件流通股上市流通,42624,24,1507,0.0,2017-08-02 19:00:51
8月8号天量限售股解禁，将连续暴跌，回到五元左,19514,24,158,3.0,2017-07-20 16:20:54
《炒股日记》（8月1日，周二）,8806,24,1710,4.0,2017-08-01 16:02:37
不要被昨天的小阳线迷惑了，典型的下跌中继，今,12867,18,174,3.0,2017-07-28 09:42:06
再议方正：之前我说过多次按港资的套路,32002,19,226,2.5,2017-07-25 18:52:55
《炒股日记》（7月20日，周四）,19654,44,1655,4.0,2017-07-20 18:07:23
庄家出货很明显，快逃逃逃,13000,21,134,2.0,2017-07-25 08:26:50
昨天港资 没动，那一波拉升是谁？,17244,22,138,0.0,2017-07-18 06:21:34
601901处罚落地，征集2015.7.15前买入股民索赔,15145,43,1034,3.0,2017-05-06 00:36:51
601901:方正证券关于公司涉及诉讼的进展公告(20,21757,10,1911,0.0,2017-04-18 19:01:48
601901:方正证券关于股东股份冻结的公告,71899,41,507,0.0,2015-08-31 19:36:02
601901:方正证券关于股东股份被司法轮候冻结的,10084,26,641,0.0,2015-09-11 19:21:36
601901:方正证券关于股东股份被司法轮候冻结的,94272,33,584,0.0,2016-01-08 19:17:07
《炒股日记》（7月17日，周一）,10552,16,1684,4.0,2017-07-17 16:49:24
重磅来袭，方正证券2015.7.15前买入股民索赔征,18480,42,847,0.0,2017-06-05 10:52:13
港资持股25%之前只买不卖，好戏在后头。,40383,33,165,2.5,2017-06-17 09:57:49
好兆头,9221,13,425,2.5,2017-07-28 07:22:40
在股市中有良好的心态加必备的技术是获利的根本,6253,11,177,2.5,2017-07-05 00:42:15
方正证券索赔案两地法院开打,39130,70,1601,0.0,2017-06-07 06:36:44
对方正证券的分析，不喜勿喷,38593,37,731,2.5,2017-07-16 09:01:12
《炒股日记》（7月26日，周三）,7974,5,1546,4.0,2017-07-26 16:35:42
方正证券这个月，股价由10元跌到8元，还股权之,14605,15,208,3.5,2017-07-26 10:59:43
26名小股东抱团向方正集团索赔 大股东成本次唯,34420,56,1258,0.0,2017-06-06 09:12:35
突然砸盘的休息了！,8292,11,130,3.5,2017-07-26 10:51:40
新的一天的下跌马上开始了，今天或许不是阴跌那,13567,25,223,3.0,2017-07-25 08:01:42
方正证券走势个人分析．从年初到今天，上证指数,117937,88,489,2.5,2017-06-07 23:08:05
拨开乌云见天日，黎明前的黑暗意味着光明就在眼,14109,11,213,3.0,2017-07-24 12:43:29
要调整，大跌的节奏。看k线,2063,25,136,1.0,2017-07-06 14:39:56
和海通证券比价，海通证券价值凸显,1587,23,142,1.0,2017-07-12 10:03:42
上证50到头了，没有永远上涨的股票,3511,26,144,1.0,2017-07-18 09:43:42
方正一点量就能绿盘，说明盘子很轻？,8555,21,144,2.5,2017-07-12 09:40:58
目前方正证券港资没有减持，看看港交所披露易20,19026,26,203,2.5,2017-07-19 09:33:39
10逃顶的举手，老夫做空大发了,8592,28,128,0.0,2017-07-07 19:20:57
存量资金博弈下，涨了就要跌。,3739,21,138,1.0,2017-07-06 14:54:00
哥已满仓，请求起飞。,7837,17,130,1.5,2017-07-12 10:26:58
和其他券商股对比呈高估状态,1966,19,136,1.0,2017-07-11 09:42:55
《炒股日记》（7月18日，周二）,7011,14,1542,4.0,2017-07-18 20:12:00
《炒股日记》（7月19日，周三）,7060,7,1654,4.0,2017-07-19 16:49:10
不要急于上攻，刚生完病要休养两天，五日线下缩,17332,15,174,3.0,2017-07-05 11:16:17
雾大的帖子又失联了吗？,243759,1349,132,0.0,2017-05-16 07:30:40
港资减持,18340,23,128,2.0,2017-07-15 00:28:08
券商板块目前股价站上年线的票，跌到30天线下越,6175,8,164,3.0,2017-07-04 13:34:24
黑马中的野驴,23080,69,255,3.0,2017-05-23 23:31:55
最赚钱!最安全!最简单的炒股方法！      首先要,55963,51,1256,4.0,2017-02-11 17:58:41
