标题,阅读,评论,字数,影响力,时间
江苏银行你看跌何不回家休息 ？,25423,89,421,3.0,2017-09-20 18:04:50
有图有真像，江苏银行2017年8月2号解禁60多万股,24923,16,205,0.0,2017-05-26 12:02:31
看着合适就买，觉着不好就不碰。我买了！,28985,105,148,3.5,2017-09-08 13:38:45
600919:江苏银行首次公开发行限售股上市流通公,111108,95,1709,0.0,2017-07-27 18:40:11
炒股炒差价不炒业急600531一600891一600909一30,10170,60,290,4.0,2017-09-21 09:05:36
善意提醒：别小看这次大解禁！（二）,47393,150,135,0.0,2017-08-02 12:01:21
沪指9月必到3400！ 10月必过3534！ 立帖为证 20,38007,137,155,0.0,2017-08-10 11:03:00
京东金融与江苏银行达成战略合作,39264,27,275,0.0,2017-09-28 19:16:33
咱散友就今天开买，越跌越买[傲]买得庄家怀疑人,13770,51,159,1.0,2017-09-27 14:10:27
沉舟侧畔千帆过,18244,115,124,0.0,2017-09-16 13:11:49
10倍！,28538,41,241,3.5,2016-08-02 00:47:09
构建新型金融科技生态 江苏银行与京东金融达成,28522,22,1279,0.0,2017-09-28 17:51:17
放心吧！沾上江苏银行会叫你一生都内牛满面！,42179,90,215,2.5,2017-08-15 16:23:42
江苏银行中报点评：同业结构调整，投资收益大增,45997,16,1504,0.0,2017-09-04 16:56:36
创新低!!!,16053,69,122,3.0,2017-08-01 09:39:17
我建议《江苏银行》改成《僵尸银行》，赞成的点,2489,3,160,1.0,2017-09-27 13:54:05
江苏银行(600919)融资融券信息(09-26),5654,4,496,0.0,2017-09-27 07:54:40
江苏银行三阳开泰后有回调。回调价位是多少？,45746,119,93,0.0,2017-07-14 09:03:23
吧里有人傻唱多，大家小心,9578,10,934,2.0,2017-09-26 20:18:37
坑挖完了，电梯上行,6301,7,287,3.5,2017-09-25 10:22:12
江苏银行(600919)融资融券信息(09-19),5835,9,494,0.0,2017-09-20 07:45:54
江苏银行的操作策略,17951,35,279,2.0,2017-09-23 11:05:50
江苏银行，底部盘整，快要拉升了,17466,16,156,0.0,2017-07-20 15:49:16
哈哈，就是你,8182,39,6,3.0,2017-09-22 12:53:26
江苏银行为何如一潭死水阴跌不涨？面临500亿元,20210,29,724,3.5,2017-09-13 16:51:45
倒金字塔法买入，保你稳赚,9743,22,200,2.0,2017-09-23 11:17:42
江苏银行(600919)融资融券信息(09-21),7039,7,496,0.0,2017-09-22 07:45:08
江苏银行(600919)大宗交易数据一览(09-21),25970,10,472,0.0,2017-09-21 18:13:11
600919:江苏银行关于董事及高级管理人员辞职的,46297,36,435,0.0,2017-09-19 16:09:51
江苏银行你看跌何不回家休息 ？,22674,79,421,2.0,2017-06-25 10:37:45
江苏银行(600919)大宗交易数据一览(09-20),28090,15,650,0.0,2017-09-20 18:26:18
次新股中0.98业绩，股价不到9元的就剩江苏银行了,56764,140,216,2.0,2017-08-25 14:49:56
小散亏钱主因：总认为下跌是主力打压吸筹！,29876,66,131,2.5,2017-08-16 11:09:08
大翻转！江苏银行突传利好！连续涨停！,36336,55,231,2.5,2017-08-05 10:22:41
918?什么意思?,13034,79,128,3.5,2017-06-19 22:34:05
江苏银行(600919)融资融券信息(09-11),7687,6,506,0.0,2017-09-12 07:54:10
600919:江苏银行2017年第一次临时股东大会决议,39348,12,1098,0.0,2017-09-14 18:45:00
次新股0.98元业绩股价不到10块仅江苏银行！,234713,515,156,1.5,2017-03-15 14:51:50
江苏银行(600919)融资融券信息(09-14),6429,2,498,0.0,2017-09-15 07:46:22
江苏银行业绩一年每股盈利一元。拿五年。每股净,17051,17,151,3.0,2017-08-26 08:49:12
有谁是10元5以上的成本报上名来，三年之内别想,11791,20,162,2.5,2017-09-11 18:04:58
江苏银行破发已成定局，又一个资本家马上要离开,113599,187,103,3.0,2016-07-21 21:59:12
可以关注刚上巿证券股601881一600909一002500一,16938,122,221,4.0,2017-08-30 17:32:51
立足江苏  拓展全国  比肩兴业  傲视群雄一一城,111157,411,182,4.0,2016-07-22 21:54:23
江苏银行最大的利好就是困扰持股心态的主要因素,19268,32,350,2.0,2017-08-26 18:53:16
江苏银行(600919)融资融券信息(09-12),6373,3,498,0.0,2017-09-13 07:47:31
600919:江苏银行关于召开2017年第一次临时股东,35543,7,1465,0.0,2017-09-08 16:28:00
国家队掘金:地产称霸南京，医美雄冠亚洲,4927,8,1266,3.0,2017-08-31 09:14:21
江苏银行(600919)融资融券信息(09-08),8203,19,514,0.0,2017-09-09 07:44:55
江苏银行(600919)融资融券信息(09-06),5747,5,508,0.0,2017-09-07 07:56:17
江苏银行(600919)解禁股信息(09-04),18515,19,289,0.0,2017-09-03 00:02:02
江苏银行(600919)融资融券信息(08-01),20051,25,508,0.0,2017-08-02 07:48:32
银行“缩表”明显 江苏银行业上半年表外余额同,22993,25,909,0.0,2017-09-05 18:17:36
600919:江苏银行2017年第一次临时股东大会会议,48247,10,520,0.0,2017-09-03 14:00:16
有人敢赌吗，周一大涨,12979,25,130,0.0,2017-09-02 06:54:45
有没人给我打赌，老牛说周一低开低走，有反对吗,13246,31,154,3.5,2017-08-27 10:34:33
600919:江苏银行关于非公开发行优先股申请获得,60198,43,469,0.0,2017-08-22 16:03:40
老牛那个新希望木有什么搞头，那股尽是老鼠仓，,4851,11,242,0.0,2017-09-02 09:32:15
真正决定一家金融机构估值的 始终是募钱和管钱,17322,9,2584,0.0,2017-08-31 13:37:37
江苏银行(600919)融资融券信息(08-31),5489,3,496,0.0,2017-09-01 08:04:44
江苏银行半年报增长一成,10071,3,192,0.0,2017-08-30 10:27:00
600919:江苏银行:中银国际证券有限责任公司、华,18160,8,1624,0.0,2017-08-29 20:28:49
中报速递：江苏银行2017年上半年盈利61.77亿元,38135,15,233,0.0,2017-08-29 20:47:29
600919:江苏银行首次公开发行限售股上市流通公,28484,11,1451,0.0,2017-08-29 20:26:32
江苏银行：上半年净利近62亿元 同比增逾10%,26796,6,244,0.0,2017-08-29 21:41:11
600919今晚发布半年报公告：业绩增长10%，不良,19647,12,191,2.0,2017-08-29 12:30:06
江苏银行明天不涨到9元3我准备吃翔。,12208,25,87,2.5,2017-08-28 18:33:20
老牛出江苏银行加仓新 希望,5023,5,136,3.5,2017-08-29 10:00:58
[成交满仓]漂亮50中国股市的心脏；沪深300中国,6793,4,605,3.5,2017-07-17 13:14:50
[牛毛估估]女士们先生们朋友们！战胜内心的恐惧,7140,18,863,3.5,2017-07-24 08:07:38
毫无底线，刘主席和江苏银行都毫无底线，谁是妖,23763,55,158,2.5,2017-07-31 09:46:39
我才开始买，就疯了好多人，有意思，本人准备陆,5770,8,170,3.5,2017-08-18 10:25:42
江苏银行(600919)融资融券信息(08-24),6572,4,504,0.0,2017-08-25 07:45:43
600919:江苏银行首次公开发行限售股上市流通的,108170,67,1341,0.0,2017-07-27 18:42:04
江苏银行(600919)大宗交易数据一览(08-04),46548,33,489,0.0,2017-08-04 18:23:30
江苏银行(600919)解禁股信息(08-02),55603,55,364,0.0,2017-08-01 00:02:22
江苏银行(600919)大宗交易数据一览(08-14),37228,22,499,0.0,2017-08-14 18:34:48
江苏银行(600919)大宗交易数据一览(08-22),30919,24,579,0.0,2017-08-22 18:42:29
江苏银行(600919)大宗交易数据一览(08-08),42063,24,487,0.0,2017-08-08 18:37:04
这个指标你们会用吗，好严重的底背离，又在放量，,11323,23,190,3.5,2017-08-21 11:43:45
华为销售额5800亿元与江苏银行合作意义重大！！,107714,219,91,0.0,2017-04-28 13:26:17
江苏银行(600919)融资融券信息(08-18),8934,33,508,0.0,2017-08-19 08:36:37
8月2日后，南京银行将比江苏银行高估20％,20537,20,82,3.0,2017-05-14 07:51:26
涨时重势 跌时重质,7778,28,86,2.0,2016-12-20 10:04:28
恭喜大家没被新增40亿流通股吓跑,29510,37,215,1.0,2017-08-08 09:04:02
给大伙普及一下我用短短2个月时间不到炒股从10,9218,8,408,3.0,2017-08-15 16:13:38
江苏银行(600919)融资融券信息(08-11),7255,7,512,0.0,2017-08-12 07:47:05
社保加仓: 怎么跌的就会怎么涨上去（荐股）,6600,7,1015,4.0,2017-07-27 17:43:22
周线MACD下跌不低于前低，股价创新低，走背驰，,8119,11,194,2.5,2017-08-10 16:32:34
江苏银行是否出事了？,1136,5,103,0.0,2017-04-10 11:46:08
进场: “双重改革”受益股，社保养老金标的股,3989,5,1300,4.0,2017-07-31 11:04:59
炒股有三大好处！,6629,10,130,3.5,2017-08-05 14:14:59
周一收盘在8.5元以下。,7609,7,228,3.5,2017-08-05 13:53:42
10亿融资客+1年套牢盘+46亿解禁=调整2年！,13955,50,160,2.5,2017-08-03 10:11:52
这次解禁近市值450亿，按每天成交平均6亿，其中,11868,16,214,3.5,2017-08-03 22:40:33
今天买了174手，不看了 年底再说,12088,35,17,2.5,2017-08-02 13:46:30
江苏银行与华夏银行比较后 ：中线破净资是大概,29490,26,249,3.5,2017-08-01 15:56:13
江阴银行请看人类内燃机工业革命时期美国为什么,7072,39,531,3.5,2017-08-01 10:18:39
砸锅卖铁换苏行，新车新房带新娘，冲锋号吹起，,7408,16,222,3.5,2017-08-03 09:51:06
价钱合适，今天买了一点。 主力敢买，咱为什么,40755,75,191,3.5,2017-05-15 11:46:17
善意提醒：别小看这次大解禁！,31529,122,135,0.0,2017-07-28 14:18:42
江苏银行，彻头彻尾就是个骗子,7927,4,210,2.0,2017-08-02 14:10:58
江苏银行明日涨停板！,16071,20,156,1.0,2017-08-01 15:51:19
8月解禁规模环比上升19.3% 江苏银行解禁规模最,24141,2,230,4.0,2017-08-02 09:51:17
反向思维，今天应大力买进江苏银行,5946,12,142,3.5,2017-08-02 05:50:58
我想问一下，今天抢的筹码是为了明天砸盘吗，还,5068,11,194,3.0,2017-08-01 10:28:29
连续投诉了几天证监会都没有任何回应！骗子江苏,5518,10,218,3.0,2017-08-01 15:14:54
江苏银行董秘应该下课，网友在询问时为什么不能,8378,27,270,3.0,2017-07-31 17:12:50
