日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2008-08-18,3.86,4.00,3.34,3.45,1.27,58.26,17925942,667084,30.28,74.69
2008-08-19,3.58,3.80,3.42,3.70,0.25,7.25,6887494,250050,11.01,28.70
2008-08-20,3.56,4.03,3.46,3.88,0.18,4.86,7730597,293826,15.41,32.21
2008-08-21,3.77,3.80,3.49,3.49,-0.39,-10.05,4802295,173202,7.99,20.01
2008-08-22,3.29,3.33,3.14,3.19,-0.30,-8.60,4464396,143612,5.44,18.60
2008-08-25,3.20,3.36,3.12,3.27,0.08,2.51,2396808,77991,7.52,9.99
2008-08-26,3.20,3.28,3.16,3.24,-0.03,-0.92,1110035,35651,3.67,4.63
2008-08-27,3.20,3.29,3.05,3.19,-0.05,-1.54,1838023,58021,7.41,7.66
2008-08-28,3.11,3.34,3.09,3.29,0.10,3.13,2154613,69600,7.84,8.98
2008-08-29,3.31,3.51,3.28,3.42,0.13,3.95,1961625,66888,6.99,8.17
2008-09-01,3.37,3.48,3.34,3.44,0.02,0.58,996319,34012,4.09,4.15
2008-09-02,3.41,3.50,3.37,3.47,0.03,0.87,791561,27241,3.78,3.30
2008-09-03,3.45,3.51,3.27,3.34,-0.13,-3.75,1513445,50947,6.92,6.31
2008-09-04,3.34,3.44,3.19,3.29,-0.05,-1.50,1288567,42691,7.49,5.37
2008-09-05,3.18,3.31,3.14,3.28,-0.01,-0.30,1040685,33777,5.17,4.34
2008-09-08,3.31,3.32,3.08,3.10,-0.18,-5.49,981897,31116,7.32,4.09
2008-09-09,3.12,3.21,3.10,3.19,0.09,2.90,550697,17464,3.55,2.29
2008-09-10,3.16,3.51,3.15,3.34,0.15,4.70,1743964,58898,11.29,7.27
2008-09-11,3.31,3.55,3.25,3.49,0.15,4.49,1780601,60809,8.98,7.42
2008-09-12,3.48,3.54,3.41,3.47,-0.02,-0.57,1301107,45210,3.72,5.42
2008-09-16,3.47,3.52,3.38,3.47,0.00,0.00,1152794,40076,4.03,4.80
2008-09-17,3.48,3.49,3.34,3.38,-0.09,-2.59,1337070,45687,4.32,5.57
2008-09-18,3.29,3.49,3.13,3.44,0.06,1.78,1270359,41778,10.65,5.29
2008-09-19,3.70,3.78,3.60,3.78,0.34,9.88,3909949,146572,5.23,16.29
2008-09-22,3.83,4.14,3.58,3.74,-0.04,-1.06,5934250,228033,14.81,24.73
2008-09-23,3.52,3.62,3.37,3.43,-0.31,-8.29,2600835,90210,6.68,10.84
2008-09-24,3.35,3.52,3.31,3.51,0.08,2.33,1018797,35135,6.12,4.25
2008-09-25,3.49,3.72,3.44,3.57,0.06,1.71,1990668,72033,7.98,8.29
2008-09-26,3.60,3.62,3.39,3.50,-0.07,-1.96,1793951,62335,6.44,7.47
2008-10-06,3.45,3.65,3.41,3.54,0.04,1.14,1422560,50737,6.86,5.93
2008-10-07,3.40,3.63,3.40,3.61,0.07,1.98,1106321,39360,6.50,4.61
2008-10-08,3.54,3.64,3.52,3.57,-0.04,-1.11,984408,35243,3.32,4.10
2008-10-09,3.62,3.65,3.55,3.57,0.00,0.00,847081,30518,2.80,3.53
2008-10-10,3.46,3.58,3.42,3.54,-0.03,-0.84,776985,27408,4.48,3.24
2008-10-13,3.51,3.76,3.49,3.74,0.20,5.65,1164677,42251,7.63,4.85
2008-10-14,3.84,3.85,3.59,3.60,-0.14,-3.74,1450577,53708,6.95,6.04
2008-10-15,3.60,3.66,3.54,3.61,0.01,0.28,614206,22159,3.33,2.56
2008-10-16,3.54,3.62,3.51,3.55,-0.06,-1.66,575096,20551,3.05,2.40
2008-10-17,3.57,3.60,3.51,3.57,0.02,0.56,444975,15823,2.54,1.85
2008-10-20,3.59,3.70,3.52,3.65,0.08,2.24,661175,23871,5.04,2.75
2008-10-21,3.68,3.68,3.53,3.59,-0.06,-1.64,1221555,43841,4.11,5.09
2008-10-22,3.54,3.54,3.35,3.40,-0.19,-5.29,1692960,57862,5.29,7.05
2008-10-23,3.30,3.44,3.25,3.42,0.02,0.59,670835,22721,5.59,2.80
2008-10-24,3.42,3.53,3.38,3.47,0.05,1.46,824544,28557,4.39,3.44
2008-10-27,3.47,3.55,3.29,3.31,-0.16,-4.61,1463783,50109,7.49,6.10
2008-10-28,3.20,3.46,3.20,3.44,0.13,3.93,1100209,36974,7.86,4.58
2008-10-29,3.47,3.49,3.39,3.40,-0.04,-1.16,693041,23813,2.91,2.89
2008-10-30,3.44,3.63,3.39,3.54,0.14,4.12,1227485,43249,7.06,5.11
2008-10-31,3.50,3.55,3.48,3.49,-0.05,-1.41,517451,18142,1.98,2.16
2008-11-03,3.48,3.56,3.47,3.52,0.03,0.86,322189,11352,2.58,1.34
2008-11-04,3.52,3.52,3.38,3.40,-0.12,-3.41,571622,19582,3.98,2.38
2008-11-05,3.46,3.58,3.41,3.52,0.12,3.53,1030817,36128,5.00,4.30
2008-11-06,3.45,3.50,3.39,3.45,-0.07,-1.99,521251,17942,3.13,2.17
2008-11-07,3.40,3.55,3.40,3.49,0.04,1.16,652005,22832,4.35,2.72
2008-11-10,3.60,3.84,3.55,3.84,0.35,10.03,3436430,129748,8.31,14.32
2008-11-11,3.78,3.84,3.69,3.70,-0.14,-3.65,1974918,74392,3.91,8.23
2008-11-12,3.63,3.73,3.58,3.68,-0.02,-0.54,1800533,65589,4.05,7.50
2008-11-13,3.70,4.05,3.70,4.05,0.37,10.05,3958543,156186,9.51,16.49
2008-11-17,4.23,4.46,4.15,4.46,0.41,10.12,7881305,342467,7.65,32.84
