日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2015-06-10,4.07,4.88,4.07,4.88,1.49,43.95,7411,358,23.89,0.02
2015-06-11,5.37,5.37,5.37,5.37,0.49,10.04,3810,205,0.00,0.01
2015-06-12,5.91,5.91,5.91,5.91,0.54,10.06,3946,233,0.00,0.01
2015-06-15,6.50,6.50,6.50,6.50,0.59,9.98,5895,383,0.00,0.02
2015-06-16,7.15,7.15,7.15,7.15,0.65,10.00,8071,577,0.00,0.02
2015-06-17,7.87,7.87,7.87,7.87,0.72,10.07,15322,1206,0.00,0.04
2015-06-18,8.66,8.66,8.66,8.66,0.79,10.04,13324,1154,0.00,0.03
2015-06-19,9.53,9.53,9.53,9.53,0.87,10.05,76899,7328,0.00,0.20
2015-06-23,10.48,10.48,10.48,10.48,0.95,9.97,134055,14049,0.00,0.34
2015-06-24,11.53,11.53,11.53,11.53,1.05,10.02,69192,7978,0.00,0.18
2015-06-25,12.68,12.68,12.68,12.68,1.15,9.97,57694,7316,0.00,0.15
2015-06-26,13.95,13.95,13.01,13.95,1.27,10.02,16164770,2229105,7.41,41.54
2015-06-29,13.70,13.95,12.56,13.23,-0.72,-5.16,17056661,2266379,9.96,43.84
2015-06-30,12.80,13.66,11.91,13.07,-0.16,-1.21,13112172,1653076,13.23,33.70
2015-07-01,12.60,14.38,12.01,13.32,0.25,1.91,17735147,2411334,18.13,45.58
2015-07-02,12.25,13.00,11.99,11.99,-1.33,-9.99,10595405,1309228,7.58,27.23
2015-07-03,11.25,11.85,10.79,10.79,-1.20,-10.01,6660306,735415,8.84,17.12
2015-07-06,11.87,11.87,9.71,10.12,-0.67,-6.21,10674613,1148045,20.02,27.43
2015-07-07,9.31,9.55,9.11,9.11,-1.01,-9.98,3171425,292432,4.35,8.15
2015-07-08,8.20,8.20,8.20,8.20,-0.91,-9.99,471994,38704,0.00,1.21
2015-07-09,7.38,9.02,7.38,9.02,0.82,10.00,9458030,787438,20.00,24.31
2015-07-10,9.08,9.92,9.04,9.92,0.90,9.98,3611087,347618,9.76,9.28
2015-07-13,10.68,10.91,10.30,10.91,0.99,9.98,7280431,782881,6.15,18.71
2015-07-14,11.32,11.97,10.87,11.52,0.61,5.59,11301233,1298160,10.08,29.04
2015-07-15,10.98,11.23,10.37,10.37,-1.15,-9.98,6074431,647109,7.47,15.61
2015-07-16,9.90,11.33,9.48,10.86,0.49,4.73,6934760,742842,17.84,17.82
2015-07-17,10.95,11.80,10.66,11.51,0.65,5.99,7074990,798951,10.50,18.18
2015-07-20,11.45,11.66,11.00,11.36,-0.15,-1.30,7186613,815891,5.73,18.47
2015-07-21,11.02,12.50,10.90,12.18,0.82,7.22,9875267,1176491,14.08,25.38
2015-07-22,11.88,12.10,11.55,11.91,-0.27,-2.22,7213717,855413,4.52,18.54
2015-07-23,11.80,12.70,11.61,12.18,0.27,2.27,7784197,950765,9.15,20.01
2015-07-24,12.18,12.28,11.60,11.70,-0.48,-3.94,6896131,826250,5.58,17.72
2015-07-27,11.34,11.66,10.53,10.53,-1.17,-10.00,4959689,551425,9.66,12.75
2015-07-28,9.70,10.80,9.48,10.01,-0.52,-4.94,5110967,509503,12.54,13.14
2015-07-29,10.23,10.80,9.86,10.72,0.71,7.09,4076957,418265,9.39,10.48
2015-07-30,10.50,11.66,10.39,10.85,0.13,1.21,6255690,690080,11.85,16.08
2015-07-31,10.58,11.19,10.20,10.51,-0.34,-3.13,4112780,435833,9.12,10.57
2015-08-03,10.28,10.79,10.00,10.31,-0.20,-1.90,3307599,341709,7.52,8.50
2015-08-04,10.50,11.12,10.31,11.05,0.74,7.18,4913936,528618,7.86,12.63
2015-08-05,10.90,11.07,10.50,10.66,-0.39,-3.53,4789504,517548,5.16,12.31
2015-08-06,10.38,11.08,10.28,10.77,0.11,1.03,3845431,412062,7.50,9.88
2015-08-07,10.90,11.38,10.78,11.12,0.35,3.25,5442249,607284,5.57,13.99
2015-08-10,11.65,12.23,11.40,12.23,1.11,9.98,8568486,1018680,7.46,22.02
2015-08-11,12.30,12.72,12.01,12.19,-0.04,-0.33,9990538,1237849,5.81,25.68
2015-08-12,11.84,12.33,11.72,11.83,-0.36,-2.95,4736032,566004,5.00,12.17
2015-08-13,11.71,12.36,11.68,12.24,0.41,3.47,5512420,666917,5.75,14.17
2015-08-14,12.33,12.39,11.82,11.92,-0.32,-2.61,4732902,571943,4.66,12.16
2015-08-17,11.70,11.85,11.39,11.73,-0.19,-1.59,4450867,517810,3.86,11.44
2015-08-18,11.66,11.78,10.56,10.56,-1.17,-9.97,5743437,634872,10.40,14.76
2015-08-19,10.12,10.79,9.80,10.68,0.12,1.14,3896048,401108,9.38,10.01
2015-08-20,10.49,10.56,10.10,10.17,-0.51,-4.78,2255156,233148,4.31,5.80
2015-08-21,10.04,10.30,9.83,9.99,-0.18,-1.77,2655292,267116,4.62,6.82
2015-08-24,9.61,9.70,8.99,8.99,-1.00,-10.01,2897607,264502,7.11,7.45
2015-08-25,8.18,8.60,8.09,8.09,-0.90,-10.01,2677824,221218,5.67,6.88
2015-08-26,8.18,8.65,7.69,8.04,-0.05,-0.62,3881749,318446,11.87,9.98
2015-08-27,8.33,8.72,8.02,8.70,0.66,8.21,3560658,298221,8.71,9.15
2015-08-28,8.83,9.49,8.70,9.47,0.77,8.85,4198559,380244,9.08,10.79
2015-08-31,9.48,9.48,9.01,9.08,-0.39,-4.12,2944354,269866,4.96,7.57
2015-09-01,9.00,9.00,8.30,8.41,-0.67,-7.38,2776039,237723,7.71,7.13
2015-09-02,7.95,8.82,7.86,8.16,-0.25,-2.97,2591554,217576,11.42,6.66
2015-09-07,8.40,8.70,8.30,8.34,0.18,2.21,2317384,196944,4.90,5.96
2015-09-08,8.36,9.17,8.22,9.17,0.83,9.95,4119173,363485,11.39,10.59
2015-09-09,9.28,9.57,9.08,9.37,0.20,2.18,4935947,461222,5.34,12.69
2015-09-10,9.16,9.86,9.07,9.38,0.01,0.11,4638455,438469,8.43,11.92
2015-09-11,9.31,9.52,9.19,9.32,-0.06,-0.64,2383568,223052,3.52,6.13
2015-09-14,9.40,9.52,8.39,8.43,-0.89,-9.55,3327059,296390,12.12,8.55
2015-09-15,8.30,8.81,8.27,8.37,-0.06,-0.71,2628798,223298,6.41,6.76
2015-09-16,8.43,9.21,8.32,9.21,0.84,10.04,3975219,351475,10.63,10.22
2015-09-17,9.20,9.64,9.01,9.04,-0.17,-1.85,4995490,464914,6.84,12.84
2015-09-18,9.17,9.24,8.92,9.16,0.12,1.33,2766891,251682,3.54,7.11
2015-09-21,9.16,9.78,9.05,9.70,0.54,5.90,4483427,426181,7.97,11.52
2015-09-22,9.77,9.79,9.45,9.60,-0.10,-1.03,3327519,319866,3.51,8.55
2015-09-23,9.41,9.67,9.35,9.41,-0.19,-1.98,2281930,216050,3.33,5.86
2015-09-24,9.48,9.60,9.28,9.59,0.18,1.91,2253873,213176,3.40,5.79
2015-09-25,9.49,9.49,9.08,9.20,-0.39,-4.07,1991654,184707,4.28,5.12
2015-09-28,9.28,9.30,9.04,9.22,0.02,0.22,1160937,106667,2.83,2.98
2015-09-29,9.06,9.10,8.90,8.94,-0.28,-3.04,1442111,129785,2.17,3.71
2015-09-30,9.01,9.13,8.97,9.07,0.13,1.45,1156551,104678,1.79,2.97
2015-10-08,9.49,9.78,9.32,9.55,0.48,5.29,3121735,298997,5.07,8.02
2015-10-09,9.50,9.73,9.46,9.66,0.11,1.15,2487645,239092,2.83,6.39
2015-10-12,9.69,10.63,9.65,10.59,0.93,9.63,7617267,791140,10.14,19.58
