日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2009-12-16,8.41,8.70,8.06,8.30,0.92,12.47,9162523,761471,8.67,76.55
2009-12-17,8.00,8.14,7.60,7.75,-0.55,-6.63,3563241,281248,6.51,29.77
2009-12-18,7.89,8.08,7.75,7.84,0.09,1.16,2289729,181434,4.26,19.13
2009-12-21,7.78,7.88,7.54,7.71,-0.13,-1.66,1640196,126151,4.34,13.70
2009-12-22,7.68,7.70,7.43,7.44,-0.27,-3.50,1255744,94705,3.50,10.49
2009-12-23,7.46,7.72,7.34,7.54,0.10,1.34,1444010,108668,5.11,12.06
2009-12-24,7.48,7.59,7.39,7.54,0.00,0.00,1371927,103025,2.65,11.46
2009-12-25,7.50,7.77,7.45,7.57,0.03,0.40,1252223,95533,4.24,10.46
2009-12-28,7.55,7.62,7.52,7.59,0.02,0.26,937913,70938,1.32,7.84
2009-12-29,7.52,7.89,7.39,7.74,0.15,1.98,1841632,140454,6.59,15.39
2009-12-30,7.70,7.75,7.60,7.68,-0.06,-0.78,957119,73466,1.94,8.00
2009-12-31,7.71,7.99,7.68,7.81,0.13,1.69,1369418,107581,4.04,11.44
2010-01-04,7.76,7.80,7.62,7.63,-0.18,-2.30,852409,65489,2.30,7.12
2010-01-05,7.65,7.67,7.50,7.60,-0.03,-0.39,632301,47911,2.23,5.28
2010-01-06,7.55,7.78,7.54,7.69,0.09,1.18,934411,71731,3.16,7.81
2010-01-07,7.65,7.76,7.56,7.60,-0.09,-1.17,658796,50412,2.60,5.50
2010-01-08,7.61,7.65,7.44,7.52,-0.08,-1.05,558848,41956,2.76,4.67
2010-01-11,7.65,7.78,7.60,7.68,0.16,2.13,1008361,77674,2.39,8.42
2010-01-12,7.60,7.98,7.60,7.93,0.25,3.26,1235190,96711,4.95,10.32
2010-01-13,7.81,8.03,7.75,7.82,-0.11,-1.39,1042100,82196,3.53,8.71
2010-01-14,7.83,8.28,7.76,8.15,0.33,4.22,1397485,112760,6.65,11.67
2010-01-15,8.14,8.15,8.03,8.04,-0.11,-1.35,881401,71283,1.47,7.36
2010-01-18,8.06,8.10,7.94,8.02,-0.02,-0.25,562182,45026,1.99,4.70
2010-01-19,8.01,8.21,7.98,8.06,0.04,0.50,620077,50131,2.87,5.18
2010-01-20,8.03,8.06,7.65,7.72,-0.34,-4.22,745043,58290,5.09,6.22
2010-01-21,7.70,7.76,7.59,7.67,-0.05,-0.65,458143,35132,2.20,3.83
2010-01-22,7.56,7.63,7.48,7.59,-0.08,-1.04,463928,35010,1.96,3.88
2010-01-25,7.50,7.61,7.50,7.51,-0.08,-1.05,191936,14493,1.45,1.60
2010-01-26,7.53,7.68,7.40,7.50,-0.01,-0.13,502656,37904,3.73,4.20
2010-01-27,7.48,7.62,7.42,7.50,0.00,0.00,268321,20233,2.67,2.24
2010-01-28,7.50,7.68,7.49,7.65,0.15,2.00,438872,33405,2.53,3.67
2010-01-29,7.61,7.72,7.53,7.55,-0.10,-1.31,383809,29328,2.48,3.21
2010-02-01,7.53,7.55,7.25,7.27,-0.28,-3.71,669221,49390,3.97,5.59
2010-02-02,7.30,7.36,7.03,7.10,-0.17,-2.34,525024,37787,4.54,4.39
2010-02-03,7.07,7.17,6.82,7.15,0.05,0.70,411127,28858,4.93,3.43
2010-02-04,7.09,7.33,6.98,7.18,0.03,0.42,448385,32033,4.90,3.75
2010-02-05,6.98,7.16,6.92,7.02,-0.16,-2.23,403287,28366,3.34,3.37
2010-02-08,7.02,7.11,6.99,7.03,0.01,0.14,165535,11649,1.71,1.38
2010-02-09,7.03,7.05,6.95,6.96,-0.07,-1.00,156791,10963,1.42,1.31
2010-02-10,7.02,7.04,6.95,7.01,0.05,0.72,154050,10753,1.29,1.29
2010-02-11,7.01,7.07,6.87,6.92,-0.09,-1.28,406754,28191,2.85,3.40
2010-02-12,6.95,6.96,6.86,6.93,0.01,0.14,228419,15783,1.45,1.91
2010-02-22,6.89,7.02,6.88,6.96,0.03,0.43,252930,17644,2.02,2.11
2010-02-23,6.92,6.96,6.82,6.90,-0.06,-0.86,197851,13587,2.01,1.65
2010-02-24,6.87,7.03,6.84,7.02,0.12,1.74,240493,16749,2.75,2.01
2010-02-25,7.04,7.29,7.00,7.19,0.17,2.42,665362,47691,4.13,5.56
2010-02-26,7.14,7.20,7.10,7.17,-0.02,-0.28,319960,22910,1.39,2.67
2010-03-01,7.20,7.22,7.14,7.17,0.00,0.00,243966,17517,1.12,2.04
2010-03-02,7.20,7.20,7.07,7.09,-0.08,-1.12,264499,18836,1.81,2.21
2010-03-03,7.08,7.41,7.06,7.33,0.24,3.39,697693,50818,4.94,5.83
2010-03-04,7.31,7.41,7.06,7.10,-0.23,-3.14,514895,37270,4.77,4.30
2010-03-05,7.14,7.34,7.10,7.33,0.23,3.24,387667,28049,3.38,3.24
2010-03-08,7.33,7.43,7.31,7.34,0.01,0.14,423992,31297,1.64,3.54
2010-03-09,7.36,7.42,7.25,7.39,0.05,0.68,316954,23323,2.32,2.65
2010-03-10,7.41,7.53,7.28,7.35,-0.04,-0.54,317126,23520,3.38,2.65
2010-03-11,7.36,7.39,7.19,7.30,-0.05,-0.68,225164,16401,2.72,1.88
2010-03-12,7.27,7.31,7.11,7.14,-0.16,-2.19,231860,16680,2.74,1.94
2010-03-15,7.11,7.16,6.98,7.01,-0.13,-1.82,261410,18419,2.52,2.18
2010-03-16,6.85,6.88,6.49,6.76,-0.25,-3.57,1936803,130197,5.56,9.71
2010-03-17,6.68,6.88,6.66,6.87,0.11,1.63,638457,43258,3.25,3.20
2010-03-18,6.87,6.88,6.80,6.82,-0.05,-0.73,469520,32075,1.16,2.35
2010-03-19,6.83,6.87,6.78,6.86,0.04,0.59,314284,21486,1.32,1.58
2010-03-22,6.85,7.03,6.82,6.97,0.11,1.60,481726,33472,3.06,2.41
2010-03-23,6.96,7.02,6.92,6.95,-0.02,-0.29,344399,24004,1.43,1.73
2010-03-24,6.90,7.01,6.90,6.94,-0.01,-0.14,301247,20983,1.58,1.51
2010-03-25,6.93,6.94,6.81,6.85,-0.09,-1.30,358670,24572,1.87,1.80
2010-03-26,6.84,7.02,6.84,6.94,0.09,1.31,283969,19724,2.63,1.42
