日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2010-07-15,2.74,2.74,2.69,2.70,0.02,0.75,40397252,1094961,1.87,39.18
2010-07-16,2.70,2.70,2.68,2.69,-0.01,-0.37,13789551,370755,0.74,13.37
2010-07-19,2.68,2.71,2.68,2.71,0.02,0.74,11467383,308801,1.12,11.12
2010-07-20,2.70,2.71,2.69,2.71,0.00,0.00,8442261,227883,0.74,8.19
2010-07-21,2.70,2.71,2.69,2.71,0.00,0.00,6220943,167892,0.74,6.03
2010-07-22,2.70,2.75,2.69,2.73,0.02,0.74,10651226,289503,2.21,10.33
2010-07-23,2.73,2.84,2.73,2.81,0.08,2.93,17927829,500116,4.03,17.39
2010-07-26,2.83,2.84,2.77,2.80,-0.01,-0.36,7046939,197487,2.49,6.83
2010-07-27,2.79,2.80,2.77,2.78,-0.02,-0.71,3844840,107044,1.07,3.73
2010-07-28,2.78,2.85,2.78,2.84,0.06,2.16,7969171,224874,2.52,7.73
2010-07-29,2.84,2.88,2.81,2.83,-0.01,-0.35,8945884,254299,2.46,8.68
2010-07-30,2.82,2.82,2.77,2.79,-0.04,-1.41,5106246,142371,1.77,4.95
2010-08-02,2.78,2.81,2.77,2.80,0.01,0.36,5215746,145441,1.43,5.06
2010-08-03,2.80,2.81,2.73,2.73,-0.07,-2.50,5667042,156820,2.86,5.50
2010-08-04,2.73,2.75,2.70,2.73,0.00,0.00,4138635,112731,1.83,4.01
2010-08-05,2.73,2.73,2.71,2.72,-0.01,-0.37,3355002,91116,0.73,3.25
2010-08-06,2.72,2.73,2.70,2.72,0.00,0.00,3280149,89132,1.10,3.18
2010-08-09,2.72,2.73,2.70,2.72,0.00,0.00,4598876,124602,1.10,4.46
2010-08-10,2.71,2.72,2.68,2.69,-0.03,-1.10,5066835,136467,1.47,4.91
2010-08-11,2.69,2.70,2.68,2.69,0.00,0.00,4681194,125891,0.74,4.54
2010-08-12,2.68,2.69,2.68,2.68,-0.01,-0.37,5115667,137203,0.37,4.96
2010-08-13,2.68,2.69,2.68,2.69,0.01,0.37,6615541,177448,0.37,6.42
2010-08-16,2.68,2.72,2.68,2.71,0.02,0.74,3865492,104302,1.49,3.75
2010-08-17,2.70,2.70,2.68,2.69,-0.02,-0.74,3327281,89479,0.74,3.23
2010-08-18,2.69,2.71,2.68,2.69,0.00,0.00,3959871,106564,1.12,3.84
2010-08-19,2.69,2.70,2.68,2.69,0.00,0.00,4142537,111324,0.74,4.02
2010-08-20,2.68,2.69,2.68,2.68,-0.01,-0.37,4295121,115168,0.37,4.17
2010-08-23,2.68,2.69,2.68,2.68,0.00,0.00,1466815,39348,0.37,1.42
2010-08-24,2.68,2.70,2.68,2.69,0.01,0.37,2563052,68891,0.75,2.49
2010-08-25,2.68,2.69,2.68,2.68,-0.01,-0.37,3366945,90258,0.37,3.27
2010-08-26,2.68,2.69,2.68,2.69,0.01,0.37,1727321,46350,0.37,1.68
2010-08-27,2.69,2.69,2.68,2.69,0.00,0.00,1534878,41191,0.37,1.49
2010-08-30,2.69,2.71,2.68,2.70,0.01,0.37,3661374,98690,1.12,3.55
2010-08-31,2.70,2.70,2.68,2.69,-0.01,-0.37,2288977,61576,0.74,2.22
2010-09-01,2.68,2.70,2.68,2.68,-0.01,-0.37,3136430,84248,0.74,3.04
2010-09-02,2.69,2.69,2.68,2.69,0.01,0.37,1676089,44977,0.37,1.63
2010-09-03,2.69,2.70,2.68,2.69,0.00,0.00,2825241,75887,0.74,2.74
2010-09-06,2.69,2.70,2.68,2.70,0.01,0.37,2439620,65658,0.74,2.37
2010-09-07,2.70,2.70,2.68,2.69,-0.01,-0.37,1712861,46078,0.74,1.66
2010-09-08,2.68,2.70,2.68,2.70,0.01,0.37,2253965,60567,0.74,2.19
2010-09-09,2.69,2.70,2.68,2.69,-0.01,-0.37,2232502,59934,0.74,2.17
2010-09-10,2.68,2.70,2.68,2.69,0.00,0.00,2849696,76562,0.74,2.76
2010-09-13,2.69,2.70,2.68,2.70,0.01,0.37,2973850,80021,0.74,2.88
2010-09-14,2.69,2.70,2.68,2.69,-0.01,-0.37,2182471,58717,0.74,2.12
2010-09-15,2.69,2.69,2.68,2.68,-0.01,-0.37,1797044,48200,0.37,1.74
2010-09-16,2.68,2.69,2.61,2.63,-0.05,-1.87,5433751,143757,2.99,5.27
