日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,11.32,11.50,10.97,11.12,-0.17,-1.51,78781,8811,4.69,4.10
2007-01-05,11.10,11.64,11.01,11.55,0.43,3.87,50465,5776,5.67,2.63
2007-01-08,11.54,12.71,11.48,12.71,1.16,10.04,136863,16753,10.65,7.12
2007-01-09,12.71,13.98,12.71,13.50,0.79,6.22,114697,15386,9.99,5.97
2007-01-10,14.00,14.00,13.50,13.71,0.21,1.56,65450,8963,3.70,3.41
2007-01-11,13.80,13.95,13.39,13.63,-0.08,-0.58,72720,9911,4.08,3.78
2007-01-12,13.51,13.71,12.85,12.88,-0.75,-5.50,62211,8275,6.31,3.24
2007-01-15,12.80,13.99,12.80,13.88,1.00,7.76,76863,10484,9.24,4.00
2007-01-16,13.88,14.15,13.62,14.04,0.16,1.15,77419,10732,3.82,4.03
2007-01-17,14.22,15.00,13.58,14.21,0.17,1.21,108640,15750,10.11,5.65
2007-01-18,14.10,14.68,13.65,14.35,0.14,0.99,74308,10475,7.25,3.87
2007-01-19,14.50,15.15,14.38,14.91,0.56,3.90,106201,15751,5.37,5.53
2007-01-22,15.03,15.25,14.65,15.15,0.24,1.61,96013,14362,4.02,5.00
2007-01-23,15.05,15.22,14.18,14.71,-0.44,-2.90,73798,10884,6.86,3.84
2007-01-24,14.72,15.10,14.45,14.62,-0.09,-0.61,54628,8013,4.42,2.84
2007-01-25,14.40,14.44,13.80,13.85,-0.77,-5.27,72541,10193,4.38,3.77
2007-01-26,13.70,14.30,12.98,14.19,0.34,2.45,77490,10425,9.53,4.03
2007-01-29,14.23,14.47,13.89,14.35,0.16,1.13,80183,11393,4.09,4.17
2007-01-30,14.35,14.89,14.35,14.39,0.04,0.28,63641,9268,3.76,3.31
2007-01-31,14.38,14.38,12.95,13.10,-1.29,-8.96,75402,10207,9.94,3.92
2007-02-01,12.97,13.68,12.75,13.41,0.31,2.37,61291,8094,7.10,3.19
2007-02-02,13.40,13.50,13.08,13.10,-0.31,-2.31,40026,5291,3.13,2.08
2007-02-05,13.00,13.46,12.91,13.25,0.15,1.15,37557,4974,4.20,1.95
2007-02-06,13.34,13.55,13.00,13.47,0.22,1.66,30910,4139,4.15,1.61
2007-02-07,13.74,13.74,13.29,13.38,-0.09,-0.67,35430,4790,3.34,1.84
