日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,4.24,4.50,4.21,4.26,0.17,4.16,1774973,78210,7.09,17.75
2007-01-05,4.32,4.69,4.32,4.69,0.43,10.09,1198453,54792,8.69,11.98
2007-01-08,4.69,4.85,4.52,4.69,0.00,0.00,497156,23136,7.04,4.97
2007-01-09,4.67,4.92,4.65,4.92,0.23,4.90,542414,26177,5.76,5.42
2007-01-10,5.00,5.17,4.94,5.17,0.25,5.08,468606,23948,4.67,4.69
2007-01-11,5.34,5.43,5.28,5.43,0.26,5.03,103248,5583,2.90,1.03
2007-01-12,5.70,5.70,5.16,5.64,0.21,3.87,667087,37227,9.94,6.67
2007-01-15,5.76,5.90,5.40,5.67,0.03,0.53,595868,33441,8.87,5.96
2007-01-16,5.69,5.95,5.67,5.95,0.28,4.94,451396,26363,4.94,4.51
2007-01-17,6.20,6.25,5.94,6.25,0.30,5.04,457391,28469,5.21,4.57
2007-01-18,6.25,6.35,5.94,6.04,-0.21,-3.36,596883,36152,6.56,5.97
2007-01-19,6.16,6.26,5.93,6.09,0.05,0.83,379481,23163,5.46,3.79
2007-01-22,6.03,6.26,5.84,6.26,0.17,2.79,494990,30013,6.90,4.95
2007-01-23,6.20,6.20,5.95,6.00,-0.26,-4.15,316662,19119,3.99,3.17
2007-01-24,5.88,5.91,5.70,5.82,-0.18,-3.00,363419,20979,3.50,3.63
2007-01-25,5.80,5.80,5.54,5.55,-0.27,-4.64,246237,13960,4.47,2.46
2007-01-26,5.51,5.83,5.45,5.83,0.28,5.05,320775,18133,6.85,3.21
2007-01-29,5.90,5.99,5.81,5.92,0.09,1.54,256486,15108,3.09,2.56
2007-01-30,5.99,6.19,5.88,6.03,0.11,1.86,425306,25891,5.24,4.25
2007-01-31,5.89,5.95,5.73,5.73,-0.30,-4.98,218536,12658,3.65,2.19
2007-02-01,5.53,5.56,5.44,5.44,-0.29,-5.06,361508,19730,2.09,3.62
2007-02-02,5.48,5.54,5.17,5.17,-0.27,-4.96,301227,15798,6.80,3.01
