日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,30.50,30.98,30.16,30.58,-1.00,-3.17,40990,12454,2.60,5.47
2007-01-05,29.95,29.95,28.90,29.77,-0.81,-2.65,32114,9399,3.43,4.28
2007-01-08,27.70,29.20,27.60,28.98,-0.79,-2.65,64161,18236,5.37,8.55
2007-01-09,29.38,30.44,29.37,29.99,1.01,3.49,42709,12777,3.69,5.69
2007-01-10,29.95,31.15,29.45,30.94,0.95,3.17,46779,14145,5.67,6.24
2007-01-11,30.80,31.00,29.88,30.00,-0.94,-3.04,40198,12250,3.62,5.36
2007-01-12,29.80,30.00,28.45,28.98,-1.02,-3.40,28188,8239,5.17,3.76
2007-01-15,30.01,30.58,29.51,30.51,1.53,5.28,32378,9769,3.69,4.32
2007-01-16,30.65,33.13,30.65,32.56,2.05,6.72,55138,17749,8.13,7.35
2007-01-17,32.40,34.50,30.70,32.10,-0.46,-1.41,45734,15112,11.67,6.10
2007-01-18,32.68,35.20,32.68,34.81,2.71,8.44,63648,21804,7.85,8.49
2007-01-19,34.45,36.49,33.98,35.86,1.05,3.02,43981,15612,7.21,5.86
2007-01-22,37.62,39.30,37.12,38.23,2.37,6.61,39108,14913,6.08,5.21
2007-01-23,38.39,39.98,36.50,39.48,1.25,3.27,33765,12858,9.10,4.50
2007-01-24,41.98,42.50,40.40,40.42,0.94,2.38,46893,19477,5.32,6.25
2007-01-25,40.80,40.88,38.80,38.87,-1.55,-3.83,35988,14505,5.15,4.80
2007-01-26,38.00,41.70,36.50,41.45,2.58,6.64,37404,14615,13.38,4.99
2007-01-29,41.39,45.36,40.50,45.18,3.73,9.00,60787,25988,11.73,8.11
2007-01-30,44.30,45.15,42.90,43.52,-1.66,-3.67,24426,10727,4.98,3.26
2007-01-31,43.52,44.78,39.17,40.01,-3.51,-8.07,34602,14718,12.89,4.61
2007-02-01,41.78,42.30,40.75,41.81,1.80,4.50,25063,10442,3.87,3.34
2007-02-02,43.50,44.18,42.00,44.00,2.19,5.24,37584,16292,5.21,5.01
2007-02-06,43.00,43.25,39.65,42.53,-1.47,-3.34,24499,10406,8.18,3.27
2007-02-07,46.78,46.78,43.00,44.11,1.58,3.72,26586,11951,8.89,3.54
2007-02-08,44.00,46.40,43.09,45.17,1.06,2.40,35232,15998,7.50,4.70
2007-02-09,45.99,45.99,43.60,45.13,-0.04,-0.09,21162,9517,5.29,2.82
2007-02-12,45.13,49.64,45.13,48.79,3.66,8.11,18514,8918,9.99,2.47
2007-02-13,48.50,48.50,46.99,47.09,-1.70,-3.48,20061,9504,3.09,2.67
2007-02-14,47.20,47.95,46.80,47.50,0.41,0.87,17911,8493,2.44,2.39
2007-02-15,48.35,50.00,47.53,48.45,0.95,2.00,14181,6907,5.20,1.89
2007-02-16,48.62,49.60,47.00,47.35,-1.10,-2.27,15757,7523,5.37,2.10
2007-02-26,49.25,51.20,49.25,49.94,2.59,5.47,19176,9606,4.12,2.56
2007-02-27,50.00,51.78,44.95,47.99,-1.95,-3.90,27516,13172,13.68,3.67
2007-02-28,45.25,49.40,44.00,49.19,1.20,2.50,19014,8946,11.25,2.54
2007-03-01,48.00,49.00,45.52,47.12,-2.07,-4.21,10240,4807,7.07,1.37
2007-03-02,45.80,47.18,45.08,46.26,-0.86,-1.83,14000,6466,4.46,1.87
2007-03-05,44.00,44.49,41.63,42.00,-4.26,-9.21,31206,13361,6.18,4.16
2007-03-06,41.00,42.75,40.82,41.96,-0.04,-0.10,13606,5693,4.60,1.81
2007-03-07,42.15,44.19,42.15,43.78,1.82,4.34,12015,5181,4.86,1.60
2007-03-09,45.02,45.99,44.32,44.63,0.85,1.94,12463,5607,3.81,1.66
2007-03-12,44.19,44.20,41.90,42.70,-1.93,-4.32,20067,8529,5.15,2.68
2007-03-13,42.00,43.05,42.00,43.00,0.30,0.70,9743,4149,2.46,1.30
2007-03-14,42.00,42.60,40.30,41.72,-1.28,-2.98,18164,7469,5.35,2.42
2007-03-15,41.72,42.40,41.00,41.99,0.27,0.65,6682,2806,3.36,0.89
2007-03-16,42.35,43.80,41.00,42.00,0.01,0.02,13804,5876,6.67,1.84
2007-03-19,41.48,44.00,39.00,43.58,1.58,3.76,12952,5555,11.90,1.73
2007-03-20,43.50,44.55,43.00,43.57,-0.01,-0.02,8942,3921,3.56,1.19
2007-03-21,44.00,45.00,43.05,43.23,-0.34,-0.78,12313,5413,4.48,1.64
2007-03-22,44.00,44.28,43.10,43.70,0.47,1.09,20931,9160,2.73,2.79
2007-03-23,43.21,43.67,41.40,42.02,-1.68,-3.84,19574,8255,5.19,2.61
2007-03-26,41.50,42.80,41.38,42.73,0.71,1.69,12863,5390,3.38,1.72
2007-03-27,43.00,44.18,43.00,43.26,0.53,1.24,11326,4944,2.76,1.51
2007-03-28,43.40,43.98,41.20,42.55,-0.71,-1.64,14095,5975,6.43,1.88
2007-03-29,42.55,43.00,41.50,41.70,-0.85,-2.00,13973,5835,3.53,1.86
2007-03-30,41.40,42.00,41.22,41.98,0.28,0.67,9432,3937,1.87,1.26
2007-04-02,43.00,43.20,41.80,42.32,0.34,0.81,10803,4563,3.33,1.44
2007-04-03,42.79,46.55,42.35,46.00,3.68,8.70,51985,23241,9.92,6.93
2007-04-04,45.79,46.80,44.50,45.80,-0.20,-0.43,26542,12026,5.00,3.54
2007-04-05,46.75,47.38,45.28,45.95,0.15,0.33,21429,9944,4.59,2.86
2007-04-06,45.85,46.75,45.28,46.45,0.50,1.09,19578,9017,3.20,2.61
2007-04-09,46.20,48.30,46.01,47.72,1.27,2.73,18022,8556,4.93,2.40
2007-04-10,47.85,50.20,47.08,50.05,2.33,4.88,20128,9804,6.54,2.68
2007-04-11,50.15,55.00,50.15,52.72,2.67,5.33,21400,11267,9.69,2.85
2007-04-12,52.70,54.60,51.21,52.40,-0.32,-0.61,20363,10773,6.43,2.63
2007-04-13,52.50,52.50,48.50,51.70,-0.70,-1.34,24291,12272,7.63,3.13
2007-04-16,51.29,52.60,51.11,52.00,0.30,0.58,34060,17636,2.88,4.39
2007-04-17,52.40,55.10,52.00,52.58,0.58,1.12,28820,15441,5.96,3.72
2007-04-18,52.78,53.64,51.32,52.49,-0.09,-0.17,23269,12137,4.41,3.00
2007-04-19,57.71,57.71,51.51,53.89,1.40,2.67,29453,16067,11.81,3.80
2007-04-20,53.88,55.79,52.23,55.59,1.70,3.15,28165,15419,6.61,3.63
2007-04-23,56.80,60.09,55.23,59.59,4.00,7.20,19545,11468,8.74,2.52
2007-04-24,59.57,59.57,56.61,56.91,-2.20,-3.72,13419,7756,5.01,1.73
2007-04-25,55.92,55.92,53.30,54.06,-2.85,-5.01,14953,8125,4.60,1.93
2007-04-26,53.95,54.95,53.90,54.02,-0.04,-0.07,12315,6661,1.94,1.59
2007-04-27,51.00,53.18,50.00,52.25,-1.77,-3.28,11739,6069,5.89,1.51
2007-04-30,52.25,53.24,51.00,52.74,0.49,0.94,8823,4571,4.29,1.14
2007-05-08,53.11,56.00,53.11,54.88,2.14,4.06,12140,6648,5.48,1.57
2007-05-09,54.30,54.79,53.00,54.03,-0.85,-1.55,11120,5986,3.26,1.43
2007-05-10,53.49,55.00,52.10,53.28,-0.75,-1.39,10258,5439,5.37,1.32
2007-05-11,51.59,55.00,50.00,53.41,0.13,0.24,13219,6811,9.38,1.70
2007-05-14,52.60,53.00,50.92,52.42,-0.99,-1.85,14684,7555,3.89,1.89
2007-05-15,51.80,51.86,50.00,50.25,-2.17,-4.14,17251,8693,3.55,2.22
2007-05-16,50.11,50.98,49.16,50.95,0.70,1.39,15263,7621,3.62,1.97
2007-05-17,50.37,52.50,49.31,51.33,0.38,0.75,12884,6589,6.26,1.66
2007-05-18,50.60,51.33,50.01,50.34,-0.99,-1.93,20833,10579,2.57,2.69
2007-05-21,48.80,50.75,48.50,49.60,-0.74,-1.47,14687,7309,4.47,1.89
2007-05-22,49.80,50.88,49.40,50.50,0.90,1.81,20167,10107,2.98,2.60
2007-05-23,50.75,52.35,49.71,51.88,1.38,2.73,17850,9110,5.23,2.30
2007-05-24,51.80,51.89,49.50,50.58,-1.30,-2.51,10859,5479,4.61,1.40
2007-05-25,50.00,51.00,49.40,50.52,-0.06,-0.12,22234,11107,3.16,2.87
2007-05-28,50.60,53.00,50.18,52.56,2.04,4.04,48882,25101,5.58,6.30
2007-05-29,52.80,53.58,52.00,52.99,0.43,0.82,29872,15743,3.01,3.85
2007-05-30,51.00,52.43,47.70,47.78,-5.21,-9.83,35363,17527,8.93,4.56
2007-05-31,47.12,48.72,43.40,47.50,-0.28,-0.59,21581,10052,11.13,2.78
2007-06-01,49.50,52.18,49.50,50.58,3.08,6.48,51769,26385,5.64,6.68
2007-06-04,51.77,52.05,48.00,49.90,-0.68,-1.34,32288,16262,8.01,4.16
2007-06-05,49.11,52.39,47.00,52.34,2.44,4.89,28744,14533,10.80,3.71
2007-06-06,52.60,57.57,52.60,57.57,5.23,9.99,57032,32330,9.50,7.35
2007-06-07,58.03,61.46,58.03,59.99,2.42,4.20,39024,23327,5.96,5.03
2007-06-08,59.70,65.99,59.00,65.99,6.00,10.00,40152,25320,11.65,5.18
2007-06-11,69.99,71.98,66.03,68.50,2.51,3.80,27978,19283,9.02,3.61
2007-06-12,68.30,73.50,68.00,71.79,3.29,4.80,28018,19720,8.03,3.61
2007-06-13,71.79,72.10,68.02,70.47,-1.32,-1.84,21826,15327,5.68,2.81
2007-06-14,70.03,72.50,67.08,71.40,0.93,1.32,34641,24006,7.69,4.47
2007-06-15,70.25,78.10,69.00,77.98,6.58,9.22,28892,21595,12.75,3.73
2007-06-18,78.55,82.98,78.55,79.01,1.03,1.32,18320,14749,5.68,2.36
2007-06-19,79.90,79.94,76.45,77.87,-1.14,-1.44,15585,12073,4.42,2.01
2007-06-20,76.80,77.00,73.00,73.80,-4.07,-5.23,18071,13583,5.14,2.33
2007-06-21,73.00,75.87,70.81,75.83,2.03,2.75,17793,13100,6.86,2.29
2007-06-22,75.00,76.00,70.00,74.54,-1.29,-1.70,12268,9037,7.91,1.58
2007-06-25,74.00,75.60,73.00,73.29,-1.25,-1.68,14124,10594,3.49,1.82
2007-06-26,72.00,76.50,70.05,75.70,2.41,3.29,8998,6737,8.80,1.16
2007-06-27,76.00,76.08,73.66,75.13,-0.57,-0.75,10655,7971,3.20,1.37
2007-06-28,74.10,75.45,72.20,72.27,-2.86,-3.81,4290,3165,4.33,0.55
2007-06-29,71.27,75.00,70.28,73.29,1.02,1.41,7423,5442,6.53,0.96
2007-07-02,73.29,79.95,73.00,77.19,3.90,5.32,18743,14424,9.48,2.42
2007-07-03,78.00,84.91,78.00,84.91,7.72,10.00,18379,15051,8.95,2.37
2007-07-04,86.99,88.60,80.50,80.89,-4.02,-4.73,22234,18641,9.54,2.87
2007-07-05,79.00,80.98,73.00,77.57,-3.32,-4.10,13104,10181,9.87,1.69
2007-07-06,75.21,80.87,75.00,80.00,2.43,3.13,15536,12109,7.57,2.00
2007-07-09,81.50,81.50,78.30,80.00,0.00,0.00,11684,9292,4.00,1.51
2007-07-10,79.45,81.00,78.01,80.23,0.23,0.29,7453,5954,3.74,0.96
2007-07-11,80.50,88.00,80.40,86.00,5.77,7.19,16712,14160,9.47,2.16
2007-07-12,86.08,88.00,83.80,87.07,1.07,1.24,10867,9317,4.88,1.40
2007-07-13,87.80,88.00,85.05,85.32,-1.75,-2.01,5364,4606,3.39,0.69
2007-07-16,85.41,86.26,82.61,83.01,-2.31,-2.71,5614,4709,4.28,0.72
2007-07-17,82.20,84.40,80.10,83.00,-0.01,-0.01,6415,5271,5.18,0.83
2007-07-18,82.99,83.48,80.51,82.72,-0.28,-0.34,9767,8010,3.58,1.26
2007-07-19,83.41,87.65,83.11,85.32,2.60,3.14,8298,7123,5.49,1.07
2007-07-20,85.58,87.00,84.51,86.54,1.22,1.43,9333,8008,2.92,1.20
2007-07-23,86.80,92.30,86.80,92.02,5.48,6.33,21961,19602,6.36,2.83
2007-07-24,90.31,93.15,88.58,90.31,-1.71,-1.86,10446,9477,4.97,1.35
2007-07-25,90.30,92.98,88.58,91.14,0.83,0.92,5532,5022,4.87,0.71
2007-07-26,88.20,92.77,88.20,90.47,-0.67,-0.74,8845,7970,5.01,1.14
2007-07-27,89.80,90.50,87.00,89.85,-0.62,-0.69,13092,11557,3.87,1.69
2007-07-30,88.00,89.99,87.50,88.97,-0.88,-0.98,8010,7106,2.77,1.03
2007-07-31,88.77,94.23,88.77,92.73,3.76,4.23,10829,10015,6.14,1.40
2007-08-01,92.90,94.00,88.01,88.75,-3.98,-4.29,7825,7073,6.46,1.01
2007-08-02,87.82,91.01,87.82,90.21,1.46,1.65,7778,6985,3.59,1.00
2007-08-03,90.18,94.65,89.08,94.58,4.37,4.84,12473,11602,6.17,1.61
2007-08-06,96.50,104.04,96.00,104.04,9.46,10.00,18899,19256,8.50,2.44
2007-08-07,107.40,111.30,100.00,102.75,-1.29,-1.24,25432,27331,10.86,3.28
2007-08-08,99.74,104.50,97.11,100.95,-1.80,-1.75,23597,23864,7.19,3.04
2007-08-09,100.95,105.17,99.00,104.88,3.93,3.89,19821,20165,6.11,2.56
2007-08-10,101.18,103.99,97.07,100.96,-3.92,-3.74,16650,16710,6.60,2.15
2007-08-13,100.99,100.99,97.89,98.32,-2.64,-2.61,8295,8213,3.07,1.07
2007-08-14,99.06,100.99,98.33,99.99,1.67,1.70,9687,9669,2.71,1.25
2007-08-15,100.10,101.98,97.50,99.04,-0.95,-0.95,9780,9703,4.48,1.26
2007-08-16,98.00,99.00,95.50,98.94,-0.10,-0.10,14546,14093,3.53,1.88
2007-08-17,97.00,97.40,92.82,93.24,-5.70,-5.76,19650,18644,4.63,2.53
2007-08-20,94.00,101.20,94.00,100.00,6.76,7.25,16497,16230,7.72,2.13
2007-08-21,101.30,103.80,98.00,103.00,3.00,3.00,13834,13988,5.80,1.78
2007-08-22,100.35,110.99,99.01,106.40,3.40,3.30,18121,19273,11.63,2.34
2007-08-23,103.00,117.04,103.00,117.04,10.64,10.00,30013,34003,13.20,3.87
2007-08-24,117.04,125.14,110.01,119.07,2.03,1.73,19888,23807,12.93,2.56
2007-08-27,121.18,123.50,119.12,121.99,2.92,2.45,14783,18107,3.68,1.91
2007-08-28,119.00,134.19,118.00,134.19,12.20,10.00,20888,27235,13.27,2.69
2007-08-29,133.90,133.90,125.00,129.05,-5.14,-3.83,30232,38884,6.63,3.90
2007-08-30,129.50,135.00,126.50,129.00,-0.05,-0.04,10758,13962,6.59,1.39
2007-08-31,131.88,131.88,122.00,126.85,-2.15,-1.67,10503,13058,7.66,1.35
2007-09-03,125.99,135.00,124.03,134.88,8.03,6.33,15262,19947,8.65,1.97
2007-09-04,134.58,147.00,130.06,140.17,5.29,3.92,14190,19629,12.56,1.83
2007-09-05,138.50,149.80,138.02,145.99,5.82,4.15,14559,21201,8.40,1.88
2007-09-06,145.99,148.00,139.89,144.03,-1.96,-1.34,16885,24037,5.56,2.18
2007-09-07,144.10,145.98,136.65,142.22,-1.81,-1.26,14673,20589,6.48,1.89
2007-09-10,144.88,156.44,144.50,156.44,14.22,10.00,21901,33380,8.40,2.82
2007-09-11,167.00,172.08,161.00,171.04,14.60,9.33,22743,38702,7.08,2.93
2007-09-12,176.00,188.14,168.12,188.14,17.10,10.00,26525,48934,11.70,3.42
2007-09-13,196.97,201.50,177.11,183.78,-4.36,-2.32,29207,55681,12.96,3.77
2007-09-14,179.50,183.50,173.10,178.04,-5.74,-3.12,21102,37593,5.66,2.72
2007-09-17,182.10,191.89,177.50,184.39,6.35,3.57,19552,35426,8.08,2.52
2007-09-18,189.98,189.98,176.50,178.00,-6.39,-3.47,23306,42219,7.31,3.01
2007-09-19,180.00,184.00,177.60,179.96,1.96,1.10,13199,23816,3.60,1.70
2007-09-20,180.50,182.90,174.11,179.45,-0.51,-0.28,13851,24481,4.88,1.79
2007-09-21,181.00,197.20,181.00,197.00,17.55,9.78,34840,66241,9.03,4.49
2007-09-24,196.88,198.00,186.00,193.39,-3.61,-1.83,21739,41603,6.09,2.80
2007-09-25,186.99,190.77,185.01,185.55,-7.84,-4.05,13190,24571,2.98,1.70
2007-09-26,183.63,192.01,183.00,186.51,0.96,0.52,13054,24618,4.86,1.68
2007-09-27,186.67,187.65,181.00,186.71,0.20,0.11,8971,16501,3.57,1.16
2007-09-28,188.00,197.00,188.00,193.30,6.59,3.53,12962,25078,4.82,1.67
2007-10-08,196.00,196.00,184.00,186.45,-6.85,-3.54,13385,25307,6.21,1.73
2007-10-09,181.90,183.00,171.00,180.44,-6.01,-3.22,17470,30975,6.44,2.25
2007-10-10,181.00,181.00,172.60,176.12,-4.32,-2.39,14796,25950,4.66,1.91
2007-10-11,178.00,181.99,176.00,178.62,2.50,1.42,9627,17190,3.40,1.24
2007-10-12,181.80,190.00,176.00,185.27,6.65,3.72,13137,24231,7.84,1.69
2007-10-15,186.00,188.00,177.77,181.01,-4.26,-2.30,20859,37841,5.52,2.69
2007-10-16,183.00,183.77,177.01,178.29,-2.72,-1.50,8285,14852,3.73,1.07
2007-10-17,178.29,183.00,176.80,179.25,0.96,0.54,9849,17712,3.48,1.27
2007-10-18,178.88,179.00,161.80,163.02,-16.23,-9.05,12359,21040,9.60,1.59
2007-10-19,163.60,171.10,163.50,170.11,7.09,4.35,11466,19311,4.66,1.48
2007-10-22,168.00,172.60,156.00,168.11,-2.00,-1.18,8006,13375,9.76,1.03
2007-10-23,168.00,171.00,164.00,166.00,-2.11,-1.26,11235,18741,4.16,1.45
2007-10-24,167.00,179.00,167.00,178.76,12.76,7.69,12057,21028,7.23,1.55
2007-10-25,179.96,182.58,172.11,177.01,-1.75,-0.98,12143,21784,5.86,1.57
2007-10-26,175.00,184.01,174.00,180.06,3.05,1.72,11643,21192,5.66,1.50
2007-10-29,183.50,190.00,183.50,188.86,8.80,4.89,8693,16333,3.61,1.12
2007-10-30,188.24,192.88,182.60,184.11,-4.75,-2.52,14586,27401,5.44,1.88
2007-10-31,184.30,188.00,180.00,182.00,-2.11,-1.15,9532,17586,4.35,1.23
2007-11-01,185.60,189.00,180.53,181.21,-0.79,-0.43,6697,12299,4.65,0.86
2007-11-02,180.00,180.00,166.40,169.35,-11.86,-6.54,9754,16714,7.51,1.26
2007-11-05,165.61,176.00,165.02,167.88,-1.47,-0.87,6444,10887,6.48,0.83
2007-11-06,169.20,171.88,161.00,170.01,2.13,1.27,6348,10666,6.48,0.82
2007-11-07,173.58,184.50,171.00,182.94,12.93,7.61,13325,23493,7.94,1.72
2007-11-08,180.00,188.88,177.00,183.96,1.02,0.56,12850,23821,6.49,1.66
2007-11-09,182.80,183.90,169.01,170.51,-13.45,-7.31,7952,13821,8.09,1.03
2007-11-12,165.58,168.80,153.46,153.46,-17.05,-10.00,21001,32748,9.00,2.71
2007-11-13,152.92,152.92,141.62,150.43,-3.03,-1.97,23065,33507,7.36,2.97
