日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,6.30,6.79,5.88,6.05,-0.15,-2.42,9678350,619416,14.68,19.83
2007-01-05,5.87,5.87,5.45,5.45,-0.60,-9.92,8087496,449527,6.94,16.57
2007-01-08,5.36,5.55,5.28,5.54,0.09,1.65,6449851,349836,4.95,13.21
2007-01-09,5.54,5.79,5.42,5.78,0.24,4.33,6444564,358684,6.68,13.20
2007-01-10,5.99,5.99,5.60,5.69,-0.09,-1.56,7824101,450962,6.75,16.03
2007-01-11,5.66,5.66,5.43,5.51,-0.18,-3.16,5548478,306458,4.04,11.37
2007-01-12,5.44,5.53,5.28,5.33,-0.18,-3.27,4240718,229184,4.54,8.69
2007-01-15,5.32,5.58,5.29,5.57,0.24,4.50,4007152,217858,5.44,8.21
2007-01-16,5.61,5.67,5.37,5.52,-0.05,-0.90,4291827,236179,5.39,8.79
2007-01-17,5.53,5.65,5.41,5.44,-0.08,-1.45,4273978,234939,4.35,8.76
2007-01-18,5.40,5.46,5.11,5.25,-0.19,-3.49,4778832,250696,6.43,9.79
2007-01-19,5.25,5.33,5.20,5.31,0.06,1.14,3090556,162859,2.48,6.33
2007-01-22,5.34,5.50,5.34,5.48,0.17,3.20,3791550,206164,3.01,7.77
2007-01-23,5.54,5.65,5.36,5.63,0.15,2.74,5012218,276568,5.29,10.27
2007-01-24,5.65,5.67,5.51,5.53,-0.10,-1.78,3541765,197383,2.84,7.26
2007-01-25,5.45,5.45,5.25,5.28,-0.25,-4.52,3349561,178768,3.62,6.86
2007-01-26,5.15,5.37,4.90,5.26,-0.02,-0.38,4186547,214874,8.90,6.13
2007-01-29,5.18,5.38,5.11,5.32,0.06,1.14,6701287,353024,5.13,7.30
2007-01-30,5.35,5.39,5.15,5.17,-0.15,-2.82,4234921,222231,4.51,4.61
2007-01-31,5.17,5.28,4.99,5.01,-0.16,-3.09,5078151,260902,5.61,5.53
2007-02-01,4.98,5.07,4.92,5.00,-0.01,-0.20,2493561,124363,2.99,2.72
2007-02-02,5.03,5.06,4.80,4.82,-0.18,-3.60,3604044,176249,5.20,3.93
2007-02-05,4.80,4.85,4.68,4.69,-0.13,-2.70,2404202,114024,3.53,2.62
2007-02-06,4.71,4.90,4.56,4.89,0.20,4.26,4938340,233111,7.25,5.38
