日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2007-01-04,10.86,11.51,10.63,11.36,0.55,5.09,52494,5828,8.14,3.68
2007-01-05,11.10,11.68,11.10,11.55,0.19,1.67,52433,6001,5.11,3.68
2007-01-08,11.69,12.71,11.68,12.38,0.83,7.19,81945,10040,8.92,5.75
2007-01-09,12.42,12.60,12.21,12.50,0.12,0.97,41842,5206,3.15,2.94
2007-01-10,12.60,12.70,12.15,12.51,0.01,0.08,57081,7071,4.40,4.01
2007-01-11,12.46,13.26,12.46,12.72,0.21,1.68,67293,8696,6.39,4.72
2007-01-12,12.68,12.95,12.10,12.38,-0.34,-2.67,40886,5138,6.68,2.87
2007-01-15,12.31,13.62,12.31,13.62,1.24,10.02,81765,10815,10.58,5.74
2007-01-16,13.82,14.51,13.82,14.18,0.56,4.11,79263,11215,5.07,5.56
2007-01-17,14.28,15.15,14.10,14.68,0.50,3.53,78055,11439,7.40,5.48
2007-01-18,14.70,15.32,14.35,15.22,0.54,3.68,94330,14025,6.61,6.62
2007-01-19,15.23,15.45,14.83,15.28,0.06,0.39,92505,14007,4.07,6.49
2007-01-22,15.42,15.69,14.90,15.41,0.13,0.85,68870,10456,5.17,4.83
2007-01-23,15.21,15.50,14.56,14.96,-0.45,-2.92,61116,9074,6.10,4.29
2007-01-24,14.91,15.12,14.70,14.96,0.00,0.00,49548,7402,2.81,3.48
2007-01-26,14.03,14.90,13.46,14.37,-0.59,-3.94,55028,7775,9.63,3.86
2007-01-29,14.54,14.55,14.01,14.24,-0.13,-0.90,30561,4357,3.76,2.15
2007-01-30,14.24,14.45,13.82,13.96,-0.28,-1.97,37771,5304,4.42,2.65
2007-01-31,13.88,14.79,13.56,13.74,-0.22,-1.58,69037,9808,8.81,4.85
2007-02-01,13.55,14.69,13.55,14.67,0.93,6.77,62583,8934,8.30,4.39
2007-02-02,14.80,14.88,14.21,14.37,-0.30,-2.05,35178,5089,4.57,2.47
2007-02-05,14.30,15.08,14.30,15.02,0.65,4.52,42704,6330,5.43,3.00
2007-02-06,15.10,15.20,14.73,15.13,0.11,0.73,30389,4567,3.13,2.13
2007-02-07,15.13,15.72,14.91,15.18,0.05,0.33,45044,6937,5.35,3.16
2007-02-08,15.11,15.52,14.81,15.31,0.13,0.86,33241,5023,4.68,2.33
2007-02-09,15.31,16.32,15.30,16.04,0.73,4.77,63340,10118,6.66,4.45
2007-02-12,16.05,16.50,15.74,16.24,0.20,1.25,23340,3753,4.74,1.64
2007-02-13,16.30,16.30,15.80,16.29,0.05,0.31,17497,2808,3.08,1.23
2007-02-14,16.30,16.35,15.95,16.06,-0.23,-1.41,29671,4758,2.46,2.08
2007-02-15,16.06,16.20,15.84,16.18,0.12,0.75,43853,7004,2.24,3.08
2007-02-16,16.21,17.09,16.10,16.83,0.65,4.02,35803,6017,6.12,2.51
2007-02-26,16.83,17.23,16.50,16.78,-0.05,-0.30,27939,4702,4.34,1.96
2007-02-27,16.78,16.88,15.10,15.10,-1.68,-10.01,38568,6133,10.61,2.71
2007-02-28,14.76,15.84,14.00,15.73,0.63,4.17,44011,6686,12.19,3.09
2007-03-01,15.55,15.65,14.56,14.74,-0.99,-6.29,28548,4291,6.93,2.00
2007-03-02,14.80,15.00,14.50,14.69,-0.05,-0.34,17960,2650,3.39,1.26
2007-03-05,14.72,15.10,14.50,14.64,-0.05,-0.34,27998,4143,4.08,1.97
