标题,帖子数,日期,情感
瓜瓜跟在300104贾不死后面去渡飞升之劫了,56818,2017-05-17,0.8503526399406315
冬瓜园里养有猫狗若干，中有一狗叫瘦汪，瘦汪狗,20281,2017-07-30,0.9988397242494481
只要你现在买进TCL 我就猜得准你的职业  一定是,4655,2017-08-29,0.7619642332666821
小散的命运,6370,2017-07-20,0.9680614141358176
TCL聚焦核心产业见效 上半年盈利同比大增100%,6603,2017-07-19,0.98375814441593
国内第一条主攻折叠显示屏的生产线 国内第一条,7252,2017-07-19,0.8023182195044907
再次六问TCL集团,112449,2017-07-17,0.11892370540507746
六问TCL集团，欢迎疯狂转发。,115991,2017-07-14,0.1798951503641647
TCL多媒体完成对雷鸟科技增资,23332,2017-09-01,0.9647018966387801
垃圾堆山东钢铁及莲花健康和国风塑业还有江苏阳,18254,2017-08-14,0.8775680902796521
营口港600317和中联重科000157下周肯定跌停开盘,14236,2017-08-19,0.10320192898321034
TCL集团:关于终止筹划重大资产重组事项暨公司股,477724,2016-12-18,0.38864087398534763
TCL 多媒体：与乐视合作正常 无受其他问题影响,44855,2017-03-21,0.8568033880335114
股民对TCL遗憾转变仇恨是TCL自己玩的结果,87332,2017-05-20,0.9897592257511174
已经举报，请帮忙顶帖,71894,2017-07-17,0.08106569048218337
TCL公司内部控制制度已经失控了，成为少数人员,16228,2017-07-28,0.7308117660453299
垃圾桶山东钢铁及莲花健康和国风塑业还有江苏阳,21027,2017-08-14,0.9816834757183424
周一直接涨停板……,17641,2017-08-11,0.8962082069193081
TCL集团:关于持股5%以上股东终止减持股份计划的,133841,2017-02-15,0.047521221877355746
TCL集团:关于持股5%以上股东减持股份计划的公告,313163,2016-12-26,0.047521221877355746
TCL集团总裁薄连明：彩电显示技术之争还将持续,21915,2017-09-01,0.17569616261317955
致TCL集团和证监会：强烈要求TCL改增发为配股,18601,2017-08-23,0.3084946346038928
TCL集团:2017年第三次临时股东大会决议公告,29056,2017-09-01,0.2569391795688897
TCL集团:关于放弃深圳市华星光电技术有限公司8.,123759,2016-09-12,0.6258075795895391
TCL集团:2017年第三次临时股东大会的法律意见书,15820,2017-09-01,0.8483270834862425
股市不正常我们人不能不正常 TCL 已经完全具备,9862,2017-08-12,0.5967761685827505
TCL 股吧里Tai Ca Le 痔疮 (简称:痔疮)你已经触,12884,2017-08-02,0.5403026147574685
我来回答你 所谓 TCL问题 ！ 近期一些别有用心,10917,2017-07-20,0.3757664840932594
建议TCL CEO  李东升依法起诉 TCL 奇迹、TCL 奇,12813,2017-08-20,0.06344488713583796
致TCL CEO 李东升一封公开信  ! TCL 股价严重偏,24175,2017-08-23,0.29314653940635615
TCL CEO 李东升我要为你点赞！ 近期TCL老总李东,36335,2017-01-02,0.06965368273435124
TCL的春天不远了，十个交易日必有惊喜，多方兵,28479,2017-08-28,0.990547961128543
慚E能源石化油服600871：cc818168为什么在富奥,15228,2017-08-10,0.06500281144647757
谁来告诉我这是为什么？ TCL集团:关于放弃深圳,32776,2017-07-15,0.2285851977182919
六问TCL集团，欢迎疯狂转发。 一问：2016年9月1,24733,2017-07-14,0.009519149117112602
48万散户应该组建股东委员会,14264,2017-08-31,0.8835473566792057
实战炒股口决！,13595,2017-07-26,0.553404283579714
A能源石化油服600871：000030富奥股份将10股分2,8802,2017-08-04,0.004099559177299206
15年进场，听TCL讲了三年故事，到头来亏着出了,9812,2017-08-26,0.9643863002283847
KE能源石化油服600871：cc818168为什么在富奥股,16531,2017-08-10,0.019874235859633216
T复牌应当是涨两个板,68108,2017-05-16,0.84953896156716
痔疮,36210,2017-05-17,0.5
去年乐视，今年企鹅，瓜瓜还是烂瓜,23315,2017-07-03,0.8212663363742702
买入TCL理由！,18440,2017-08-18,0.5068541320334367
狗狗，套上马甲你还是狗,46231,2017-05-15,0.7459446297769552
我凭什么不能投反对票,46251,2017-07-20,0.030150147725837684
假如你在意自己的资产，请报反对票 1、股东大会,19126,2017-07-14,0.3413733277803921
