标题,帖子数,日期,情感
上海电力年报拟10派2.5元 ,8650,2017-08-10,0.08721248559456951
真垃圾 天天弄几分 有意思吗,6425,2017-08-10,0.30018648472440357
开盘你又猜对了吧？[围观],25384,2017-07-28,0.8080603984911368
散户必看炒股格言和现金策略！     孙子云：先,43779,2017-04-09,0.08037291965991733
散户必看炒股格言和现金策略！     孙子云：先,43052,2017-03-31,0.08037291965991733
[加油]漂亮50英豪300必将疯狂展我中华5千年大帝,8026,2017-06-12,0.9986226790701466
次新股江苏银行0.98元业绩股价不到10块仅此1家,40182,2017-04-27,0.04997406222880718
中报速递：上海电力2017年上半年盈利1.65亿元，,21576,2017-08-25,0.12430816021204838
电价上调装机增加双利好 海内外布局有望共发力,15253,2017-08-28,0.418480510980649
上海电力半年报降七成 证金二季度增持,21648,2017-08-25,0.18549118347497284
600021:上海电力关于公司重大资产购买交割进展,42551,2017-07-21,0.807222494076872
是一带一路建设相关板块一个短暂,3486,2017-04-04,0.7160574575234329
核心内参泄露（603058永吉股份）要大涨,9856,2017-08-11,0.9419963826947761
上海电力股价会再次腾飞，过35不是梦哦！也许大,11206,2017-08-11,0.5771447549085833
600021:上海电力关于上网电价调整的公告,35245,2017-08-10,0.18138905573402175
航母编队冲出第一岛链 我国海军走向深蓝,4370,2017-03-09,0.99966519021317
今天放个量出来可好,4659,2017-07-21,0.5457570530906656
创投基金运作成功后，可获得良好的投资回报,4219,2017-03-10,0.996430892955127
相信上电将是超级跨国大公司,3783,2017-03-01,0.2584308545297047
这种股不哪个一年半载。才能赚钱,5012,2017-03-15,0.06589485908432935
收购江苏电力优质资产，上海电力产业整合再下一,4973,2017-03-01,0.3821557927085665
我为什么投上海电力,2932,2017-03-02,0.18316623306433355
收购卡拉奇电力将帮助巴解决缺电难题,3707,2017-03-10,0.7831311489538467
长江电力卖出上海电力、二级市场上举牌买入国投,7972,2017-03-15,0.8355435004527481
这回上海电力要成大牛股,3255,2017-03-01,0.05654987926452315
支持居民自住和进城人员购房需求 扎实推进新型,4355,2017-03-05,0.9886044529086946
我不会放弃你的,4280,2017-08-03,0.5226366939851622
支持浩凡老师，目标40元,3186,2017-08-03,0.8824793868513185
600021:上海电力关于收到《中国证监会行政许可,11667,2017-08-02,0.7047314681966277
当初的核电预期让多少人赔了个精光？,4019,2017-03-09,0.1143857416245534
国企改革，电力改革，业绩增长,3934,2017-03-02,0.9987208112552926
这次会到20元以上了吧,2717,2017-03-10,0.30247973794825045
狗日的上海电力，被套1.8年了，2.0的兄弟们还在,11045,2017-03-02,0.5022274077339818
提升公司在华东区域竞争力,2081,2017-03-01,0.9292369369899454
未来新能源项目投产进度进一步加快,1771,2017-07-24,0.5254471038362839
上海电力有电商、电改、国改、一带一路等等题材,3642,2017-03-01,0.41125727983028937
相信公司未来公司战略规划会实现,2208,2017-03-02,0.993952292786209
上海电力(600021)融资融券信息(07-14),5647,2017-07-15,0.5864265092644931
看好国资改革,1709,2017-07-18,0.9224079213568629
抓住国企混改概念股这一投资主线，是红利的来源,52965,2017-01-09,0.7982347131270703
600021:上海电力2017年上半年发电量完成情况公,29131,2017-07-12,0.20214592792405728
海外扩张进一步加速,2139,2017-07-04,0.9285626997573707
如果跌就可以抄底了,3673,2017-07-10,0.13713461362803536
说了，分红派息就是流氓,5690,2017-06-24,0.05143719939889335
电力行业同样被认为是央企整合重点板块之一,7095,2017-07-14,0.09324394821871185
600021:上海电力项目进展公告,36998,2017-07-17,0.28967493011481515
深股通开通以来,3277,2017-04-20,0.21182024303447988
长期牛股,3714,2017-07-07,0.2728593720757644
狗托们你们一天不发帖会死啊！能不能让股吧清静,3862,2017-06-26,0.010501335103650145
上海电力收购巴基斯坦KE公司的资金来源为自有资,4472,2017-06-26,0.9988457999694738
600021:上海电力关于实施2016年度利润分配后调,22907,2017-06-23,0.0220685157645929
今天是最后一次强势洗盘，周一之后，必将连续拉,14415,2017-06-09,0.9430803313167795
严格遵守操盘守则，哪怕是诱空！,24511,2017-06-13,0.6065103584671014
应该还有一跌,1817,2016-03-10,0.5
我不会放弃你的,8420,2016-08-04,0.5226366939851622
红盘迎七一,3728,2017-07-08,0.2578156263146961
主力在洗盘，坚守,1603,2017-06-22,0.9511072960680865
如果跌就可以抄底了,1508,2017-06-22,0.13713461362803536
等放量拉升就是好戏开始了！耐心等待,7325,2016-08-04,0.28800055336698593
000929兰州黄河13.2元600379宝光股份13.2元都可,4328,2017-06-24,0.11341955896802802
人家成立“华龙公司”致力海外开发,老王一点都,2166,2015-10-22,0.9678344661097781
600021:上海电力关于收到《中国证监会行政许可,29213,2017-07-03,0.7047314681966277
上海电力(600021)融资融券信息(06-23),6768,2017-06-24,0.5864265092644931
受益于海外公司收入的大幅增加,6382,2017-06-07,0.9621132442701282
600021:上海电力关于发行股份及支付现金购买资,16447,2017-06-23,0.04371216151149937
上海电力在日本建成第二座太阳能电站,4167,2016-08-04,0.2270549024446441
参与设立上海懿天新能源创业投资基金,6868,2016-08-03,0.9532005962336056
上海电力新能源注册资金 5 亿元人民币,2873,2016-08-04,0.12587569334783588
公司风电、太阳能等新能源项目投产发电,3038,2016-08-04,0.10026065790219107
我有坚强的信心等上海电力长成参天大树30元,2605,2016-08-04,0.9948442773442383
机构上调32股评级 上海电力目标涨幅78.12%,6018,2016-08-04,0.48021052984079415
上海电力拟携手远景能源发力新能源产业,8233,2016-08-04,0.017673212154009077
如果与上海电力无关，就是虚假信息，扰乱股市！,2970,2016-08-04,0.3191682266558026
最大程度降低项目建设成本与风险,7499,2016-08-04,0.37025980715309825
