标题,帖子数,日期,情感
东方财富是创业板的龙头,23927,2017-08-14,0.7868123709462711
特大利好：东方财富周一涨停板，买入买入买入--,21396,2017-09-01,0.9965279548429491
致东财所有散户股东的一封倡议书!立flag!      ,38555,2017-08-26,0.2806260794231713
解析东方财富主要业务：静等风来,14366,2017-08-14,0.9947418410063997
神奇的均线在此得到验证[大笑],10045,2017-08-24,0.9519536489967724
拓展主业务风光独好 冲刺黑科技金光灿烂（共享,22270,2016-11-05,0.999918758421631
月线有启动迹象。创业板站稳1800.必见1950.,8239,2017-08-23,0.069698557802926
坚持定投到满仓终于有了收获！又到底部区域满仓,25156,2017-08-09,0.020706669491584284
可怜的傻逼散户的共同特点：底部区域给自己找出,60141,2017-06-24,0.03131341064576565
东方财富 承载梦想！！！,71707,2017-07-30,0.9746276703665985
这是一场ZZ牛市必须牛 ！ZZ需要牛市不要拿技术 ,30571,2017-06-24,0.9518431586814124
东方财富将复制科大讯飞成为国家队拉升龙头，满,40043,2017-08-14,0.5001237575475614
我已经满仓东方财富了,45341,2017-08-04,0.6507327038830221
请穷人、丝、小散、目光短浅的机构赶紧滚蛋，东,28474,2017-08-28,0.7376173453747877
截止2017年7月14日:2016年5月13日定向增发40亿,144628,2017-07-15,0.02246275216555893
人人都加一块砖，肥水不流外人田！！！ 今天，,2676,2017-08-31,0.017321282380540093
东方财富:第四届董事会第七次会议决议公告,28812,2017-09-01,0.15065743220971306
年线压制,1798,2017-08-25,0.4737672181921908
看看昨天我就说了我13.10买的，怎么样，Sp说6.8,1654,2017-08-25,0.28971935215411826
当下炒股致胜格言：炒股要听国家队话、跟着国家,18309,2017-08-16,0.908478017752155
东方财富：东方财富证券拟开展融出资金债权资产,8525,2017-09-01,0.9998540801875283
今天买进了，歇半年了，今天出手买进了，呵呵  ,57903,2017-07-20,0.7406637019533089
东方财富增发主力成本：        第一批：增发价,234751,2017-02-23,0.8560309343065104
强烈看好互联网券商!互联网券商盈利模式转型：,62549,2017-05-27,0.9621792974418413
东方财富已经跌破500亿，进入买入区间 一直关注,75426,2017-05-29,0.9387012452285702
东方财富8月25日盘中涨幅达5%,16043,2017-08-25,0.16925151401251604
打赌周一涨停,15797,2017-09-01,0.5661315108071885
东财实盘大赛八月赛季结束了,7644,2017-09-01,0.40285243050313724
利润才2亿，市值600亿！泡沫很快要破了！,9894,2017-08-25,0.4542862415466905
东财午后或火箭发射！ 6.8的智障语已然沦为笑柄,22204,2017-08-28,0.6197292723165718
本大姑看东财。,65217,2017-08-30,0.6184777508821596
东方财富:关于子公司收到《关于西藏东方财富证,67619,2017-09-01,0.9655350846582252
东方财富:关于子公司西藏东方财富证券股份有限,43983,2017-09-01,0.995715998993691
坐等收钱！A股就一家网上券商！,104126,2016-03-16,0.0379715269020674
东方财富8月份放出5倍的巨量，强烈看好。,19675,2017-08-30,0.7371685296694279
东方财富(300059)融资融券信息(08-24),11194,2017-08-25,0.9592539724594212
期望值将会把东财推向真正的巅峰 。现如今稀锂,37379,2017-08-03,0.8378682357277526
那个宇宙总龙头郭嘉队，我CNM骗了劳资昨天早上,7387,2017-08-25,0.624622455359549
东方财富(300059)融资融券信息(08-30),10090,2017-08-31,0.9592539724594212
强势涨停机构游资敢死队疯狂抢筹暴涨飙升超大黑,22868,2017-08-27,0.5114924232922934
东方财富，主升浪行情,18739,2017-08-16,0.986102083764915
次新股真是风了，macd双线开口同时上零轴，有再,5247,2017-08-31,0.16424916717634497
这个收盘漂亮啊，今天已经满仓，明天融资全进，,15786,2017-08-31,0.8657935942073895
最后一捶子上升这么多，少卖一一毛二下周看有机,3889,2017-08-25,0.8109045367633371
缺口和阻力！ （游资撤离新次新，大盘高位整理,17079,2017-08-30,0.9598057412395813
坚定看好东财大金融布局及发展，用东方财富证券,18154,2017-08-23,0.9972480971638796
可怜的傻逼散户的共同特点：底部区域给自己找出,34967,2017-06-30,0.03131341064576565
完成清仓，没有亏钱，一个月不碰她,10290,2017-08-31,0.012129463067315549
东方财富解决人与财富之间的距离，阿里巴巴解决,8410,2017-05-20,0.9817357484221695
在东方财富中签了。,8810,2017-08-30,0.7762488552734732
再次加杠杆买进,13459,2017-08-16,0.33531722369954986
东方财富解决人与安全之间的距离，阿里巴巴解决,24113,2017-05-20,0.9372098909053767
昨日晚间第三次再报某金大面积持股券商，郭嘉队,10881,2017-08-30,0.5783865964336143
今天不跳明天跳，明天不跳，后天跳，这个价位套,17801,2017-08-28,0.002365485664828082
全国股民开户，最后全都集中到东方财富，趋势。,10041,2017-08-26,0.9549097739016105
东方财富:关于控股股东部分股份质押和解除质押,54127,2017-08-25,0.9968401853887771
手机开户常见问题 ,681631,2016-03-09,0.5158382994605086
券商龙头,21559,2017-08-28,0.2505978542578735
哈哈空仓了,6396,2017-08-29,0.2603770592113267
东方财富(300059)融资融券信息(08-29),10742,2017-08-30,0.9592539724594212
全宇宙最大多头强势入驻东方财富.2020年市值将,588551,2017-07-27,0.9796445077543366
目前我半仓，不担心涨，也不怕跌，如果周一上午,17605,2017-08-26,0.04222381169230649
首先大方向上昨日言到，今年行情是吃饭行情这点,10120,2017-08-29,0.9982777092167985
本人先撤了,9128,2017-08-28,0.1726406800473954
这几天涨的好哦，本大姑在山里避暑，也没看盘。,32942,2017-08-18,0.5953720579795055
下周初承接上周末V型转折…… 2017～8～6 周末7,18336,2017-08-06,0.971536110821196
东方财富目标价30元，下周连续三个涨停板，有特,59184,2017-08-25,0.9962836163702052
创指回踩极限1790附近，东财回撤极限12.90左右,30020,2017-08-23,0.0018269410656525098
今日若低看，他日必仰望！ 市场的风云变幻，个,21165,2017-08-04,0.9950581472834364
大家好，秋冬季的行情从今日确立！只要不乱追，,13773,2017-08-28,0.965804094274979
维持东方财富25元中性评级不变！哥评级后才给哥,19283,2017-08-26,0.5111179737931847
一杯茶，一包烟，东方何需看一天。求上联[献花],8930,2017-08-28,0.7445171670303409
东财历史上曾出现过两次1年左右连续无涨停的情,38634,2017-07-11,0.937518199851175
定投买进东方财富,38612,2017-07-20,0.6634139083238793
赶紧跑！我从10.7元坚持到加杠杆满仓以来今天第,135811,2017-08-17,0.048273657406155523
8月2日我提示方大炭素将复制中国中车大崩盘，今,93112,2017-08-17,0.1925401738525503
收盘在14.81以上即可了,11514,2017-08-28,0.7955256882790501
东方财富要进入主升浪啦。 东方财富要进入主升,9649,2017-01-19,0.9758209844201964
东方财富8月28日盘中涨幅达5%,11497,2017-08-28,0.15226031632093018
大盘为何缩量创反弹新高？ 8.25的一柱长阳，貌,11094,2017-08-28,0.7545780659539566
卖早了没有,4842,2017-08-28,0.38650809120219776
没有战略眼光，整天盯着眼前的得失。开车也不应,38179,2017-08-21,0.9998612742116069
