标题,帖子数,日期,情感
股灾期间为外资机构违规提供两融 中信证券被罚,40361,2017-05-24,0.31801645103744647
华泰证券今上午稳跌-2.01%，中信还能守住？,35023,2017-07-21,0.8902746974729705
预防踩上业绩地雷,12086,2017-07-15,0.7416571991902833
大道至简，知易行难，知行合一，得到成功（续）,134076,2017-05-22,0.9493771180406797
[不说了]请问各位高手们，此股是否会枯木逢春铁,5106,2017-05-15,0.08940686460336855
[游资做多不死心]漂亮50英豪300必将疯狂展我中,6783,2017-06-12,0.9304870881197629
》》》买买买（献给有缘人！中信证券是GJD重仓,57031,2017-06-23,0.9710265031641124
历史再次惊人的重演目前看来大盘在复制1999年5,57935,2017-06-24,0.9935207347921433
拉升保险后拉升银行，拉升银行后拉升券商！现在,41628,2017-06-22,0.0076547465199897635
一心陪股友走完中信证券从现价到33元全程,74754,2017-04-27,0.9899992268430376
券商股值得重仓买入和拼命捂住的根本原因,76232,2017-05-10,0.22994020083370292
15万股中信边打新边等下次牛市来，一起想法的股,53177,2017-03-22,0.9261323695765887
季线往上走,都是大牛股!,12839,2017-08-21,0.5406968291127165
大家告诉我，这一波22稳不稳,11670,2017-08-28,0.7390071842699046
屮屮华泰证券融资完成就是中国的高盛了≈二个第,80304,2017-05-28,0.987605987637141
==华泰证券第一梯队大券商绩优成长互联网券商龙,64732,2017-05-28,0.9991483265696962
->华泰证券+美国金融科技企业颠覆“金融系统”,206001,2016-11-27,0.9999687895317774
希望中信证劵天天暴涨！,48004,2017-08-25,0.6593293997600881
毒品问题 吸毒举报贩毒 毒资奖给吸毒个 加国家,41616,2017-05-15,0.9911878485532805
战胜华尔街,45849,2017-05-14,0.9854062487073498
本少爷专冶pm2.5,37889,2017-05-14,0.8213909561638829
模型 全民基本信用,131951,2016-12-31,0.7085923308003611
模型2 全民基本信用,122015,2017-01-01,0.5194568209406358
节前分化！节后又如何？        今日上证指数继,14717,2017-05-26,0.986925096912216
不要对券商股继续抱有幻想，银行传统模式已经不,6739,2016-07-21,0.96655866831323
爱我中华，扬我国威，股市的影响力最大，最强，,8116,2017-03-11,0.9999950340077728
标准的上升下漂旗型,48890,2017-08-04,0.314394080265437
佛光普照，感恩正能量们弘扬正义！阿弥陀佛，阿,3823,2017-08-11,0.995226413865788
这一波想冲3400必须证券股带头,23098,2017-07-19,0.04495871198095713
为司度两融业务违规“开绿灯” 中信、海通、国,62721,2017-05-28,0.802732668212552
中信证券今日超大单流出排名第5名(09-29),20964,2016-09-29,0.7861077281442229
519暴涨行情只会推迟不会缺席！坚决定投买在史,16016,2017-05-26,0.26747231555797435
最近，很多人在抨击新股快速发行。这些人无非是,10899,2017-06-02,0.8111476760136139
大国崛起大牛市系列！关于雄安，千年大计。千年,20287,2017-04-06,0.9990870220220152
缩量下跌放量上涨明显主力资金进场信号，一个“,14819,2017-05-27,0.6434082309428164
GJD全控银行、保险、券商、两桶油、大型煤炭企,21936,2017-03-21,0.06817264528673905
股票相对于疯狂增长的M2来说太便宜了！,21495,2017-06-12,0.9682941819926824
坚决定投买在史诗级大水牛的初期！2017年撸起袖,19581,2017-05-25,0.37631362192134377
恐慌了.机会来了,30868,2017-05-11,0.7341794495700423
次新股0.98元业绩仅此1家江苏银行股价不到10块,29981,2017-04-27,0.049974062228806404
狂笑 瞎子也狂笑 业绩翻倍 股0.99今年三倍，翻,11505,2017-05-24,0.20940363332354495
狂笑狂笑  瞎子也狂笑 业绩翻倍 股0.99今年三倍,14609,2017-05-24,0.25184990965565945
狂笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0.99今,10805,2017-05-24,0.488956824832688
狂笑 呆子都会抢 业绩翻倍 股0.99今年三倍，翻,11337,2017-05-24,0.3588739372419474
狂笑 狂笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0,10846,2017-05-24,0.025312433897087483
券商股今天表现不错。中信短期的问题按姐的看法,245650,2017-05-25,0.9938827793928667
对中信证券中报点评,41869,2017-08-25,0.7739917691410425
上行动力严重不足.假突破或成立,76252,2016-08-30,0.9552606080880462
压在中信上的黒乌鸦终于飞去。中信将开启加值回,75739,2017-05-24,0.9205591097137479
咯咯咯咯 狂笑 翻倍股 晨鸣季报隐藏业绩核弹！,10508,2017-06-12,0.9989601105626001
可怜的散户必有可恨之处，可怜的傻逼散户的共同,21454,2017-03-20,0.6716771708725684
可怜的散户失败的原因就是：底部区域极度恐慌而,21887,2017-03-06,0.008424070180150234
》》》买买买！二十年操盘经验得出分析中信证券,25181,2017-05-30,0.9852952022572887
新股发行无限量供应其发行速度由市场决定形成如,10280,2017-06-02,0.24243930675450343
