标题,帖子数,日期,情感
知道信念这小子  为什么叫8千哥吗,3409,2017-09-01,0.9626403191846068
他妈的，一天几分波动，连个T都做不了，什么破,3727,2017-09-01,0.059234228874466166
哭哭哭：下午走人：祝大家好运 ！,4851,2017-09-01,0.987440784011994
中信重工(601608)融资融券信息(09-01),2168,2017-09-02,0.9630896642925719
601608:中信重工关于收到商务部反垄断局《不实,23996,2017-09-01,0.3731075721621131
狗日的使劲低吸,16412,2017-08-10,0.1456039312814481
[赚大了]MSCI Inc.来了，漂亮50必将是永远中流,9571,2017-06-22,0.9427461991471645
最后一发 股价推演  就此封贴,39981,2017-07-05,0.7142439838571197
中信重工 价值之我见,55874,2017-06-17,0.834002382085245
大盘马上又要大跌了，中信重工10月前绝不可能复,23124,2017-06-29,0.6919488667448954
只发图，不说话,19355,2017-07-11,0.17534547095254427
国家调研组 来洛阳中信重工 调研军民融合,14601,2017-06-11,0.9930823395047094
鬼门关前 迎生死考验,11662,2017-08-28,0.8334864995866297
次新股小盘2.6亿杭州银行业绩1.7元发行价14.39,50216,2017-03-28,0.7004243411165897
601608:中信重工发行股份购买资产事项获得中国,36426,2017-08-29,0.9949053158462077
重装板块运行趋稳，机器人板块增长明显,25291,2017-08-28,0.6171218142723074
上证指数正好收在周线压力3458下，你要继续重仓,3912,2015-12-01,0.34889591056082925
我准备离开这个世界，希望大家都能早日解套,88806,2015-12-22,0.9530005331511124
满仓被套看不到希望 想离开这个世界,9476,2017-08-25,0.7934509012053163
中信重工(601608)融资融券信息(08-25),7535,2017-08-26,0.9630896642925719
601608:中信重工关于收到政府补助的公告,24296,2017-08-24,0.6443570269932484
融资到期，记住是中信害死的我。药已经喝了永别,18714,2017-08-21,0.518023787225415
中报速递：中信重工2017年上半年盈利2125.55万,16957,2017-08-24,0.8416416225396649
还 等 吗 ？,14272,2017-08-10,0.5746682977321914
中信重工(601608)融资融券信息(08-18),8158,2017-08-19,0.9630896642925719
该走走  该留留,21040,2017-08-11,0.5089842017971415
中信重工(601608)融资融券信息(08-16),7187,2017-08-17,0.9630896642925719
半瓜啊，中信重工这次不涨到10块，我彻底不来这,22749,2017-06-19,0.4658668122916083
中信12万多散户，持仓应约(粗估)流通盘的20%，,10188,2017-07-30,0.0788324160812296
全国最差劲国企，中信重工，贪国家钱坑老百姓l,7090,2017-08-04,0.801566330124457
中信重工(601608)融资融券信息(08-11),8403,2017-08-12,0.9630896642925719
讲讲我死拿着垃圾股的经历。五年前，2011年1月,10389,2017-08-08,0.11442774360377761
等,14567,2017-08-09,0.5262327818078083
预期之外 不以物喜 不以己悲,67879,2017-07-26,0.9884728261860327
讲讲我死拿着垃圾股的经历。五年前，2011年1月,193545,2016-01-22,0.11442774360377761
今天下午5.25建仓，只赚不赔[大笑][大笑][大笑],7046,2016-12-12,0.03759577831689387
不服不服俺不服一一一一耗在这几个月还亏,5656,2017-08-06,0.0051921744422737115
中信重工主力高开高走释放三惊人信号！,15106,2017-08-02,0.43561579478057666
拿好您的中信重工-2,29013,2017-04-14,0.7644307406471074
601608:中信重工发行股份购买资产进展公告,48253,2017-08-04,0.9827217137484284
天涯处处是故人，@光阴_故事，十年没发言，今天,11796,2017-07-02,0.98846942891489
明日大盘冲高后，不日会有大阴线，但无碍中信重,4692,2017-07-25,0.960864084810703
精石为开i不是老娘俺78 因为说话的风格不一样 ,7598,2017-07-02,0.12834765644662627
徐开诚停牌前突击买入 是否涉嫌内幕交易 或者是,19406,2017-06-26,0.6568479982038551
21号左右复牌，7个板。开板就抢，不要问为什么,41497,2017-06-07,0.07443585951428211
我这么看，复牌只有一种可能，无量涨停直到有多,25042,2017-06-22,0.731675219520416
人工智能板块K线分时图，头肩底形态，即将突破,20998,2017-07-24,0.991847163016682
以后都记住了：凡是不论什么股，股吧里有类似“,5394,2017-07-27,0.23840885126632227
好吧，多头确实都错的离谱了，这个公司盈利能力,7427,2017-07-26,0.6804425186162036
都是散户，互相谩骂就没多大意思了。庄才是我们,6787,2017-07-27,0.6012838237035261
庄家实力强大 我喜欢[大笑],15351,2017-07-26,0.9882904991712995
出公告了[大笑],5536,2017-07-25,0.681834004817754
复牌后看高：120元的股价,35206,2017-06-12,0.6917456862607875
一一一不服不服：融资加买一一一,9381,2017-07-28,0.2501638575904984
人生最快乐的事情，就是给这庄拔毛,6894,2016-11-08,0.9887254461205345
哭哭哭了：持601608了,38619,2017-04-18,0.8818485709468804
用实际行动支持精石为开,12336,2017-07-27,0.437841658360412
601608:中信重工2017年半年度业绩快报公告,71821,2017-07-18,0.8401323011778039
《 说句实话：信工业绩差总市值低 》,13450,2017-07-19,0.03906876269420978
2015年6月上旬买入，买入价27.96。买入股数6550,29071,2017-05-17,0.34512686761091715
中信重工是我炒股以来，忍不住发帖次数最多的一,18645,2017-07-18,0.24226860076373868
十月底还要停牌，那时大盘要暴跌了,13553,2017-07-27,0.5455394953709524
大家不要太担心 复牌就一个跌停 马上又会磨磨唧,16861,2017-07-25,0.049014552847635784
可笑的标的,25693,2017-06-18,0.09807164978353833
我好想骂人，一根破位阴线把我洗掉了，本想等大,20218,2017-04-26,0.006165451296570534
股票走势，是个非常复杂的问题，受很多因素影响,3789,2017-07-26,0.8831347329370526
廊坊吹逼去个上海打个工就得瑟成这样。还是财富,4920,2017-07-27,0.49574669674926686
愤怒的是购买资产暴跌，倒俞行动不会超过365天,12703,2017-07-27,0.4522340998449347
其实最简单的一件事，昨天中信重工开盘价是哪个,8391,2017-07-27,0.9211996201549112
中信重工收盘出现两大信号，超大单筹码涌入巨量,14620,2017-07-26,0.8550727235876394
这公司牛B,，说话从来没算数过，回复年报问询函,14301,2017-07-20,0.5195299262818281
涨跌庄家说了算，该买买该卖卖这句话说得好。,7380,2017-07-26,0.18377161482151871
一一下午再加买约10万股601608一一,8212,2017-07-26,0.21253235433656248
我已经于6月11日定车，销售说提车约2~3个月。 ,12846,2017-06-24,0.010232632550353449
唱多的，出来走两步,11179,2017-07-26,0.9763314641351676
