标题,帖子数,日期,情感
“一带一路”主题催化，百亿海外订单签署,45323,2017-04-17,0.810537175017836
国际高端制造的中国名片，2017年PPP “一带一路,27827,2017-03-23,0.9023355220351286
合并完成，招标后将稳定增长,6367,2015-09-01,0.90108768004091
中国中车中标巴西城轨车辆供货合同,25862,2017-09-02,0.7307780998768133
中国中车今年翻倍是肯定的，不要倒在黎明前,12100,2017-08-30,0.7689430863720574
中国中车(601766)融资融券信息(09-01),2397,2017-09-02,0.911794487144466
2015年30多的时候各种各样的研报利好，一个个充,9597,2017-08-28,0.5791178459694085
17年上半年做了国航和中铝，下半年坚定不移看好,146130,2017-07-29,0.9947778290133038
中车比垃圾股还差，无升幅无波幅，连续阴跌4天,25541,2017-07-26,0.0017699662002763628
中国崛起，大盘底部，永远是好股票买入机会：）,100691,2017-05-24,0.9978345109256873
》》》买买买（献给有缘人！中国中车是GJD重仓,13376,2017-08-28,0.9299591817582655
大笑大笑 咯咯咯咯，晨鸣三年利润之和超现公司,17909,2017-06-27,0.9949797111528718
总理的中车 国家的名片 起飞吧,50921,2017-01-10,0.5463727330487278
高位急拉升是大跌前诱多！出货是一价格区域并不,10116,2015-11-18,0.3716835789043048
宁波港祝贺中国中车,14254,2017-06-09,0.43153807315047954
中国中车中报营收净利润双降：经营形势“异常艰,356247,2017-08-27,0.9426704355975198
中车--全球顶级抗癌药，中国拥有自主研发产权,9653,2017-06-24,0.9997878165850281
铁路投资规模维持高位，公司下半年业绩有望回暖,22679,2017-08-30,0.9947881940489188
核心内参: 地产称霸南京，医美雄冠亚洲,4637,2017-08-12,0.9315669100106516
大和：降中国中车评级至“持有” 目标价下调至7,21448,2017-08-29,0.4531219817079033
今天留一帖，本周五验证，本人预测国家队2季度,17774,2017-08-21,0.6123520833042545
动车组业务复苏明确，业绩拐点已至,25375,2017-08-29,0.8728873734800378
明天暴涨。。。。。。,8868,2017-08-28,0.25052595876306116
公司点评：看好中国标准动车组潜在放量，城市轨,19243,2017-08-29,0.8941390397670492
上半年受动车拖累 多项业务蓄势待发,39936,2017-08-28,0.19439416044018776
中国中车、博世科等联合预中标22亿元PPP项目,56642,2017-08-22,0.5262715379388408
老萨进中车,163564,2017-02-11,0.3024796925096507
[献花爱心]女士们先生们朋友们！战胜内心的恐惧,6120,2017-07-23,0.9988746192907831
操你娘的破车,19273,2017-08-03,0.3234404978063379
我觉得这件事情远远没有结束,18350,2017-08-03,0.46739831474783233
卖出前期涨幅大的、爆涨的、不分红的铁公鸡股票,15885,2017-08-01,0.9467739227921155
散户必看炒股格言和现金策略！ 孙子云：先立于,50376,2017-04-22,0.08329665475196413
中国中车中期税后利润同比下降24.21%至46.04亿,27415,2017-08-25,0.3188738727251793
中报速递：中国中车2017年上半年盈利36.73亿元,42143,2017-08-25,0.5085697669618258
中国中车未参与认购联通A股股票,9531,2017-08-17,0.9329381872978557
中国中车(601766)融资融券信息(08-25),5938,2017-08-26,0.911794487144466
散户的心声：呼吁中国中车分拆上市,18485,2016-05-14,0.4110122081426758
证金增持5.447亿股，持股4.97%，接近举牌，好好,20457,2017-08-25,0.07860554443840173
独家|铁总要求“复兴号”采购价大降二成 中车铁,17149,2017-07-22,0.14911625238201476
去年12月初那个向下的跳空缺口将被回补！,32230,2017-04-21,0.1644900824044171
2年了，感触太多，一直没有空仓，从5000多点，,18582,2017-05-29,0.3942117591612475
问大家一个问题，中车现价9.83元，向下能跌多少,15024,2017-05-20,0.2323073918937032
铁路装备在手订单充足，城轨持续发力，现代服务,38818,2017-05-03,0.4590838188951477
______中车的蟹头已经成为历史（2016,9,8）____,9057,2016-09-08,0.7672521632961194
中国中车将于8月30日支付“16中车01”年息,16246,2017-08-22,0.07747210621477196
中国中车控股股东与中国铁路总公司签署战略合作,18870,2017-08-21,0.8412117561869645
601766:中国中车关于控股股东签订战略合作协议,50055,2017-08-21,0.1574204532211153
中国中车：控股股东与中国铁路总公司战略合作,29587,2017-08-21,0.9592460104169006
中国中车澄清：公司并未参与联通A股新股认购,34405,2017-08-17,0.9194238583313283
中国中车，中国能向世界拿得出手的几张名片！,11132,2017-08-17,0.9357312514156879
中国中车(601766)融资融券信息(08-18),8001,2017-08-19,0.911794487144466
中车集团间接参与联通混改 参与混改的投资者名,119833,2017-08-18,0.9932421759086787
揭穿价值投资的鬼话，如果真要价值投资，招商银,26951,2017-07-03,0.9997151511106501
中国中车集团旗下全资子公司中车金证将参与联通,118248,2017-08-17,0.9221615927749703
中国中车否认参与联通混改,17684,2017-08-17,0.9050528604916057
全年业绩符合预期，国际新签订单数增长迅猛,19103,2017-03-31,0.6117156216949052
业绩底部已然明朗，静待动车组业务复苏,39104,2017-05-02,0.9421886082706867
美银美林：维持中国中车“买入”评级 上调目标,38766,2017-05-02,0.9976727194008542
中车集团：正研发时速400公里可变轨动车组 方便,17977,2017-05-08,0.4665048157142607
中国中车去年海外合同额超500亿元 从地铁到高铁,18544,2017-05-09,0.9816812363056128
中车发布全球首列虚拟轨道电车：三节31米 将实,41363,2017-06-02,0.9408629867575243
中国中车希望参与特朗普政府基础设施投资计划,18319,2017-05-10,0.9942412332527827
中国中车旗下公司出资4667万元认购中车世纪二期,20518,2017-05-10,0.9735531356950898
东方能源控股股东与中国中车签订战略合作框架协,50719,2017-05-15,0.3390357967680757
中国中车：二季度累计签订258亿元合同,23783,2017-06-29,0.007071971930142529
中国中车：今年纯电动大巴销量将达7000辆,39936,2017-06-29,0.5513598670500669
中车发布全球首列虚拟轨道电车：将实现无人驾驶,49410,2017-06-02,0.9623063392512056
中国中车上半年订单金额同比倍增,40094,2017-06-30,0.2874522292819808
中国中车：拟合资设立规模1139亿基金 投资军民,36024,2017-07-03,0.9466860935493331
601766:中国中车澄清公告,66969,2017-08-17,0.8453390420961574
买不买没关系哦，到股市瞧一瞧，到股市看一看。,27624,2016-01-25,0.8559268466956144
中国中车(601766)融资融券信息(08-16),2870,2017-08-17,0.911794487144466
中国中车：12米智能驾驶客车进行“无人驾驶演示,25784,2017-08-16,0.5207236305454234
中国中车：每股A股派发现金红利0.21元,57559,2017-08-03,0.6313461422856339
中国中车2017年一季报点评：下游需求短暂调整，,55894,2017-05-05,0.8227265233814469
现在想死的心都有，开盘满仓跟进,20884,2017-08-11,0.18530103734875059
绿王八啦[不赞],2732,2017-08-02,0.9819523580677665
中车昨收10.21杂变10元了 这也叫分红吗?,19075,2017-08-11,0.0160038235862624
如果砸，请深砸！,7874,2017-08-11,0.04548780913817585
中国中车(601766)融资融券信息(08-11),8593,2017-08-12,0.911794487144466
中国中车雄安新区办事处正式揭牌,54498,2017-08-10,0.9826766601384961
神车向15块挺进进行时。,38371,2017-08-01,0.17799512551816876
今天保守估计开盘能有1%涨幅，如果按大盘下跌1.,8208,2017-08-11,0.7907329873341207
神车日，周，月，季。 回踩62日线，放量突击10,9036,2017-08-10,0.017111764368791693
601766:中国中车H股公告(董事会会议通知),53729,2017-08-10,0.0710126982271081
每股分红0.21，明天收盘价会是10元以上吗？今天,15635,2017-08-10,0.06841997405590328
本周是最佳时机,9014,2017-08-09,0.6836883280339406
中国中车，大跌就在眼前，启动前必须先挖坑。不,8806,2017-08-08,0.359820125974492
601766:中国中车2016年年度权益分派实施公告,133374,2017-08-03,0.786179255860677
牛哥大声呐喊，大胆贪婪砸、锅卖铁买入有色、煤,26137,2016-01-08,0.5114535744183313
如果 你想赚钱 请继续买入5元之下中石化。。。,15339,2016-07-24,0.08776899057621335
中车（铁）已判死换，尽早散伙吧。,4093,2016-01-28,0.23653610169172823
进场: “双重改革”受益股,社保养老金标的股,3199,2017-07-30,0.9893200488469195
尾盘10.85元买入5000股，希望再次赚个酒肉钱。,12506,2017-04-07,0.02646304617441464
中国中车是国家品牌，代表国家的经济实力，科技,7348,2017-08-08,0.9988982987504139
空调我们选择格力，手机我们选择华为,9762,2017-07-09,0.5030444651405629
中车有100多万散户、茅台才6万散户。这就是不涨,8935,2017-07-20,0.5185305333240484
真实情况是这样的:国家为了打造国家品牌，为了,40995,2017-05-12,0.9923171409669256
美国航母战斗群驶向朝鲜，周一估计又悬了,9070,2017-04-09,0.9717559927302805
601766:中国中车关于执行董事、总裁变动的公告,42948,2017-07-26,0.6274274399760291
中车签下无人驾驶轻轨海外首单,25343,2017-08-04,0.8630171884284927
狗R的不要托，往下砸，要猛，要不然带血的筹码,4784,2017-08-03,0.6195968270562697
中国中车(601766)融资融券信息(07-17),8112,2017-07-18,0.911794487144466
铁路混改突破口或在货运,6336,2017-07-30,0.6934119147819502
价高有H差不如下全转买*一路一带龙头600307酒钢,41844,2017-05-01,0.9752260739241759
中国中车副董事长奚国华辞职,12918,2017-07-26,0.6006766640211473
劝大家，中车就不要玩了，要玩就玩新材料锂业，,13864,2017-04-01,0.7474828637179571
高铁+动车+地铁，全球开拓，市场广阔,103031,2015-09-25,0.9974401192811734
奚国华辞任中国中车副董事长、执行董事及总裁等,17542,2017-07-26,0.8035817116206103
