标题,帖子数,日期,情感
中国中铁(601390)融资融券信息(09-01),2646,2017-09-02,0.9734713764472834
27日的中国中铁开始涨三波行情，超过24元。,5296909,2015-08-26,0.9669431160407161
[拜神]MSCI Inc.来了，漂亮50必将是永远中流砥,12912,2017-06-21,0.990124922799282
一带一路”是政策导向 紧跟政策的步伐,51085,2017-03-16,0.9320834966086533
小摩减持港交所及中国中铁 另增持长城汽车,24354,2017-09-01,0.9505673541315974
实战炒股口决： 十四工作线，来回做波段；突破,65571,2017-03-25,0.986755970349184
业绩大幅增长，订单充足保驾护航,22941,2017-09-01,0.7467633829848925
看看今晚中报的成绩单，如果成绩好，我们明天起,17540,2017-08-30,0.6316114647069276
关注中国中铁A股（601390.SH）纳入MSCI成分股 ,9274,2017-06-29,0.9323009056466464
“股改钉子户”S佳通公布股改方案10转30,20321,2017-08-31,0.0025169736742310933
你们以什么理由来看空中国中铁?,9605,2017-08-31,0.7527890353137762
刚去上证指数发了个帖,19787,2015-08-31,0.34382855872511286
中国中铁：上半年净利同比增四成 证金公司大幅,38943,2017-08-30,0.6339859825284161
中国中铁上半年净利增长超四成,10789,2017-08-31,0.9737404576742228
中国中铁中期净利77.07亿元 同比增长41.1%,8372,2017-08-31,0.9957733195069876
601390:中国中铁董事会战略委员会议事规则(2017,38258,2017-08-09,0.9981746617708108
中国中铁重振雄风，强力收复24.,61390,2017-02-20,0.7497197538485814
铁总呼叫阿里巴巴 8000亿元投资如何分,38383,2017-08-29,0.9838359323875414
有些居心叵测的人，认为我不发帖就没有中国中铁,20434,2017-08-23,0.4044449981263464
[加油满仓]女士们先生们朋友们！战胜内心的恐惧,8438,2017-07-23,0.9984577170544322
来来来来……,6759,2017-08-25,0.4426274989318266
中国中铁(601390)融资融券信息(08-25),7041,2017-08-26,0.9734713764472834
中国中铁(601390)融资融券信息(08-24),5983,2017-08-25,0.9734713764472834
很多时候，不要犹豫，你一犹豫，第二天你就会后,19034,2017-08-17,0.9313017651299862
继续买入，3300点以上不会缺少中铁的,7585,2017-08-25,0.799773472081382
那些压盘的人，你丫的是有病吧你,7165,2017-08-25,0.43492626203027196
通告：601958 金钼股份正创历史新低，青菜价6.7,8237,2017-06-12,0.9988016578039274
揭穿价值投资的鬼话，如果真要价值投资，招商银,26096,2017-07-03,0.9997151511106501
摩通增持中国中铁1178万股 每股6.009元,36796,2017-08-17,0.7314635594142808
中国中铁(601390)融资融券信息(08-18),8643,2017-08-19,0.9734713764472834
中国中铁(601390)融资融券信息(08-16),5990,2017-08-17,0.9734713764472834
