标题,帖子数,日期,情感
石磨烯技术哪家强！看看万鑫的咋样？ 借花献佛,31760,2017-07-29,0.1391324989343019
A股现新能源汽车产业链罕见布局公司：中国宝安0,69843,2017-08-04,0.05052260220456595
新华社：要完善主板基础性制度 积极发展创业板,25362,2017-08-19,0.9160732003977976
认清本质,11952,2017-09-01,0.9459629678917244
此处乃中国宝安价值投资中枢 逢低买入,44656,2017-08-16,0.9974565328599759
明天探底阳线 滚滚长江东逝水，趋势看多不动摇,10242,2017-08-31,0.9164932385147468
yaya721是目前见到最阴险，卑鄙的职业托！,3391,2017-08-27,0.32645131359400015
函,162164,2016-10-20,0.5
看了下老帖子。发现yaya721是一个无耻的垃圾,3964,2017-04-24,0.005144086329809117
宝安二十年来所有的投资都是微利或者亏损，而其,10073,2017-08-30,0.9324629991706592
确认成功,41240,2017-07-24,0.30346799469108254
明天大决战…… 今天吓出了谁的筹码？处在分水,19885,2017-08-24,0.8574692774427168
利用石墨烯秒充电池的理论基础确实在今天被认证,20767,2017-08-30,0.9779453976299919
抢筹布局半年报正当时,16479,2017-08-29,0.7990026486469606
序幕，还刚刚拉开,18344,2017-08-27,0.5001823940137156
~~来自游资主力的内部消息,14767,2017-07-30,0.5584935737109009
中国宝安：千亿不为过，股价五倍多,60615,2016-09-04,0.9549622410961048
必须调查宝安大股东侵害中小股东的恶行,7474,2017-08-30,0.532207696329357
胜利，这仅仅是开始,12437,2017-08-27,0.6836163203181703
我不得不说一点与中国宝安无关的事,10630,2017-08-15,0.8299207307099572
关于中国宝安的个人小结,15543,2017-07-30,0.692097841525799
不要怕,9771,2017-07-17,0.397058823529412
中国宝安：破10论可以休矣！,32631,2016-12-21,0.23777327224296452
告宝安股友书,13226,2017-06-06,0.5057080845398374
一支好股票底部唱多，对谁有利？,35344,2017-04-10,0.9309423684954405
中报速递：中国宝安2017年上半年盈利8008.21万,51012,2017-08-29,0.9152155414699507
中国宝安:2017年半年度报告,40293,2017-08-29,0.9268817749743582
在目前的价位买入中国宝安,48273,2016-12-18,0.9925110398982165
从方大碳素的跌停说开去,14675,2017-08-17,0.05224970929518713
中国宝安:2017年半年度报告摘要,40362,2017-08-29,0.9716214609634388
中国宝安：涨跌都爱你,41631,2017-03-10,0.9715158976699061
半年报业绩是导火索,13539,2017-08-28,0.6570100568762789
宝安今天开始会涨到你目瞪口呆！,10940,2017-08-28,0.9134744684538626
散户必看炒股格言和现金策略！,17073,2017-07-29,0.3017520261998339
中国宝安:2017年面向合格投资者公开发行公司债,40984,2017-08-27,0.9953376288682679
中国宝安(000009)融资融券信息(08-25),5519,2017-08-28,0.981479967723262
有小黑粉还在关注我啊！你太执着了，哈哈，宝安,8969,2017-08-25,0.9745851426090799
到底谁忽悠了谁,20679,2017-04-18,0.03770918051265659
关于中国股市和中国宝安,20630,2017-04-30,0.9961529958663414
不以一时的涨跌论英雄,13641,2017-03-28,0.9900691550005127
宝安走势之我见,26981,2017-06-05,0.7227850373656242
七元的中国宝安还有人乱喊空,说要到五元,真是佩,21930,2017-06-09,0.8451741897453154
石墨烯电池放眼前,24648,2017-08-02,0.9026122435354558
自2016年起，超级就在包安吧里看空宝安！,6961,2017-04-17,0.8866493622391826
石磨烯技术哪家强！看看万鑫的咋样？,259537,2016-05-26,0.16624752646601615
这股就是“死爹”没完,7956,2017-08-18,0.15336430938699164
最新股东数及机构持股数 截止2017年7月31日，公,24082,2017-08-17,0.2621605649467349
我已顺利出货,12210,2017-05-10,0.5874622838036413
中国宝安接力方大炭素开启暴涨之旅目标30元,16943,2017-08-17,0.9416038230215367
中国宝安:关于大股东股权解除质押的公告,46036,2017-08-16,0.9920112447545757
狗庄开始套人啦！快跑！。[滴汗],3863,2017-08-02,0.5434692976865866
唱多不买的是畜生，压盘卖出的主力也是畜生，做,7831,2017-08-14,0.23125122889641825
截止2017年7月31日，公司股东总户数为200,867，,14344,2017-08-16,0.08944865849383676
送钱来了（续集）,20714,2017-08-03,0.5967372196923827
我宣布：大暴跌正式开始,8919,2017-08-10,0.8984136492105961
炒股票的真谛是什么？！,12069,2017-07-28,0.6240213652331058
赶紧跑！！！,2607,2017-08-02,0.09173320539098528
看谁跑得快,2188,2017-07-28,0.7703908531412111
潜心炒好中国宝安,22510,2017-08-11,0.8861191914675239
我仿佛看见了中国的伯克希尔·哈撒韦的影子，方,39074,2017-07-29,0.9785015153014022
各位想一下，现在马路上跑的98%是柴汽油动力车,13049,2017-08-15,0.3702975671769606
请yaya721提供你在湖南长沙的具体地点，我要找,6865,2017-08-13,0.03283212206479402
来救小蛇的12元，还让他挣钱 哈哈哈,11121,2017-07-20,0.9137453728880768
很快就能见到小蛇的12元了  呵呵呵呵,7629,2017-07-28,0.9611601216911364
黑暗中的下跌即将过去，黎明后的红日终会升起！,11623,2017-08-12,0.9976137808105887
同心协力举牌中国宝安！,45355,2017-05-11,0.8615895624682668
致火箭,11182,2017-08-13,0.7297953905324696
关键时刻到了,12018,2017-08-11,0.7562940593591821
宝安消息；宝安的525计划项目就是整合自己的各,37681,2017-07-26,0.013653125420058254
动物园招聘动物，朋友带着一头猪去报名，被拒收,12609,2017-08-03,0.9593909671122084
我什么时候说过宝安是报春花？,7994,2017-08-13,0.527888612100693
宝安进军电动汽车充电设备的电源、控制器和软件,1054598,2016-04-25,0.10408817082410216
中国宝安:2016年年度权益分派实施公告,102850,2017-08-09,0.9544157820714022
进入了漫长的横盘整理后下探阶段，7.50等你,13062,2017-03-25,0.27069860671439006
中国宝安除了跌还是跌，无药可救，最惨的是散户,11569,2017-07-17,0.8714852154385049
还是颐和园的空气好，走在遛弯的路上，刚刚遇见,14992,2017-08-02,0.8742214617362386
股市报春花,21158,2017-02-22,0.86979105545494
就等中国宝安如春笋破土而出,16311,2017-01-23,0.9120864778549379
贝特瑞 让石墨烯走进现实,24827,2017-08-05,0.8923549717102496
市场认可阿宝是石墨烯龙头，宝安家的庄家不让涨,20280,2017-07-06,0.706374846436935
进场: “双重改革”受益股,社保养老金标的股,4176,2017-07-31,0.9893200488469195
现在买低价的宝安，还是将来买高价的宝安？,14163,2017-04-09,0.7770591631330023
中国宝安：尾盘给出的信号十分明确,37192,2017-07-12,0.6357594422573911
割不断的宝安情结——我与友人的对话,26079,2017-07-09,0.8305926168270767
离小蛇的12元又近了一步    哈哈哈,5951,2017-07-28,0.9820362435055771
萝北初步探明石墨储量10.26亿吨 在全国很少见 2,19045,2016-11-21,0.9834241855151818
谁可以说说贝特瑞为什么不转战主板呢 呵呵！,653603,2016-03-08,0.8692556942114442
石墨烯+智能，刘忠范教授主持北京石墨烯研究院,8338,2017-08-01,0.5817947195967667
国泰君安：针状焦暴涨 负极涨价一触即发 07-24 ,24850,2017-07-24,0.6237917122710527
A股现新能源汽车产业链罕见布局公司：中国宝安0,19542,2017-05-21,0.05052260220456595
中国宝安:关于大股东股权质押的公告,81594,2017-07-31,0.9857068679296457
“仙人指路”与“避雷针”。智商测试。抢答开始,14995,2017-08-02,0.7845582003709959
热烈祝贺量产型彩虹五无人机试飞成功,31462,2017-07-15,0.8338720034335583
置之死地而后生的中国宝安,48032,2017-06-13,0.7001598680241045
融资10亿 全球最大锂电池材料生产商将在新三板,23169,2017-05-16,0.9434374521086888
中国宝安周二走势指南：低开杀跌2—4个点之间满,20577,2017-07-31,0.25717260785366014
贝特瑞是全球唯一拥有负极材料完整价值产业链的,23005,2017-08-01,0.9980995062609875
寻到15年涨50倍的下一个恒瑞，要复制恒瑞需满足,13620,2017-07-29,0.9989926693485262
保安价值被低估多少 一个千亿市值的公司,10361,2017-08-01,0.3585797289739755
中国宝安发出“加油干”动员令：净利不增长 员,17083,2017-06-04,0.9499854991428467
宝安将迎来新能源汽车的最强风口：A股现新能源,26118,2017-07-09,0.0013897912624980524
央视新闻联播去年底就报道过宝安控股的贝特瑞是,12185,2017-05-25,0.9983698434733387
大股东的股份质押是利好？还是利空？ 听我来解,15230,2017-07-31,0.9207959926399774
机构手中的10亿股没有参加投票，为什么???!!!,17676,2017-06-23,0.8270437718290208
《广东榕泰：30亿针状焦项目重启：7个涨停》,10078,2017-07-30,0.01266752194851184
拿着中国宝安的要小心了，外资第一批资金已经悄,14211,2017-07-29,0.5992921197753511
中国宝安(000009)龙虎榜数据(07-28),95207,2017-07-28,0.9824764201883409
全景网  针状焦涨价潮蔓延：锂电池负极材料已涨,22393,2017-07-27,0.80034996079671
曾经是石墨烯的一只雄鹰，现在竞甘当大熊。方大,10296,2017-07-28,0.12344575420123227
跌停和涨停,9026,2017-07-29,0.1966194228976409
军工板块拉升 中国宝安涨停,100548,2017-07-28,0.8073057788280047
突破性缺口,12758,2017-07-27,0.4737672181921908
再谈宝安走势：调整蓄势，反转继续,20450,2017-07-16,0.8813549187875084
不要拿保安跟方大比。。。,14665,2017-07-26,0.15720813822467017
发现可喜的变化,10456,2017-06-01,0.8599802939883069
中国宝安:关于大股东股权解除质押的公告,56402,2017-07-25,0.9920112447545757
中国宝安贝特瑞一只子公司的产值就超方大炭素，,21533,2017-07-24,0.9904583826311296
我宣布：10个涨停，马上到来,8890,2017-07-25,0.6943107243359583
我所极力推崇的两支股票,20846,2017-07-06,0.9570411575169823
谁指导一下，尾盘1.6万手是干嘛,11957,2017-07-25,0.1342012949614647
yaya721推荐和卖力唱多保千里跌停了，诱骗了很,6639,2017-07-24,0.3393730459121074
超级火箭在卖力唱空,5702,2017-04-27,0.5673910775972166
再谈中国宝安的股权问题,17854,2017-07-23,0.9428062543071073
关于中国宝安的基本判断及操作策略,12567,2017-07-24,0.9325707261395815
为什么中国宝安涨时跌时我都看多？,15697,2017-07-13,0.7816060535992284
中国宝安:2017年7月18日投资者关系活动记录表,56550,2017-07-20,0.9898983383738406
实战炒股口决： 十四工作线，来回做波段；突破,50478,2017-03-05,0.986755970349184
中国宝安:关于大股东股权解除质押及再质押的公,43808,2017-07-19,0.9992172397981218
中国宝安:2017年7月18日投资者关系活动记录表,30527,2017-07-20,0.9898983383738406
我为什么要紧紧抱住中国宝安？,21455,2017-04-07,0.9850744116489388
散户和机构，中国宝安的希望,10870,2017-07-17,0.682609620810768
宝安之跌,12906,2017-01-15,0.8219237660471308
中国宝安:“16宝安01”2017年付息公告,57183,2017-03-20,0.9770542506334884
中国宝安主力意图暴露,60304,2017-06-26,0.38748408341424245
中国宝安:关于董事局主席、总裁陈政立先生增持,72275,2017-05-23,0.9709904155505812
致宝安股友：让我们静静等待,10845,2016-12-17,0.917001371792296
中国宝安：建仓补仓正当其时,10915,2016-12-09,0.7590209119628458
中国宝安:金针探底，今日反弹,14537,2017-01-17,0.9869592621478457
厚积薄发,34938,2017-04-26,0.09466748127327229
看好中国宝安的12大理由,17591,2017-06-08,0.09526127829178488
我只要一个回复确认，机构持股数10.3245亿股是,21575,2017-05-21,0.011816807439313348
中国宝安集团荣膺“中国500最具价值品牌” 百强,23256,2017-06-23,0.8657201679954454
6月14日石墨电极市场主流低端成交价高功率和超,4595,2017-06-15,0.2640501071323911
中国宝安:关于马应龙股份质押的公告,44799,2017-07-11,0.9952306013726081
公告：本群有很多关于石墨烯现在和未来的可喜成,14068,2017-06-09,0.924694692737364
机会还有，但要抓紧,12987,2016-12-18,0.9508202074992146
中国宝安：展望与机遇,24376,2016-12-23,0.9325831450996457
中国宝安:关于马应龙股份解除质押的公告,48740,2017-07-07,0.9973455871683669
中国宝安，随时拉起。中国动力，世界第一。,36725,2016-12-30,0.9984421623730949
中国宝安:关于大股东股权质押的公告,44885,2017-07-05,0.9857068679296457
不要脸的人滚蛋,2668,2017-05-24,0.3840472246293233
换宝安管理层,3584,2017-06-02,0.13463627003315737
中国宝安管理层干着不可见人的勾当,2090,2017-05-10,0.24826749959515104
保安是假高科技,4074,2017-06-26,0.1625301603232544
宁波港601018祝中国宝安大涨,30733,2016-07-25,0.9785620879324849
特大消息 28日石墨电极又爆涨了 27日涨8.73% 今,12674,2017-06-28,0.001350758757984405
【投资者传闻求证】宝航新材料目前主要关注关注,20920,2017-07-04,0.9991648649470335
石墨电极超高功率爆5月到6月爆涨230%,11679,2017-06-16,0.05312396620619608
石墨电极暴涨 A股当中出了方大碳素 就要数宝安,24043,2017-06-26,0.9171929839912376
最新石墨电极概念股一览 2017最全石墨电极概念,18279,2017-06-26,0.08012716604690506
宝安仅“中间相碳微球”2016年报和2017季报连续,19643,2017-07-01,0.6762851095949411
中国宝安:2016年面向合格投资者公开发行公司债,50134,2017-06-30,0.9953376288682679
（中科院与长城电工合作新源动力公司。） 中科,10625,2017-07-02,0.08779082516351222
中国宝安：房地产项目去库存压力较大 导致地产,47058,2017-06-26,0.974244051512545
券全球首席经济学家邓海清直言：,14429,2017-06-24,0.9657173461273509
留一条活路啦！,6212,2017-06-24,0.45419165503836034
大家知道公库通私库是什么意思吗？,15370,2017-05-20,0.33942130783111824
众筹中国宝安，控股宝安，重选管理层，今年股价,87541,2017-01-08,0.9374118559989894
中药品牌,3013,2017-03-13,0.7982069520470739
看好中国宝安的12大理由 1：中国最大的土地储备,125998,2016-06-19,0.8866439534961097
中国宝安的严重问题（散户必读）：,72831,2017-04-27,0.7612429275449893
中国宝安:2016年度股东大会决议公告,44881,2017-06-22,0.9714936767623332
人生最大的蠢事就是进了股市! 更惨的是买了中国,43858,2017-02-27,0.9919323637068614
关于股东大会:6.22前9元以上我支持通过,16472,2017-06-01,0.6439982001502915
未确立底部，谨慎从事,7610,2017-04-11,0.11614190725176665
星期四投票，大家抽个时间搞一下，顺便统计散户,8395,2017-06-19,0.34056553366310083
号外 号外 百川资讯：石墨电极市场6月15又上调,18813,2017-06-15,0.013438300739322173
中国保安/贝特瑞／芳源环保／特斯拉＝套路啊,9788,2017-06-20,0.5870267919768745
跌一两分钱又不会死人，急什么？此股是大盘，耐,7162,2017-06-15,0.0034020018430370724
【投资者传闻求证】子公司贝特瑞NCA前驱体的产,22423,2017-06-19,0.9866713014027851
中国宝安岂是你们看懂的！高科技板块跟生物医药,10591,2017-06-16,0.995969604387257
目前，我国企业贝特瑞生产的面向300瓦时每公斤,11592,2017-06-16,0.9966169073214364
卖了贴出来呀。没有滚蛋,2310,2017-02-11,0.6085971821276022
1.发明专利,13056,2017-06-15,0.4066888569782794
688集团军,264569,2015-11-11,0.4737672181921908
材料变革，国家战略，民族品牌，复兴中国。这种,12944,2016-12-06,0.9999935609160143
宝安的真面目，石墨烯、锂电池、充电桩、房地产,25556,2017-05-05,0.8877915655305947
中国宝安:关联方占用资金情况补充说明的鉴证报,87959,2017-05-15,0.987284882678884
大盘跟跌股，小心，等大盘,3902,2017-06-02,0.13933870316655972
1元的成本，今天清仓了，这个股东不作为,10810,2017-05-18,0.06646015308594566
强烈呼吁宝安大股东实际控制人增持股份,6710,2017-05-24,0.5847706458446918
中国宝安：节后行情可期,25805,2017-05-27,0.9882441430008299
中国宝安:第十三届董事局第十一次会议决议公告,42955,2017-05-31,0.9252520441487581
有专家称：中国宝安总裁陈政立增持15万股为“逗,12004,2017-05-27,0.4562990059139611
重上10元，是中国宝安的第一目标,10910,2017-05-30,0.5360396623495326
国际通用估价体系，A股泡沫，中国宝安将跌为0.7,8725,2017-05-28,0.5322329207645335
有专家称：中国宝安陈政立增持15万股是“逗你玩,20974,2017-05-27,0.8746823725063854
宝安集合竞价2次打跌停价融券买空！炒股没文化,9791,2017-05-27,0.007221902169762817
中国宝安：只买不卖,6637,2017-05-25,0.7274012814024605
